Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	374.90176	390.46643	1224.5634	8.239641e-29	553.25	511.94318	1440.0	19.0	6586.793	21540.027	364872.22	-0.12737386	10000	1.8626451e-08	508426940.0	-0.09006089	-505718500.0	1.3213872	870.79346	0.8333	74.0	13.098381757736206
1	605.32965	611.17725	2147.8118	0.0027493788	458.1111	402.92776	1440.0	64.0	5388.9463	354958.88	27995584.0	-1180.2732	20000	-1.8626451e-09	126024580000.0	-0.00025976507	-126024580000.0	1.4997478	2.3591642	0.0067000003	5.0	23.842411041259766
2	473.50812	492.97723	1695.9075	7.281711e-08	440.4	374.86868	1440.0	8.0	21.950485	19.47059	265.78235	2.3845665	30000	-1.4901161e-08	540.76416	0.043879066	-203.83147	1.5292857	37.66739	0.1708	22.0	34.841206312179565
3	603.0751	519.0628	1431.7852	9.573539e-09	625.0	389.34738	1440.0	52.0	10.78517	8.663706	214.46101	0.17390208	40000	-2.9802322e-08	323.30566	0.057292957	12.53767	1.6227005	27.331738	0.1766	11.0	45.44068264961243
4	708.73627	690.8705	2393.0989	3.990827e-06	587.6667	403.92618	1426.0	52.0	12.1558	8.548516	96.7492	2.2549202	50000	5.9604645e-08	450.10486	-0.006579643	-24.217793	1.5203799	-0.019256953	0.064899996	79.0	57.916489124298096
5	543.83105	510.03256	2160.185	0.0050554746	494.1111	309.07907	1440.0	112.0	9.480523	6.360161	97.322525	0.15719293	60000	-2.9802322e-08	336.61792	0.031187315	-27.38779	1.5505517	8.832266	0.2003	61.0	70.07013702392578
6	436.58734	605.69403	2062.4163	0.0050693224	448.3889	440.4577	1440.0	87.0	9.630748	4.3323727	64.26821	1.0146154	70000	2.9802322e-08	298.90582	0.049520213	-43.515144	1.5130944	20.344824	0.21110001	33.0	81.23117065429688
7	654.83673	547.96094	1834.7168	0.013393391	588.2353	367.78632	1400.0	4.0	15.893503	11.453232	165.37407	3.769296	80000	2.9802322e-08	386.58807	0.015857328	-51.282238	1.2722596	9.002462	0.2353	65.0	93.24620413780212
8	480.58972	730.70276	2351.7441	0.0002815074	516.625	519.7558	1440.0	19.0	14.132622	7.3164077	107.35474	0.16287512	90000	2.9802322e-08	261.5532	0.027543832	-20.937225	1.2197855	9.044502	0.22170001	23.0	104.14800882339478
9	509.21375	462.44562	1785.6132	0.00031214682	496.35294	276.45572	1004.0	123.0	14.9948845	5.1121454	52.723396	2.8930671	100000	-5.9604645e-08	276.34207	0.038561195	-29.278297	1.1652074	31.982328	0.1619	3.0	114.94937109947205
