Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	864.66595	725.848	2517.8154	4.4053767e-08	417.3913	342.30533	1091.0	19.0	1904.6648	22869.924	482646.94	-0.12737386	10000	3.7252903e-09	526608350.0	-0.018856782	-526606370.0	1.7259415	97.43778	0.2809	21.0	10.840019702911377
1	978.34753	799.2712	2410.7625	1.7431772e-05	455.06668	398.2146	1261.0	19.0	12.260155	10.012894	115.24116	2.249517	20000	-9.313226e-08	1056.274	-0.002671441	-800.4418	1.565187	-0.007669422	0.0375	79.0	23.01123285293579
2	765.8031	651.66144	2683.0898	5.0618272e-08	346.16	322.98627	1217.0	19.0	38.93011	11.365651	144.52464	17.830818	30000	0.0	341.43286	-0.005966274	-175.20139	1.4787947	0.0059454455	0.0712	79.0	35.11379599571228
3	761.2544	653.02094	2053.39	1.9e-39	344.82758	300.11215	943.0	2.0	40.62825	5.234115	131.86058	5.22531	40000	-7.450581e-09	131.41406	-0.0033826865	-9.2753105	1.5480759	0.12979575	0.0047	15.0	45.78444242477417
4	845.4507	773.7222	3277.338	131.6283	397.14285	350.11774	1440.0	52.0	42.312263	8.480291	200.32758	19.394403	50000	0.0	211.55798	-0.008216906	-53.029694	1.5013132	0.45016843	0.017900001	8.0	56.38379716873169
5	880.424	800.3992	3233.0408	1.5352084e-08	413.27274	408.29526	1440.0	20.0	40.124645	5.5343566	48.070774	-22.831327	60000	1.4901161e-08	174.84195	0.01125806	-22.532902	1.4620159	0.5102868	0.16170001	43.0	67.69734406471252
6	894.83905	800.761	2724.16	87.67152	510.875	364.16116	1203.0	52.0	43.447582	10.005761	181.8691	26.061386	70000	7.450581e-09	650.9577	-0.06904678	-572.0133	1.151971	22.341661	0.3825	21.0	78.52526926994324
7	1944.4269	613.05615	2962.219	570.77655	909.0909	330.97305	1440.0	225.0	42.143467	3.4775324	50.82587	2.187533	80000	9.313226e-09	71.57241	0.0007224828	-5.00957	1.3771834	0.33118013	0.21740001	7.0	88.90849947929382
8	690.3036	626.1905	2323.411	7.496009e-06	440.4762	352.14642	1440.0	19.0	48.28972	34.024918	646.5646	27.324879	90000	-1.4901161e-08	2255.7998	-0.051319838	-2131.9004	0.9900441	100.597626	0.4005	9.0	99.42614340782166
9	1319.4817	1053.7955	3082.1047	158.7553	615.8333	513.0183	1440.0	53.0	39.7903	4.4060993	73.82411	5.544334	100000	-7.450581e-09	76.41626	0.015105722	-10.5686865	1.5030419	4.1083965	0.1401	42.0	110.66703248023987
10	1167.0621	779.5809	3139.1462	306.06284	518.75	346.9311	1354.0	112.0	42.714775	3.6996453	54.90612	6.237458	110000	0.0	83.18195	7.842854e-05	-1.7291002	1.4884905	0.75433445	0.0972	65.0	122.63240385055542
11	1198.8192	733.0769	2986.2483	103.03282	555.55554	353.32883	1440.0	47.0	42.228207	4.322368	49.84706	9.682579	120000	7.450581e-09	76.29639	-0.007236728	-1.1585064	1.4658053	0.027674135	0.135	79.0	134.80336260795593
