Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	168.46927	233.45724	623.30255	9.29e-38	627.2308	461.3374	1440.0	52.0	-14255.856	23491.346	0.013141455	-114669.86	10000	-1.7695129e-08	754465800.0	0.40217468	-749344400.0	2.3763537	81.72768	0.2698	18.0	10.831556797027588
1	516.1723	610.8524	2158.1375	1.44e-37	522.3333	404.7893	1440.0	19.0	-1.7969222	0.20051892	-0.46879774	-2.6484175	20000	-4.4703484e-08	753.5807	-0.00083997846	-57.70265	3.2496846	131.00623	0.0379	12.0	21.454554796218872
2	324.4078	534.54626	2173.6206	1.33e-38	485.7647	286.58838	1055.0	113.0	-0.22709204	0.13549377	-0.10543811	-0.60345346	30000	-5.9604645e-08	627.59436	0.015598014	-10.050084	3.2540324	277.77332	0.0652	23.0	32.373841285705566
3	348.45224	446.99286	1321.3556	1.9e-39	416.66666	270.6704	1119.0	19.0	0.0952994	0.03283893	0.35244682	-0.28976575	40000	7.4505806e-08	589.86066	0.016699776	-47.22783	3.2465	39.75179	0.06380001	12.0	43.01878571510315
4	338.14664	465.0445	1591.7897	5.63e-38	425.90475	319.53073	1187.0	19.0	1.6044044	0.33395666	3.663938	-0.2846717	50000	-1.0430813e-07	595.81726	-0.027875513	-137.84991	3.2146373	29.208546	0.421	17.0	53.78937315940857
5	484.304	879.5109	2827.965	3.51e-38	479.33334	435.16623	1440.0	12.0	6.7691665	1.2107406	8.75258	-0.23339206	60000	-5.9604645e-08	460.0204	0.020291448	-107.48505	3.019576	61.554928	0.55649996	3.0	64.17511653900146
6	213.23553	352.2376	1361.6003	2.68e-38	350.66666	222.39655	778.0	38.0	13.083348	4.033742	31.797678	-0.20666407	70000	-1.4901161e-08	249.90974	0.05015348	6.256752	2.5067337	93.75194	0.1329	1.0	74.50420093536377
7	570.9181	947.1482	2676.313	6.4e-39	666.6667	446.56793	1440.0	19.0	12.0944	3.4624662	17.66823	-0.24614583	80000	-4.4703484e-08	330.65326	0.01961559	-43.956806	1.9843144	37.85553	0.25509998	2.0	84.83548212051392
8	248.2014	424.40897	1569.749	1.14e-38	426.9524	357.98465	1440.0	11.0	16.347723	5.156605	28.086632	-0.23554507	90000	0.0	248.76349	-0.023749873	-9.652645	1.7201952	0.07813962	0.3718	6.0	95.23195481300354
9	445.7791	693.8975	2368.63	2.06e-38	635.8571	372.86246	1440.0	204.0	14.94671	4.200505	26.639914	-0.23795746	100000	8.940697e-08	286.62338	0.0006253123	-1.7450981	2.0514555	176.54216	0.1825	9.0	105.78481268882751
10	233.30324	466.40762	1957.8406	1.04e-38	309.62964	238.44669	981.0	53.0	13.563828	4.59878	21.438606	-0.23347487	110000	1.4901161e-08	230.37775	0.031196505	-6.865635	2.380653	60.8573	0.8153	6.0	116.29484391212463
11	468.61063	822.3049	2819.6492	1.9e-39	588.2353	514.33997	1440.0	19.0	16.738255	5.380493	31.204405	-0.23454528	120000	1.6391277e-07	333.65283	-0.026730075	-7.189911	1.6919427	0.08351577	0.2623	7.0	126.75304508209229
12	363.83762	669.47095	3052.2192	1.37e-38	407.72726	356.0032	1440.0	23.0	14.853802	4.858434	22.807064	-0.23371658	130000	-4.4703484e-08	330.92072	-0.024808496	-3.8992577	1.5576651	0.07805616	0.2985	5.0	137.16924118995667
13	360.37222	666.64294	2197.2407	1.9e-39	477.0	462.85022	1440.0	19.0	15.85538	5.387533	22.157244	-0.22947307	140000	-4.4703484e-08	309.99966	-0.008075997	-4.411087	1.1840627	0.019145638	0.056300003	79.0	149.49905943870544
14	363.91553	664.90643	2418.7056	5.31e-38	528.2143	471.8656	1440.0	67.0	14.781292	5.196831	20.39595	-0.2286923	150000	1.3411045e-07	267.12415	0.008224502	-7.380039	1.2257819	12.924954	0.3599	18.0	160.2375876903534
15	625.86224	945.12964	2726.4158	1.12e-38	666.6667	472.229	1440.0	56.0	14.252607	3.0693347	19.254457	-0.22817656	160000	1.0430813e-07	392.7158	-0.012293264	-21.41069	1.1004676	-0.05715893	0.10080001	79.0	172.48346066474915
16	289.5666	561.1638	2518.9414	2.04e-38	453.9	373.82642	1440.0	117.0	14.872273	5.46116	30.735287	-0.22022109	170000	-2.9802322e-08	202.48886	0.038175672	-10.042223	1.1626228	467.80573	0.227	29.0	183.61199951171875
17	259.89343	456.76657	1863.5007	1.9e-39	357.18518	236.92928	973.0	19.0	12.932321	4.8341227	20.944908	-0.22712371	180000	-2.9802322e-08	275.28888	-0.015193477	-5.3329735	1.1938872	0.08657394	0.2308	5.0	194.13419938087463
18	467.01535	643.6834	1953.223	1.9e-39	615.4286	383.1437	1101.0	19.0	15.029397	5.716815	27.001173	-0.22343953	190000	1.1920929e-07	270.206	0.020030051	109.99437	0.8806839	269.51715	0.20359999	1.0	204.54669404029846
19	310.4012	535.80096	1659.7786	1.88e-38	476.1905	369.11563	1365.0	49.0	4.360259	1.6050385	6.453037	-0.28354847	200000	5.9604645e-08	316.49493	-0.029665992	-66.640015	0.87068045	0.060321607	0.2895	79.0	216.8441083431244
