Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	848.77826	474.96664	1678.3873	2.9241252e-37	471.0	316.0944	1299.0	19.0	4976.5464	31886.6	667546.6	-0.12737386	10000	-1.8626451e-09	1041444860.0	-0.055961106	-1039562500.0	1.6678858	184.40182	0.3107	34.0	11.827759027481079
1	884.0717	782.28345	3182.961	59.997948	454.11765	409.8279	1440.0	20.0	24.639437	17.736044	246.78983	2.95506	20000	1.8626451e-08	680.465	0.004174802	-228.61404	1.3927368	34.34885	0.0336	2.0	22.401033639907837
2	763.21014	733.0214	2431.6028	1.8e-39	414.125	344.6339	1316.0	18.0	30.477121	18.6397	235.05424	6.5534716	30000	0.0	607.15247	-0.03224505	-350.33176	1.3678098	3.296463	0.2662	64.0	34.427942514419556
3	977.76917	690.93964	2284.1633	5e-39	500.0	319.70862	1241.0	50.0	35.795864	8.08185	172.58727	12.183059	40000	2.9802322e-08	402.9137	-0.01016116	-80.85228	1.0811608	0.0061459644	0.1102	79.0	46.79870271682739
4	1065.2792	869.7771	2458.742	1.5e-39	563.4667	452.16928	1440.0	15.0	38.28988	4.8872676	47.688763	1.0338318	50000	-4.4703484e-08	249.93399	-0.004359234	-15.621302	0.7739277	0.004290412	0.029399998	79.0	59.45807504653931
5	667.39105	619.73987	2410.4133	1.2490191e-14	349.79166	303.4021	1028.0	19.0	36.92448	3.7658138	75.594574	15.379119	60000	0.0	416.78137	-0.004454188	-21.37011	0.77595484	0.008814988	0.0332	79.0	71.89378023147583
6	660.0086	445.79886	1597.0232	3.0949419e-34	340.52173	237.01144	1000.0	18.0	34.546265	4.0187697	42.352837	5.75734	70000	2.2351742e-08	206.28206	-0.011457473	-10.824406	0.89463615	0.043698978	0.083299994	79.0	84.76003789901733
7	809.6214	594.7813	2256.8274	6.8580675e-07	476.1905	355.02457	1440.0	5.0	36.56246	3.9697013	45.66532	17.115501	80000	-1.4901161e-08	195.877	-0.014565202	-21.90279	1.0895936	0.095413975	0.12979999	3.0	95.50036001205444
8	940.63684	761.55066	2491.832	92.01393	535.5625	426.51376	1440.0	129.0	32.07831	3.7923093	39.757343	14.876627	90000	7.450581e-09	181.06503	0.004161395	-13.608738	1.1864879	0.11013069	0.4398	2.0	106.03303790092468
9	650.63947	468.5165	1773.9873	26.460585	356.6087	222.73824	823.0	110.0	34.4188	3.67953	78.35809	17.057396	100000	1.4901161e-08	242.26317	-0.0091055855	-9.251282	1.271724	0.009691346	0.053600002	79.0	118.81233215332031
10	879.5887	653.81006	2297.4463	53.874565	477.88235	347.78152	1135.0	18.0	35.438965	3.576042	55.69963	16.632343	110000	7.450581e-09	182.10083	-0.011482194	-11.810501	1.204713	0.034164935	0.0763	79.0	131.26830077171326
11	790.7707	566.27594	2283.189	5.064243e-09	416.66666	316.70724	1119.0	51.0	37.101963	3.3187249	42.282234	17.092766	120000	1.4901161e-08	218.85762	-0.009307172	-6.6910286	1.1478864	0.03791724	0.062400002	79.0	143.92085576057434
12	852.0831	882.7906	3099.655	1.2819071e-10	436.90475	401.9366	1440.0	39.0	36.642242	3.6893415	57.309574	9.841309	130000	7.450581e-09	201.20778	-0.009373242	-15.042648	1.219013	0.012939276	0.033299997	79.0	156.9526584148407
13	767.0275	773.4873	3006.9358	1.0177037e-15	404.1	428.51605	1440.0	12.0	36.651062	4.3504744	41.7156	16.526989	140000	0.0	172.2937	-0.0077532884	-3.2761593	1.1796736	0.07838578	0.2358	8.0	167.95089268684387
14	1059.6702	842.79596	3259.9048	1.849755e-15	515.6429	366.11252	1408.0	53.0	38.55798	2.9270084	42.102413	19.418425	150000	3.3527613e-08	187.84682	-0.0077696294	-6.095194	1.2453716	0.03634862	0.1509	79.0	180.8764922618866
15	947.7839	847.20856	3246.2747	4.0010436e-11	476.1905	400.6745	1440.0	71.0	39.19481	3.6433277	45.450222	20.355734	160000	-1.4901161e-08	208.86874	-0.0025762096	-2.9848022	1.210159	0.21695319	0.054899998	79.0	193.73935317993164
16	1609.3152	1027.2767	3345.5635	257.5008	771.36365	432.66138	1440.0	161.0	39.50638	3.3585112	43.250725	15.715717	170000	2.2351742e-08	117.74183	-0.006838668	-3.564125	1.1363946	0.01987639	0.031799998	79.0	206.23094296455383
17	1177.8927	1033.8228	3327.6228	1.8327147e-07	602.93335	473.35422	1440.0	52.0	39.81162	5.557635	50.868607	14.236049	180000	2.9802322e-08	199.6272	-0.007332895	-7.1106987	1.0655591	0.016372573	0.0287	79.0	218.43308877944946
18	1069.914	897.25885	2607.4978	9.621316e-11	512.1429	445.27725	1440.0	52.0	38.9032	3.6158664	43.014557	15.7468	190000	-7.450581e-09	160.00754	-0.0040772837	-4.119272	0.972046	0.0035305717	0.0112	79.0	230.88025307655334
19	772.6986	458.59256	1578.9807	8.987201	400.0	188.94273	858.0	120.0	39.18396	3.884651	43.62275	16.75021	200000	-7.450581e-09	294.56726	-0.005397804	-9.222458	0.97988695	0.018415004	0.025899999	79.0	243.5413556098938
20	1343.6858	941.85944	3019.1287	3.219201e-06	675.1818	466.70758	1440.0	26.0	38.30555	3.2082303	56.340202	17.99558	210000	-1.4901161e-08	188.45331	-0.0054729246	-4.8152084	0.9020755	0.0771608	0.171	7.0	254.34302258491516
21	993.6355	891.57886	2890.6692	1.9e-39	517.1667	437.09042	1440.0	19.0	38.169327	3.9501543	44.98002	17.562523	220000	2.2351742e-08	154.56694	-0.0066494457	-6.3865757	0.9781127	0.13546038	0.34170002	1.0	264.9645767211914
22	985.324	650.5742	2290.833	115.7294	495.125	319.5792	973.0	112.0	38.931095	2.8752155	42.407497	19.911333	230000	-3.7252903e-08	168.23477	-0.0024942178	-10.850422	0.6436736	0.19282742	0.038900003	43.0	276.63949942588806
23	1044.1558	940.5124	3120.165	5.9996394e-18	526.3158	432.18076	1440.0	43.0	39.536335	3.0414302	61.1131	22.774794	240000	-1.4901161e-08	128.63995	-0.005742781	-14.73817	0.31537536	0.010288294	0.0281	79.0	290.1773979663849
24	1157.9082	865.03436	3233.7185	8.063819e-35	580.26666	391.332	1440.0	19.0	38.433903	3.9898531	43.532	17.703754	250000	-7.450581e-09	162.97864	-0.0078376755	-15.011974	0.8154493	0.034166317	0.0383	79.0	302.9771671295166
25	1531.1846	887.76416	3245.339	457.13376	751.3	481.07132	1440.0	163.0	39.59127	3.7746227	44.645126	8.84104	260000	-1.1175871e-08	127.14469	-0.004201468	-32.475113	0.45639852	-0.0013247225	0.0218	79.0	316.2085475921631
26	925.36926	1084.5557	3257.6409	4.0728187e-07	475.94736	525.25397	1440.0	12.0	40.47014	4.5644927	71.88248	6.0118933	270000	-1.4901161e-08	188.72958	-0.005567979	-53.328243	0.1628605	0.0005329619	0.0108	79.0	329.2249221801758
27	1512.2744	904.9277	3343.5254	507.79144	714.2857	440.84454	1440.0	204.0	39.49584	2.3060868	43.40755	21.103155	280000	-7.450581e-09	95.99516	-0.0060344376	-10.889827	0.61180604	0.009653287	0.0339	79.0	341.6599690914154
28	1416.3228	918.0256	3237.2761	179.65866	687.61536	428.77185	1440.0	61.0	41.49892	1.8532059	44.26578	22.973936	290000	0.0	124.12045	-0.00278765	-3.2414856	0.20558035	0.0030094348	0.0124	79.0	354.30452966690063
29	851.66943	549.49756	1892.0312	7.5900375e-25	411.85	284.63245	997.0	44.0	40.144726	2.3600385	44.19264	23.360266	300000	0.0	135.22903	-0.0044299513	-3.0919456	0.27057022	0.004192262	0.018199999	79.0	366.82837748527527
30	1157.5123	897.8107	3014.0037	2.9958954	585.2143	450.7624	1440.0	19.0	39.098682	2.7395155	43.820004	13.48289	310000	0.0	84.21703	-0.003174005	-2.5093918	0.26320744	0.0035777944	0.0107	79.0	379.0612428188324
31	1141.4169	622.0606	2826.5813	218.2896	555.55554	311.95535	1284.0	81.0	39.453236	2.2884343	46.306652	21.838707	320000	-3.7252903e-08	84.191864	-0.003170073	-1.9917755	0.31548935	0.0053816373	0.020399999	79.0	391.35778164863586
32	1107.1276	809.0043	3221.031	4.710267e-12	556.3333	414.61368	1440.0	51.0	38.74626	3.4712875	86.27176	24.743181	330000	0.0	176.07787	-0.013110802	-32.546993	0.2435891	0.035962805	0.0324	79.0	403.85118412971497
33	1007.5245	813.24396	3238.6377	1.9e-39	496.26666	405.80103	1440.0	19.0	38.816074	4.481426	43.843197	-0.019106805	340000	-3.7252903e-08	174.44774	-0.0045988634	-17.707104	0.4003091	0.0022479529	0.013800001	79.0	416.007648229599
34	1069.7273	883.94556	3151.887	2.8051023e-08	540.4706	406.01944	1440.0	51.0	38.633118	4.1773148	45.08231	12.124648	350000	3.7252903e-08	122.625885	-0.008732703	-10.553956	0.7890637	0.031970404	0.044600002	79.0	429.1035792827606
35	1017.7981	575.4724	1986.0758	155.46436	526.3158	270.26303	964.0	52.0	38.452087	4.0028143	64.20867	16.134073	360000	2.2351742e-08	142.44226	-0.01624154	-18.942057	0.86002576	0.04095545	0.042400002	79.0	442.4866807460785
36	852.0125	765.6387	2665.2285	6.0851556e-29	451.6111	359.21274	1193.0	10.0	37.712418	2.9879773	62.009605	8.197379	370000	1.4901161e-08	180.43837	-0.0040769055	-14.647224	0.18983021	0.0035740351	0.010600001	79.0	455.1547939777374
37	772.5619	608.04443	2455.7788	1.2664209e-30	393.4762	314.7939	1440.0	19.0	37.320877	4.6135383	42.312836	1.1720834	380000	-1.4901161e-08	125.016495	-0.006185878	-8.694962	0.3986688	0.008358937	0.0309	79.0	467.9871447086334
38	724.949	921.6032	3248.4348	1.9e-39	377.36365	436.35095	1440.0	19.0	38.422356	3.3755283	43.723	8.668732	390000	-7.450581e-09	149.02765	-0.005368542	-5.7030544	0.4290744	0.0011725136	0.0131	79.0	480.41339230537415
39	847.7696	736.07776	3161.6438	155.54214	434.78262	360.53848	1440.0	52.0	37.63729	4.6397266	53.59655	1.7341788	400000	-7.450581e-09	151.77808	0.008400794	-16.740782	0.64715564	0.077683985	0.233	6.0	491.64480423927307
40	974.0278	748.4842	3210.1873	106.62676	474.3889	358.22372	1440.0	51.0	38.454967	2.9747949	44.017906	14.432436	410000	-1.4901161e-08	105.194626	-0.007170614	-12.731567	0.47798598	0.014515896	0.028700002	79.0	504.51683020591736
41	917.1897	851.95856	3024.8862	29.945671	449.625	441.45157	1440.0	11.0	39.214954	2.7782633	43.205055	19.923729	420000	1.4901161e-08	50.673523	-0.0072848573	-3.2258224	0.72013324	0.012826579	0.0372	79.0	517.4810154438019
42	700.66675	492.6781	2104.099	70.845406	344.5	214.96677	1016.0	72.0	37.986813	3.2401655	43.101685	2.6515362	430000	7.450581e-09	198.54338	-0.0030942895	-6.1918106	0.26653737	-0.0005628646	0.0054	79.0	529.8948304653168
43	1192.7344	630.21277	2106.223	204.2406	588.2353	322.734	1184.0	84.0	38.884815	2.6099555	44.13231	13.448946	440000	0.0	82.46628	-0.004682971	-3.783392	0.37475172	0.008270037	0.0801	79.0	542.1912157535553
44	904.5038	860.3933	3049.4922	1.9e-39	443.4737	424.5145	1440.0	18.0	39.155327	3.688404	83.403	7.3140554	450000	7.450581e-09	112.71654	-0.013823634	-18.149208	0.271621	0.0800641	0.0313	37.0	553.5622036457062
45	939.95703	911.2244	3229.1626	48.217033	482.21054	395.29477	1440.0	37.0	39.767933	3.3166122	45.326427	14.409544	460000	7.450581e-09	141.70781	-0.0025073178	-12.093388	0.45533878	0.0055183773	0.0104	79.0	565.9722120761871
46	1088.0222	650.50665	2080.8098	178.36974	534.6667	302.1778	942.0	143.0	38.83512	3.4954565	41.817097	8.929487	470000	-7.450581e-09	84.789665	-0.008354574	-4.2714806	0.67503226	0.032043584	0.0561	79.0	578.3879613876343
47	938.2047	746.2148	3121.2437	7e-39	500.0	339.7736	1440.0	50.0	37.699177	4.4875703	43.45026	2.909001	480000	-2.9802322e-08	213.52713	-0.003012564	-9.607548	0.49636024	-0.00075502647	0.007999999	79.0	591.0980508327484
48	1032.2574	793.89655	3176.1294	4.3342252e-26	502.4	353.8681	1440.0	19.0	38.79558	4.087975	43.332146	4.522189	490000	-1.4901161e-08	95.82448	-0.00927796	-6.7016068	0.64091545	0.03909745	0.070099995	79.0	603.4543147087097
49	826.8383	878.00433	3179.7048	6.805349e-33	403.65216	441.78796	1440.0	17.0	39.297073	2.942023	42.7239	21.565624	500000	1.4901161e-08	117.72637	-0.0079922415	-4.653471	0.67601395	0.03581395	0.0468	79.0	615.9208734035492
50	901.562	738.9802	3108.7715	5.1727e-14	450.35	336.54306	1440.0	99.0	39.705673	3.3868787	44.482475	13.734327	510000	0.0	136.7124	-0.006966886	-17.381021	0.6128436	0.016028697	0.036	79.0	628.5567631721497
51	796.3217	731.8172	2758.216	1.3636598e-30	416.66666	389.7441	1440.0	19.0	37.318188	4.8220825	53.904465	17.452492	520000	0.0	149.15651	-0.008160725	-15.532938	0.71260697	0.027384805	0.048199996	79.0	641.1766133308411
52	1173.1154	934.4012	3057.7307	1.5434845e-23	606.46155	494.7916	1440.0	18.0	37.812107	2.9696982	41.55935	12.411113	530000	7.450581e-09	86.129265	-0.009851126	-2.268261	0.6126536	0.02979	0.0335	79.0	654.4547135829926
53	758.91675	730.1211	2781.0137	1.1e-39	376.16666	342.3278	1440.0	11.0	37.142525	3.8934321	42.71062	8.837172	540000	-1.4901161e-08	179.40524	-0.0073943045	-7.877846	0.5813935	0.015795844	0.0568	79.0	667.7038714885712
54	611.04486	527.3027	1708.074	1.4026758e-18	323.30435	300.5115	1189.0	8.0	38.262573	4.458334	44.212376	18.445942	550000	2.2351742e-08	213.04489	-0.0057108924	-11.335247	0.62208587	0.034485437	0.0312	79.0	680.5167014598846
55	996.45	851.24316	3020.8977	4.807856e-17	500.0	411.50104	1440.0	11.0	37.969013	3.867416	44.8389	8.962082	560000	-1.4901161e-08	165.59825	-0.0076432675	-13.679552	0.5446048	0.03803672	0.1193	79.0	693.2685856819153
56	892.25287	664.8869	2274.196	2.9958954	433.0	344.89655	1440.0	19.0	40.038452	2.779752	43.932785	10.483358	570000	7.450581e-09	141.52956	-0.006066488	-3.5489845	0.48272473	0.009288591	0.0183	79.0	705.9929583072662
57	759.1136	597.1952	2087.9883	1.9e-39	381.625	274.6006	1217.0	19.0	38.657784	4.7187023	45.13466	6.0984483	580000	-2.2351742e-08	204.99696	-0.00817287	-19.760113	0.46199608	0.035958674	0.0222	79.0	718.7498376369476
58	967.7785	909.6766	3270.807	35.89089	496.8	404.90134	1422.0	19.0	38.88178	3.5556982	43.184364	10.879525	590000	1.4901161e-08	159.76447	-0.007514935	-1.2439938	0.5903629	-0.02455964	0.0167	79.0	731.5753223896027
59	846.12604	730.719	3278.8374	23.979105	434.78262	326.23557	1440.0	51.0	38.173958	4.8199806	44.100765	9.642835	600000	0.0	210.22421	-0.005733788	-21.648531	0.6000196	0.011822494	0.0335	79.0	744.3382422924042
60	658.09296	632.98676	2533.6223	1.9e-39	329.72415	278.32144	1120.0	19.0	39.2099	3.9518936	73.083595	17.43658	610000	-1.4901161e-08	171.4292	-0.028984308	-27.990011	0.6383101	0.033854403	0.0858	79.0	757.1733291149139
61	1631.8269	1038.2056	2920.4192	129.3162	780.4	485.7183	1440.0	112.0	40.460808	2.4525023	43.435844	20.340979	620000	0.0	72.67366	-0.0066339355	-7.7609053	0.6894731	0.07989906	0.0793	2.0	767.974928855896
62	612.3942	565.69006	1944.0336	3.9874484e-21	300.7857	256.15848	1013.0	19.0	42.02393	3.6218731	199.31949	30.677155	630000	-3.7252903e-09	265.86887	-0.0050104	-47.594128	0.44079334	0.0018229105	0.032300003	79.0	780.5729703903198
63	893.3653	634.67566	2166.6545	5.346858e-19	454.54544	371.3032	1440.0	53.0	38.182236	4.3912325	53.26515	-57.392986	640000	1.4901161e-08	197.90793	-0.0043627173	-11.543819	0.49599642	0.013607634	0.020100001	79.0	793.2263507843018
