Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	822.71204	822.0228	2482.4944	1.9e-39	408.0625	389.1045	1123.0	18.0	11301.493	129136.78	2545233.2	-0.12737386	10000	-2.2351742e-08	16804000000.0	-0.0026594102	-16803942000.0	1.7196361	0.076602325	0.23	41.0	11.923991680145264
1	1374.1057	783.2143	2824.178	277.94095	669.46155	414.73526	1440.0	169.0	11.914777	12.742672	240.34773	1.8346028	20000	2.9802322e-08	1206.0206	-0.011016126	-798.9114	1.7147298	0.26128963	0.1066	79.0	24.273691654205322
2	1491.5045	1123.7622	3191.1401	7.747555e-37	683.1667	522.05664	1440.0	52.0	29.32324	6.9646935	89.50939	11.75752	30000	-1.4901161e-08	363.30472	-0.008246558	-223.805	1.6246583	0.0024957582	0.0908	79.0	36.60802602767944
3	936.6465	522.5488	2262.1074	333.44568	555.55554	380.60132	1440.0	112.0	39.28111	5.835966	52.732212	1.2858806	40000	3.7252903e-08	438.53915	-0.007271573	-116.15742	1.5851738	0.00019820454	0.1097	79.0	49.02444338798523
4	782.7497	542.94104	2919.9407	95.69337	400.08334	276.71344	1297.0	32.0	32.61063	6.468761	49.30578	1.3744671	50000	1.4901161e-08	271.13837	-0.001220677	-25.750175	1.6563385	0.3892378	0.036199998	44.0	60.504629611968994
5	791.7031	863.33887	2904.7393	9.8216465e-34	468.58823	447.83572	1440.0	71.0	35.93292	6.4887104	52.275658	1.385435	60000	3.7252903e-09	282.53528	-0.012905588	-24.684818	1.5856738	-0.0036906346	0.1708	79.0	73.02606439590454
6	919.64526	798.08154	2644.4094	47.929337	469.06668	437.10297	1440.0	16.0	36.77518	9.109589	55.351295	2.6841757	70000	0.0	222.63817	-0.012067005	-15.805508	1.5450406	0.0251705	0.12820001	79.0	85.33467864990234
7	1198.5857	862.05444	2501.5776	2e-39	625.0	447.29562	1440.0	19.0	37.59658	7.4241977	51.751488	6.7977233	80000	1.4901161e-08	186.45459	-0.0130670685	-6.7891464	1.4666994	0.032170564	0.1768	79.0	97.82741951942444
8	863.9209	505.14816	1650.8623	89.70195	431.7	237.69458	843.0	131.0	35.784912	7.5960493	51.728775	12.05086	90000	1.4901161e-08	264.79724	-0.0057587326	-27.036915	1.4556695	0.2772612	0.0462	41.0	109.43010783195496
9	1300.0118	1011.8474	2995.5127	273.05994	660.46155	500.7288	1440.0	129.0	39.103153	9.380665	57.092606	4.3202085	100000	7.450581e-09	211.50157	-0.018686764	-27.194397	1.4329193	0.051276904	0.20519999	79.0	121.77568769454956
10	1266.4329	854.72705	3141.8738	334.84412	605.75	439.319	1440.0	113.0	37.988686	6.1710577	49.859207	17.389765	110000	0.0	200.74887	-0.005126983	-3.4832497	1.3792539	13.192837	0.036399998	12.0	132.72835278511047
11	582.46576	451.05432	1588.9971	4.6655323e-13	333.33334	295.4556	1308.0	8.0	37.549625	7.403826	50.83233	17.12784	120000	-2.9802322e-08	391.69022	-0.006851131	-64.14402	1.2709925	1.1855112	0.0642	16.0	144.04401206970215
12	892.29974	668.01135	2398.598	1e-38	484.42105	385.13834	1440.0	51.0	33.123215	11.581638	46.135166	1.2384813	130000	0.0	265.49866	-0.004540596	-56.98685	1.3926253	10.03132	0.0955	4.0	154.7623324394226
13	1135.6465	893.4892	2993.6802	14.593355	623.9091	436.66595	1440.0	141.0	35.211006	8.625367	44.824787	11.688347	140000	0.0	236.81113	-0.010379833	-24.744568	1.2294588	0.026010716	0.1296	79.0	167.44628763198853
14	934.9665	893.01605	2889.301	2.6707855e-11	453.05554	480.62244	1440.0	25.0	199.70132	9262.814	587081.75	14.010873	150000	-1.8626451e-09	85828456.0	-0.0004288104	-85828296.0	1.1540123	-0.0031832978	0.2613	79.0	179.96249866485596
15	1229.9113	925.17487	3268.878	4.741314e-15	588.2353	306.16113	1328.0	141.0	35.448627	10.598567	50.089554	0.5531692	160000	-1.4901161e-08	439.86743	-0.0031235479	-70.35033	0.45321193	0.0014759033	0.030199999	79.0	192.1924045085907
16	1618.1831	1284.7422	3877.161	5.2e-39	733.25	523.83875	1440.0	52.0	40.916435	8.184102	50.335808	7.1854568	170000	0.0	407.52487	-0.0021350067	-24.767963	0.34723926	0.0009528435	0.0175	79.0	204.44744229316711
17	754.8928	844.1472	2531.7834	7e-39	351.86957	248.68494	903.0	19.0	42.77281	10.632782	60.356842	8.869615	180000	0.0	594.0759	-0.0022831522	-40.00097	0.33364928	0.0017897426	0.0162	79.0	217.06827020645142
18	851.34534	687.94617	2496.0566	3.7243746e-20	419.2381	223.04279	937.0	51.0	41.504883	8.818602	51.717445	5.6056046	190000	2.9802322e-08	576.18945	-0.0020956332	-20.520607	0.4648326	0.0018408454	0.0232	79.0	229.58800411224365
19	883.20233	725.26227	2260.882	1.8e-39	400.0	321.13574	1116.0	18.0	-250.87234	14695.68	49.53189	-809171.9	200000	-1.8626451e-09	216047740.0	-0.00015262631	-216047360.0	0.5306479	0.009269793	0.117699996	79.0	241.6105341911316
20	574.24396	547.0713	2229.6353	1.9e-39	296.0	287.97873	1091.0	19.0	41.60096	8.037518	50.246876	5.7201753	210000	-1.4901161e-08	392.75024	-0.005846888	-44.676895	0.8719072	0.013550371	0.0559	79.0	253.72181630134583
21	1082.6808	949.536	3218.5388	2.7671262e-05	560.2143	422.24234	1440.0	19.0	37.261375	7.555911	47.28151	9.958933	220000	2.9802322e-08	346.81952	-0.0025356188	-10.210945	0.88228273	0.5443148	0.014400001	27.0	264.719767332077
22	1254.7697	732.5626	3184.3613	2.5196014e-05	728.0769	393.5471	1440.0	201.0	29.955946	9.230686	50.977623	11.2546215	230000	-1.4901161e-08	460.1231	-0.003600195	-28.04158	0.86447513	0.0047330908	0.0324	79.0	276.8553204536438
23	882.83997	649.5431	1893.5808	1.9e-39	476.1905	322.8499	1127.0	15.0	35.02768	7.868289	51.27903	15.182511	240000	1.4901161e-08	305.60822	-0.007485751	-17.541481	1.0067761	0.009703531	0.0899	79.0	289.1797525882721
24	619.0184	550.0407	2278.9202	9.7e-39	339.82608	275.20596	1059.0	51.0	33.13471	8.628518	49.206314	15.367202	250000	1.4901161e-08	453.93982	-0.0037811436	-15.2571335	0.98252904	0.0061136885	0.0521	79.0	301.33250284194946
25	1069.6228	794.6702	2958.3286	1.1870675e-06	552.625	444.21274	1440.0	52.0	36.43894	5.55776	58.727245	21.314123	260000	-4.4703484e-08	325.33032	-0.0041432222	-23.275185	0.86482143	0.0009440528	0.0348	79.0	313.5194261074066
26	785.1216	898.6988	3185.7285	1.9e-39	391.35294	399.88794	1440.0	19.0	39.84276	5.8192167	53.3285	19.21689	270000	-1.4901161e-08	222.21518	-0.0070686736	-37.91146	0.95953506	0.00927856	0.0711	79.0	325.66441106796265
27	730.29755	686.1409	2436.4172	1.9e-39	416.66666	350.96793	1124.0	19.0	39.616833	8.375572	52.32327	11.28243	280000	-1.4901161e-08	421.133	-0.005216943	-53.49202	1.0114009	0.0061153397	0.034	79.0	337.8175747394562
28	1191.9773	974.50824	3290.9624	6.3348374e-08	592.125	423.4762	1440.0	142.0	33.03063	5.7267323	44.90569	18.923677	290000	-2.9802322e-08	359.68893	-0.0041684806	-58.289177	0.97006845	0.0038331575	0.021899998	79.0	349.9955666065216
29	1104.0887	675.3199	2404.8271	15.541393	641.8333	360.9344	1440.0	194.0	39.990135	6.055977	49.372967	9.8871565	300000	-1.4901161e-08	288.48315	-0.021696813	-34.861813	1.1154637	-0.003383913	0.23519999	79.0	362.1084797382355
30	835.2102	666.6934	1867.6256	1.02e-38	532.6667	382.83286	1440.0	53.0	32.558765	11.942386	48.17728	1.4830382	310000	7.450581e-09	294.8114	-0.016767416	-26.762394	1.1165011	0.014850606	0.1261	79.0	374.2730281352997
31	915.786	869.4295	3089.6055	1.04912444e-13	476.1905	446.60226	1440.0	19.0	33.988342	7.855968	45.827267	1.4406441	320000	-7.450581e-09	197.58975	-0.008991953	-17.600796	1.0896454	0.020318534	0.1088	79.0	386.27336740493774
32	1061.0239	1156.6587	3388.5405	1.8e-39	558.73334	540.3988	1440.0	11.0	36.790596	8.36123	49.26105	1.4741131	330000	1.4901161e-08	221.25464	-0.008726206	-13.134354	1.0637274	0.010638963	0.0701	79.0	398.4736804962158
33	945.1939	614.1726	1853.4697	3.3460867e-13	554.38464	354.83572	1440.0	52.0	33.98656	13.376853	51.798294	1.5132967	340000	-7.450581e-09	317.53912	-0.01397964	-37.86473	1.1749301	6.9616595e-05	0.1141	79.0	410.55685544013977
34	1047.901	1002.48895	3083.1855	4.468313e-18	583.625	474.73752	1440.0	54.0	34.52613	12.099548	54.00386	1.5021679	350000	4.4703484e-08	337.55615	-0.010252319	-61.49614	1.0635378	0.02847813	0.1058	79.0	422.7597122192383
35	1027.2196	1063.1659	3433.9463	1.9e-39	555.55554	482.49283	1440.0	19.0	35.124554	7.125977	59.691708	1.4604175	360000	2.9802322e-08	374.86105	-0.008429322	-22.907845	0.73037136	0.017568538	0.0537	79.0	434.78563022613525
36	942.23584	927.12616	2997.224	1.1240717e-06	555.94116	455.16867	1440.0	29.0	34.8439	9.072031	46.043446	1.4878104	370000	0.0	282.19525	-0.019354057	-15.155148	0.904775	-0.017060926	0.1313	79.0	446.88356852531433
37	829.8803	621.9069	2478.769	24.071169	561.26666	361.8288	1440.0	162.0	29.637493	12.497103	51.411835	1.4829632	380000	0.0	358.40375	-0.011762014	-27.292099	1.0597665	0.011755812	0.0893	79.0	459.01722288131714
38	572.67206	635.29956	2470.6755	3.089125e-14	432.10526	303.2749	1094.0	54.0	29.965694	13.771609	46.259308	1.5004905	390000	-2.2351742e-08	287.59854	-0.01018596	-33.21167	1.0355295	0.009816486	0.058800004	79.0	471.08080887794495
39	1071.032	818.55164	2592.1785	5.4e-39	625.0	488.59683	1440.0	44.0	32.24438	13.523639	52.18809	1.4705261	400000	0.0	429.18304	-0.011388909	-21.893333	0.7957171	0.033186063	0.114	79.0	483.221563577652
40	707.3654	675.24457	2104.6216	8.4538884e-17	381.7619	335.10413	1278.0	5.0	33.598442	10.737029	49.378952	1.4828931	410000	-4.4703484e-08	474.58246	-0.006428102	-40.94831	0.7739173	0.001968146	0.032899998	79.0	495.4098153114319
41	1322.1584	1169.2488	3054.4053	1.3151258e-08	670.5	518.94324	1440.0	74.0	37.027905	6.594532	44.647224	3.5342338	420000	0.0	299.85297	0.008253425	-30.409693	0.6265465	0.09391983	0.2814	8.0	505.82821130752563
42	705.88385	632.31506	2510.2249	2.9674714e-11	346.3684	342.42038	1440.0	13.0	38.5363	6.7230678	46.01441	5.02021	430000	1.4901161e-08	361.38318	0.033934344	-27.535622	0.5267137	0.2310218	0.5241	1.0	516.1863238811493
43	574.2448	523.4692	1930.777	5.2e-39	357.14285	259.74722	1049.0	52.0	38.05359	9.041195	54.452946	3.1499157	440000	0.0	619.0911	0.048216715	-91.93513	0.5519099	0.11892581	0.4171	1.0	526.509726524353
44	1278.7786	966.9457	3400.2915	140.7139	666.3077	357.73547	1440.0	143.0	35.758774	10.887656	49.07495	1.6138746	450000	1.4901161e-08	226.67133	0.0381847	-23.853884	0.7045717	0.2640044	0.5352	1.0	536.8933117389679
45	1074.5298	803.3291	2891.9746	1.8e-39	529.94446	366.87045	1393.0	18.0	39.81439	11.350182	49.46684	1.6184164	460000	-1.4901161e-08	176.88013	0.03139987	-21.621098	0.6091572	0.62351173	0.59000003	1.0	547.2531223297119
