Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	907.1569	932.3755	2709.4648	4.0190181e-07	597.9286	355.89996	1332.0	114.0	1079.0374	13306.987	183262.38	-0.12737386	10000	1.1175871e-08	178237630.0	-0.016680913	-178236640.0	1.7446588	31.633427	0.146	37.0	11.216495752334595
1	819.7605	1069.223	3207.9019	1.9e-39	561.125	525.216	1440.0	19.0	10.157312	10.864994	84.05693	1.3238893	20000	0.0	1007.8673	-0.011265961	-557.505	1.6341567	0.0052896296	0.059	79.0	23.3231201171875
2	955.0605	999.05426	2993.0845	1.9e-39	630.9231	375.48172	1440.0	19.0	709289.5	4160280.0	57885184.0	8.271733	30000	2.2351742e-08	6152213500000.0	-0.003221508	-4583528600000.0	1.4491389	0.06614952	0.2348	79.0	35.47500705718994
3	476.72833	546.46735	1743.1033	1.9e-39	434.78262	357.17395	1153.0	10.0	1524183.2	7030743.0	76467100.0	0.620379	40000	3.3527613e-08	51754490000000.0	-0.0007868394	-51754490000000.0	1.5230539	0.0025084466	0.0012	79.0	47.62215518951416
4	456.8831	468.55444	1532.1556	1.9e-39	371.1154	239.92024	953.0	19.0	0.36590493	0.520429	10.119894	0.33744755	50000	8.940697e-08	1038.3607	-0.0022333772	-27.65284	1.7799306	0.009206652	0.0008	79.0	59.858768463134766
5	325.59494	384.90143	1189.0128	5e-39	471.7857	389.4359	1440.0	50.0	0.9911578	0.8217719	22.340187	0.95661896	60000	-5.9604645e-08	653.8325	-0.005794095	-41.058205	1.7553662	6.0530612e-05	0.0827	79.0	72.0583484172821
6	687.01904	660.9449	1948.1733	6.3260377e-29	561.41174	340.16537	1369.0	111.0	2.5398023	1.1962571	29.76469	2.4852092	70000	-7.4505806e-08	860.00244	-0.0024316795	-56.616676	1.7333239	0.101387225	0.0016000001	16.0	82.78758573532104
7	531.6684	471.5664	1340.4104	1.9e-39	434.78262	324.71365	1260.0	19.0	3.9979796	1.1324033	28.424599	3.9439192	80000	1.4901161e-08	854.9538	-0.0020875316	-60.071495	1.7250197	0.003979568	0.0019	79.0	94.99466967582703
8	543.4664	443.74866	1371.6359	5.3858167e-09	422.61905	249.41388	1005.0	143.0	19.329884	974.0922	77567.59	5.609917	90000	-2.3283064e-10	949294.1	-2.7922913e-05	-948566.2	1.6897292	7.7137345e-05	0.0	79.0	107.22035050392151
9	703.24146	899.78503	2790.1204	3e-39	493.1111	487.15558	1440.0	18.0	7.0898376	1.2271373	34.521538	7.032637	100000	5.9604645e-08	887.48285	0.0009335838	-22.874577	1.6865816	6.322851	0.0007	7.0	117.72985172271729
10	825.5939	718.711	2223.581	5.7620266e-08	613.4286	422.59787	1434.0	23.0	7.6378407	0.9650947	30.364855	7.596858	110000	0.0	768.9389	-0.0048001595	-29.616705	1.6838956	0.011314714	0.2456	79.0	129.92396211624146
11	800.67395	823.4791	2073.638	6.400484e-06	666.6667	445.19342	1440.0	25.0	235.83936	22733.082	2273430.2	8.472	120000	-4.656613e-10	516830050.0	-2.5375048e-05	-516825630.0	1.6537154	0.0013548563	0.0	79.0	142.11651349067688
12	732.0315	843.5139	2404.8645	1.503818e-07	621.61536	482.9892	1440.0	113.0	8.645074	81.527725	5075.239	7.202875	130000	7.450581e-09	7277.994	-0.003873554	-6592.8853	1.6616244	0.23507595	0.0014000001	67.0	154.09658885002136
13	535.18695	383.76794	1176.4722	3.0414975e-07	526.7857	290.75153	1243.0	51.0	29.658516	84.7133	1046.4967	7.5590267	140000	0.0	8428.038	-0.004429899	6094.4023	1.4878235	0.00624757	0.48720002	79.0	166.35084986686707
14	831.70935	776.15894	2168.0845	6.8338477e-06	764.7	503.5224	1440.0	144.0	12.883469	21.15653	208.3717	7.6537266	150000	0.0	931.26306	-0.005436243	-359.86603	1.4148667	-0.0008679186	0.052599996	79.0	178.54676914215088
