episode,steps,actions,episode_reward
1,207,207,315.24035903491085
2,793,662,693.2547681979697
3,208,185,189.55783990916365
4,452,416,632.1105558026235
5,340,334,543.4812144212583
6,229,229,415.14100581784874
7,569,538,771.8690519349204
8,202,197,318.3250753901295
9,250,250,437.2357200800807
10,452,416,634.3183376712483
11,298,244,244.32065509735887
12,703,581,610.0077768659088
13,297,241,345.3164270902721
14,704,531,726.6750235949021
15,207,207,364.2693742332996
16,89,88,155.4048784483863
17,480,442,730.4185465586074
18,452,404,601.7216594321933
19,68,59,54.39684909488922
20,933,766,827.7126398163783
21,67,53,44.142061634516615
22,1000,842,967.6425965163169
23,146,117,175.4701194606931
24,569,528,770.2915474615803
25,207,207,374.64065440009614
26,78,48,109.20684943466478
27,374,355,627.2390710478146
28,626,511,505.6267558555492
29,375,303,259.8865115207529
30,452,452,859.1829556226047
31,173,137,113.06895781200565
32,1000,831,965.8584221176785
33,40,33,31.676188370998258
34,960,776,844.4134652576557
35,41,34,47.192052776214304
36,569,497,678.2722960941641
37,390,320,334.52985193247144
38,611,481,625.1582065678907
39,389,341,366.2387687981531
40,824,704,790.8900778532708
41,176,149,242.10035499911754
42,276,256,472.0653309264999
43,724,592,570.7249323808932
44,489,400,406.38261363140276
45,207,207,373.7812097091438
46,304,250,252.05602867262866
47,697,562,585.3400135076537
48,303,265,365.99426110591173
49,516,483,736.782822271627
50,484,412,442.39832807422704
