episode,steps,actions,episode_reward
1,452,364,133.36557522430473
2,548,441,152.35719976467726
3,271,218,148.52091870727784
4,569,461,216.55817346556344
5,160,131,61.10480651168858
6,409,330,179.01033882742774
7,207,171,51.901357173172585
8,384,309,144.91943543462978
9,68,56,46.79345956374189
10,932,746,269.2868484649058
11,281,225,177.0715636750302
12,207,174,54.717299943009465
13,512,411,317.41687691754777
14,307,256,205.5019283004616
15,693,554,314.6229879846253
16,520,416,267.2665299306244
17,480,385,296.2075586663247
18,339,273,219.1662025087151
19,661,529,254.7738654906868
20,340,273,99.14985898835751
21,452,370,177.55118408311355
22,208,168,95.56338220429537
23,361,291,151.10512627537634
24,569,459,241.2520244389428
25,70,59,28.305622786985836
26,499,401,134.2104974908998
27,501,403,160.88576740365608
28,68,57,44.35448532654802
29,819,657,236.95383931788353
30,113,91,91.73416345228314
31,456,367,187.98853302580454
32,544,435,209.62831966219835
33,669,535,276.79515550251125
34,331,268,156.64439441063382
35,238,193,112.03637013151166
36,452,367,129.0817428332746
37,310,248,211.77039708253778
38,509,410,148.08845119705907
39,491,408,384.24644439397156
40,328,272,177.15530892182807
41,452,365,43.12782227886418
42,220,178,130.61232388587695
43,349,283,69.87556947835526
44,651,540,488.7232513363362
45,350,282,129.21585576864092
46,650,521,231.57092315012108
47,563,452,229.4755793516893
48,437,352,103.68777196911344
49,564,452,233.22708221353835
50,436,352,206.40623355222678
