episode,steps,actions,episode_reward
1,1000,922,2906.6109206237447
2,213,203,819.5723724607642
3,787,713,2975.059904265088
4,426,396,1838.834193642826
5,569,500,1885.553386261802
6,5,5,29.44629225283399
7,996,934,4617.714372092761
8,4,4,21.613773254715856
9,448,447,2715.1399327911354
10,552,482,1260.4953909701173
11,661,587,1458.3590480039668
12,207,207,6.630168828871175e-07
13,132,132,499.9882479744824
14,437,414,1838.8680777073698
15,452,447,2417.525539359913
16,111,108,593.8329278741311
17,708,639,2819.3356015495947
18,292,279,1195.9718961960652
19,709,664,2874.1823993565667
20,291,291,1206.8982204422339
21,278,266,1109.4483042688012
22,722,652,2806.247423258672
23,97,95,563.6645315828005
24,207,207,1.378526549140119e-06
25,569,531,2887.5637306671597
26,127,127,1.681776287983614e-05
27,80,80,1.4108044884180475e-06
28,920,821,3388.218178794169
29,81,70,382.1568474898397
30,919,859,2903.5968180235277
31,82,68,220.55277102506656
32,918,837,3309.6129242560496
33,83,83,600.4468326282059
34,819,750,3051.6059988667475
35,98,98,672.0423053534049
36,354,348,1701.9255475536204
37,646,590,2914.9685675412156
38,173,173,1163.1082919276378
39,819,750,2874.4425206640653
40,8,8,27.69454622481546
41,993,902,3550.2947547680715
42,7,7,31.190168215637854
43,812,743,2939.1985773958177
44,188,168,570.0200236453353
45,813,753,2919.781684305324
46,187,169,867.3805994593133
47,632,601,2788.77939563289
48,368,338,1018.1021633098069
49,845,784,2778.661401132647
50,155,155,1083.914729620869
