episode,steps,actions,episode_reward
1,846,283,10134.756647014166
2,154,2,1300.3614101601147
3,1000,378,8713.708157919165
4,59,0,628.4436855930134
5,819,262,10079.131103508453
6,122,61,1227.482197899541
7,447,384,1060.1695959548604
8,553,162,6043.265734630316
9,16,4,74.43449623478006
10,452,153,4425.734592295657
11,532,398,6083.6205340869665
12,37,21,550.0368098594604
13,207,202,0.00019596817784223286
14,756,199,9552.320752479018
15,245,69,3072.617559977927
16,452,249,5173.613920938928
17,303,64,3613.0211171808933
18,698,182,8873.073617681968
19,207,34,1.9442669529074295e-07
20,95,64,1370.234549217401
21,474,265,5787.089540353739
22,207,35,3.4432916232882855e-06
23,207,105,301.79696446150814
24,112,86,1002.5085053357607
25,340,172,3517.437271544478
26,207,35,8.918673844953912e-07
27,453,44,5776.1361582029285
28,116,101,1046.3476248546594
29,884,143,10867.741241437001
30,117,47,1562.805751708021
31,569,337,5308.978376408116
32,314,187,3717.1611559376483
33,138,53,1620.489572668031
34,819,77,9328.856532659607
35,43,0,551.8540405371473
36,776,242,9153.622971633951
37,224,90,2868.3751309554827
38,777,224,10140.73931603597
39,223,56,2304.7723275066355
40,596,13,5680.249410971883
41,404,71,4607.967014167801
42,597,331,4153.731641860542
43,403,40,3600.0361484316736
44,598,328,3044.432435058759
45,402,258,4714.374707827289
46,50,46,18.439995604878927
47,452,371,3577.290001685973
48,498,207,6133.787494309005
49,71,24,1153.9145627694252
50,569,311,6229.933593722579
