episode,steps,actions,episode_reward
1,1000,965,3098.8860676669256
2,1,1,3.2631930712527
3,207,207,674.8607728744934
4,792,631,1524.8949602665746
5,209,191,558.5690086447142
6,791,611,1430.3801132934213
7,28,27,64.53536969403778
8,819,723,2036.558787198542
9,153,152,594.3727486174944
10,666,641,2080.7646174871525
11,207,207,651.451967614031
12,127,122,390.5035701946488
13,325,325,1103.0476919109756
14,675,519,892.7601241665704
15,326,258,355.172981393227
16,674,531,802.5583998467337
17,327,251,428.9659841434556
18,452,452,1395.2527745158095
19,221,173,288.72848642418757
20,992,777,1163.442636474328
21,8,8,31.210283131713375
22,444,436,1399.2276499616821
23,556,409,840.7793735928587
24,263,215,573.9861419650438
25,569,496,1382.101226753669
26,168,168,271.39264798339343
27,39,39,1.1389178863904395e-08
28,961,734,1280.9584988662139
29,252,184,396.2221892000705
30,569,562,1892.1561544023307
31,179,149,320.75146541836114
32,640,485,1082.2951067971667
33,360,299,686.2783982194504
34,459,355,842.8018114745811
35,541,520,1729.390616801683
36,278,276,903.0906197516233
37,207,207,639.6816098305192
38,515,490,1496.2514210352647
39,698,666,2060.8598240639685
40,302,302,975.3891522273678
41,150,150,393.0241632162221
42,819,787,2627.7954646647086
43,31,31,66.68788736078687
44,970,966,3190.247007568446
45,30,23,40.767778129441986
46,1000,843,2175.246560089727
47,183,158,482.94615138736765
48,817,717,2071.6819948794555
49,396,352,1056.0071246072582
50,569,568,1929.71780192186
