episode,steps,actions,episode_reward
1,108,106,558.7984917396567
2,452,411,1290.2365491701405
3,440,391,786.8212904500621
4,129,121,238.67091468888796
5,207,199,1239.1690451124794
6,207,206,1081.79041356338
7,207,199,910.366896267385
8,250,203,286.1747582012842
9,963,772,1005.6640688379108
10,37,36,169.49479503207888
11,170,168,964.2978010648761
12,830,668,888.8214329215814
13,171,137,187.84879047964236
14,207,207,889.514764328819
15,207,186,874.3493744811275
16,415,338,509.4319363350259
17,798,642,891.3344090160755
18,202,162,197.09391249773162
19,1000,802,996.5162870304787
20,11,9,11.362742879132574
