episode,steps,actions,episode_reward
1,569,508,664.5886011199098
2,207,203,365.174749026887
3,224,187,187.69140578512864
4,777,672,757.3775585867144
5,223,190,183.9347859498965
6,778,693,788.0989376436986
7,222,184,210.39355574345075
8,991,877,1057.6500557756142
9,9,9,9.928784829532681
10,443,403,510.9635650998127
11,557,506,680.9760022147841
12,444,395,442.5433800192444
13,452,411,546.1124560126566
14,104,99,152.17614387754577
15,103,102,169.266106292569
16,819,739,892.0651873489832
17,78,74,118.62821238617363
18,129,123,137.48570177176055
19,871,775,967.6599591448247
20,342,314,356.35523713832873
