episode,steps,actions,episode_reward
1,346,168,4465.458323977533
2,452,348,4234.783143631017
3,202,157,332.940420336815
4,5,3,3.7401262129578435e-08
5,569,168,5887.186468603816
6,426,73,5142.863689123338
7,143,1,1308.48253182974
8,207,29,7.894043635580362e-05
9,650,58,5474.926890731235
10,351,63,3073.809672058891
11,649,267,3666.493292760139
12,564,25,4499.568452552615
13,436,18,3429.0121290395527
14,777,22,5984.9606287574
15,223,5,2637.952170219968
16,229,103,2776.5786534190997
17,207,35,2.486965201499925e-08
18,564,190,4462.8125863704445
19,437,77,3615.570421498793
20,452,201,5002.005499862265
