time_upper,rate
2.0,0.5415
4.0,0.26
6.0,0.3736
8.0,0.3085
10.0,0.2762
12.0,0.3594
14.0,0.2129
16.0,0.3108
18.0,0.2932
20.0,0.2721
22.0,0.3013
24.0,0.1356
26.0,0.1799
28.0,0.1311
30.0,0.1598
32.0,0.4237
34.0,0.2201
36.0,0.1959
38.0,0.2024
40.0,0.1531
42.0,0.2573
44.0,0.1308
46.0,0.2
48.0,0.1749
50.0,0.1578
52.0,0.3375
54.0,0.1963
56.0,0.1888
58.0,0.1999
60.0,0.1708
62.0,0.346
64.0,0.1648
66.0,0.2284
68.0,0.1657
70.0,0.2137
72.0,0.3057
74.0,0.1672
76.0,0.1926
78.0,0.1414
80.0,0.1406
82.0,0.2768
84.0,0.1645
86.0,0.1686
88.0,0.1577
90.0,0.1443
92.0,0.3099
94.0,0.1969
96.0,0.2381
98.0,0.1624
100.0,0.1716
102.0,0.3082
104.0,0.1977
106.0,0.3957
108.0,0.4262
110.0,0.3001
112.0,0.493
114.0,0.2876
116.0,0.3292
118.0,0.2539
120.0,0.2947
122.0,0.4403
124.0,0.2527
126.0,0.3339
128.0,0.2789
130.0,0.2188
132.0,0.3779
134.0,0.3302
136.0,0.4359
138.0,0.3378
140.0,0.3388
142.0,0.4415
144.0,0.3438
146.0,0.3854
148.0,0.33
150.0,0.2988
152.0,0.4514
154.0,0.2458
156.0,0.3742
158.0,0.2873
160.0,0.284
162.0,0.3876
164.0,0.2469
166.0,0.3217
168.0,0.2849
170.0,0.2878
172.0,0.4105
174.0,0.2995
176.0,0.3346
178.0,0.3278
180.0,0.3123
182.0,0.4752
184.0,0.4123
186.0,0.3158
188.0,0.2864
190.0,0.2658
192.0,0.4262
194.0,0.3472
196.0,0.359
198.0,0.2955
200.0,0.2758
202.0,0.3413
204.0,0.2255
206.0,0.278
208.0,0.2897
210.0,0.3084
212.0,0.4222
214.0,0.2722
216.0,0.2937
218.0,0.2399
220.0,0.2535
222.0,0.4255
224.0,0.1986
226.0,0.2727
228.0,0.2179
230.0,0.2387
232.0,0.2715
234.0,0.2175
236.0,0.2621
238.0,0.2307
240.0,0.2178
242.0,0.3764
244.0,0.1585
246.0,0.2616
248.0,0.2866
250.0,0.2971
252.0,0.3907
254.0,0.2392
256.0,0.2598
258.0,0.2058
260.0,0.2436
262.0,0.3433
264.0,0.2066
266.0,0.2738
268.0,0.2192
270.0,0.2237
272.0,0.3511
274.0,0.2342
276.0,0.2945
278.0,0.2314
280.0,0.2487
282.0,0.3572
284.0,0.2497
286.0,0.2782
288.0,0.229
290.0,0.2516
292.0,0.3433
294.0,0.2398
296.0,0.3047
298.0,0.2266
300.0,0.1958
302.0,0.3673
304.0,0.2506
306.0,0.2697
308.0,0.2141
310.0,0.1947
312.0,0.293
314.0,0.2193
316.0,0.2592
318.0,0.1907
320.0,0.2027
322.0,0.302
324.0,0.2464
326.0,0.2401
328.0,0.2323
330.0,0.2076
332.0,0.3657
334.0,0.29
336.0,0.2542
338.0,0.2236
340.0,0.2213
342.0,0.3279
344.0,0.2253
346.0,0.267
348.0,0.2206
350.0,0.2279
352.0,0.3459
354.0,0.2898
356.0,0.2945
358.0,0.2812
360.0,0.2474
362.0,0.3633
364.0,0.2559
366.0,0.3701
368.0,0.3009
370.0,0.2217
372.0,0.3056
374.0,0.2295
376.0,0.2666
378.0,0.2425
380.0,0.2262
382.0,0.3161
384.0,0.1981
386.0,0.2584
388.0,0.2226
390.0,0.2035
392.0,0.3328
394.0,0.2177
396.0,0.2799
398.0,0.2385
400.0,0.2417
402.0,0.3185
404.0,0.2946
406.0,0.2612
408.0,0.2048
410.0,0.1964
412.0,0.3482
414.0,0.2398
416.0,0.2798
418.0,0.2371
420.0,0.2284
422.0,0.3419
424.0,0.2419
426.0,0.3023
428.0,0.2742
430.0,0.2619
432.0,0.4134
434.0,0.2746
436.0,0.351
438.0,0.2658
440.0,0.2594
442.0,0.3795
444.0,0.2699
446.0,0.3284
448.0,0.258
450.0,0.2243
452.0,0.3442
454.0,0.2414
456.0,0.2472
458.0,0.2045
460.0,0.2298
462.0,0.3696
464.0,0.2307
466.0,0.2886
468.0,0.2686
470.0,0.2635
472.0,0.3514
474.0,0.2622
476.0,0.2986
478.0,0.3576
480.0,0.3038
482.0,0.4256
484.0,0.2959
486.0,0.3261
488.0,0.2538
490.0,0.2282
492.0,0.3105
494.0,0.23
496.0,0.2805
498.0,0.2693
500.0,0.3275
502.0,0.3887
504.0,0.3191
506.0,0.268
508.0,0.2073
510.0,0.2328
512.0,0.3527
514.0,0.2778
516.0,0.2948
518.0,0.2946
520.0,0.3835
522.0,0.4333
524.0,0.3155
526.0,0.2819
528.0,0.2791
530.0,0.2741
532.0,0.3206
534.0,0.2398
536.0,0.2518
538.0,0.2189
540.0,0.2196
542.0,0.4271
544.0,0.3177
546.0,0.3594
548.0,0.2624
550.0,0.2688
552.0,0.4135
554.0,0.2966
556.0,0.3231
558.0,0.2749
560.0,0.2939
562.0,0.4301
564.0,0.3086
566.0,0.3329
568.0,0.3026
570.0,0.251
572.0,0.4167
574.0,0.319
576.0,0.3533
578.0,0.3402
580.0,0.3054
582.0,0.4685
584.0,0.3164
586.0,0.3637
588.0,0.3113
590.0,0.3034
592.0,0.4269
594.0,0.2808
596.0,0.3491
598.0,0.2847
600.0,0.2747
602.0,0.5548
604.0,0.5132
606.0,0.4708
608.0,0.3351
610.0,0.3011
612.0,0.4563
614.0,0.3121
616.0,0.3606
618.0,0.3445
620.0,0.291
622.0,0.411
624.0,0.3795
626.0,0.3782
628.0,0.4388
630.0,0.4329
632.0,0.5706
634.0,0.3939
636.0,0.4149
638.0,0.3183
640.0,0.2777
642.0,0.4173
644.0,0.3399
646.0,0.5074
648.0,0.4461
650.0,0.4028
652.0,0.4905
654.0,0.349
656.0,0.39
658.0,0.3907
660.0,0.3762
662.0,0.5112
664.0,0.4096
666.0,0.4323
