episode,steps,actions,episode_reward
1,239,128,201.06565323035696
2,1450,811,850.5114753573351
3,660,387,388.56301213099596
4,928,542,622.6530535723583
5,634,357,438.81746063906854
6,267,144,127.92506233299353
7,308,190,313.7839959922536
8,760,437,597.0412276754734
9,459,283,682.7712483502594
10,517,293,725.6693574222654
11,51,31,125.55318411092159
12,304,181,450.1787696965227
13,1421,805,1921.7204493071138
14,1318,689,963.7694628443684
15,684,369,950.3590026744844
16,186,105,257.2869769223416
17,307,164,497.8512556975431
18,512,272,717.9419677022188
19,189,115,197.54287042487783
20,559,297,672.9841762022094
21,1953,1128,1912.8871232406302
22,537,313,606.5414888752366
23,901,514,614.666617495858
24,385,231,435.622666740173
25,165,100,243.66561391601974
26,19,10,2.9958953367353267
27,1255,768,1032.8346227766492
28,18,13,50.88619369186739
29,664,403,865.4453291982603
30,527,316,406.89084101910896
31,435,281,400.5881658666556
32,614,372,469.12206051485396
33,774,527,808.5979722885908
34,13,8,8.680241491403907
35,958,609,824.3419310882587
36,1186,777,723.6177176365018
37,268,181,383.14581133185294
38,204,130,193.225894368037
39,257,191,205.45371609294085
40,561,372,410.01608485897754
41,534,354,481.10665883420756
42,52,39,97.08332413500601
43,52,38,133.9520272086878
44,509,349,424.9329634062283
45,19,19,56.93027912727279
46,270,194,129.03140031028948
47,201,134,67.45735714435091
48,1060,783,623.3492099716779
49,714,583,613.7626825307643
50,1657,1305,1450.0256369303427
51,273,228,291.6271899639212
52,205,152,135.00364044654765
53,666,496,499.47578070121097
54,341,266,123.58878127910745
55,233,178,65.84775991695636
56,697,587,593.1206479310745
57,966,746,686.0422614492007
58,627,501,474.36839368367765
59,132,112,209.51108601570576
60,1802,1388,1108.7810986149361
61,511,423,487.03048738081964
62,214,160,83.63375587551691
63,323,246,77.0718716234882
64,370,307,313.9529094301593
65,369,300,298.81119042653154
66,435,353,232.51091529848
67,270,204,122.39567214711731
68,1252,1024,935.125444217711
69,842,709,608.5349039277536
70,957,769,614.0138125940487
71,813,675,592.8504562858468
72,346,264,281.67286094068464
73,337,285,336.79517774593864
74,114,99,130.1966890911932
75,443,333,280.49699837410986
76,245,192,154.087053757387
77,558,472,502.05376509967095
78,965,858,1111.9636243544871
79,1064,905,952.6906091741914
80,1168,1001,1203.546690831632
81,1113,913,731.6811739204603
82,2310,1859,2026.6920297510865
83,484,408,612.725249278696
84,40,38,109.91405077045341
85,217,175,252.38793418754634
86,557,490,706.6841123856644
87,501,434,534.2176319280537
88,2388,2126,3343.381066596804
89,283,266,444.1543581260649
90,52,38,148.64530528285928
91,510,474,610.8529888267034
92,851,763,1563.5948266803555
93,1126,1047,1622.1075623013028
94,112,107,263.83138292970534
95,380,313,552.10063081324
96,1000,969,1818.8314837780129
97,192,178,490.6141873510716
98,941,888,1488.4153319303537
99,664,625,1082.8651451207973
100,226,198,487.58423815306753
101,867,798,1527.2845681307522
102,1520,1447,2520.434814253157
103,392,364,754.4427956259588
104,113,112,275.2363690533995
105,250,239,353.9398733902793
106,206,200,367.0446134387177
107,420,409,746.0222465154936
108,1270,1216,1938.6988287045342
109,756,720,1164.4182910094526
110,320,301,320.1410128577786
111,19,1,56.99794333629954
112,643,588,820.4071410536408
113,1519,1368,1802.6117069455245
114,914,859,1298.1002027468294
115,366,338,699.8111621585545
116,425,352,654.5184009232049
117,254,243,387.9470215933199
118,390,384,731.4972907368948
119,157,137,337.5557923512769
120,1114,1054,1589.1258660727806
121,305,283,368.3086043633346
122,1511,1425,2330.2103397917763
123,400,392,842.4100619561576
124,745,657,1267.5686846102276
125,556,504,624.0665885650163
126,847,730,763.326250921953
127,866,829,1366.9553544907958
128,1926,1780,2339.3038159658754
129,144,140,276.15706317876777
130,142,138,278.4963775686539
131,643,613,921.5199586765438
132,183,176,272.8845329331148
133,476,451,939.9628148993613
134,453,433,656.2922985457095
135,793,739,845.2412747918319
136,888,815,1194.9660847732202
137,659,632,1027.3289907651492
138,4527,4284,7227.103338513067
139,206,199,331.05774698102704
140,134,129,328.38691940397666
141,132,128,326.072442432624
142,583,569,1074.4108130433747
143,912,902,1644.4866853164253
144,19,14,53.83679105088519
145,35,34,104.92103439850946
146,78,78,218.0011813570062
147,303,263,281.53674967118417
148,797,729,1007.8520958847137
149,321,289,385.6198835514918
150,855,806,1180.0584275222568
151,1551,1533,2916.360057031141
152,70,56,209.7284913878885
153,1382,1365,2403.5865191598036
154,303,283,390.5765759634996
155,19,17,56.85609963184015
156,18,18,53.909856562190164
157,664,640,1115.254995629204
158,304,277,330.4523083912252
159,306,306,690.1286479945899
160,163,162,370.5531438559839
161,2239,2055,2613.301761770613
162,205,187,272.9167491808913
163,422,402,615.4795008043596
164,98,98,272.9280138829901
165,1638,1508,1932.72405494185
166,113,109,225.2686457244007
167,1337,1228,1602.3529285479533
168,516,497,767.9286554917272
169,504,466,537.8483548851681
170,1083,996,1299.4720330685773
171,1254,1137,1337.877899995075
172,805,689,598.9474308765514
173,399,359,374.8796852879654
174,1292,1229,1731.8745990585119
175,52,52,132.02036038432487
176,270,244,239.62463331056222
177,384,352,557.1414265421106
178,228,227,476.23296442686984
179,27,22,9.622400033973522
180,924,851,1045.7793987984383
181,440,382,549.2360028322995
182,205,188,260.0025839167681
183,525,494,758.4779108659621
184,19,17,53.76119594870804
185,257,248,367.1955166957145
186,115,113,186.64540647217035
187,1913,1809,2642.0657537295256
188,642,597,832.6035691235201
189,112,110,222.82171907597353
190,315,306,515.2760388393656
191,142,141,295.69278887117207
192,605,529,555.6002002514655
193,787,766,1408.4912031382369
194,764,660,652.8513939143699
195,1149,1028,1061.700012760435
196,1086,1049,1782.5480338408647
197,31,29,62.61848145202195
198,905,870,1260.0412322041725
199,761,748,1362.7704357088073
200,362,345,509.1212448896562
201,283,283,592.0275169586071
202,171,161,309.7177922054401
203,248,237,333.8563895576592
204,318,302,625.8510505421098
205,941,894,1378.375599009004
206,569,524,645.0235327007282
207,1008,891,950.360837183128
208,580,521,733.563342673126
209,184,183,319.3933240636489
210,547,510,719.1543930929269
211,312,297,545.8773815238541
212,251,219,238.49127662331887
213,1075,908,985.6748607046138
214,104,94,271.3486130328682
215,232,192,480.15246657858984
216,367,342,568.2000741034338
217,52,40,145.31256142363245
218,559,518,733.0285337088483
219,140,133,199.65360948246598
220,63,60,87.42915042942636
221,301,263,295.7026688540551
222,691,597,640.1705861611072
223,654,555,545.3648273636413
224,114,106,144.8015063212941
225,434,355,395.16374174910766
226,206,174,172.7410296049508
227,2076,1857,2368.958089190139
228,305,248,181.10273201578443
229,358,317,421.3589943699244
230,162,27,452.35306714191
231,508,408,466.04063852007494
232,447,376,323.89188481221885
233,559,471,467.8136684516218
234,670,571,601.0609009192381
235,1186,1051,1198.2588407144574
236,303,250,234.40698933492607
237,560,516,875.2584334449349
238,403,23,1143.6769989020643
239,156,132,137.2526217309516
240,1761,1482,1746.4318356415736
241,203,170,160.2976108311371
242,90,24,242.98944179855076
243,145,133,172.43231917194055
244,52,40,123.90973220558871
245,19,1,56.99794333629954
246,324,247,196.68350126541577
247,113,106,201.43680807472526
248,604,535,631.5580582594398
249,257,33,686.693000384538
250,452,378,332.21855458505485
251,1286,1056,1124.1360649118624
252,928,775,686.5194804414425
253,1104,910,965.235556276411
254,53,50,114.19600825819867
255,203,164,136.05269838697484
256,1253,1022,768.1445582720459
257,19,17,2.9958953367353267
258,104,100,246.6755665090148
259,164,135,190.7595745897187
260,253,211,200.4767461147328
261,457,368,256.2144853307888
262,393,324,267.71896573112343
263,1445,1259,1401.1447076058346
264,521,424,336.3505781820216
265,1943,1660,1621.9468607636475
266,140,125,174.10779176626951
267,532,472,548.0892116491776
268,1294,1080,1126.8802645695478
269,631,575,938.9034273333842
270,113,105,178.69138452114916
271,362,18,1022.7987341415903
272,145,132,200.48199868903643
273,1041,972,1339.1568026717912
274,1440,1264,1593.5840472534571
275,476,421,586.5527255179676
276,2454,2281,3089.1817903350898
277,472,445,750.1283825694795
278,507,467,631.317889129116
279,499,327,895.7309876290818
280,756,720,980.6617402479817
281,422,386,521.5931208103715
282,20,1,57.000050009999995
283,113,112,272.0016837819675
284,927,747,1642.7729227593777
285,305,42,776.829097474259
286,51,34,152.8808192341879
287,444,426,651.8306694706494
288,300,288,454.07626741189347
289,250,243,479.3133165103119
290,835,766,1226.0103696107224
291,357,336,403.2562322026762
292,52,6,155.98134461328084
293,113,107,264.0659925052343
294,647,549,1345.4609906292756
295,15,14,18.057435260988626
296,1157,958,2213.9655013010056
297,415,387,626.2121464392058
298,444,411,790.5500312143196
299,712,516,1431.601639226117
300,143,140,319.70876569631787
301,399,340,804.9558275906583
302,418,284,997.0804579420114
303,203,197,405.84042577892745
304,179,105,430.1418357549942
305,346,335,610.530910241972
306,1831,1654,2773.346551444883
307,863,815,1287.7386496100655
308,600,531,998.015697441827
309,114,108,249.4337993550475
310,816,676,1077.3142872956307
311,321,274,382.5859588516467
312,51,23,149.61840707453425
313,433,389,975.4835730833856
314,540,494,1060.8123363319012
315,742,685,1187.1663953412822
316,1184,1124,2108.1739998659473
317,1034,973,1751.8668168893923
318,1327,1187,1571.4921081088792
319,657,571,612.9734984771984
320,523,430,764.7906170543565
321,465,358,606.1350529628096
322,182,157,391.28002076107606
323,2652,2400,3334.4507574773706
324,746,662,980.9397959679243
325,406,222,952.6165183482091
326,82,80,130.68067394723195
327,797,754,1138.2247672635544
328,1089,928,1725.4369060161287
329,934,817,1669.5840221361723
330,1809,1584,3118.2253632980546
331,769,727,1368.225738830283
332,1846,1679,2910.059919643273
333,51,1,152.99794333629956
334,527,324,1157.5941039704867
335,1209,1105,1792.2404839904145
336,969,891,1146.8499002968788
337,697,650,888.4748063424432
338,51,1,150.00005001
339,1849,1573,2600.5891984216432
340,204,18,579.770993287103
341,1041,801,1978.560602216254
342,341,285,420.29432576219716
343,1084,861,1758.0859887591082
344,139,131,326.87007115150834
345,184,115,469.2046099668187
346,1117,1086,1826.1414199170076
347,763,697,910.3647636517616
348,1242,1096,1189.2181367542164
349,709,664,1012.1679300562132
350,143,99,330.9025050367481
351,51,45,132.89945643894237
352,385,346,407.0752657150673
353,224,205,179.2131651669353
354,719,642,752.8357665305173
355,1208,1085,1073.491303701698
356,19,1,56.99794333629954
357,554,248,1082.3606861441042
358,706,619,748.7550014714624
359,114,113,204.7306447923289
360,305,254,217.07156324417596
361,246,215,227.7122660189724
362,525,433,425.35587236443206
363,874,768,847.4087749211451
364,19,9,53.816262443831285
365,497,429,490.00504360059836
366,949,823,1363.7497748039132
367,140,137,195.1611418512513
368,142,138,258.6984052118439
369,688,491,1020.7388566438232
370,112,110,246.44475709316916
371,142,137,209.61150444861318
372,305,266,265.61935299804696
373,504,458,567.9540929928621
374,390,42,1026.4958868079698
375,304,286,397.8637596044954
376,314,262,458.24031727172957
377,1101,1010,1412.105381977201
378,1588,1383,1626.719129741629
379,3720,2597,5812.925729721085
380,144,143,289.2050339658457
381,697,617,1274.8910629459253
382,616,517,544.9715509642407
383,96,2,235.57201190022798
384,384,170,456.16476964079754
385,1076,495,1299.0802406362081
386,578,97,967.1012069684841
387,90,3,172.5293091809588
388,1395,147,2820.524866056537
389,655,243,812.5690491397654
390,1340,369,2164.3772634044044
391,19,1,56.99794333629954
392,507,342,529.6602601302586
393,784,367,774.3774994851203
394,352,238,272.0326493564788
395,1309,784,1058.1991116850372
396,114,29,223.57563522241523
397,694,482,763.0428553157279
398,1596,889,2095.1972990953805
399,1145,426,2035.5908262438181
400,549,478,642.179163267116
401,475,425,662.5496939174171
402,329,99,840.422169988872
403,414,315,702.3407649649532
404,1321,1069,1370.2826885414797
405,1442,1164,868.2970772381846
406,223,186,297.02250316751594
407,142,36,365.5989724544073
408,258,194,263.10730040466484
409,674,546,780.9866710280112
410,20,1,57.000050009999995
411,226,71,405.2922109638944
412,51,14,129.73739005627584
413,161,133,255.4749428658817
414,19,1,56.99794767336766
415,1139,968,1059.2796447791095
416,308,273,485.95701509483354
417,705,34,1878.915173641507
418,318,298,398.99556237270804
419,51,21,145.63616120857625
420,113,110,245.0968806707804
421,810,738,1032.3516192544705
422,252,139,308.64361387618396
423,642,518,689.0843047060555
424,469,401,327.77219651825135
425,19,1,54.000050009999995
426,1925,1660,1611.6095673269983
427,51,16,118.87659959205682
428,111,107,143.97899553705435
429,682,551,510.5265554347758
430,378,291,380.2848993054088
431,104,75,254.50346878361566
432,19,1,56.99794333629954
433,19,1,56.99794333629954
434,114,101,126.03664024923906
435,916,718,984.4971137388061
436,1227,908,881.3985959359395
437,19,1,56.99794333629954
438,1052,843,511.03516168323574
439,485,348,508.21570786270286
440,709,550,588.583302221409
441,398,353,573.0853280851303
442,388,341,435.03401660746346
443,273,236,266.5636690341367
444,478,417,454.50640980599945
445,202,183,229.20453714625052
446,1133,974,828.109782335179
447,400,337,422.0299339522583
448,19,1,54.000050009999995
449,570,499,544.9889678329293
450,1822,1539,1597.1273282887835
451,51,1,147.2062204713346
452,605,467,554.5346694714138
453,505,423,374.6055582089224
454,301,241,119.72002266402912
455,1712,1468,1621.8443506076678
456,1546,1375,1497.1985004441078
457,112,104,168.83780885355097
458,305,257,247.63373227823934
459,239,202,183.6727737151015
460,1243,1115,1170.9651172783647
461,1750,1267,1994.2950113077286
462,411,39,481.94333633434593
463,417,90,526.2175421651243
464,1287,114,1782.7579538413208
465,621,118,711.2380439898
466,71,71,199.35607984095208
467,918,87,1142.4633432258818
468,1163,244,1812.1004539204828
469,603,65,912.7295863501262
470,962,429,1817.9114825969543
471,475,330,1047.962122687431
472,79,77,191.57961652576986
473,484,175,809.1652981767819
474,305,10,417.0130528879761
475,161,110,334.1927732120375
476,631,347,1087.2251396418465
477,258,212,603.8057979129334
478,551,308,1067.043463381342
479,1170,186,1644.9639192785903
480,1818,1336,2838.355930552844
481,366,90,567.9731631107286
482,1063,615,1830.7830123968524
483,1107,150,1575.6194824242841
484,369,229,568.322618207275
485,428,318,640.5885455583737
486,729,311,1081.390924900569
487,273,122,504.01106218802653
488,287,106,423.3079982538663
489,239,175,566.0684003188056
490,963,621,907.088824079206
491,967,695,1335.9625947709874
492,53,53,158.88678617308577
493,1576,1185,2033.6172189023428
494,298,222,235.99316120110788
495,250,157,271.5543522362985
496,113,105,266.50807301084996
497,783,341,1095.5296629759603
498,561,410,561.9954656058238
499,2228,1835,2497.3612380242307
500,582,469,930.0659956028073
501,1017,883,1107.5385364797223
502,370,316,410.68238035524365
503,630,573,760.8730928964279
504,1076,1014,1581.8613126493017
505,892,789,1360.6596881321923
506,902,870,1293.4494841411583
507,204,201,395.3627843717175
508,114,108,285.3550567081344
509,2575,2500,3845.9867093249504
510,392,380,636.5394393552406
511,415,398,597.6216387661218
512,205,201,355.5830004767274
513,778,747,1176.8620354015402
514,143,142,251.70952798654443
515,254,253,549.7550060818936
516,337,331,545.71098623535
517,496,489,857.3662062045344
518,205,204,419.34521696030237
519,114,112,287.09038959261187
520,268,268,610.2324617969562
521,667,653,1186.2792306428917
522,163,162,343.20183497667955
523,319,293,381.5976201780093
524,2915,2798,4338.893351472572
525,1530,1506,2730.275312672251
526,354,351,764.4864922041224
527,757,721,1179.0816924712667
528,947,933,1688.506212504602
529,302,288,412.13490671410204
530,427,409,666.4427224538206
531,205,197,315.7609432632308
532,1256,1125,1320.5434456340101
533,158,143,192.47450391533474
534,583,541,697.2017496956768
535,143,143,310.95466705941834
536,415,415,920.9097664273521
537,205,192,293.7779430373909
538,557,548,902.5687033791379
539,265,263,500.1338646477751
540,138,133,222.79608828528694
541,446,401,535.7204349957836
542,374,330,362.39656406608964
543,2328,2187,2895.180372779658
544,949,817,812.2666801378575
545,1543,1357,1584.150932408775
546,112,108,190.69209646635667
547,1278,1131,1267.4167372249838
548,664,603,703.2738673004025
549,1170,1100,1554.1690441992394
550,303,269,308.47023388292826
551,1598,1501,2044.9440932944663
552,249,216,242.41720563773546
553,361,334,508.88910857773294
554,1368,1250,1581.3754820008555
555,537,497,630.2953589793977
556,973,896,1146.2706021106355
557,1065,956,1177.7355377306224
558,289,285,509.5650552728224
559,305,281,364.96734389277015
560,565,510,591.9837927271444
561,203,193,255.66552773062264
562,299,293,478.6223105215476
563,715,676,1040.6155076103078
564,14,13,24.785739807365207
565,157,157,384.8935236725057
566,393,366,523.3150084331425
567,205,192,273.58682722832293
568,1298,1238,1698.8322193005263
569,295,295,689.4612023866562
570,122,122,339.693220476684
571,411,409,873.8765736131752
572,1498,1460,2521.835602798599
573,1309,1227,1664.0811264780957
574,202,185,231.76798287577407
575,278,277,615.9961371861947
576,309,303,571.1197748845973
577,146,140,262.8741709483946
578,2130,1892,2165.8278337595975
579,692,671,1102.9112497616998
580,541,481,568.9551835297741
581,560,514,626.7823330880433
582,526,490,647.1002284217079
583,1223,1084,1301.4770112227943
584,310,249,128.66870296023305
585,936,847,961.293385953726
586,2282,2018,2276.375388258094
587,250,217,222.01105735501827
588,319,294,445.1161173494582
589,939,842,1032.6440292862414
590,2163,1853,1662.3670802153433
591,492,440,530.5502903435322
592,949,812,776.2115753260043
593,459,434,653.5224571007084
594,51,51,137.24188215914214
595,226,226,459.023297304164
596,412,382,560.25985265157
597,113,110,165.26048621375773
598,1669,1442,1325.5200336732116
599,1172,980,897.68970261114
600,1082,886,644.8271732087584
601,513,448,411.1997924696082
602,375,313,278.2670989939357
603,611,547,720.1723885895872
604,253,205,119.26850440048997
605,658,537,319.35310193413426
606,399,376,537.2881802076959
607,604,484,233.32737185231176
608,285,260,323.93639222664564
609,113,104,139.8322132709172
610,56,45,21.234923414772442
611,892,756,598.7766173278042
612,701,587,447.63881101585105
613,302,242,83.62178842741217
614,687,592,658.6523578627257
615,205,170,165.98575224669275
616,202,164,111.33277049020462
617,299,251,262.3285143929771
618,103,103,257.29143382577416
619,662,599,708.749055663025
