episode,steps,actions,episode_reward
1,1880,1110,0.06909712612009805
2,39,39,1e-08
3,646,405,0.024320604957585173
4,362,234,0.015994105160458908
5,2214,1343,0.09336320733461244
6,215,116,0.0058473689555524335
7,136,63,0.005371172594804097
8,273,132,0.009876539925448556
9,1828,830,0.07701370411584799
10,52,32,0.000754385797031415
11,2355,1087,0.09374168430154457
12,420,203,0.017224424111087724
13,1312,683,0.05080342541013916
14,393,217,0.01403126235681
15,52,29,4.000827044554124e-06
16,1168,507,0.04634798643699079
17,248,84,0.010385577323201231
18,250,110,0.009975533698088696
19,548,231,0.021829120537852107
20,114,54,0.005055484501535993
21,619,277,0.02481739175000466
22,464,195,0.01807733826034533
23,1066,469,0.0442237432356538
24,143,55,0.006199349646801913
25,304,137,0.011740405452737308
26,1799,685,0.07132771136715428
27,322,104,0.013393400907013332
28,778,313,0.03153714218621291
29,164,30,0.004409007306029328
30,253,38,0.0042641989184048715
31,114,36,0.004618345028101075
32,813,324,0.033354652520257426
33,51,11,0.00028151740141420527
34,1057,443,0.0414204987833353
35,1026,482,0.03671338381550799
36,849,339,0.03549729412925466
37,306,147,0.012224323479481589
38,224,38,0.009569429366902847
39,1546,804,0.05711928771375264
40,106,26,0.004883433813668105
41,514,257,0.0199768399279818
42,230,41,0.009843952846472886
43,837,377,0.03444878236208466
44,423,149,0.015906205405456435
45,593,196,0.023185229839284945
46,558,277,0.021860301118911043
47,336,84,0.015553795836576411
48,1180,714,0.04174264087428122
49,141,61,0.005851659801388588
50,530,254,0.01972681655601253
51,2494,1529,0.09330549350874295
52,244,130,0.00937841508139206
53,357,246,0.011376179111031299
54,1288,927,0.04154955604829894
55,419,262,0.014978264092337991
56,254,157,0.010906534683394812
57,230,166,0.009174788628934418
58,1493,1152,0.04835633028828871
59,800,607,0.029295431337338692
60,570,473,0.022259427267695427
61,47,37,0.0019335431025722992
62,618,483,0.02281711791972631
63,3559,3052,0.12726074275788324
64,1146,911,0.04030434491595941
65,1274,1005,0.047085994289310526
66,418,347,0.015353857517104684
67,53,51,0.001043260980429265
68,407,371,0.016770849681120033
69,252,190,0.009034482505981654
70,317,216,0.01320042888589545
71,527,417,0.01722545331758143
72,251,175,0.009870853873141842
73,112,83,0.004419845102487765
74,637,570,0.022664648071123155
75,342,317,0.01482195992044701
76,40,30,0.0016399478806275005
77,510,425,0.018350401378215482
78,206,159,0.007484918332273423
79,254,165,0.010231678713109576
80,320,275,0.01013942905231361
81,206,171,0.007913890356743421
82,460,352,0.017744554685488783
83,452,412,0.01781173563893508
84,121,86,0.005305528943702038
85,478,424,0.018401922185502184
86,449,403,0.01587554911299391
87,436,367,0.016220899597912543
88,303,268,0.010551321743938588
89,1180,1027,0.0460261706558949
90,406,401,0.017859311407739067
91,626,555,0.02359029438218464
92,643,604,0.024285282655248527
93,1058,967,0.043366406260001586
94,205,188,0.008483609550456147
95,1254,1233,0.05285409589520094
96,433,429,0.014858582452576008
97,99,92,0.002685527846040237
98,19,19,1e-08
99,365,358,0.015418748691421989
100,396,371,0.015947764551842648
101,306,296,0.010241285463042826
102,194,178,0.004429637297977965
103,1195,1163,0.04639216474613145
104,1172,1097,0.045383783415863466
105,144,136,0.004890302875968737
106,525,524,0.015995956927210803
107,269,227,0.010373372659573204
108,1181,1048,0.04545204692272539
109,1365,1160,0.056479120499269134
110,362,302,0.012505082519691494
111,761,630,0.030359943724589493
112,387,361,0.013735674845497408
113,234,224,0.005406997889017588
114,559,457,0.021778119714851486
115,462,431,0.017397038088909966
116,5,4,0.0001537541763088281
117,1776,1652,0.06802397327801135
118,114,105,0.002718680894290824
119,306,218,0.012165796062636632
120,194,181,0.0055037039462577505
121,589,526,0.020302850820047007
122,207,191,0.008866673714249613
123,359,256,0.013455629520649657
124,538,506,0.022639230704558685
125,52,46,5.781250587104015e-07
126,2171,1858,0.08319784654891468
127,364,294,0.013784575079073725
128,3330,2681,0.13253803089914176
129,782,703,0.029096411088254028
130,1125,1023,0.044823372744532804
131,1701,1527,0.06596930999722694
132,251,198,0.009518966890479211
133,508,415,0.020316869737009042
134,446,434,0.017031923487268077
135,771,734,0.03157522122322195
136,733,680,0.030247125346727965
137,52,51,1.5126417099350106e-06
138,364,335,0.01345015471888111
139,70,69,2.753944468628144e-07
140,831,776,0.0324252984372979
141,635,624,0.023413405797606267
142,536,514,0.0214266486648463
143,317,280,0.012889085512117846
144,373,329,0.013053423946744828
145,505,448,0.01937728394202051
146,654,529,0.024858715614191857
147,1086,972,0.04368929474825779
148,267,248,0.01098371252787973
149,1262,1122,0.051308717607538905
150,721,666,0.02719885115589118
151,462,416,0.01808566991468281
152,372,339,0.01321870415104699
153,1957,1774,0.07435235687730948
154,1626,1403,0.06629849329523936
155,132,114,0.004171111658106448
156,1165,1005,0.046372603383043776
157,165,160,0.005157207220077376
158,131,107,0.004828265648557866
159,923,742,0.0323865289486775
160,19,19,1.0000000449826318e-08
161,322,286,0.013405813478823816
162,1171,966,0.04319916545208826
163,19,19,1.0000000000004666e-08
164,487,342,0.019627898024723006
165,496,385,0.01883608660781992
166,669,585,0.026938581823556275
167,2330,1845,0.08638415448641307
168,845,679,0.03081065307743241
169,116,105,0.004634480547708237
170,301,224,0.010481694703640111
171,1438,1167,0.050930122655427484
172,864,833,0.03533761019237448
173,1037,900,0.040641641492966576
174,449,351,0.01727636531382308
175,1066,1002,0.039290138387261
176,114,98,0.003836506772081864
177,19,4,1e-08
178,582,384,0.018343277834817217
179,604,554,0.021201605191679632
180,1497,1243,0.055093361460209114
181,258,184,0.008248507217201806
