episode,steps,actions,episode_reward
1,310,182,320.52495414095614
2,1643,976,1532.948770764974
3,248,149,224.97355806446663
4,113,74,150.46770943723251
5,817,501,1391.392440188398
6,446,289,881.5245219977435
7,1258,794,2147.8117499185178
8,191,118,448.1705219277217
9,469,257,814.3565413381854
10,269,128,290.7172685109697
11,507,240,743.6671814199726
12,1116,513,1695.9074889817275
13,919,417,862.6339833510985
14,813,382,1095.8281470542952
15,71,35,212.48544792065067
16,810,435,1414.8729258568756
17,98,49,198.85753648152138
18,1077,564,1795.767274921261
19,737,367,1285.1874431389103
20,587,294,1187.178421491275
21,1774,749,2706.000049513653
22,112,61,238.40641995336426
23,417,208,640.7103870595608
24,319,139,329.95648825829113
25,1527,649,2166.31124898584
26,143,59,245.65353350053402
27,1239,435,1793.669755061096
28,460,155,870.7882991212575
29,1077,371,1477.983016755312
30,433,161,588.1683283394217
31,51,4,152.97918156437626
32,2078,786,3044.3219563493476
33,842,391,952.3375290083588
34,1004,313,1785.613122237794
35,347,86,646.6994088093089
36,302,134,258.76417400995336
37,895,335,1383.1339276475264
38,1506,622,1785.2429692436363
39,220,80,458.7308224356214
40,251,60,386.7985844694505
41,730,289,1150.6292719110588
42,1774,760,2829.365979215914
43,251,173,275.70041034739455
44,302,213,194.71342792761325
45,303,140,403.4735217802236
46,714,380,1084.2009221382282
47,1130,672,1446.899520840877
48,142,94,225.405676737526
49,1328,922,1764.8420818681561
50,399,219,524.6161080351599
51,306,220,224.0736569188458
52,52,20,132.22365561928348
53,611,404,773.6201238633006
54,318,233,223.72695642384275
55,353,279,208.61109041530705
56,676,502,830.6735850645935
57,225,172,413.0537024507814
58,461,318,492.20743595702237
59,446,336,361.9833469701518
60,605,480,433.68710632580564
61,435,335,535.4363131976912
62,372,300,517.6860914336064
63,255,198,424.13068600928204
64,316,229,425.1372289692724
65,535,438,883.4969977650329
66,19,19,53.955892599330674
67,404,343,498.95344048983014
68,1206,949,1648.3860515749004
69,369,307,639.4072083595274
70,358,327,624.3763857844233
71,651,550,773.2848759764322
72,141,97,223.8261117345354
73,802,671,1171.5115755797926
74,249,194,229.17360552124268
75,1094,920,1406.653273861043
76,1693,1417,2530.6298214965286
