episode,steps,actions,episode_reward
1,1124,677,1686.3691477273712
2,959,556,797.3777822795757
3,194,126,222.0178814602935
4,50,44,131.57295076457007
5,736,404,983.0652782628548
6,683,382,893.2279718417618
7,902,542,859.3249171389544
8,113,81,167.07557937321437
9,205,89,288.44411801086886
10,364,194,434.23163684772
11,112,72,157.39120782933801
12,162,43,444.4095774861089
13,361,182,399.45679337553224
14,303,151,249.70800509479216
15,304,160,237.36450709658206
16,971,457,1466.1376499972087
17,505,52,982.426871425592
18,736,146,1294.0956016044559
19,850,126,1433.815099335123
20,207,28,346.7237692955058
21,159,12,417.31009260111307
22,245,66,351.9936123107999
23,703,157,1410.0386285034706
24,558,45,1043.9286229970285
25,1060,157,1672.9974543686553
26,134,14,297.4943979275051
27,521,50,993.5464371452164
28,1741,329,2730.485280703383
29,1687,198,3568.008089382209
30,603,99,1312.5619223812112
31,2748,690,5138.086624864654
32,542,310,910.832838208376
33,1197,468,2166.672677108048
34,144,46,335.27177086117456
35,345,243,762.137286956053
36,133,96,285.02087380595833
37,555,110,1074.3404229951773
38,743,183,1879.014760065258
39,564,63,1277.599517018274
40,1428,538,2657.5553706970595
41,675,505,1110.0941760236944
42,52,52,143.74747787260173
43,53,52,149.59286811194949
44,132,111,265.5736550120815
45,630,519,846.2455437370147
46,852,529,1635.1047438770331
47,195,172,460.07667705269256
48,351,243,754.0513165487913
49,19,19,56.83074018913367
50,259,86,569.8599173183948
51,553,407,904.0218557371414
52,578,312,941.5430003076781
53,141,44,322.50831702500886
54,309,268,682.3023050014134
55,1084,719,1871.0432526634704
56,18,18,50.848686132483664
57,267,247,636.0561792300456
58,19,19,56.83689719903068
59,1307,723,2327.743024504231
60,1071,745,1722.1498221618851
61,2842,2139,4658.96826587258
62,568,313,819.1235776021379
63,764,498,1813.1526538453604
64,1164,766,2487.9821718428448
65,353,245,352.95529803666676
66,93,81,209.96676981731366
67,74,65,180.23592001035638
68,868,365,1954.69514894923
69,163,90,428.9972649054834
70,882,637,1662.2242436359227
71,1501,1026,2700.6325490219233
72,445,206,1036.3410279903987
73,553,347,995.2233919144019
74,469,340,785.70645941894
75,757,350,1592.6325413438963
76,204,93,359.1900000222279
77,19,19,2.9958953367353267
78,1254,880,2410.0587192411153
79,360,148,832.7432421382389
80,902,636,1590.2533391050451
81,19,19,53.838999535663014
82,894,588,1425.242894133305
83,621,499,1143.9011862823552
84,15,4,25.825372437684113
85,775,600,1558.4983321595853
86,161,130,300.45272758426205
87,1647,1250,3156.877760343411
88,984,28,137.22132748643673
89,324,181,721.6224758631021
90,1091,467,1580.1355024298903
91,237,56,421.7354716880089
92,1377,54,227.69700700191993
93,140,110,325.68609678395063
94,273,52,171.29809958878894
95,416,89,309.11355803918684
96,403,138,661.7524629644329
97,811,270,1505.8634670748138
98,255,181,576.8519263520095
99,71,67,198.62399680316096
100,947,539,1767.1015351504625
101,88,19,180.59161696595189
102,701,293,1528.5149409703163
103,142,107,337.6430951712403
104,1181,959,2343.581426992
105,53,53,149.4526723925449
106,997,592,1976.436178835384
107,259,153,573.563844010241
108,18,4,53.97289559675796
109,206,66,407.9627225009231
110,356,49,199.45109857409133
111,225,125,496.6714417630417
112,275,229,628.7472192038479
113,52,49,143.52104579188813
114,287,230,653.935073397545
115,564,104,518.4344033267126
116,629,3,266.9245909118253
117,144,85,358.2692737915988
118,115,81,261.8763960951226
119,922,173,761.2120700078693
120,798,136,1054.0061254526593
121,504,133,882.1254738729231
122,667,375,1319.0934460071594
123,57,49,170.49276722645806
124,141,117,350.0434185125393
125,707,125,574.6010786834715
126,1151,138,809.5700080027119
127,778,144,528.4082613032704
128,325,190,623.8354814323149
129,133,109,262.5877029822177
130,1072,583,2224.782091522525
131,810,224,644.577834161893
132,388,58,409.8941490517614
133,204,161,445.001529251135
134,415,359,999.0737279416911
135,302,2,177.55888773116666
136,651,339,1358.6319784727552
137,142,119,333.9090442570381
138,1116,354,879.566060521944
139,482,159,416.67415964727957
140,714,2,29.51478974990216
141,305,2,48.75198454065125
142,1012,3,87.65672709823595
143,442,362,983.5027863313029
144,224,175,483.2136063180225
145,731,271,744.7655703250738
146,1433,224,695.1225335728956
147,1555,518,1498.9221532967179
148,276,225,625.470846289344
149,667,576,1457.4274797344935
150,38,38,113.63138907694389
151,19,19,56.836519126534284
152,1044,2,3.849338185100794
153,426,406,1034.2807530684784
154,1549,410,1114.4148837592306
155,680,2,41.118179917113935
156,902,2,60.15602046741252
157,14,14,40.23419442079764
158,90,88,226.3701409873069
159,698,2,193.83989397999864
160,317,315,777.5960519590014
161,143,140,384.2837438645456
162,1666,220,1127.6427396006782
163,102,99,267.6248260721786
164,523,380,1095.1586646355986
165,773,108,360.91844945557756
166,577,2,742.1701483219748
167,551,8,836.2558174985387
168,316,246,676.730964436846
169,321,20,490.5206461267442
170,956,202,713.9572973898563
171,782,287,1256.8566202236914
172,1067,386,1849.9661330441409
173,112,90,266.75608982574386
174,670,82,816.9683829723323
175,200,116,373.17886951896924
176,136,1,171.78694650900303
177,165,1,206.28953853295735
178,303,54,355.1974005615217
179,1712,794,2891.6687724853814
180,143,84,374.28224642645654
181,520,109,699.402241276951
182,582,220,856.1463680311275
183,143,91,379.53147601228164
184,206,75,358.995214001553
185,115,95,296.3445723827258
186,412,118,687.2774701125284
187,1420,463,1938.5291754988846
188,456,122,759.5094966378854
189,51,50,136.77016604341483
190,251,1,383.4093425508629
191,638,225,1089.3919371200725
192,2413,878,3903.1862772271143
193,71,71,197.7085314927401
194,132,120,334.6141624365655
195,130,130,293.9065464806698
196,137,97,316.2397027438357
197,1260,175,1358.0019564034978
198,162,124,433.9885204925151
199,626,2,346.8661110808559
200,306,2,250.73964712180918
201,37,37,110.64482222302192
202,351,51,502.06956400290744
203,19,16,56.86566992191783
