episode,steps,actions,episode_reward
1,978,793,1773.0832189716357
2,919,748,1517.3702394153286
3,543,414,984.326924498438
4,1321,924,2405.268129166407
5,1521,998,2846.3720025424655
6,208,155,396.63583719092867
7,1217,867,2056.4271237095877
8,225,172,415.64353995986284
9,1048,716,2186.7438552989433
10,113,74,103.23883102779943
11,250,167,476.1048073767993
12,250,163,591.115808998861
13,19,8,1e-08
14,943,566,1681.0865651243764
15,142,91,224.02724044940504
16,294,193,485.4750248155207
17,9,8,1.0511835198904942e-08
18,869,477,1495.1107734306386
19,199,130,351.72177103599813
20,519,325,667.1119529730823
21,206,119,414.49177165361465
22,142,87,170.6488295186578
23,311,145,403.5166914345927
24,290,166,440.31115127129334
25,1554,831,2116.4754358526566
26,747,334,1582.2199154985171
27,304,155,597.2834336956234
28,1052,599,2247.4107243557414
29,249,138,521.8807430957985
30,843,41,297.3516560093288
31,2715,1367,5244.604044032607
32,256,12,43.638242027476174
33,194,106,270.5628842339553
34,306,16,29.179212087425046
35,1562,129,416.0502004828156
36,1869,1090,3748.467948735502
37,1629,1075,3331.050099996173
38,531,351,1045.484688117645
39,766,522,1593.2039554229814
40,376,210,618.9147060740853
41,649,401,1441.4065048843515
42,268,181,564.6519950337884
43,567,385,1208.6673474429685
44,718,475,1307.334585479201
45,309,174,534.711274296012
46,673,463,1214.8987580142696
47,52,18,1e-08
48,52,16,1.0000000000001031e-08
49,112,66,15.636308019193713
50,855,487,1591.9238264325309
51,249,163,501.43092457332034
52,622,385,981.6515706594746
53,322,174,503.49133104926614
54,305,208,666.5444008168163
55,302,210,707.7988335117171
56,1236,861,2477.695843434393
57,1830,1257,3447.3450673424213
58,204,154,389.277182817821
59,248,180,504.41038725888666
60,414,239,607.330902491539
61,1142,877,2150.534606736853
62,408,217,519.46468528015
63,352,267,606.3637415155649
64,622,359,1134.7958772575246
65,1154,852,2142.060268546416
66,321,269,646.6415992763294
67,468,181,635.5028711693947
68,226,168,249.93334635294724
69,1396,975,2613.06918155894
70,2982,2173,5160.46220604755
71,52,31,1.0000000000000045e-08
72,1895,1659,3656.71227667848
73,804,675,1259.4161334988976
74,267,239,494.14020899096704
75,142,132,103.04143860643902
76,51,16,1e-08
77,242,225,500.1299160740348
78,117,85,85.80710351950117
79,382,220,718.0941361756672
80,4291,2868,7245.370964602328
81,485,402,698.2831073363326
82,300,286,655.5060968515984
83,142,133,70.33811587767313
84,19,15,1e-08
85,1324,633,2341.9242007364965
86,141,128,82.6835194130793
87,1185,1077,2605.6982820872645
88,918,777,1799.7493519088378
89,255,182,386.73213033425156
90,441,397,638.3519077871941
91,1873,1328,3554.1525709649477
92,52,7,1e-08
93,578,350,1226.1634785338138
94,70,12,1.0000000000000025e-08
95,491,380,862.8200950809736
96,781,546,1576.8130318499432
97,447,408,644.2769805692949
98,445,427,643.1675139906497
99,132,102,5.056682799744339e-08
100,299,291,606.9345555651341
101,1051,792,1753.0372458108668
102,71,6,1e-08
103,323,205,511.2829067757401
104,112,96,2.6685821272713928e-08
105,1150,1071,1853.9472485413282
106,250,245,468.2099054177523
107,51,10,1e-08
108,857,669,1159.4020403030668
109,19,10,1e-08
110,767,732,1637.018879839562
111,19,4,1e-08
112,162,145,261.2303138994089
113,101,100,112.89407212178094
114,19,2,1e-08
115,345,335,405.0992309060382
116,155,12,1e-08
117,494,380,537.349439705161
118,485,331,706.0264824805969
119,395,360,647.0877645477173
120,567,540,894.9615616747178
121,580,471,799.6003571898964
122,413,376,668.603048772356
123,112,99,3.264552916259841e-08
124,621,366,954.0784388290982
125,204,194,312.5659566461121
126,653,628,1219.92285113907
127,1359,802,2673.9086454847516
128,660,623,1037.2880995284697
129,566,517,906.8509122642174
130,660,565,1144.9925364979679
131,1422,1221,2775.780621370312
132,165,108,3.50350480950378e-08
133,24,21,1.0001503453238158e-08
134,371,357,568.1757295059741
135,683,663,1123.7579482443662
136,249,242,480.7870688613713
137,986,961,1965.918361509738
138,866,828,1825.2693464934557
139,267,254,481.6255660217897
140,873,848,1289.5054636951663
141,19,12,1e-08
142,1070,1054,2326.043104360437
143,318,303,404.2023251943646
144,316,304,375.3895829405287
145,504,470,858.025186205602
146,354,273,492.2271910512112
147,320,303,670.4491906469517
148,886,815,1359.9469268899659
149,1088,915,1221.8199652473386
150,830,819,1379.579256178694
151,290,288,521.2680046524238
152,501,493,1137.5958378079354
153,552,551,1079.48208537407
154,641,497,1130.8256758727332
155,51,10,1e-08
156,498,464,756.6994167213928
157,223,208,293.6685094608981
158,19,12,1e-08
159,910,850,1612.994965896092
160,257,248,271.1655506567443
161,52,16,1e-08
162,269,255,550.5444275973005
163,644,623,1101.4852173795805
164,51,13,1e-08
165,19,14,1e-08
166,1347,1254,2724.3605702987197
167,318,292,448.19920528355397
168,302,299,654.4697609506476
169,324,312,683.774730101176
170,377,345,637.5198744277627
171,662,647,1224.186142109244
172,305,305,706.3391934648879
173,1388,1271,2181.3338700507948
174,1917,1886,3286.7940169793405
175,708,681,1004.6117989168748
176,394,382,725.7933601724211
177,749,710,1280.8837348841398
178,206,201,309.62713042607993
179,274,266,270.0505668590279
180,393,382,752.6855067424838
181,19,13,1e-08
182,224,215,350.43496135841986
183,201,197,189.38027501542496
184,250,247,514.8246196952365
185,249,247,531.5668385157577
186,52,36,1.0000000000000002e-08
187,955,855,1422.1590853561527
188,719,667,1061.6057857033713
189,38,20,1e-08
190,114,114,1.272498452599294e-06
191,199,194,194.3499363699393
192,442,405,575.8140612272343
193,51,37,1.0000000000000002e-08
194,506,491,1193.6758139441895
195,115,112,1.7887731081897043e-08
196,999,965,1940.4611978867415
197,226,215,48.76140123605941
198,580,491,886.6395529137476
199,460,430,837.0168356905348
200,366,349,654.4374656769652
201,948,925,1723.6427863433926
202,456,437,610.1162645932403
203,302,301,688.494835679206
204,817,801,1652.9611268561562
205,51,15,1e-08
206,2228,2109,3673.504861570781
207,397,336,701.5083012148503
208,249,241,457.22106123646785
209,317,304,523.4455687930879
210,557,550,1166.144724881078
211,576,480,637.7204392636227
212,19,6,1e-08
213,462,418,921.710146592183
214,302,265,519.3191692537474
215,165,121,2.2729732459753628e-07
216,748,737,1635.9911150185496
217,1484,1428,2662.5641517514136
218,165,117,1.0013885964176716e-08
219,1249,1184,2271.6017426903304
220,1059,1002,2065.9405399563025
221,162,148,68.1654542240367
222,869,839,1383.8276344074025
223,1264,1243,2414.8342431134597
224,458,454,1013.6993959115018
225,304,295,667.885807187177
226,195,144,0.000189562161647763
227,1585,1388,2748.604411064792
228,353,310,680.19307231302
229,790,745,1429.974283064562
230,63,39,30.83529821595735
231,231,224,474.7864126756475
232,204,198,420.7882065949738
233,19,17,1e-08
234,1221,1054,2140.375884604311
235,1186,1130,2293.697993287376
236,550,444,634.0268593606244
237,752,545,1047.032599783464
238,193,144,106.73663773494116
239,909,828,1593.7667278798217
240,166,109,2.437827975331881e-07
241,19,6,1e-08
242,609,530,1111.9057770326506
243,301,250,492.51130083243976
244,19,7,1e-08
245,142,136,75.91334397711691
246,336,298,505.4990097349848
247,556,510,760.479934606855
248,1188,1162,2230.738696237709
249,303,300,670.0141734763939
250,800,743,1210.9190315274475
251,250,249,481.2243807020662
252,46,44,2.426528508178935e-08
253,238,235,384.1416504278445
254,424,411,794.6070130100094
255,557,548,846.8976526731552
256,418,415,586.7800677748613
257,303,301,652.9208183442383
258,505,502,1029.4284601664028
259,987,965,1836.9761493225237
260,1115,1043,2163.350547417209
261,955,938,2124.5684923745143
262,857,845,1902.7052419808936
263,858,706,981.5367422509837
264,1560,1358,2944.385445653149
265,778,731,1459.6625702844458
266,445,436,793.194083806225
267,256,249,494.89421409644734
268,2657,2477,4829.678672635457
269,601,598,1080.1972300929572
270,1277,1226,2089.4400733016187
271,1004,940,2034.7869321664618
272,823,792,1329.9770931524408
273,449,417,803.0820420918362
274,303,298,654.5495244423886
275,614,612,1374.6818099398847
276,19,12,1e-08
277,113,113,2.3537104282842063e-08
278,866,704,1429.8251034912887
279,445,442,620.5401737537571
280,573,560,1158.1523517327796
281,1559,1224,2323.73403584773
282,302,259,527.0042711930055
283,856,818,1304.4990622570274
284,142,142,39.075724918525616
285,389,344,391.5569392317073
286,812,685,1683.5680895394853
287,1207,1203,2040.3220971785888
288,364,363,512.4193217146354
289,2784,2511,4804.0343374169415
290,273,265,353.4912206788774
291,807,806,1642.226340092939
292,505,504,974.7268181919071
293,3920,3663,7700.625334500399
294,206,206,331.65901944459023
295,1051,1028,1538.8392555294458
296,256,256,498.61685707560366
297,692,673,1000.4569865376569
298,608,573,1230.4832557001985
299,19,13,1e-08
300,775,753,1473.579903225397
301,304,301,675.8943867074383
302,554,546,1164.9088515161388
303,51,47,1e-08
304,471,460,1043.635000820985
305,589,577,914.7861399257644
306,163,148,1.9965001191546691e-07
307,341,325,367.141693094462
308,111,51,1.000000000000003e-08
309,466,429,597.4639225523588
310,143,143,19.65472801116735
311,457,456,1008.8590810793623
312,929,917,1542.5402811342988
313,39,21,1e-08
314,399,395,385.2790319737965
315,1985,1969,3758.9272277424825
316,19,19,1e-08
317,1192,1130,1949.177690905135
318,204,204,333.1808724111398
319,316,314,434.7081386946999
320,751,450,1428.3546675641323
321,1029,1024,1805.3824603824999
322,52,26,1e-08
323,722,643,1345.8228503083124
324,557,471,944.6706801539503
325,629,619,935.0002159299763
326,253,251,388.288416401821
327,545,508,855.5886692298284
328,303,301,619.4823713958958
329,1265,1216,2080.525868618088
330,202,200,166.80315274091075
331,586,564,1070.0526448685066
332,243,222,375.083843714681
333,1672,1611,2540.568261686332
334,1583,1535,2275.5105943723793
335,601,597,1225.2386485739642
336,142,141,54.399032049907916
337,358,356,656.0379577150921
338,949,943,1675.544445298641
339,696,689,1109.9231328374103
340,391,390,727.5837601613201
341,204,202,52.424973287077826
342,7,7,1e-08
343,1203,1191,1880.1496626364428
344,142,140,18.845735291823686
345,52,52,1e-08
346,216,215,1.0011541573552698e-08
347,699,692,1062.2029588870703
348,112,112,1.1078474573168995e-08
349,364,363,517.9555888507615
350,281,281,340.9783111444382
351,225,225,410.3880861769243
352,866,865,1838.2230248429657
353,207,207,357.0833751194146
354,19,19,1e-08
355,462,462,1053.9850002932894
356,304,304,175.3039888016712
357,1524,1522,2927.721214973094
358,2289,2279,4543.512952224288
359,394,390,678.099950504017
360,362,361,542.5157122551662
361,279,274,572.5921603082304
362,1424,1368,2732.230226726705
363,671,637,1101.1042324512732
364,1040,1032,2031.4475668878395
365,510,504,1004.8581103770649
366,442,439,904.2721643650063
367,511,511,762.4027625703395
368,667,647,1094.0757772507443
369,656,648,1317.4943189393132
370,928,911,1812.8162631356067
371,204,204,354.30388631263213
372,628,625,1327.1043614369396
373,892,873,1714.624515976121
374,379,371,468.26760085806507
375,19,19,1e-08
376,205,204,385.7337146461499
377,482,480,778.3456547362795
