episode,steps,actions,episode_reward
1,303,190,502.23069592437946
2,505,395,1199.6390785024566
3,650,523,1329.7065689600217
4,166,140,417.71163012144297
5,257,210,606.8204670693517
6,19,13,5.405376758999335e-08
7,163,136,401.7604600596619
8,206,174,446.94650121199754
9,37,32,3.211402067622347e-07
10,143,117,369.76200608076294
11,1065,789,2271.6416674701704
12,250,192,626.7758455489164
13,53,37,149.7848168084078
14,507,367,1087.0655050540447
15,732,549,1678.5402390134552
16,228,156,616.7614142992619
17,203,140,488.63905585326575
18,1211,782,2683.0898993047304
19,20,15,6.06182730520626e-08
20,204,153,518.9579735615733
21,53,42,158.75118563892963
22,400,280,1069.3125831582468
23,969,676,2269.8203171558985
24,830,528,1901.1115852330593
25,130,82,308.3872212699299
26,143,91,367.11723902590455
27,113,79,307.7717839379778
28,432,284,1051.6694289538173
29,8,7,23.938633399943793
30,155,81,425.8301829800851
31,1786,1020,4129.736803283721
32,52,31,131.62829637171228
33,1201,698,2713.122034745663
34,165,96,436.1856715112093
35,122,60,311.41117456335473
36,367,223,931.8421180752188
37,20,9,7.711523683872761e-08
38,669,372,1503.7693082642977
39,1414,288,1172.4096375323747
40,251,137,634.0485820796224
41,250,146,565.098989968965
42,584,277,1405.986746167204
43,52,30,155.66617916963634
44,204,120,499.86428703143525
45,1080,562,2519.24629901441
46,718,316,1506.1705325187775
47,910,446,1948.688168856531
48,310,140,874.10324558633
49,442,253,994.2095585918505
50,52,29,155.78610098887307
51,610,30,175.87490834875027
52,892,345,1440.8135479684302
53,1632,987,3532.1388627630317
54,256,111,572.988622754184
55,626,367,1464.955576509475
56,997,685,2268.5729985811317
57,537,366,1275.6169439774278
58,1780,1173,3934.5133552166294
59,592,392,1120.862447279471
60,970,704,2082.521251709616
61,257,146,679.2632077071479
62,47,30,103.03282452003813
63,254,180,582.4041453768433
64,114,80,323.07801748242133
65,351,240,788.776471837739
66,51,11,152.89822298633018
67,133,88,386.4419487581744
68,536,367,1176.8623400876324
69,300,217,654.2858025668753
70,254,192,612.7114125843973
71,257,175,662.4487430573229
72,415,266,1107.5540189009937
