episode,steps,actions,episode_reward
1,113,70,7.968972263744731e-06
2,113,53,8.78007771737476e-06
3,142,85,1.009812407952356e-05
4,1360,768,9.891417125201347e-05
5,820,492,5.815612220710262e-05
6,596,340,4.3201365405799194e-05
7,50,30,3.5078922687795327e-06
8,1237,717,8.913021171760075e-05
9,779,444,5.638182902728696e-05
10,202,103,1.5319615437266877e-05
11,557,309,4.08694372266129e-05
12,205,125,1.445781589278497e-05
13,677,384,4.913257403546869e-05
14,206,124,1.4559204074488723e-05
15,51,25,3.964139086446428e-06
16,1092,618,7.934625218318801e-05
17,144,83,1.0554370897190452e-05
18,496,286,3.574933405057342e-05
19,1160,668,8.395941445070905e-05
20,1278,697,9.425031489364057e-05
21,412,241,2.9513960875792636e-05
22,904,519,6.550676538062495e-05
23,365,204,2.6675091788087484e-05
24,786,430,5.795334584369512e-05
25,19,5,1.6829049981119504e-06
26,144,72,1.0959923624005467e-05
27,257,136,1.9121672251157707e-05
28,73,40,5.383573630298992e-06
29,464,244,3.463406405183215e-05
30,415,158,2.2619564519937267e-05
31,114,3,3.141645451112636e-07
32,113,3,1.429434543852564e-06
33,299,3,1.632210907260073e-06
34,257,3,5.169409085187728e-07
35,143,35,1.4508509983636847e-05
36,162,1,4.155527268150182e-07
37,18,3,5.169409085187728e-07
38,305,3,5.169409085187728e-07
39,834,1,4.155527268150182e-07
40,1421,726,9.419962080278869e-05
41,19,12,1.277352271296932e-06
42,307,155,2.3177199519307924e-05
43,882,477,6.530398901721743e-05
44,9,6,5.676349993706501e-07
45,225,125,1.6536273617711942e-05
46,1155,670,8.319900308793086e-05
47,1663,922,0.00012192928849876672
48,391,230,2.8043832241088184e-05
49,906,538,6.4644965836143e-05
50,225,128,1.6282803163452555e-05
51,1076,626,7.736918263996473e-05
52,459,273,3.270768859946086e-05
53,1103,636,7.954902854659554e-05
54,518,285,3.808126222975972e-05
55,2116,1181,0.0001546776711890808
56,163,92,1.1821723168487373e-05
57,86,47,6.2960672656327835e-06
58,447,250,3.255560632690523e-05
59,1569,861,0.00011564322123313368
60,379,219,2.723272678745814e-05
61,110,63,8.019666354596609e-06
62,306,169,2.2518176338233512e-05
63,347,196,2.5204963153383032e-05
64,1890,1031,0.00013962152620607262
65,18,6,1.5815168164081958e-06
66,892,476,6.626717674340314e-05
67,469,242,3.524239314205466e-05
68,205,111,1.5218227255563123e-05
69,678,363,5.050131448846934e-05
70,290,143,2.2214011793122246e-05
71,122,65,9.084242262486022e-06
72,303,166,2.2315399974826e-05
73,1501,839,0.00010976270669431567
74,266,145,1.967930725052836e-05
75,122,51,9.692571352708544e-06
76,105,46,8.331991652243992e-06
77,1478,835,0.00010743077851512921
78,169,92,1.2430052258709895e-05
79,19,7,1.4496104231900757e-06
80,52,24,4.065527268150183e-06
81,697,379,5.141380812380311e-05
82,666,2,5.941208629669642e-06
83,144,3,3.6599745413351646e-06
84,1012,3,8.211054536300365e-07
85,634,3,1.1162699987412974e-05
86,300,2,2.7981749968532507e-06
87,419,3,1.1252699987413002e-06
88,451,1,2.139151815778846e-06
89,362,3,2.5447045425938643e-06
90,141,1,5.169409085187728e-07
91,832,3,6.904396355855311e-06
92,231,2,1.2430052258709895e-05
93,51,1,1.3280463621488094e-06
94,1612,3,1.876681361519456e-05
95,304,1,7.512725446077838e-06
96,248,1,8.211054536300365e-07
97,73,0,7.411337264374084e-06
98,794,2,1.1314782259968604e-05
99,869,3,1.632210907260073e-06
100,288,1,1.8969589978602072e-05
101,164,1,9.844653625264176e-06
102,51,1,3.141645451112636e-07
103,481,4,1.936375452371337e-06
104,740,1,7.098172719262792e-05
105,1920,1,6.124846174906708e-05
106,1084,0,0.0001099147889668713
107,343,0,3.4786146324387776e-05
108,112,0,1.1365476350820482e-05
109,145,1,1.268352271296928e-05
110,1208,0,0.00012248692349813738
111,1801,0,0.00018261011524846636
112,471,0,4.7763833582468036e-05
113,902,0,9.14621398967872e-05
114,1222,1,9.743265443560422e-06
115,304,0,3.0832007237941446e-05
116,1523,1,0.00015425221365616515
117,51,0,5.180797266891483e-06
118,457,0,4.634439903861551e-05
119,742,0,7.524003082418579e-05
120,164,0,1.6637661799415697e-05
121,52,0,5.282185448595238e-06
122,321,0,3.255560632690523e-05
123,19,0,1.8350163321574384e-06
124,392,0,3.9754167227871625e-05
125,881,1,8.928229399015639e-05
126,252,0,2.5559821789346175e-05
127,112,0,1.1365476350820482e-05
128,397,0,4.0261108136390385e-05
129,143,0,1.4508509983636847e-05
130,250,0,2.5357045425938664e-05
131,280,0,2.833729139773974e-05
132,1065,0,0.00010798841351449989
133,160,0,1.6232109072600676e-05
134,1627,0,0.00016496857163201232
135,688,0,6.976506901218282e-05
136,328,0,3.3265323598831495e-05
137,134,0,1.3596016348303064e-05
138,1060,0,0.0001074814726059811
139,142,0,1.4407121801933093e-05
140,647,0,6.56081535623287e-05
141,246,0,2.4951492699123642e-05
142,554,0,5.615708208440576e-05
143,301,0,3.052784269283019e-05
144,19,0,1.936375452371337e-06
145,768,0,7.787612354848352e-05
146,256,0,2.5965374516161196e-05
147,681,0,6.90553517402565e-05
148,1297,1,9.88634771611616e-05
149,1092,1,0.00011072589442050138
150,1461,0,0.00014813813346918836
151,1448,1,0.00014676939301618762
152,1916,0,0.00019426975614439862
153,1007,1,0.0001020259487717509
154,1713,0,0.00017368795525853558
155,2145,0,0.00021628055367938712
156,310,0,3.144033632816396e-05
157,1046,1,0.00010601134397127659
158,267,0,2.7080644514902506e-05
159,1131,0,0.00011468003350694797
160,586,0,5.942347447839952e-05
161,222,0,2.2518176338233512e-05
162,307,0,3.11361717830527e-05
163,162,0,1.6434885436008187e-05
164,799,0,8.101915718130004e-05
165,1103,0,0.00011184116441924272
166,322,0,3.265699450860898e-05
167,1040,0,0.00010545370897190592
168,53,0,5.383573630298992e-06
169,858,0,8.700105990182181e-05
170,682,0,6.915673992196026e-05
171,54,0,5.484961812002747e-06
172,204,0,2.0693189067565914e-05
173,1063,0,0.00010778563715109237
174,101,0,1.025020635207919e-05
175,446,0,4.5229129039874235e-05
176,357,0,3.6205580868240304e-05
177,577,0,5.851098084306575e-05
178,441,0,4.4722188131355475e-05
179,1557,0,0.0001577700891217415
180,204,0,2.0607390249507075e-05
181,338,0,3.4279205415869015e-05
182,207,0,2.099735361267718e-05
183,202,0,2.0490412704158403e-05
184,19,0,1.936375452371337e-06
185,673,0,6.824424628662643e-05
186,133,0,1.349462816659931e-05
187,56,0,5.6717593452590556e-06
188,1119,0,0.00011346337532650286
189,1412,0,0.00014317011256570418
190,365,0,3.701668632187032e-05
191,1496,1,0.00015163602573796804
192,398,0,4.036249631809414e-05
193,274,0,2.7790361786828794e-05
194,557,0,5.648321720899071e-05
195,904,0,9.166491626019472e-05
196,704,0,7.138727991944296e-05
197,57,0,5.789126357114011e-06
198,686,0,6.95622926487753e-05
199,111,0,1.1264088169116728e-05
200,2026,0,0.0002054224561318121
201,52,0,5.282185448595238e-06
202,805,0,8.16274862715226e-05
203,203,0,2.059180088586216e-05
204,746,0,7.564558355100083e-05
205,611,0,6.195817902099339e-05
206,590,0,5.973291189201106e-05
207,838,0,8.490153002556572e-05
208,141,0,1.430573362022934e-05
209,695,0,7.047478628410913e-05
210,733,0,7.432753718885196e-05
211,1628,0,0.00016506995981371608
212,468,0,4.745966903735678e-05
213,302,0,3.062923087453394e-05
214,19,0,1.936375452371337e-06
215,354,0,3.590141632312905e-05
216,669,0,6.78386935598114e-05
217,302,0,3.062923087453394e-05
218,364,0,3.691529814016657e-05
219,1529,0,0.00015503252982504396
220,227,0,2.302511724675229e-05
221,1447,1,0.00014666800483448386
222,206,0,2.0895965430973425e-05
223,628,0,6.368177810995729e-05
224,681,0,6.90553517402565e-05
225,443,0,4.492496449476298e-05
226,1140,0,0.0001155925271422818
227,397,0,4.0261108136390385e-05
228,162,0,1.6434885436008187e-05
229,607,0,6.155262629417835e-05
230,814,0,8.253997990685643e-05
231,132,0,1.303143713045325e-05
232,268,0,2.709661314746199e-05
233,135,0,1.3697404530006817e-05
234,131,0,1.3291851803191802e-05
235,403,0,4.0774786203876124e-05
236,754,0,7.64566890046309e-05
237,49,0,4.978020903483974e-06
238,54,0,5.484961812002747e-06
239,711,0,7.209699719136927e-05
240,1343,0,0.0001360798881249639
241,247,0,2.5052880880827397e-05
242,241,0,2.4444551790604865e-05
243,1873,0,0.000189910064331137
244,539,0,5.4658229938323174e-05
245,508,0,5.151519630550686e-05
246,303,0,3.0730619056237694e-05
247,407,0,4.1274989953427906e-05
248,301,0,3.052784269283019e-05
249,2620,1,0.00025378461880450504
250,762,1,3.843612086572285e-05
251,698,0,7.07789508292204e-05
252,393,0,3.985555540957538e-05
253,3080,0,0.0003122855996475739
