episode,steps,actions,episode_reward
1,113,65,84.34371658860458
2,256,149,190.72279492345695
3,104,53,83.05393327274966
4,252,159,182.247072045521
5,753,428,571.6230061523875
6,793,458,599.0235154522516
7,141,88,101.99995634400413
8,525,296,401.4034291310778
9,205,115,155.88676244246975
10,1012,569,772.0797149967322
11,542,310,411.7303107576834
12,209,128,153.61807325149908
13,307,174,232.68294537406425
14,204,103,164.72958522817333
15,247,140,185.4131257632573
16,302,157,235.51809839788183
17,205,115,154.7048065019891
18,249,127,197.56971975277267
19,683,377,524.8325454492393
20,252,151,187.1528099399427
21,201,103,157.31948004701778
22,1296,759,975.5256545912739
23,563,319,435.30607350708516
24,252,139,207.86186693807275
25,334,192,253.07772368166732
26,461,253,356.2477796435766
27,504,273,389.07249821629966
28,295,162,228.29583299932023
29,20,13,14.959594435950635
30,177,100,133.65784399603598
31,3236,1758,2504.681439311016
32,421,166,247.6771400187901
33,226,3,7.546241286081783
34,1180,3,23.36878671480972
35,19,3,8.793719795073963
36,1044,46,85.33029721639967
37,202,112,154.76370349794183
38,705,375,548.8320208368649
39,868,483,666.0595601961371
40,642,362,488.3445116520602
41,219,124,165.5398994186747
42,556,321,418.9388256076481
43,352,193,270.0701273978527
44,397,227,300.5976173735325
45,600,355,448.6803734947904
46,118,64,91.92948349980118
47,453,266,340.5711473974465
48,1642,978,1221.518359197517
49,228,140,168.56972371833376
50,1539,866,1175.8148783436632
51,112,56,89.42147478234753
52,731,413,556.8079220461697
53,1277,734,964.636324671782
54,250,137,191.61000041756802
55,659,380,496.5975408033646
56,867,478,662.3840418891442
57,539,280,420.31141494693003
58,409,222,315.1495247298766
59,286,165,216.5543204498635
60,53,35,37.62188169019128
61,202,120,151.04740603012027
62,991,548,764.2110624415923
63,408,212,320.3892311467251
64,143,70,115.91026188977854
65,522,287,401.9031755154669
66,958,520,744.1497013843357
67,606,353,457.03464432731516
68,37,8,42.23538304020601
69,657,348,511.3782256737605
70,1258,686,971.3422647220566
71,676,365,529.3977005651694
72,649,353,514.4045954294053
73,552,294,431.32971287135547
74,279,164,210.43596389035469
75,673,396,509.09418553183616
76,102,51,83.26192727433933
77,1447,819,1119.1852829310042
78,258,120,217.9426038817584
79,1266,456,706.2292763606864
80,182,3,51.70658606273877
81,2544,7,188.19129170598563
82,824,3,269.48729644678707
83,144,2,174.0757181584686
84,143,1,15.734868503021692
85,682,3,208.19502807106238
86,201,2,130.73196289351765
87,214,1,41.110460893416395
88,369,3,28.219135876289762
89,324,1,129.52141768940714
90,373,1,25.41883013590553
91,115,1,16.945363707132174
92,608,1,82.31210472909817
93,306,1,16.945363707132174
94,485,1,58.10220064688848
95,1171,3,109.74762716522315
96,313,1,50.8392294222256
97,168,1,132.0400548449861
98,52,1,52.65496009682085
99,462,1,202.15112993603634
100,1033,0,1250.4415458560977
101,20,0,28.744100114048546
102,53,0,64.15624582785544
103,1693,1,1975.8427675261323
104,115,0,139.2069484827056
105,833,0,1008.3425050340117
106,219,0,268.20601293009486
107,723,1,714.1906012747627
108,657,1,651.2448506610203
109,1351,0,1635.3790207632144
110,652,0,789.2428730900239
111,224,1,269.94048052663817
112,3489,0,4223.733506260281
113,2498,0,3049.661985107285
114,1290,0,1580.787538703399
115,364,0,440.62025430621674
116,543,0,657.298895841987
117,824,0,999.099024550618
118,768,0,934.768636327414
119,216,0,261.5193145854731
120,534,0,646.4044390049932
121,949,0,1148.7599487108216
122,453,0,548.3543274720483
123,206,0,249.36201205675988
124,140,0,169.46932858546776
125,441,0,533.8283850227232
126,244,0,295.36082981295834
127,458,0,555.2964446427121
128,344,0,416.410350224007
129,792,0,958.712201665484
130,581,1,704.8337853408293
131,543,0,657.298895841987
132,143,0,173.10081419779922
133,903,0,1093.849317510461
134,1939,0,2348.763159243309
135,1114,1,365.567982490952
136,433,0,524.1444233898397
137,924,0,1118.4975686080609
138,580,0,703.9092711001706
139,1983,0,2402.6769274055937
140,453,0,548.3543274720483
141,978,0,1183.864309630024
142,824,0,1007.223505015536
143,1129,1,405.51432422659803
144,243,0,294.15033460884786
145,1085,0,1313.5381881091992
146,16,0,25.061427671307758
147,1352,0,1652.842674351177
148,227,0,277.8116416673846
149,810,0,980.5011153394718
150,19,0,25.55331730498662
151,1245,0,1507.0665291275088
152,728,0,881.2405086024165
153,222,1,269.32353446390476
154,742,0,902.1376939910474
155,53,0,65.05152017649333
156,948,0,1147.5494535067112
157,136,1,163.41690256491535
158,258,1,59.312695850998956
159,227,0,275.2858822292884
160,343,0,416.25895034912327
161,316,0,382.5164845089134
162,256,0,309.95251157670185
163,521,0,630.8695873037185
164,205,0,248.1515168526494
165,924,0,1118.4975686080609
166,670,0,811.8515981158591
167,624,0,754.2165934892238
168,526,0,640.3912191971773
169,455,0,550.7753178802692
170,566,1,686.8795865528632
171,251,0,303.83429624173175
172,255,0,308.6762770581737
173,163,0,199.66788530014728
174,418,0,518.1223175991812
175,170,0,205.78418470878236
176,141,1,169.46937858546778
177,979,0,1188.565933715755
178,114,1,136.78600807448464
179,71,0,86.52891137374809
180,113,0,136.78595807448463
181,206,0,249.36201205675988
182,442,0,536.9659715608547
183,555,0,671.8248382913122
184,71,0,86.10655884429367
185,52,0,62.945750623744956
186,150,0,184.0770069660183
187,19,0,25.18946977308515
188,579,0,706.6231692959534
189,249,0,301.4133058335108
190,605,0,732.3495984968337
191,141,0,170.67982378957825
192,629,0,761.401483395484
193,53,0,64.15624582785544
194,541,0,654.8779054337662
195,111,0,134.36496766626365
196,162,0,196.10022307589847
197,255,0,308.6762770581737
198,1484,0,1796.3748829099015
199,276,0,334.0966763444939
200,554,0,670.6143430872017
201,302,0,365.56955165136657
202,604,0,731.1391032927232
203,1378,0,1675.0317039521717
204,51,0,61.73525541963448
205,437,0,530.6767400297322
206,659,0,797.7163395187969
207,649,0,785.6113874776926
208,404,0,489.0400624706362
209,1206,0,1459.857216167202
210,606,0,733.5600937009441
211,1171,0,1421.99198872409
212,19,0,23.258069020702415
213,20,0,27.530603218222055
214,1270,0,1558.237517762654
215,394,0,476.93511042953133
216,205,0,248.1515168526494
217,113,0,136.78595807448463
218,143,0,173.10081419779922
219,522,0,631.8990388224786
220,510,0,617.3525541063428
221,613,0,742.0335601297171
222,472,0,571.5566245094793
223,625,0,758.5609234629035
224,512,0,619.7735445145637
225,774,0,938.451390167229
226,363,0,439.40975910210625
227,437,0,528.9864042062815
228,495,0,599.1951260446864
229,816,0,988.8233820410488
230,1213,0,1468.330682595975
231,227,0,274.78241134308007
232,203,0,245.73052644442842
233,51,0,61.73525541963448
234,203,0,245.73052644442842
235,578,0,699.6662279858521
236,206,0,249.36201205675988
237,719,0,871.504332647453
238,1145,0,1386.0170087164659
239,565,0,683.9297903324165
240,614,0,743.8708115368632
241,114,0,137.9964532785951
242,494,0,597.984630840576
243,728,0,916.0445510730051
244,19,0,30.318277873614047
245,383,0,472.7405363724379
246,771,0,945.2629819836199
247,723,0,876.4728340732261
248,207,0,250.57250726087037
249,1539,0,1870.0212242677987
250,51,0,61.73525541963448
251,292,0,353.96213233898965
252,111,0,134.36496766626365
253,247,0,298.9923154252898
254,111,0,134.36496766626365
255,609,0,737.1915793132754
256,976,0,1181.4433192218032
257,301,0,364.3590564472561
258,807,0,976.8696297271405
259,412,0,498.7240241035201
260,606,0,733.5600937009441
261,780,0,944.1862592161589
262,1637,2,1699.9958879402652
263,19,0,24.26617680969771
264,757,1,217.88756758947267
265,586,0,709.3501896187355
266,1706,0,2065.104818222417
267,365,0,441.8307495103272
268,562,0,680.2983047200852
269,19,0,32.54865797106664
270,306,0,370.4115324678085
271,284,0,343.7806379773778
272,704,0,857.8301223855815
273,165,0,199.73170868822993
274,285,0,352.78003567222953
275,325,0,393.41094134590776
276,3320,0,4028.8357284078816
277,401,0,486.88548086802086
278,320,0,387.3584653253553
279,553,0,669.4038478830913
280,1884,0,2285.904451266856
281,677,0,824.1957641567137
282,48,0,58.10376980730304
283,142,0,171.89031899368874
284,1001,0,1211.705699324564
285,302,0,365.56955165136657
286,766,0,938.4896306989297
287,257,0,311.09726746639467
288,4,0,4.841980826441925
289,200,0,244.22989334580748
290,971,0,1175.390843201251
291,143,0,173.10081419779922
292,685,0,833.0607418669325
293,557,0,674.245828699533
294,804,0,973.2381441148092
295,248,0,300.2028106294003
296,485,0,590.1990849830989
297,273,0,330.93609620904084
298,272,0,331.1955735073307
299,573,0,695.1812521064105
300,406,0,491.4610528788572
301,2610,0,3165.262624381297
302,164,0,198.52121348411944
303,304,0,367.99054205958754
304,130,0,158.86008427689754
305,1175,0,1424.0205874057547
306,58,0,72.4862988879693
307,410,0,496.3030336952991
308,1621,0,1967.0550023761525
309,19,0,28.654358018642494
310,1606,0,1944.055297811374
311,313,0,393.44715377849025
312,19,0,26.75274734219046
313,52,0,63.23398413200285
314,1723,0,2089.286433745212
315,291,0,354.8723043894323
316,143,0,173.10081419779922
317,321,0,394.06666364700754
318,195,0,236.04656481154453
319,312,0,378.3441843954676
320,114,0,137.9964532785951
321,914,0,1114.5777107845702
322,52,0,62.945750623744956
323,1195,0,1446.5417689219873
324,19,0,32.35777197472878
325,315,0,385.3204200133318
326,308,0,372.8325228760295
327,348,0,421.25233104044895
328,161,0,198.69090469293272
329,504,0,610.0895828816803
330,1831,0,2220.439662331154
331,315,0,381.3059893048029
332,19,0,23.184042238519012
333,439,0,531.6154203074564
334,1232,0,1491.3300914740732
335,430,0,521.1993899151405
336,250,0,302.62380103762126
337,142,0,171.89031899368874
338,370,0,447.88322553087966
339,1099,0,1330.334229327386
340,256,0,309.8867722622842
341,202,0,244.52003124031793
342,648,0,784.4008922735821
343,1695,0,2054.0608131152694
344,59,0,95.76137345005583
345,215,0,260.25646889375423
346,2000,0,2437.504067868971
347,349,0,438.85341924897637
348,213,0,272.4896657473133
349,817,0,988.9745817682448
350,275,0,334.5535946944183
351,461,0,558.0382891049318
352,304,0,368.78301169644965
353,161,0,214.37237730635553
354,1757,0,2145.0374011409367
355,1514,0,1832.6897390332144
356,407,0,504.94023593027003
357,315,0,381.3059893048029
358,1212,0,1467.1201873918646
359,259,0,313.77177524903175
360,1593,0,1928.3188601579384
361,828,0,1002.2900290134595
362,855,0,1034.9733995244412
363,1181,0,1429.8574526130283
364,203,0,245.73052644442842
365,441,0,533.8283850227232
366,207,0,250.57250726087037
367,607,0,738.0801503136566
368,362,0,438.19926389799576
369,15,0,19.680635787552134
370,366,0,443.0412447144377
371,522,0,639.5947825151603
372,407,0,492.67154808296766
373,715,0,865.5040709489809
374,965,0,1168.1278719765885
375,305,0,369.201037263698
376,114,0,137.9964532785951
377,55,0,66.767040062265
378,189,0,229.0101885733322
379,297,0,359.51707563081413
380,135,0,174.07640504594278
381,160,0,195.16920862970989
382,318,0,384.93747491713435
383,243,0,294.4002826047733
384,641,0,775.9274258448091
385,1129,0,1368.6889400810683
386,1262,0,1527.6449475973861
387,834,0,1010.3113385036004
388,520,0,630.0609394512563
389,396,0,479.3561008377523
390,510,0,617.3525541063428
391,250,0,302.62380103762126
392,356,0,430.93629267333284
393,405,0,490.2505576747467
394,533,0,645.1939438008827
395,655,0,792.8743587023552
396,418,0,505.986995328183
397,650,0,786.821882681803
398,99,0,119.83902521693783
399,96,0,124.6614252215002
400,908,0,1102.5577318194796
401,694,0,840.10737483115
402,203,0,245.73052644442842
403,4840,0,5860.222026079303
404,223,0,272.4309598138407
405,860,0,1042.7189616269384
406,1050,0,1288.8087626423096
407,1126,0,1366.3007798477813
408,394,0,476.93511042953133
409,207,0,250.57250726087037
410,549,0,664.5618670666496
411,1215,0,1470.751673004196
