episode,steps,actions,episode_reward
1,113,68,83.53175978297213
2,253,158,184.64903630964278
3,1259,718,957.541455727184
4,114,62,88.45665295530326
5,529,307,400.99593488629824
6,420,244,315.85267996363467
7,2220,1245,1697.857730889313
8,303,162,238.8498495205911
9,207,121,156.0887927199784
10,1699,930,1309.0073866435082
11,1535,879,1164.5587042931238
12,193,122,140.03808645991276
13,301,185,222.39454827142703
14,50,26,45.034247179340305
15,256,154,204.87596888747063
16,548,317,413.5521088458958
17,158,87,120.93092810739395
18,1112,618,851.660583790147
19,74,46,54.41046099934387
20,2421,1347,1855.729403749601
21,258,132,204.63025947334887
22,143,75,111.20573069844518
23,643,363,492.60106251432956
24,533,101,153.8293968844475
25,304,3,39.47713680050348
26,448,3,5.97995380310121
27,435,3,4.73058778743183
28,1514,285,441.2924038568448
29,250,131,195.85880429499036
30,516,283,397.2978676286704
31,1191,648,920.1181544016534
32,224,129,168.42625474524988
33,859,494,646.6565033611541
34,582,339,440.4678001713782
35,259,156,191.75731723056455
36,570,319,436.0457964620437
37,424,250,317.09315732055853
38,382,216,291.553736354867
39,2663,1539,2008.6243592470412
40,143,83,107.78761365789781
41,115,66,86.11525751342654
42,470,266,360.4489307855313
43,1024,590,774.1166411087668
44,1061,599,807.5739958385127
45,851,465,656.0737048254603
46,373,212,284.03590126013273
47,1275,700,985.3999897441313
48,505,277,388.7315679151978
49,677,385,514.2697261277103
50,435,237,336.1348734727093
51,1827,997,1408.2667742552362
52,147,82,112.32190102249679
53,255,147,193.98825540579824
54,40,17,40.47690497875884
55,778,421,606.1361895846904
56,192,106,146.82318131679594
57,299,177,223.8936263099403
58,639,368,484.1835594210592
59,352,186,274.76043199649763
60,150,83,126.13479065402322
61,161,84,126.28908073868817
62,516,283,409.33500531189975
63,1006,552,776.4758183241454
64,342,179,265.48143844123695
65,249,135,194.90990776930923
66,155,76,130.53365144296492
67,1017,548,799.2057944445634
68,719,412,549.4019081118217
69,623,338,484.2795360429513
70,599,95,126.37650422432932
71,53,3,34.65035367009555
72,134,1,22.99783972768457
73,19,2,34.75045509850145
74,1367,3,94.85734010664315
75,538,3,117.24362687770493
76,469,1,49.62873421811512
77,50,0,60.524760215524
78,934,1,27.83982054412649
79,557,3,32.4462101171273
80,415,3,41.63084872482859
81,214,1,31.471306156457928
82,1082,1,7.564403241815993
83,161,0,195.31857573061473
84,720,2,55.68126023866752
85,329,1,45.99724860578368
86,493,1,291.7277750402123
87,773,1,14.524373298911211
88,934,1,246.93945248812435
89,451,3,394.7501404784887
90,316,0,382.5164845089134
91,308,1,371.62207767191904
92,731,0,888.3872123875304
93,297,0,359.51707563081413
94,1680,1,1492.539017517769
95,410,0,496.3030336952991
96,228,0,280.85717583837845
97,419,0,507.33230525424403
98,113,0,136.78595807448463
99,143,0,173.10081419779922
100,51,1,60.524810215524
101,2517,0,3046.8164287559757
102,136,0,164.62734776902582
103,729,0,882.451003806527
104,353,0,427.62054616992083
105,305,0,369.201037263698
106,306,0,370.4115324678085
107,207,0,250.57250726087037
108,694,0,840.0836716626619
109,1425,0,1724.9556658673862
110,53,0,64.15624582785544
111,271,0,334.5302542368244
112,122,0,154.083256019036
113,462,1,338.93708800052127
114,396,0,479.3561008377523
115,50,0,60.524760215524
116,303,0,366.78004685547705
117,216,0,261.7970911133126
118,322,0,392.9483166320186
119,409,0,505.057774207062
120,734,0,894.6108871808425
121,144,0,174.3113094019097
122,760,0,919.9763551339503
123,972,0,1177.0168431586728
124,767,0,934.1133536247517
125,161,0,194.88972787178798
126,341,0,412.77886461167554
127,251,0,303.83429624173175
128,249,0,301.4133058335108
129,254,0,307.4657818540632
130,556,0,673.0353334954226
131,195,0,236.04656481154453
132,344,0,416.410350224007
133,450,0,544.722841859717
134,1063,0,1287.769901756199
135,288,0,348.62261879381975
136,398,0,481.7770912459733
137,251,0,303.83429624173175
138,580,0,704.9841197435328
139,1333,0,1614.131567865436
140,340,0,411.7861319452979
141,719,0,870.5827363237763
142,1104,0,1336.3867053479382
143,608,0,735.981084109165
144,273,0,330.70959715225746
145,19,0,23.605904663065388
146,223,0,269.9404305266381
147,634,0,767.4539594160361
148,373,0,451.5147111432111
149,503,0,610.3645326944182
150,750,1,906.6609578887355
151,950,0,1151.9991694579348
152,142,0,171.89031899368874
153,1444,1,1746.7446295413738
154,569,0,701.5603085416373
155,206,0,249.36201205675988
156,1192,0,1442.910283309656
157,260,0,316.5291621034965
158,641,2,773.5065354365883
159,2010,1,1679.7746208280846
160,206,0,249.36201205675988
161,120,0,146.363111117722
162,1035,1,1253.9976595751698
163,1991,2,2408.5525357023953
164,226,0,275.0949522473565
165,203,0,245.73052644442842
166,52,0,62.945750623744956
167,213,0,258.7736926295463
168,248,0,300.2028106294003
169,1015,0,1230.6240820813307
170,652,0,789.8577233686756
171,19,0,22.999408888099133
172,1170,0,1416.2793888192266
173,20,0,25.312861339361422
174,140,0,169.46932858546776
175,49,0,59.31426501141352
176,202,0,244.52003124031793
177,359,0,434.7562376014794
178,860,0,1041.0258755449934
179,369,0,447.4204077316326
180,739,0,894.3528915648385
181,438,0,532.7073318126423
182,444,0,537.4598706350545
183,406,0,491.4610528788572
184,19,0,24.403698766935427
185,387,0,468.46164400075793
186,114,0,137.9964532785951
187,289,0,349.83311399793024
188,737,0,900.9408717335657
189,736,0,890.9244702353
190,249,0,301.4133058335108
191,533,0,650.1332343287296
192,202,0,244.52003124031793
193,566,0,685.3200174367902
194,223,0,270.103141483605
195,135,0,163.45731227945473
196,152,0,189.17579640577566
197,1595,0,1937.3771603250423
198,622,0,753.0549774307398
199,191,0,231.20458399510258
200,393,0,475.72461522542085
201,278,0,336.5176667527149
202,308,0,372.8325228760295
203,1159,0,1402.9639415740119
204,262,0,317.1497434869471
205,274,0,331.67568593627294
206,1156,0,1399.4472245170434
207,305,0,369.201037263698
208,642,0,779.503318093975
209,142,0,177.1104761790009
210,305,0,369.201037263698
211,359,0,434.5677782856643
212,416,0,503.56600491996204
213,379,0,460.1246314789281
214,302,0,365.56955165136657
215,391,0,473.3036248171999
216,252,0,305.04479144584224
217,394,0,476.93511042953133
218,710,0,859.4515949284288
219,141,0,170.67982378957825
220,1093,0,1323.0712581027235
221,1025,0,1245.3977518813513
222,38,0,46.86083747070939
223,835,0,1027.7898660035632
224,143,0,173.53753169976304
225,698,0,844.9256524791036
226,1200,0,1452.880251804544
227,906,0,1096.7086549340731
228,163,0,197.31071828000896
229,1232,0,1493.7247976134379
230,1484,0,1797.902985085634
231,111,0,134.36496766626365
232,709,0,858.4070684359423
233,305,0,369.201037263698
234,252,0,305.04479144584224
235,243,1,292.9398894047374
236,463,0,560.4592795131526
237,548,0,663.3513718625392
238,614,0,743.2440553338275
239,464,0,561.6697747172631
240,164,0,198.52121348411944
241,1142,0,1382.8202262386746
242,1334,0,1614.800602293337
243,645,0,780.7694066612509
244,991,0,1200.164617951254
245,277,0,340.793473092461
246,269,0,339.4863177670703
247,132,0,160.5064234497497
248,402,0,502.19077361992544
249,111,0,134.36496766626365
250,522,0,640.9719992896343
251,307,0,372.90682916328075
252,259,0,313.51825787461564
253,507,0,613.7210684940115
254,1482,0,1800.1065947589004
255,153,0,185.2057662389041
256,618,0,748.2656488646625
257,113,0,136.78595807448463
258,251,0,303.83429624173175
259,572,0,692.4032567611895
260,268,0,324.41271471161
261,247,0,298.9923154252898
262,247,0,298.9923154252898
263,52,0,62.945750623744956
264,241,0,291.7293442006269
265,364,0,440.62025430621674
266,448,0,542.3018514514962
267,412,0,498.7240241035201
268,610,0,738.4020745173858
269,1555,0,1884.5253670406187
270,876,0,1060.462688330239
271,644,1,779.1109943136419
272,108,0,130.7334820539322
273,1890,0,2287.8359357787363
274,1316,0,1593.0116886193493
275,1300,0,1583.6775026961966
276,477,0,586.2246700823863
