episode,steps,actions,episode_reward
1,113,69,1.7469894992275307e-06
2,411,239,6.449031137263881e-06
3,203,109,3.2958973329336214e-06
4,601,334,9.59110131421045e-06
5,142,81,2.2448527314902017e-06
6,144,87,2.2669799862574316e-06
7,113,69,1.7469894992275307e-06
8,112,65,1.7691167539947604e-06
9,558,325,8.76132926043936e-06
10,745,442,1.1604681498028292e-05
11,125,64,2.0567710659687477e-06
12,181,103,2.8533522375890237e-06
13,714,404,1.1339154440821544e-05
14,53,28,8.729629359219586e-07
15,701,418,1.0918736600244192e-05
16,296,158,4.822677911872483e-06
17,206,118,3.2516428233991617e-06
18,251,133,4.103542131937512e-06
19,505,293,7.942620834051885e-06
20,248,134,4.0039694854849775e-06
21,206,113,3.3290882150844663e-06
22,483,281,7.5885847577762194e-06
23,249,147,3.8822695842652135e-06
24,52,24,8.840265633055733e-07
25,141,79,2.2337891041065868e-06
26,1285,748,2.0156865465562692e-05
27,1162,641,1.863008488662377e-05
28,1256,696,2.0101547328644615e-05
29,73,40,1.182744502663174e-06
30,71,30,1.2601898943484778e-06
31,479,285,7.45582122917284e-06
32,498,301,7.710284658995981e-06
33,2963,1450,4.2273056605409806e-05
34,1164,3,1.8701803813783785e-07
35,18,1,9.850901906891892e-08
36,301,1,9.850901906891892e-08
37,739,38,1.249126266964863e-06
38,225,129,3.56142439014038e-06
39,249,136,4.0039694854849775e-06
40,765,409,1.2401262669648538e-05
41,597,330,9.546846804675991e-06
42,558,130,1.235700816011408e-05
43,44,26,6.959448977841212e-07
44,1135,664,1.7778185578085388e-05
45,650,372,1.0265982584610934e-05
46,145,86,2.2780436136410466e-06
47,764,424,1.2224244631510705e-05
48,1069,629,1.6716077349258313e-05
49,249,147,3.871205956881598e-06
50,529,313,8.263466028176707e-06
51,419,244,6.58179466586726e-06
52,889,528,1.3850597856902039e-05
53,259,146,4.114605759321127e-06
54,2673,1510,4.242794738878043e-05
55,1062,599,1.6870968132628928e-05
56,157,88,2.4993161613133455e-06
57,1195,640,1.9360284293942386e-05
58,297,157,4.844805166639713e-06
59,994,543,1.5974814314556083e-05
60,389,214,6.260949471742426e-06
61,18,11,2.7552705720675677e-07
62,1561,821,2.5456342982314453e-05
63,55,29,9.06153818072803e-07
64,948,512,1.5299933044155546e-05
65,206,122,3.207388313864702e-06
66,1114,585,1.8198603418662772e-05
67,269,137,4.446514580829575e-06
68,638,335,1.0431936995365153e-05
69,101,56,1.6252895980077676e-06
70,1371,746,2.2082211407135666e-05
71,461,253,7.422630347021996e-06
72,383,210,6.1724404526735066e-06
73,126,40,2.355489005326351e-06
74,454,257,7.201357799349697e-06
75,141,17,3.1299429221793973e-06
76,1098,548,1.8227454896583198e-05
77,701,361,1.152723610634299e-05
78,609,2,7.512630347021952e-07
79,19,1,3.1978156674121623e-07
80,1070,3,1.831437682619046e-06
81,356,3,2.5339980243952704e-07
82,1122,4,8.729629359219586e-07
83,815,1,6.516903882496618e-07
84,303,3,1.1384899931287147e-06
85,894,4,1.0942354835942553e-06
86,334,1,1.0278537192925663e-06
87,110,3,2.0914529290506758e-07
88,431,1,5.425450953445946e-08
89,368,1,7.844539168530399e-07
90,718,1,2.1342164576540523e-06
91,331,1,1.5589078337060786e-06
92,131,3,8.065811716202695e-07
93,820,1,4.54608722728211e-06
94,721,1,2.156343712421282e-06
95,463,3,5.853086239479728e-07
96,51,3,8.287084263874992e-07
97,464,1,4.457578208213191e-06
98,486,0,1.0763845816873589e-05
99,1185,1,1.427635286033784e-07
100,476,0,1.0542573269201298e-05
101,114,0,2.5325070434641903e-06
102,957,0,2.118578281223892e-05
103,978,0,2.1650455162350767e-05
104,3014,0,6.67015458684308e-05
105,140,0,3.1078156674121674e-06
106,722,0,1.59858779419397e-05
107,305,0,6.758812704005099e-06
108,658,0,1.4569733636836984e-05
109,205,0,4.54608722728211e-06
110,205,0,4.54608722728211e-06
111,3281,0,7.255994668837554e-05
112,521,0,1.1538299733726605e-05
113,19,0,4.304178405773649e-07
114,305,0,6.758812704005099e-06
115,419,0,9.281319747469243e-06
116,1225,0,2.711588708985676e-05
117,256,0,5.6745772204108345e-06
118,537,0,1.189233581000227e-05
119,955,0,2.114152830270446e-05
120,387,0,8.573247594917914e-06
121,995,0,2.202661849339369e-05
122,1357,0,3.0036684719131216e-05
123,711,0,1.574247813950016e-05
124,52,0,1.1606172478959444e-06
125,864,0,1.9127948118886463e-05
126,140,0,3.1078156674121674e-06
127,1255,0,2.7774514279674577e-05
128,788,0,1.7446276756576927e-05
129,887,0,1.963687497853277e-05
130,301,0,6.6703036849361795e-06
131,826,0,1.8287112437731695e-05
132,695,0,1.538844206322447e-05
133,1129,0,2.4991670632202608e-05
134,288,0,6.382649372962191e-06
135,463,0,1.025491895722732e-05
136,619,1,1.3695707073531436e-05
137,135,0,2.997179393576018e-06
138,960,0,2.1252164576540614e-05
139,195,0,4.324814679609811e-06
140,133,0,2.952924884041558e-06
141,759,0,1.6804586368327236e-05
142,115,0,2.55463429823142e-06
143,1185,0,2.623079689916753e-05
144,294,0,6.51541290156557e-06
145,1657,0,3.6674861149300436e-05
146,1608,0,3.559062566570613e-05
147,905,0,1.9792328412761347e-05
148,684,0,1.5121603485227533e-05
149,1028,0,2.2756817900712304e-05
150,272,1,6.017549669302897e-06
151,1733,0,3.835653251160997e-05
152,225,0,4.988632322626708e-06
153,453,0,1.003364640955503e-05
154,19,0,4.304178405773649e-07
155,250,1,5.53075006442384e-06
156,185,0,4.103542131937512e-06
157,254,0,5.630322710876375e-06
158,1177,0,2.6053778861029683e-05
159,38,0,8.508356811547289e-07
160,416,1,9.20387435578394e-06
161,412,0,9.12642896409864e-06
162,573,0,1.2688916981622515e-05
163,206,0,4.56821448204934e-06
164,968,1,2.1418118987294844e-05
165,257,0,5.696704475178064e-06
166,366,0,8.108575244806104e-06
167,20,0,4.304188512041324e-07
168,1040,0,2.2980009362171296e-05
169,108,0,2.399743514860811e-06
170,453,1,1.0022582782171415e-05
171,53,0,1.182744502663174e-06
172,379,0,8.396229556780081e-06
173,944,0,2.0898128500264922e-05
174,208,0,4.6124689915838e-06
175,381,1,8.429420438930924e-06
176,1483,0,3.282471881980229e-05
177,803,0,1.7778185578085388e-05
178,274,0,6.0728678062209725e-06
179,251,1,5.55287731919107e-06
180,307,0,6.803067213539559e-06
181,1373,0,3.0390720795406907e-05
182,2697,1,5.967614247983678e-05
183,394,0,8.728138378288517e-06
184,829,0,1.8353494202033387e-05
185,304,0,6.736685449237869e-06
186,607,0,1.3441243643708303e-05
187,511,0,1.1317027186054315e-05
188,183,0,4.059287622403053e-06
189,385,0,8.528993085383455e-06
190,1838,0,4.06798942621692e-05
191,146,0,3.2405791960155467e-06
192,165,0,3.6609970365929146e-06
193,347,1,7.677093776845136e-06
194,458,0,1.0144282683391175e-05
195,252,0,5.586068201341915e-06
196,142,0,3.152070176946627e-06
197,953,0,2.109727379317e-05
198,143,0,3.174197431713857e-06
199,463,0,1.025491895722732e-05
200,38,0,8.508356811547289e-07
201,219,0,4.855868794023329e-06
202,202,0,4.4797054629804205e-06
203,578,1,1.2745160181949028e-05
204,143,0,3.174197431713857e-06
205,702,0,1.5543332846595084e-05
206,392,0,8.683883868754059e-06
207,509,0,1.1272772676519857e-05
208,474,0,1.049831875966684e-05
209,204,0,4.52395997251488e-06
210,656,0,1.4525479127302526e-05
211,734,0,1.6251404999146467e-05
212,573,0,1.2688916981622515e-05
213,353,0,7.820920932832126e-06
214,645,0,1.4282079324863006e-05
215,568,0,1.257828070778637e-05
216,571,0,1.2644662472088057e-05
217,305,0,6.758812704005099e-06
218,53,0,1.182744502663174e-06
219,822,0,1.8198603418662772e-05
220,1574,0,3.4838299003620285e-05
221,1492,0,3.3023864112707365e-05
222,467,0,1.0343427976296237e-05
223,171,0,3.793760565196294e-06
224,1380,0,3.054561157877752e-05
225,278,0,6.161376825289892e-06
226,138,0,3.0635611578777076e-06
227,53,0,1.182744502663174e-06
228,1629,0,3.5995205735686154e-05
229,134,0,2.975052138808788e-06
230,382,0,8.462611321081768e-06
231,269,0,5.9412422221787155e-06
232,1123,0,2.4858907103599223e-05
233,200,0,4.435450953445961e-06
234,853,0,1.8884548316446925e-05
235,470,0,1.0409809740597924e-05
236,158,0,3.4851560300186255e-06
237,50,0,1.116362738361485e-06
238,466,0,1.0321300721529008e-05
239,367,0,8.130702499573333e-06
240,611,0,1.3529752662777219e-05
241,229,0,5.0771413416956275e-06
242,803,0,1.7778185578085388e-05
243,236,0,5.232032125066237e-06
244,368,0,8.152829754340562e-06
245,140,0,3.1078156674121674e-06
246,1523,1,2.4836779848831993e-05
247,204,0,4.52395997251488e-06
248,205,0,4.54608722728211e-06
249,113,0,2.5103797886969604e-06
250,1130,0,2.501379788696984e-05
251,250,0,5.541813691807455e-06
