episode,steps,actions,episode_reward
1,693,397,505.58219242879613
2,871,495,595.2216963615596
3,725,408,496.6038759138808
4,476,254,346.36800570166974
5,942,512,682.5062759619477
6,668,373,460.221317937096
7,1816,335,452.41655562383073
8,2012,422,1403.6391165125576
9,145,76,197.95250718330635
10,207,108,377.4298181846447
11,969,465,2228.6873864068734
12,229,113,493.05936323855065
13,143,62,284.27064254482184
14,104,63,114.38791193573724
15,303,157,629.0946045175243
16,668,353,1399.5550636491803
17,164,86,333.22426952627484
18,297,154,609.453358562941
19,206,99,420.1695872223172
20,144,81,236.71264141617772
21,948,477,2043.622959543595
22,2466,1246,5347.568219481719
23,207,115,396.3108359072075
24,643,364,1106.8565430086676
25,935,463,1813.6750419127322
26,1023,522,2058.1400166885587
27,307,187,721.2719698053963
28,1008,627,2237.8378142405904
29,300,150,511.54352303326993
30,381,214,831.226229045226
31,343,243,593.9084826184561
32,51,31,36.892974430080585
33,349,235,562.265963411286
34,309,181,601.3633297523606
35,682,338,1345.2153136638183
36,800,210,1512.156905044342
37,204,131,437.2753000375316
38,816,467,1700.177285428844
39,307,174,640.2151286095012
40,200,127,452.17156430237367
41,20,14,39.250475907211595
42,1278,781,2871.530259033797
43,512,335,1147.2645411243238
44,416,296,751.5635646388429
45,365,232,821.2344196692824
46,1533,846,2961.9792656786412
47,252,161,554.3862030663618
48,411,236,784.9932067148197
49,1152,748,2037.788073273513
50,191,95,326.20973860399835
51,729,535,1457.5372954243137
52,801,578,1837.0680382511885
53,113,69,101.0643158320365
54,1811,1183,3789.845285389684
55,451,377,897.9724221908064
56,917,772,1946.7251116516288
57,50,29,39.27695760639474
58,792,650,1524.364009559529
59,195,145,285.05582999940685
60,749,403,1609.9090501329401
61,463,209,892.3080271853006
62,447,327,832.7409313523586
63,304,161,591.5270484739401
64,1129,841,2467.631110746646
65,114,78,232.65752032573923
66,254,178,514.1189313210971
67,250,167,478.2801378371305
68,160,114,286.85925916591395
69,80,49,114.83987656335823
70,499,361,812.4759293524938
71,600,411,1276.496394664821
72,143,99,253.11006618220313
73,952,609,1982.1955565873252
74,652,438,1306.865064114619
75,161,109,246.95926171963487
76,322,215,631.2140259100652
77,51,34,86.22534930593892
78,556,359,1105.2237608399066
79,1278,891,2614.364001249422
80,442,255,936.7486117339267
81,105,72,190.1019774819537
82,19,16,47.0555105185604
83,1643,1135,3454.159422465879
84,355,226,575.5624114876849
85,1433,992,3053.632590087179
86,457,362,989.3285488266881
