episode,steps,actions,episode_reward
1,401,218,1e-08
2,840,466,1e-08
3,428,237,1e-08
4,1076,613,1e-08
5,1760,975,1e-08
6,1704,286,1e-08
7,113,3,1e-08
8,305,1,1e-08
9,1275,214,1e-08
10,305,151,1e-08
11,402,209,1e-08
12,460,227,1e-08
13,462,225,1e-08
14,226,144,1e-08
15,243,170,1e-08
16,1124,588,1e-08
17,1214,788,1e-08
18,1378,764,1e-08
19,713,332,1e-08
20,350,172,1e-08
21,418,225,1e-08
22,505,173,1e-08
23,341,192,1e-08
24,1294,652,1e-08
25,145,62,1e-08
26,215,123,1e-08
27,165,98,1e-08
28,469,280,1e-08
29,763,413,1e-08
30,906,583,1e-08
31,342,192,1e-08
32,311,200,1e-08
33,19,12,1e-08
34,51,33,1e-08
35,381,245,1e-08
36,19,11,1e-08
37,1720,1008,1e-08
38,1218,772,1e-08
39,823,322,1e-08
40,476,178,1e-08
41,1664,984,1e-08
42,19,17,1e-08
43,938,579,1e-08
44,204,61,1e-08
45,249,128,1e-08
46,1223,653,1e-08
47,249,171,1e-08
48,94,43,1e-08
49,193,142,1e-08
50,205,153,1e-08
51,528,249,1e-08
52,803,79,1e-08
53,112,64,1e-08
54,420,321,1e-08
55,1782,1438,1e-08
56,51,32,1e-08
57,1812,1492,1e-08
58,3245,2556,1e-08
59,849,594,1e-08
60,694,428,1e-08
61,684,534,1e-08
62,1327,754,1e-08
63,627,469,1e-08
64,52,35,1e-08
65,306,198,1e-08
66,1528,1202,1e-08
67,52,29,1e-08
68,391,253,1e-08
69,102,59,1e-08
70,1009,739,1e-08
71,1314,898,1e-08
72,457,331,1e-08
73,1457,980,1e-08
74,89,42,1e-08
75,224,118,1e-08
76,1637,943,1e-08
77,552,307,1e-08
78,391,245,1e-08
79,717,488,1e-08
80,51,30,1e-08
81,2641,1783,1e-08
82,449,383,1e-08
83,1728,1219,1e-08
84,143,140,1e-08
85,1082,869,1e-08
86,296,244,1e-08
87,927,744,1e-08
88,1111,1105,1e-08
89,607,499,1e-08
90,622,597,1e-08
91,105,58,1e-08
92,513,404,1e-08
93,1518,1012,1e-08
94,1401,1329,1e-08
95,943,662,1e-08
96,356,232,1e-08
97,51,35,1e-08
98,202,119,1e-08
99,635,402,1e-08
100,767,509,1e-08
101,242,171,1e-08
102,624,392,1e-08
103,465,462,1e-08
104,52,47,1e-08
105,451,275,1e-08
106,19,18,1e-08
107,50,41,1e-08
108,146,82,1e-08
109,1162,730,1e-08
110,418,415,1e-08
111,244,231,1e-08
112,543,338,1e-08
113,326,221,1e-08
114,969,779,1e-08
115,1120,1012,1e-08
116,19,18,1e-08
117,38,35,1e-08
118,140,82,1e-08
119,1756,1077,1e-08
120,224,129,1e-08
121,52,46,1e-08
122,417,217,1e-08
123,765,404,1e-08
124,175,107,1e-08
125,728,379,1e-08
126,958,943,1e-08
127,226,137,1e-08
128,279,183,1e-08
129,156,132,1e-08
130,1170,801,1e-08
131,322,233,1e-08
132,20,20,1e-08
133,310,274,1e-08
134,19,18,1e-08
135,204,195,1e-08
136,449,326,1e-08
137,797,681,1e-08
138,592,417,1e-08
139,303,195,1e-08
140,312,231,1e-08
141,418,382,1e-08
142,628,491,1e-08
143,304,187,1e-08
144,114,73,1e-08
145,1034,684,1e-08
146,206,131,1e-08
147,52,27,1e-08
148,113,66,1e-08
149,111,63,1e-08
150,136,97,1e-08
151,2215,1647,1e-08
152,1114,767,1e-08
153,809,509,1e-08
154,379,261,1e-08
155,52,34,1e-08
156,858,498,1e-08
157,1082,609,1e-08
158,472,276,1e-08
159,274,136,1e-08
160,302,172,1e-08
161,791,442,1e-08
162,52,33,1e-08
163,487,264,1e-08
164,498,310,1e-08
165,479,296,1e-08
166,211,119,1e-08
167,322,171,1e-08
168,350,198,1e-08
169,556,322,1e-08
170,411,244,1e-08
171,457,245,1e-08
172,161,81,1e-08
173,749,390,1e-08
174,434,248,1e-08
175,341,201,1e-08
176,1008,564,1e-08
177,6,4,1e-08
178,52,38,1e-08
179,2747,1992,1e-08
180,413,203,1e-08
181,915,624,1e-08
182,867,468,1e-08
183,119,67,1e-08
184,596,303,1e-08
185,627,483,1e-08
186,611,594,1e-08
187,1255,1056,1e-08
188,207,203,1e-08
189,144,112,1e-08
190,445,171,1e-08
191,1635,893,1e-08
192,112,78,1e-08
193,1333,708,1e-08
194,246,135,1e-08
195,1786,1590,1e-08
196,417,208,1e-08
197,384,192,1e-08
198,83,35,1e-08
199,281,258,1e-08
200,305,161,1e-08
201,448,328,1e-08
202,1703,928,1e-08
203,113,85,1e-08
204,475,322,1e-08
205,1506,760,1e-08
206,165,102,1e-08
207,905,289,1e-08
208,647,160,1e-08
209,1046,285,1e-08
210,722,211,1e-08
211,303,72,1e-08
212,747,211,1e-08
213,508,99,1e-08
214,126,103,1e-08
215,102,83,1e-08
216,112,43,1e-08
217,412,137,1e-08
218,1018,197,1e-08
219,905,232,1e-08
220,19,16,1e-08
221,1036,569,1e-08
222,51,44,1e-08
223,303,98,1e-08
224,1548,526,1e-08
225,255,63,1e-08
226,144,44,1e-08
227,2207,909,1e-08
228,1888,1200,1e-08
229,198,78,1e-08
230,805,540,1e-08
231,586,185,1e-08
232,269,114,1e-08
233,205,82,1e-08
234,143,60,1e-08
235,18,12,1e-08
