episode,steps,actions,episode_reward
1,52,28,1e-08
2,158,98,1e-08
3,442,258,1e-08
4,144,91,1e-08
5,203,112,1e-08
6,1008,582,1e-08
7,566,293,1e-08
8,373,1,1e-08
9,444,3,1e-08
10,305,3,1e-08
11,219,3,1e-08
12,684,3,1e-08
13,417,13,1e-08
14,1166,669,1e-08
15,203,102,1e-08
16,1418,826,1e-08
17,677,389,1e-08
18,249,152,1e-08
19,302,173,1e-08
20,415,241,1e-08
21,225,128,1e-08
22,305,174,1e-08
23,24,15,1e-08
24,1,1,1e-08
25,838,472,1e-08
26,518,313,1e-08
27,3344,651,1e-08
28,201,3,1e-08
29,647,243,1e-08
30,203,117,1e-08
31,641,353,1e-08
32,859,376,1e-08
33,883,360,1e-08
34,868,289,1e-08
35,459,204,1e-08
36,147,45,1e-08
37,19,11,1e-08
38,279,117,1e-08
39,94,46,1e-08
40,130,41,1e-08
41,831,218,1e-08
42,1557,539,1e-08
43,19,11,1e-08
44,477,154,1e-08
45,1662,581,1e-08
46,476,238,1e-08
47,1625,910,1e-08
48,1575,970,1e-08
49,251,123,1e-08
50,633,300,1e-08
51,373,142,1e-08
52,253,152,1e-08
53,138,85,1e-08
54,173,68,1e-08
55,1482,571,1e-08
56,526,254,1e-08
57,611,202,1e-08
58,359,171,1e-08
59,251,162,1e-08
60,324,153,1e-08
61,51,26,1e-08
62,643,276,1e-08
63,131,79,1e-08
64,411,232,1e-08
65,1595,690,1e-08
66,1225,639,1e-08
67,142,91,1e-08
68,1699,886,1e-08
69,337,244,1e-08
70,40,26,1e-08
71,136,57,1e-08
72,782,391,1e-08
73,963,441,1e-08
74,897,476,1e-08
75,52,24,1e-08
76,802,361,1e-08
77,302,155,1e-08
78,456,222,1e-08
79,111,71,1e-08
80,1020,449,1e-08
81,875,393,1e-08
82,143,90,1e-08
83,1581,996,1e-08
84,142,112,1e-08
85,597,482,1e-08
86,911,443,1e-08
87,230,107,1e-08
88,613,348,1e-08
89,19,14,1e-08
90,860,428,1e-08
91,433,277,1e-08
92,944,656,1e-08
93,556,274,1e-08
94,446,256,1e-08
95,316,193,1e-08
