episode,steps,actions,episode_reward
1,52,29,40.87608056366483
2,609,363,477.1617455334398
3,795,455,626.9335196624049
4,52,28,40.97692239706533
5,207,114,165.41123118756016
6,880,463,616.7300846095868
7,347,3,7.265146991812225
8,72,3,4.611620853990141
9,485,3,2.9911014447572906
10,882,3,4.611620853990141
11,19,3,9.917336407064159
12,616,13,19.87170549230427
13,3468,1995,2730.607835832837
14,550,345,416.9304624196788
15,19,13,34.570523116936464
16,139,82,108.51544971887965
17,246,150,191.0762382406197
18,221,149,161.69964764497587
19,341,186,273.59477025730786
20,344,204,265.2101555237823
21,1649,937,1304.0982376737627
22,300,165,239.40884155617084
23,1046,124,164.41442120001201
24,2203,232,1218.2990172743368
25,546,254,971.5847778072938
26,1402,682,2724.7405580543646
27,422,133,861.8055308722509
28,734,289,1417.3733509202277
29,217,75,449.2732597301522
30,608,175,1349.29953245861
31,161,68,338.95971556459364
32,275,97,474.1094530815661
33,93,31,190.170803655593
34,966,474,1889.0777954661778
35,603,178,1282.2308364673604
36,335,204,359.3412155436688
37,971,479,1742.409546537589
38,1142,398,2340.1906268737707
39,600,378,1071.788503619072
40,51,27,33.492633040268466
41,2388,974,5039.128841685399
42,1730,803,3383.812203893926
43,454,216,768.0183600228356
44,322,139,686.1513873847682
45,438,276,394.82869300691954
46,124,77,93.5777148950614
47,211,95,369.7090061054241
48,299,150,517.1925038708262
49,502,264,807.5574332971606
50,511,222,1032.5560901854485
51,2489,1125,5084.698034576011
52,397,275,757.3321450385124
53,18,11,24.865704475522545
54,411,171,883.0510937794314
55,350,229,625.509169360389
56,305,147,702.7257217649192
57,1083,513,2449.0407518071365
58,940,516,1933.171780327713
59,535,330,884.7499682602713
60,1139,632,2191.5597697605813
61,303,176,373.9761239361463
62,19,10,18.06109040151245
63,315,138,641.0260790824839
64,39,27,34.881106434229785
65,10,7,5.243252722716972
66,1859,943,3383.9966913438825
67,588,328,727.3262151201881
68,335,188,331.8214471964773
69,52,28,36.3682857992734
70,301,147,569.540046381475
71,1051,487,2181.744256775519
72,319,202,652.300087269324
73,1369,685,2583.778915991476
74,299,124,723.549987120171
75,203,107,297.42858763874557
76,2704,1464,5578.962657636453
77,920,734,1468.4587570797473
78,238,121,484.24372328680715
79,940,576,1763.1248540427657
80,305,164,571.3913967594983
81,1182,893,2278.362073769029
82,254,175,184.85976983199592
83,492,244,1070.7863491288963
84,562,253,1256.8851007277171
85,725,373,1450.0379232773175
86,113,70,73.14574664591582
87,216,123,413.14917121892944
88,530,297,939.8011843291288
89,323,171,681.9424722834354
90,607,322,1262.4774035600788
91,525,369,958.8483876693442
92,302,148,676.7384782813425
93,113,75,80.24874603703078
94,357,199,612.5134557963052
95,804,605,1514.6287291085616
96,299,208,379.7627877289043
97,462,262,748.9035865061657
98,651,461,1251.6022303033906
99,725,602,1378.834522962623
100,357,191,798.7362563379226
101,52,28,38.7387804688297
102,1008,549,2170.6513873633935
103,51,30,35.57959252159981
104,206,120,142.0054441899875
105,370,224,625.8565636916444
106,647,350,1415.3934751780637
107,2242,1529,4601.408483458589
108,738,381,1704.6339585245655
109,166,90,355.6444558398985
110,1861,1085,3506.8394013039097
111,207,136,143.20080374734616
112,276,172,450.71703927424073
113,143,95,112.79473580766836
114,253,158,426.38316673605755
115,698,551,1384.1411397776026
116,264,143,467.99588362571575
117,1545,820,3171.9950243623857
118,504,273,834.021632198043
119,466,281,609.5092702929875
120,671,373,1460.4233910932217
121,429,256,742.7846096941547
