episode,steps,actions,episode_reward
1,305,160,1.000094308248376e-08
2,1213,629,1.0003787472043135e-08
3,142,84,1.0000417980878103e-08
4,251,153,1.0000733041841498e-08
5,558,304,1.0001703429608752e-08
6,485,275,1.0001457682057304e-08
7,832,460,1.0002537290958535e-08
8,348,192,1.0001056504430582e-08
9,112,64,1.0000333964621198e-08
10,1048,591,1.0003154810446788e-08
11,554,327,1.0001642517822496e-08
12,1224,695,1.0003688313678136e-08
13,463,260,1.0001394669864626e-08
14,1132,641,1.0003425762875307e-08
15,642,353,1.0001955478379467e-08
16,558,304,1.0001711831234442e-08
17,133,71,1.0000405378439568e-08
18,116,61,1.0000361269904692e-08
19,1754,835,1.0005616486774109e-08
20,1787,942,1.0005526169297936e-08
21,927,505,1.0002835548670549e-08
22,1523,716,1.0004893946964725e-08
23,556,259,1.000179794789777e-08
24,392,174,1.0001283348324226e-08
25,955,470,1.0003026685655008e-08
26,143,82,1.0000426382503794e-08
27,250,130,1.0000781351189218e-08
28,891,490,1.0002715825504459e-08
29,51,29,1.0000153329668852e-08
30,113,62,1.0000342366246889e-08
31,542,286,1.0001680325138103e-08
32,370,198,1.0001140520687487e-08
33,303,161,1.000093468085807e-08
34,19,7,1.0000061516095019e-08
35,674,384,1.0002024791791414e-08
36,453,253,1.0001371565393977e-08
37,252,138,1.000076664834426e-08
38,1601,415,1.0004877143713704e-08
39,963,292,1.0003952967762224e-08
40,53,21,1.0000180634952346e-08
41,886,339,1.0003515630903844e-08
42,1002,280,1.0004120997401197e-08
43,1536,485,1.0006163299305935e-08
44,391,153,1.0001457075508919e-08
45,1479,421,1.0006137701677545e-08
46,18,4,1.0000065112599102e-08
47,25,8,1.0000094518289018e-08
48,1119,358,1.0004590193148712e-08
49,590,206,1.0002371230050026e-08
50,250,113,1.000091209712118e-08
51,1911,653,1.0007746298887817e-08
52,412,145,1.0001663783552481e-08
53,113,47,1.0000457888600133e-08
54,778,256,1.00029251666772e-08
55,2433,1043,1.0009397053201107e-08
56,53,31,1.0000189036578037e-08
57,159,98,1.0000505875784788e-08
58,479,294,1.0001809020679627e-08
59,257,100,1.0001041801585624e-08
60,339,177,1.000120131691774e-08
61,316,139,1.0001281247917804e-08
62,324,155,1.0001130018655374e-08
63,442,229,1.0001677535495978e-08
64,96,51,1.000031086015055e-08
65,614,427,1.000249318242366e-08
66,113,56,1.0000357069091847e-08
67,341,153,1.0001281247917804e-08
68,224,108,1.0000894773253045e-08
69,70,35,1.0000237347817976e-08
70,252,138,1.0001018697115223e-08
71,323,162,1.000116678114503e-08
72,620,283,1.0002283168076165e-08
73,606,359,1.0002140316181558e-08
74,253,125,1.0001022897927944e-08
75,144,79,1.0000571310655413e-08
76,19,13,1.0000063012192679e-08
77,786,385,1.0003144308414675e-08
78,19,15,1.0000067213032777e-08
79,490,383,1.0001988601512002e-08
80,442,226,1.0001805338946739e-08
81,2599,1695,1.0010549491867835e-08
82,895,522,1.0003391838037663e-08
83,203,114,1.0000625921113944e-08
84,503,333,1.0002052115134963e-08
85,251,136,1.0000951417177692e-08
86,137,71,1.0000520900792862e-08
87,64,36,1.0000226887657469e-08
88,829,651,1.0003248007667744e-08
89,291,219,1.0001203532880166e-08
90,803,428,1.000319681857524e-08
91,204,103,1.0000676330868087e-08
92,1406,744,1.000541781879346e-08
93,304,149,1.000114262109391e-08
94,468,248,1.0001915570657437e-08
95,20,11,1.0000067213005524e-08
96,1387,779,1.0005426302140943e-08
97,555,298,1.0002162642050092e-08
98,780,429,1.0003201019388086e-08
99,392,205,1.0001440878805923e-08
100,143,86,1.0000426382503794e-08
101,205,122,1.0000745644280033e-08
102,116,78,1.000033606502762e-08
103,250,160,1.0000919978192421e-08
104,472,272,1.000189551057569e-08
105,51,30,1.0000155430075275e-08
106,618,451,1.0002375986890896e-08
107,436,255,1.0001685073718235e-08
108,144,70,1.000045578819371e-08
109,62,41,1.0000205845769925e-08
110,542,383,1.0001915618261678e-08
111,413,213,1.0001663521886722e-08
112,1252,1021,1.0004967444800023e-08
113,438,237,1.0001663521886722e-08
114,144,89,1.0000451298762113e-08
115,250,189,1.0000955684922296e-08
