episode,steps,actions,episode_reward
1,462,240,5.069840604547196e-08
2,1187,648,1.1263852401818658e-07
3,249,139,3.142021370814291e-08
4,559,306,5.843348321785707e-08
5,294,158,3.5585255262504116e-08
6,1031,605,9.66923649243465e-08
7,347,172,4.09998092831737e-08
8,320,170,3.802477960148712e-08
9,543,306,5.6469963627943925e-08
10,1170,708,1.0698596762298207e-07
11,800,469,7.735467199338373e-08
12,52,33,1.4224542147994887e-08
13,523,304,5.403043928896093e-08
14,2330,1320,2.0861298154938576e-07
15,133,75,2.1543115164943685e-08
16,475,222,5.337593275898988e-08
17,144,76,2.2554625256717093e-08
18,51,23,1.4581545709797271e-08
19,701,347,7.283262687722012e-08
20,2562,1303,2.3735176827447494e-07
21,521,297,5.438744285076332e-08
22,296,158,3.576375704340532e-08
23,625,301,6.640656276477711e-08
24,729,336,7.670016546341267e-08
25,946,416,9.776337560975367e-08
26,601,282,6.474054614303262e-08
27,353,191,4.052380453410385e-08
28,141,81,2.2019119914013525e-08
29,1149,660,1.074024717784182e-07
30,52,29,1.446254452252981e-08
31,114,68,1.9460594387763134e-08
32,540,296,5.658896481521139e-08
33,371,205,4.195181878131341e-08
34,304,161,3.659676535427756e-08
35,19,10,1.148751484084327e-08
36,1120,610,1.0710496881024954e-07
37,251,141,3.147971430177664e-08
38,728,338,7.875737278017385e-08
39,143,53,2.3863638316659153e-08
40,731,217,9.312864026277158e-08
41,251,105,3.815950459958578e-08
42,608,200,7.909230994797095e-08
43,102,29,2.0234102105001626e-08
44,937,340,1.1319101163804506e-07
45,553,134,7.449864349896461e-08
46,251,91,3.7324206017242424e-08
47,194,60,3.1525505860746885e-08
48,530,147,7.152393593270688e-08
49,113,49,2.1186111603141305e-08
50,113,34,2.2435624069449633e-08
51,319,109,4.296686939821375e-08
52,303,94,4.462934549483133e-08
53,160,51,2.789653464558332e-08
54,1251,276,1.5565746879629422e-07
55,413,115,5.523544345418575e-08
56,235,103,3.52282539554016e-08
57,26,11,1.2856028494419079e-08
58,116,47,2.1721616945844874e-08
59,639,193,7.846074878772455e-08
60,572,211,7.239845758608865e-08
61,385,142,5.333925438125995e-08
62,1889,626,2.2604665548406718e-07
63,254,111,3.666857645734462e-08
64,250,90,3.725127188424861e-08
65,2392,898,2.850105347408946e-07
66,1109,226,1.3890109866074512e-07
67,212,98,3.304921303160154e-08
68,478,255,6.317281943895913e-08
