episode,steps,actions,episode_reward
1,1045,572,680.171242186121
2,19,10,18.65346939734852
3,316,170,205.14400015259199
4,1575,873,1023.4779544679484
5,301,194,189.3754133906921
6,251,138,168.05595224772074
7,142,80,93.56596694957176
8,790,459,440.5704694444739
9,204,123,134.08436040971597
10,221,119,157.46736489862633
11,113,66,75.21738663380013
12,866,504,510.63727246251545
13,315,167,193.317996558736
14,132,72,85.15308533200907
15,464,274,277.55174411227495
16,257,144,152.98851014208464
17,853,463,534.3920880059311
18,548,310,326.4662372630181
19,1588,918,915.5627670441469
20,169,82,114.37042586398513
21,941,450,630.5613176446312
22,758,356,510.2235133696917
23,1229,649,924.0336836077981
24,808,453,483.54442664571263
25,671,356,410.7022234046258
26,777,410,487.553737865279
27,19,7,16.35478938461343
28,1282,562,880.7944385035354
29,640,282,440.05592447618375
30,853,446,547.2571886765702
31,699,390,418.7454165316785
32,491,255,301.30283509041845
33,663,358,403.45944615982637
34,122,69,72.78995764384717
35,249,150,145.04149647792684
36,373,213,209.47401476451145
37,874,491,523.1061554581537
38,1066,543,787.1015336516327
39,255,94,284.3975399134851
40,446,125,792.2867221929885
41,282,159,495.5095730304676
42,954,296,1555.934099826955
43,164,54,273.82696701274875
44,1336,426,2192.743069464269
45,441,140,750.6925825789426
46,322,179,402.05200084748145
47,203,80,412.4885116851671
48,551,157,1055.040769082368
49,462,167,842.9063885578221
50,249,75,287.74239387218563
51,1411,401,2058.22982204153
52,240,82,252.59522407706334
53,249,102,372.79123206041936
54,70,32,85.73741128146891
55,346,101,641.9441352436246
56,112,50,111.58631874723213
57,774,256,1553.1125491640971
58,161,60,265.0029720267965
59,19,7,37.9195021919825
60,475,217,959.8708902970476
61,2092,824,3978.416410333339
62,114,31,121.52697918666189
63,501,183,854.7554307390212
64,1153,436,2191.1931978550906
65,1359,634,2447.9410218890835
66,259,124,347.35511731103594
67,161,76,276.1285736117709
68,738,477,1457.1414456845507
69,342,215,562.8096903722453
70,115,65,145.06079663638485
71,348,229,584.443505957289
72,52,33,45.80728845191658
73,264,133,353.8257392193778
74,296,115,408.93545841857764
75,44,21,35.979645718243695
76,185,107,347.45494600510625
77,1138,450,2239.2468777950467
78,19,9,31.542285418840844
79,71,28,91.12347372390182
80,569,351,799.8797677020908
81,437,241,839.3669601431553
82,189,102,154.12004878118057
83,856,518,1435.1576618287907
84,942,511,1561.478629066514
85,323,215,417.1496141338629
86,165,93,224.7549886886066
87,489,234,1032.3949121406579
88,467,239,909.293328040458
89,550,309,710.3521036312573
90,112,64,124.5020319244329
91,1004,511,1703.5769940569737
92,284,166,241.32599270840336
93,1053,541,2047.840395066324
94,482,266,774.3704691681628
95,621,447,1057.5022347370266
96,250,138,319.6194799985089
97,621,399,1091.755122334314
98,19,8,27.08590146820171
99,135,72,186.7631509551277
100,144,72,172.62141631372705
101,209,111,305.16380715025423
102,51,23,49.589931608651064
103,554,452,1106.4204762909305
104,151,80,237.31789075923584
105,155,84,332.5874749636639
106,89,64,130.3200057544719
107,1518,1041,2578.1937204761825
108,161,99,165.72475035406998
109,306,175,390.30579738284405
110,223,130,381.8720917380583
111,304,235,539.3748548307348
112,627,347,930.5979212189263
113,252,134,204.29272404640312
114,19,13,18.167776944598117
115,1320,755,2393.874195690085
116,395,212,696.4030602428327
117,348,214,551.0320203515339
118,811,687,1362.4294877162024
119,71,41,74.72272153939154
120,616,244,1098.4443285196496
121,436,182,821.2364710966268
122,161,105,289.2427463047161
123,54,32,38.95682443968818
124,430,210,746.8107734490411
125,2356,1355,3701.707282157817
126,357,199,595.1612738831926
127,424,255,579.5286478119688
128,183,110,329.3842544502646
129,599,360,829.8329305290479
130,973,515,1700.9938971677195
131,1995,1096,3792.995783733534
132,711,336,1099.4747817878242
133,449,271,658.4751469163557
134,52,41,67.95922238888357
135,434,338,667.2652331195812
136,306,159,531.0136665264804
137,18,15,39.67944111190436
138,713,424,1424.7178710942273
139,443,280,963.9508726036013
140,142,76,116.49015869336112
141,1673,1207,3107.9759401140136
142,571,352,1083.9932908108053
143,51,35,50.24413339079578
144,321,175,478.89367320326613
145,142,102,176.82175625422644
146,624,368,1012.8875476262405
147,267,197,400.2830390205156
148,193,122,343.7745872156225
149,1610,927,2891.376392144581
150,1005,608,1546.5852166855027
151,52,30,43.75110001539893
152,757,600,1095.4358934344878
153,1461,1316,2558.2231408075754
154,372,300,509.50238169228413
155,316,173,650.2910697876299
156,144,77,116.99290563020337
157,19,15,42.08006000717653
158,1885,1463,3318.8619667116413
159,248,157,480.169649535408
160,211,124,181.33254441744612
161,773,457,1468.27562228677
162,336,210,611.5675164588667
163,903,500,1597.1687504749825
164,225,143,310.69509850959605
165,437,295,722.6408178951806
166,223,190,309.59275418492433
167,534,401,1072.7016713281644
168,254,179,300.0367938133889
169,252,168,487.2269168440431
170,466,354,667.7748661098601
171,363,247,738.4070659451243
172,204,125,150.56979347797494
173,329,203,218.57842529832374
174,549,377,936.0134963586808
175,1030,768,1714.9961688108904
176,51,35,40.255723244168095
177,142,130,239.49191465661443
178,422,282,683.6423983452454
179,779,720,1330.6347452937196
180,206,79,333.10573656269605
181,335,238,569.1146805810585
182,1450,932,2556.3173611828543
183,348,226,671.5402953826351
184,434,277,852.5179308733635
185,250,150,454.690345912777
186,505,316,1001.2093460323869
187,1050,646,1676.162000461514
188,454,315,629.0939296981802
189,195,123,306.42724217635475
190,206,151,280.63043350710876
191,557,393,1139.855262448991
192,204,121,398.1155486530209
193,472,446,842.6888356886545
194,666,501,1198.3281278742315
195,223,144,246.62025585569452
196,478,310,916.2353108792424
197,960,858,1683.1060606075132
198,204,140,204.98208502445254
199,24,17,17.08991116576587
200,462,320,893.8542885366427
201,960,653,1757.1977120575762
202,345,214,561.1281275457815
203,303,185,566.7268853237812
204,633,575,1125.8730743203678
205,1467,1259,2678.215031462814
206,949,856,1513.2433590624987
207,1124,912,1654.733685175791
208,52,35,43.24787410473968
209,143,97,183.59770726666284
210,477,321,540.1920125035645
211,1335,877,2344.450305452471
212,799,545,1607.0236698166764
213,951,857,1991.7491429431175
214,1337,981,2413.1614732468624
215,730,640,1150.1202171304612
216,205,155,297.21158992493037
217,823,558,1280.2338721340493
218,52,32,34.301728814678114
219,875,610,1671.9931487296271
220,316,254,381.62916333605557
221,143,79,106.73207599343579
222,541,366,1036.130644887354
223,463,383,591.5804568501541
224,783,566,1707.346350036302
225,112,68,71.4713346084099
226,114,69,80.8402384574939
227,268,186,491.80815965553916
228,250,219,368.55518809596003
229,432,408,856.8644123566324
230,419,337,746.5509790106419
231,255,182,390.00602814477026
232,462,447,963.7399554976873
233,142,108,156.59232040271257
234,1278,842,2715.7263448254357
235,538,350,1140.9050770183592
236,503,376,951.4100851809256
237,637,438,1228.974924417157
238,454,320,774.5782547405338
239,205,134,199.7474221684242
240,51,42,46.54589282170597
241,1379,973,2403.3068848681337
242,328,236,523.8299406105178
243,756,530,1640.0392347894594
244,268,186,443.85759481961054
245,964,819,1396.9620779537795
246,752,691,1147.6660831712034
247,829,599,1595.188713264088
248,564,525,890.664011402764
249,375,359,626.3992153409939
250,616,427,1060.9912098466184
251,70,54,80.65610927156948
252,711,450,1346.2045236225579
253,89,55,79.28541085071808
254,301,216,636.8729986896666
255,1808,1238,2990.148172252813
256,1819,1199,3578.799215812464
257,150,107,218.54404120205888
258,821,559,1249.0863355231302
259,1127,817,1992.2398231255452
260,359,229,692.4668451445996
261,258,127,199.2616830297384
262,19,14,35.60378698728622
263,1376,902,2073.657556093508
264,207,134,350.44963576539635
265,112,69,100.78586771935741
266,645,472,965.4434726043784
267,164,103,315.0624921789669
268,701,549,913.1522840139785
269,44,23,49.30377473424973
