episode,steps,actions,episode_reward
1,869,451,562.1103626815695
2,285,159,181.44893925624928
3,972,532,623.3025789900717
4,750,381,1067.804421187268
5,19,8,39.79116305846861
6,225,134,186.53704830607086
7,1127,560,2158.137567568655
8,253,131,496.4237601799343
9,665,317,1355.4607035494107
10,542,372,822.9637986020115
11,436,263,469.5393741809429
12,2044,1295,3754.350283946426
13,165,101,252.99795323670904
14,347,193,612.4050692948617
15,132,76,203.54107386034158
16,196,132,315.0698013125933
17,436,228,830.7392501585831
18,537,276,1067.0751677059993
19,321,194,581.1786841847056
20,19,18,22.993118417629585
21,731,443,1124.3094306909343
22,361,205,663.786667025253
23,318,181,637.7771686010891
24,596,412,1173.7807972472485
25,51,32,39.9356201540711
26,167,96,195.25816890236422
27,1369,1003,2603.7921931268525
28,353,191,664.6319369003279
29,253,162,349.4771147418806
30,250,148,168.21052000380044
31,112,41,201.4131342904372
32,552,351,615.1891330883564
33,115,69,84.81350235608154
34,142,133,333.6514108883303
35,727,470,1361.6003969616854
36,268,230,523.3112912493937
37,1272,881,1648.7852862188647
38,607,417,656.4223333264691
39,19,13,16.082571376090865
40,1397,714,2583.041039162784
41,326,196,207.84431480603757
42,777,492,1569.7489982739419
43,440,269,321.24385746938196
44,599,383,1110.0291025872957
45,830,588,1032.7169509031146
46,573,334,1009.174998265066
47,274,190,163.44136708202896
48,816,189,1556.0576784978514
49,619,541,1137.7898828384539
50,958,913,1957.8405737618252
51,185,117,115.26196699990865
52,116,73,76.64677503679802
53,53,30,36.39386282639189
54,257,179,212.05156029113493
55,2627,2231,3946.740153109741
56,550,422,565.0612046465639
57,23,9,20.795947537868003
58,112,85,162.79304719161317
59,486,411,754.9381307841879
60,371,352,754.9061078146134
61,796,684,1120.2193962491929
62,357,330,602.8939908676981
63,52,22,41.34170763668646
64,71,46,66.62044558327004
65,348,261,315.5583049399065
66,19,9,14.815760348375338
67,1075,914,1645.5886721765432
68,847,806,1558.10959720668
69,510,410,647.5878801737749
70,143,102,92.98835354577643
71,142,99,96.0473344296573
72,711,517,479.11163584155855
73,944,820,1347.023191046874
74,606,551,917.8267322779913
75,2087,2038,4113.99702357459
76,300,220,193.58146301652732
77,410,361,639.2873473202809
78,366,270,213.77705606619475
79,587,518,781.8865452295062
80,136,92,89.23576721455095
81,473,401,544.7074717245484
82,322,232,199.92930275996702
83,144,113,97.9152499462492
84,964,914,1907.3850413816635
85,257,177,159.29592489312714
86,193,157,253.17448252979506
87,458,417,824.0133660838025
88,162,119,103.64761538478386
89,404,269,248.36814405910377
90,1224,985,1178.2834683766525
91,1057,1011,1953.223007437725
92,1708,1502,1987.6626814520907
93,142,107,92.14612877405602
94,801,770,1515.4507474273787
95,192,148,113.88922644116172
96,544,517,1017.9688260122524
97,590,502,677.3761487451281
98,265,212,317.3566860659427
99,1515,1307,1922.0733192598186
100,19,19,36.94871898145632
101,70,37,75.41526447433122
102,51,36,30.868067926814604
103,395,316,243.60824629233062
104,981,829,740.6230790417189
105,802,662,1233.3293056745824
106,453,419,725.1077008045573
107,1855,1666,2571.9827178186515
108,1288,1266,2597.014635847855
109,1172,1123,2008.919154190838
110,876,709,610.2758817019794
111,1582,1132,2021.0805851507412
112,708,605,569.8317977656196
113,406,285,255.26915988761283
114,203,159,110.45329497913532
115,252,173,235.03950596832496
116,909,815,1117.6993706096303
117,2647,2345,3190.0928539996676
118,2063,1831,2265.9849431284047
119,354,282,188.09097472460007
120,191,149,107.64295373475092
121,2308,2159,3399.029685243978
122,459,417,533.1682551533241
123,956,924,1671.2735343147897
124,19,17,40.494526490004915
125,302,296,557.7653059925029
126,306,236,254.49145327020676
127,1109,879,820.198526147341
128,454,413,781.8508413725866
129,780,697,1136.8072635216286
130,780,699,1056.8943753665671
131,683,624,641.9447858432076
132,570,546,936.7169171946273
133,53,39,35.64956452041722
134,581,550,952.7633368353889
135,366,317,467.73627900411907
136,83,66,44.54514831927187
137,302,249,193.7811911571021
138,19,18,37.04783040024736
139,159,129,150.2146404076152
140,19,17,38.7319342441585
141,113,60,84.25009180062143
142,205,150,141.50112291393236
143,1011,961,1696.6630230129824
144,113,83,89.9614298328243
145,207,161,132.5222161041912
146,1802,1472,991.0284613468515
147,961,879,1389.462763136914
148,19,19,44.44159779258709
149,1322,1055,917.481631185279
150,51,34,34.59703782000582
151,52,42,28.9883376352485
152,1270,1006,611.3991152983737
153,345,316,365.6432037423873
154,527,469,538.7103697674665
155,427,405,500.951520474584
156,715,581,374.7455421239176
157,252,234,276.685326470891
158,109,85,68.17103844203895
159,480,388,419.29531782705624
160,71,49,74.05462527916016
161,653,514,372.1585821932675
162,462,372,302.2506041345488
163,336,260,176.40695023911962
164,473,410,570.4797838448701
165,256,207,191.2320564980645
166,576,456,234.7342327829431
167,953,771,843.683829827655
168,364,305,243.85609474609532
169,770,620,391.809956313731
170,317,261,142.1958320835623
171,141,117,65.22437965003488
172,761,642,431.70682198535127
173,1184,951,544.1912530990245
174,446,364,208.63844219769044
175,622,552,751.5131095274055
176,1135,926,502.93643978738044
177,3,1,2.3430341006220106
178,223,168,105.72291679380187
179,520,417,157.3692372031154
180,870,688,325.42161104869155
181,1020,849,648.8857621882648
182,270,217,163.5414766468007
183,144,114,65.94379023305507
184,961,927,1511.4753202483644
185,400,360,408.7876461460818
186,1359,1209,1221.2582802643303
187,114,89,70.46089273468833
188,750,701,1045.857720306888
189,19,12,19.35048802149827
190,256,206,127.99400987030161
191,328,262,164.02258365382067
192,53,42,28.631085066049803
193,503,404,277.3633808106726
194,1503,1221,576.5040999819136
195,704,564,381.0702480163568
196,667,540,318.92361363553493
197,19,12,19.632764162436565
198,454,402,372.49370996531866
199,600,492,312.9017062001582
200,411,369,397.87321391229545
201,181,145,117.69903584941738
202,924,777,721.1893691589888
203,19,14,13.410118344710432
204,317,251,184.95409544942103
205,39,32,37.88180846687764
206,1599,1286,889.9941865193181
207,1050,856,441.47419246266776
208,304,250,125.24605382884987
209,998,799,571.8303038078058
210,141,114,74.45103352168384
211,612,495,319.69514013041606
212,1525,1295,1128.8538485635866
213,114,80,67.4570495595058
214,26,12,20.906955488336024
215,1871,1546,1060.588431855542
216,961,769,535.8405371986747
217,604,486,265.34713725609396
218,556,446,334.8008236298773
219,830,671,407.1971991007542
220,446,352,259.4700363580167
221,3654,2928,1404.2447365790963
222,304,240,165.66307857814303
223,774,620,460.04710312869855
224,675,540,332.58875630390935
225,683,550,295.1713600151592
226,165,132,79.54297596188616
227,250,198,122.65666526531388
228,391,315,201.27761745717962
229,305,245,169.78146974808365
230,243,192,131.14426658336257
231,253,200,141.22020995232472
232,502,403,302.22000660230213
233,500,407,204.64780648770292
234,713,574,363.4085042608719
235,911,722,507.41383688751387
236,121,96,62.66388817502469
237,113,90,56.83288910132448
238,1007,803,560.024502640154
239,303,242,146.63454972685207
240,253,197,151.6948005291364
241,257,206,137.54445239197486
242,303,240,158.63239608606858
243,446,354,221.46428079351242
244,253,203,144.0160476024799
245,904,725,536.9697758109495
246,449,359,218.2594743766892
247,213,171,104.88674475081739
248,491,394,271.200208737463
249,71,56,35.563331812560335
250,2400,1922,1245.7677899927362
251,1508,1203,776.0333916628092
252,453,364,222.83025122108475
253,114,90,55.7242754875508
254,19,15,9.94531789178739
255,306,244,148.63745824001592
256,1313,1053,689.2170678295581
257,748,600,376.08157337543827
258,750,600,363.308881003007
259,1199,961,642.3003362642241
260,415,331,209.3678595307899
261,29,23,15.22949909518065
262,509,407,248.31547538654652
263,715,573,372.65769547116776
264,450,351,227.077416016322
265,114,92,65.22454022385348
266,558,447,272.79834037532027
267,244,194,119.66835361210127
268,204,164,119.3850071169886
269,267,214,131.09292937533104
270,1601,1283,798.4397599627193
271,145,116,69.93114664952873
272,629,502,308.20191227983383
273,831,665,405.09153789577147
274,207,166,100.88157262362681
275,141,114,68.43986455131547
276,269,216,160.05838457539394
277,303,244,165.72630818919927
278,112,90,54.49875232876388
279,70,55,35.062729232745205
280,318,252,158.75505029167078
281,1749,1398,933.2838712156256
282,164,131,78.7114251026639
283,371,297,197.6113547235953
284,1298,1043,557.3282510030172
285,1656,1327,787.6255893169727
