episode,steps,actions,episode_reward
1,52,31,1.000010659767513e-08
2,415,209,1.000093385568917e-08
3,140,69,1.000031679027398e-08
4,1513,806,1.0003333054067457e-08
5,257,141,1.0000560013138361e-08
6,516,319,1.000139708359425e-08
7,895,462,1.0002608667367433e-08
8,2105,1577,1.0005961873987676e-08
9,257,132,1.0000753692044854e-08
10,499,324,1.0001438319228156e-08
11,803,520,1.0002369170864165e-08
12,430,253,1.0001090027388374e-08
13,305,212,1.0000837767643983e-08
14,837,646,1.0002429411520906e-08
15,439,220,1.0001252949052956e-08
16,537,277,1.0001586954130221e-08
17,335,225,1.0000849209253815e-08
18,204,119,1.0000441404457582e-08
19,206,152,1.0000551004884125e-08
20,19,16,1.0000046791618085e-08
21,986,633,1.0002828591830379e-08
22,594,402,1.0001768620582101e-08
23,51,27,1.0000117107305073e-08
24,117,75,1.0000312576883537e-08
25,559,383,1.000148786336908e-08
26,51,26,1.0000111101802249e-08
27,51,32,1.000014112931637e-08
28,554,365,1.0001462339937704e-08
29,561,382,1.000163950227102e-08
30,1057,819,1.0002987880998366e-08
31,108,61,1.0000277845886241e-08
32,254,169,1.0000639586050782e-08
33,366,287,1.000094527610169e-08
34,72,54,1.0000186343333261e-08
35,267,187,1.0000621183149096e-08
36,38,25,1.000007657016101e-08
37,364,212,1.0000906455096623e-08
38,605,522,1.000171458787148e-08
39,396,272,1.0000938359816289e-08
40,469,269,1.000103294648577e-08
41,827,427,1.0002342146556513e-08
42,889,725,1.000234815160428e-08
43,11,5,1.000002702476271e-08
44,205,174,1.000058703790107e-08
45,1073,773,1.0002460433054778e-08
46,257,129,1.0000600550282425e-08
47,349,218,1.0000749186477325e-08
48,556,526,1.0001642505022432e-08
49,19,4,1.000005705227683e-08
50,2148,1608,1.0005720304980928e-08
51,205,139,1.000046994423417e-08
52,326,234,1.0000780715378374e-08
53,102,59,1.0000211693974555e-08
54,598,508,1.0001586954121307e-08
55,546,480,1.0001508189906932e-08
56,166,143,1.0000444407209471e-08
57,245,167,1.0000591542269715e-08
58,307,274,1.000087980628534e-08
59,252,173,1.0000504462237237e-08
60,1397,833,1.0003839068645327e-08
61,19,10,1.0000051046774006e-08
62,1219,1105,1.000334529064124e-08
63,620,576,1.0001717573807735e-08
64,165,144,1.000042338794911e-08
65,588,531,1.0001624488513959e-08
66,772,738,1.0002246058056268e-08
67,470,349,1.0000936897589076e-08
68,19,9,1.0000045041271182e-08
69,829,748,1.0002238551178327e-08
70,1100,1027,1.000308382570025e-08
71,935,876,1.0002639418497857e-08
72,928,765,1.0001954791218048e-08
73,1380,1310,1.0003954668252534e-08
74,1496,1413,1.0004254898751128e-08
75,698,684,1.0002049377838774e-08
76,665,592,1.0001676874932214e-08
77,480,463,1.000134827751787e-08
78,117,78,1.0000234214610146e-08
79,236,170,1.0000456418214643e-08
80,770,684,1.0001980314556304e-08
81,624,531,1.0001593833877627e-08
82,258,208,1.0000597547531013e-08
83,115,79,1.000022520635591e-08
84,399,295,1.0000767202985798e-08
85,142,115,1.00003055360478e-08
86,309,240,1.0000585536525364e-08
87,369,326,1.000088890487366e-08
88,407,340,1.0000870856632255e-08
89,1010,696,1.0002314324239309e-08
90,194,109,1.0000543498005595e-08
91,599,532,1.0001352007098157e-08
92,1002,924,1.0002654085763885e-08
93,1164,968,1.0002290811956538e-08
94,946,926,1.0002726498452533e-08
95,194,141,1.0000387354932164e-08
96,232,215,1.0000563015889773e-08
97,826,751,1.0002008847861921e-08
98,333,303,1.000081224425698e-08
99,710,580,1.0001483359197589e-08
100,816,708,1.000176879332745e-08
101,145,111,1.000029727371303e-08
102,918,845,1.0002083909492852e-08
103,443,348,1.000090062430419e-08
104,553,515,1.0001404543064637e-08
105,255,171,1.0000530033921448e-08
106,1308,1196,1.0002777566246666e-08
107,251,174,1.0000495453983e-08
108,422,338,1.0000767202985798e-08
109,19,18,1.0000049089439154e-08
110,769,595,1.0001424805545053e-08
111,300,235,1.0000566018641185e-08
112,249,177,1.0000483442977352e-08
113,251,238,1.0000699641079025e-08
114,1200,705,1.0003104845373853e-08
115,461,402,1.0001080990508365e-08
116,407,308,1.0000771707112916e-08
117,779,702,1.000172190985972e-08
118,204,182,1.0000418903400198e-08
119,3091,2695,1.0006832797204195e-08
120,1056,960,1.0002820383826683e-08
121,303,242,1.000056451726548e-08
122,19,19,1.0000051046774043e-08
123,1125,1018,1.0002648426745493e-08
124,421,341,1.0000802588676236e-08
125,250,200,1.0000456418214643e-08
126,142,115,1.0000298773765506e-08
127,1180,1146,1.0003381098090051e-08
128,213,179,1.0000520926652602e-08
129,349,268,1.000066360806208e-08
130,603,590,1.0001729584813383e-08
131,926,765,1.000176122360311e-08
132,54,37,1.0000100592172306e-08
133,254,196,1.000048044022594e-08
134,1128,1000,1.000272199415509e-08
135,897,709,1.0001675535287965e-08
136,53,37,1.0000105096299425e-08
137,320,253,1.0000615825928734e-08
138,1418,1249,1.000331505713323e-08
139,18,14,1.0000048044022594e-08
140,70,49,1.0000144132067782e-08
141,251,221,1.000051046774018e-08
142,112,84,1.0000210192598849e-08
143,578,467,1.0001099265273423e-08
144,1409,1189,1.0002905798469208e-08
145,998,873,1.0002282093702075e-08
146,911,705,1.0001708565553498e-08
147,50,39,1.0000096088045188e-08
148,251,177,1.0000499958110119e-08
149,38,34,1.0000098097884802e-08
150,481,395,1.0000894819951751e-08
151,1005,946,1.0002667944629672e-08
152,1298,1109,1.000292768262682e-08
153,18,17,1.0000039578628945e-08
154,1052,964,1.000260301445703e-08
155,204,163,1.0000367837047985e-08
156,1867,1673,1.000432846630398e-08
157,102,80,1.0000193677466082e-08
158,1113,900,1.0002043425380497e-08
159,362,263,1.0000728167219048e-08
160,438,350,1.0000800233251331e-08
161,205,166,1.0000370839799397e-08
162,1384,1117,1.0002517000439741e-08
163,132,85,1.0000270247627091e-08
164,481,383,1.000091459599478e-08
165,70,54,1.0000151638946312e-08
166,605,542,1.0001348243730829e-08
167,1713,1489,1.0003610809082165e-08
168,435,343,1.0000810742881273e-08
169,143,113,1.0000259737997149e-08
170,606,506,1.0001135040033783e-08
171,2197,2073,1.0005649244094035e-08
172,891,723,1.000160497062978e-08
173,111,89,1.0000201184344612e-08
174,139,105,1.0000259737997149e-08
175,2040,1683,1.000406272278219e-08
176,360,286,1.0000657602559255e-08
177,209,168,1.0000387354932164e-08
178,3,2,1.000000750687853e-08
179,223,172,1.0000423475284753e-08
180,1110,889,1.0002014846197535e-08
181,274,224,1.0000496955358707e-08
182,19,14,1.000003453164124e-08
183,1276,1089,1.000247506741429e-08
184,277,221,1.0000499958110119e-08
185,760,616,1.000139177527952e-08
186,53,43,1.0000102093548012e-08
187,347,306,1.0000782216864446e-08
188,610,571,1.0001342720286459e-08
189,706,635,1.0001308815649045e-08
190,777,630,1.0001417298666522e-08
191,210,168,1.0000379848053634e-08
192,256,206,1.0000468429220291e-08
193,325,258,1.0000590040652482e-08
194,51,36,1.00000990907966e-08
195,1107,955,1.0002041091589359e-08
196,134,106,1.0000256735245737e-08
197,151,124,1.0000283760581101e-08
198,1331,1144,1.0002600606363496e-08
199,1393,1161,1.000271625742833e-08
200,753,661,1.0001452650375887e-08
201,19,15,1.0000036033016946e-08
202,1111,892,1.0002025355827477e-08
203,113,90,1.000020568847173e-08
204,1822,1641,1.0004194078496711e-08
205,2158,1913,1.0004447587305145e-08
206,363,281,1.000067111494061e-08
207,613,493,1.0001114020773898e-08
208,1655,1470,1.0003395643596666e-08
209,233,187,1.0000418883821991e-08
210,302,242,1.0000555509011243e-08
211,250,199,1.0000451914087525e-08
212,669,534,1.0001210108819086e-08
213,370,305,1.0000680123216914e-08
214,53,35,1.0000105096299425e-08
215,250,199,1.000045341546323e-08
216,1566,1271,1.0002839101460163e-08
217,301,244,1.0000541996629888e-08
218,1709,1368,1.0003101842208723e-08
219,1767,1424,1.000320994125956e-08
220,19,12,1.0000037534392652e-08
221,255,203,1.0000466927844585e-08
222,195,151,1.0000358828793749e-08
223,256,204,1.0000462423717467e-08
224,1805,1482,1.00032650689213e-08
225,1458,1171,1.0002633412988432e-08
226,51,40,1.000009158391807e-08
227,250,200,1.0000448911336113e-08
228,142,112,1.0000256735245737e-08
229,1912,1522,1.0003468177881002e-08
230,169,132,1.0000315288898273e-08
231,1664,1330,1.0003005754163536e-08
232,566,454,1.0001022436855828e-08
233,616,494,1.0001112519398192e-08
234,550,439,1.0001001417595943e-08
235,1011,810,1.0001824171482865e-08
236,1466,1172,1.0002648426745493e-08
237,145,117,1.0000261239372855e-08
238,214,171,1.0000390357683576e-08
239,204,162,1.0000367837047985e-08
240,38,31,1.0000072066033891e-08
241,248,195,1.0000451914087525e-08
242,19,13,1.0000039035768358e-08
243,357,286,1.00006440901779e-08
244,19,15,1.0000031528889828e-08
245,362,291,1.0000657602559255e-08
246,3060,2448,1.0005517555719777e-08
247,612,485,1.0001112519398192e-08
248,112,85,1.0000208691223143e-08
249,569,454,1.0001022436855828e-08
250,302,242,1.0000546500757007e-08
251,246,196,1.0000442905833288e-08
252,303,241,1.0000548002132713e-08
253,2912,2331,1.0005250310844098e-08
254,423,340,1.0000761197482973e-08
255,29,23,1.000005705227683e-08
256,511,410,1.0000920343307816e-08
257,719,576,1.0001295687234331e-08
258,143,115,1.0000256735245737e-08
259,1895,1516,1.0003418632482702e-08
260,784,627,1.0001415797290816e-08
261,406,324,1.0000731169968852e-08
262,1295,1036,1.0002334639222926e-08
263,1122,898,1.0002025355827477e-08
264,489,392,1.0000881307539458e-08
265,305,242,1.0000558511762655e-08
266,18,14,1.000003453164124e-08
267,299,240,1.0000535991127064e-08
268,1045,838,1.0001882725135401e-08
269,940,752,1.0001699557299262e-08
270,1246,996,1.0002253564934799e-08
271,52,42,1.0000094586669482e-08
272,1269,1020,1.0002285093824626e-08
273,19,16,1.0000037534392652e-08
274,115,91,1.000020568847173e-08
275,247,199,1.0000450412711819e-08
276,250,198,1.0000451914087525e-08
277,142,115,1.0000261239372855e-08
278,52,42,1.0000094586669482e-08
279,301,242,1.0000541996629888e-08
280,159,130,1.000029325479139e-08
281,909,726,1.0001642505022432e-08
282,529,423,1.0000950370821937e-08
283,115,92,1.0000207189847437e-08
284,18,17,1.0000039178762142e-08
285,131,105,1.0000237217361558e-08
286,303,243,1.0000549503508419e-08
287,305,244,1.0000548002132713e-08
288,247,199,1.00004459085847e-08
289,160,129,1.0000283760008446e-08
290,692,555,1.0001246751653962e-08
291,113,90,1.0000202685720319e-08
292,284,228,1.0000516473242885e-08
293,306,245,1.0000551004884125e-08
294,2036,1636,1.0003679191742112e-08
295,520,418,1.0000932354313464e-08
296,684,548,1.0001234130830383e-08
297,361,287,1.0000657602559255e-08
298,406,327,1.000073567409597e-08
299,1340,1071,1.000241721488676e-08
300,255,205,1.0000462423717467e-08
301,114,91,1.0000207189847437e-08
302,1567,1252,1.0002831594581632e-08
303,1405,1125,1.0002532820816126e-08
304,2105,1686,1.0003793976409218e-08
305,660,528,1.0001187588183495e-08
306,349,280,1.0000630577796546e-08
307,234,188,1.0000426390700522e-08
308,362,290,1.0000653098432137e-08
309,411,330,1.0000740178223089e-08
310,805,644,1.0001451830307762e-08
311,908,727,1.000163950227102e-08
312,1895,1512,1.0003420133858409e-08
313,51,41,1.0000093085293776e-08
314,303,243,1.00005449993813e-08
315,466,373,1.0000840770395395e-08
316,558,450,1.0001008924474474e-08
317,19,15,1.0000031528889828e-08
318,195,156,1.0000351321915219e-08
319,178,144,1.0000321966901695e-08
320,206,165,1.0000370839799397e-08
321,795,636,1.0001430811047877e-08
322,1046,841,1.000188722926252e-08
323,248,199,1.00004459085847e-08
324,1554,1249,1.0002810575321748e-08
325,57,46,1.0000105096299425e-08
326,744,600,1.0001340728505513e-08
327,657,527,1.0001186086807789e-08
328,408,326,1.0000737175471676e-08
329,365,294,1.0000656101183549e-08
330,817,655,1.0001472849567647e-08
331,294,235,1.0000526982872828e-08
332,2498,2010,1.0004529650505188e-08
333,251,201,1.0000451914087525e-08
334,143,115,1.0000256735245737e-08
335,264,213,1.000048044022594e-08
336,102,81,1.0000184669211846e-08
337,478,385,1.0000857285528161e-08
338,843,676,1.000151338671171e-08
339,113,91,1.0000202685720319e-08
340,810,650,1.0001465342689116e-08
341,860,690,1.000154791835295e-08
342,254,204,1.0000454916838937e-08
343,39,36,1.0000085037609547e-08
344,3,2,1.0000009008254237e-08
345,803,646,1.0001445824804938e-08
346,484,388,1.000087680341234e-08
347,994,808,1.0001791141217332e-08
348,113,90,1.0000202685720319e-08
349,144,115,1.0000259737997149e-08
350,223,180,1.0000405371440637e-08
351,978,787,1.000176111370321e-08
352,250,201,1.0000450412711819e-08
353,711,573,1.0001282174852977e-08
354,511,412,1.000091884193211e-08
355,1538,1233,1.0002765534219054e-08
356,859,689,1.0001546416977244e-08
357,276,223,1.0000498456734413e-08
358,855,685,1.0001538910098713e-08
359,51,42,1.000009158391807e-08
360,182,148,1.0000325798528216e-08
361,551,442,1.0000992409341707e-08
362,303,243,1.00005449993813e-08
