episode,steps,actions,episode_reward
1,608,336,386.76418305422965
2,674,370,436.4744695637832
3,1630,896,1445.8886566181777
4,622,328,1177.5987000978564
5,256,145,307.7403621391539
6,250,137,316.4688649534088
7,1255,716,2223.5169172707288
8,305,169,609.051682437591
9,113,77,127.17979237284096
10,438,296,642.0824466696115
11,1055,512,2173.6207070656883
12,975,628,1874.0860548263067
13,165,102,131.61274947806163
14,529,289,752.8286220373534
15,368,203,631.4648004828703
16,757,524,956.4180402285815
17,336,193,515.2731739691606
18,203,126,246.75308887190707
19,891,514,1591.7896422301662
20,319,147,503.50197726526625
21,3032,2097,6058.362943005622
22,116,83,220.89471879808576
23,669,432,995.8807432412277
24,142,105,207.2339069558592
25,142,102,189.59090032406212
26,242,138,209.05958244507175
27,778,476,759.7311862158492
28,696,484,889.1893473242811
29,2434,2218,4571.852489656006
30,214,178,377.2619960498772
31,960,579,905.4836290138459
32,319,188,208.60653406148148
33,51,26,36.039697233099965
34,345,253,475.97172605967535
35,1916,1629,3375.189020229028
36,604,403,463.23020382540847
37,204,157,334.13845967129794
38,639,487,1093.1294195214914
39,981,772,1318.36254796313
40,163,101,97.16290858764674
41,413,357,681.2951789523439
42,556,453,914.6511225105869
43,503,390,629.5709144610588
44,19,12,14.094920302451877
45,256,217,350.0515588311981
46,53,34,34.55206711581934
47,1804,1646,3226.2535577804547
48,442,382,688.4844968392732
49,185,161,299.3162257143727
50,1524,1455,3155.591867254991
51,52,30,37.30993696792439
52,212,177,299.2163651606861
53,199,147,236.6232793716683
54,19,14,11.230716534350957
55,317,274,467.353449712985
56,250,206,341.8847869418448
57,1867,1607,2784.416607245063
58,141,116,207.87322294693084
59,143,97,90.26666882852277
60,1657,1370,2695.0519156781197
61,1831,1738,3412.5834171272904
62,605,581,1230.446113742645
63,556,527,987.6261469328219
64,407,299,284.0082488604222
65,1558,1460,2587.4787499489366
66,303,246,353.1062591330672
67,307,236,224.01849759621393
68,574,538,1012.7971694755423
69,509,499,974.3618242505283
70,447,344,432.18682234633496
71,205,138,118.18656666788839
72,569,525,982.5540735363688
73,510,434,700.6015826032668
74,707,624,973.4716519873797
75,1048,916,1601.9656005340687
76,224,212,402.04415992509075
77,275,209,237.79640771381233
78,458,376,627.1138403587264
79,457,245,694.7600762235459
80,304,229,181.84052187043756
81,143,114,81.92883717762578
82,946,900,1659.7785048218307
83,49,40,31.13001885937754
84,1067,963,1496.5365751998054
85,196,140,135.0826812092032
86,140,123,214.61239927644738
87,1210,1120,2285.7180721045506
88,443,379,421.2112355745797
89,1366,1165,1383.1668190168991
90,813,630,519.863604996132
91,224,170,128.02096186273332
92,1479,1357,2216.490708601926
93,712,580,846.6059418092692
94,653,537,466.6098708198939
95,251,197,247.2118596094518
96,410,318,214.89411108465958
97,1036,948,1484.3504991859509
98,675,543,454.7158075397708
99,2474,2206,3041.804854913888
100,19,18,40.60546025203811
101,3660,3328,5304.77195801462
102,640,570,831.886322912206
103,2532,2270,3486.904939996001
104,602,561,991.5002814232124
105,252,202,168.52781267810042
106,502,458,665.7533001172952
107,216,171,137.59817083127297
108,255,208,212.9052550210759
109,974,869,1036.5236335833604
110,19,14,39.920868224065295
111,1420,1340,2290.177651363443
112,301,267,284.88830841611116
113,493,392,247.71305347267364
114,616,495,437.5832287748752
115,341,296,310.89466011375214
116,114,95,64.05693468300582
117,392,362,455.83250304578166
118,184,147,92.66733485411669
119,477,451,837.9175526191509
120,826,703,845.678071970758
121,113,91,72.81446610894332
122,868,820,1360.9419670562957
123,1035,963,1577.373787160886
124,816,658,422.29677766985566
125,759,635,755.4179495494375
126,885,833,1341.3916873682153
127,253,182,166.0892651366802
128,408,333,261.54442378509924
129,225,169,181.52725493980745
130,255,235,308.60745319489286
131,306,246,182.5784033345533
132,52,41,30.38070432567346
133,251,192,191.40694166319534
134,1224,1049,1134.1046790913892
135,817,746,1086.3992081397364
136,429,379,429.9301465398094
137,560,469,292.0615230301936
138,735,565,415.7732525312351
139,302,245,188.6436498413208
140,1199,963,623.558488789004
141,524,474,492.42196707340037
142,482,373,241.87285537243037
143,377,316,306.9078076025885
144,301,254,251.89075353588754
145,849,701,532.0460736886195
146,1301,1057,610.016017433594
147,142,109,78.97375501085756
148,810,631,419.95299041193124
149,1252,1000,815.7155248089852
150,524,419,279.1090707723198
151,459,347,250.8197230381752
152,898,807,769.3781616244777
153,2288,1889,1683.7549220121352
154,317,238,182.37542296226337
155,3,1,2.3430341006220106
156,20,16,16.04493065119933
157,205,157,116.34967859730892
158,52,42,30.252056399502745
159,131,102,110.4960914734136
160,338,257,135.08496947285113
161,590,474,222.2155750235949
162,1072,905,795.7105586299937
163,111,67,72.51884880914284
164,381,312,185.75769612355134
165,738,685,1059.271354156374
166,1622,1535,2645.4010664041866
167,506,410,276.3940475863973
168,111,79,66.42362743268477
169,305,263,288.52909694607314
170,445,359,186.869396569715
171,19,11,19.901248192496578
172,580,469,272.81309865195954
173,52,42,31.62878877181238
174,1103,987,977.061992822011
175,280,228,134.31428373690457
176,1336,1289,2259.159412996898
177,277,225,148.9432679270793
178,389,341,332.88318360655387
179,19,15,12.258323046657159
180,1476,1352,1924.478024563465
181,160,126,95.70636677741092
182,936,777,578.602060298513
183,693,556,286.91407056260044
184,400,322,185.43181626528158
185,251,200,138.1519480041277
186,363,294,223.43455634106235
187,1267,1108,1204.7307300268133
188,52,43,26.84162986124375
189,755,618,556.3784958451972
190,319,279,344.1977183437387
191,19,14,12.360384538911322
192,213,162,124.91299551255881
193,394,316,232.46083190512596
194,112,86,59.671868084514884
195,1717,1470,1424.008066713395
196,188,151,97.80235807889727
197,232,187,123.6560019970073
198,555,447,286.21996605491904
199,1082,861,525.1977074718484
200,251,203,151.53684375383497
201,251,201,122.5036224205998
202,350,265,206.55130840443027
203,114,91,54.63452622753218
204,608,488,357.5454589094687
205,1387,1209,1288.0260639785013
206,440,344,211.48349186718008
207,437,351,238.71804401117348
208,1564,1261,704.939670904141
209,271,218,150.37675929963845
210,204,164,96.99974156472872
211,141,113,70.95483345543408
212,1032,834,416.94789616869656
213,303,242,146.77032362562036
214,447,363,185.19240600526155
215,286,227,139.48429725906814
216,45,36,22.518020740828668
217,1506,1208,844.8664128337988
218,249,198,121.5982715905285
219,1457,1165,873.5342594438848
220,746,599,408.77296258737175
221,658,532,356.5342610048876
222,671,531,350.0427246173894
223,574,470,337.4905206715886
224,971,778,571.3928095517429
225,1564,1251,842.3952476708515
226,410,329,174.42912373114513
227,303,242,155.01048136454506
228,755,605,414.7385657620743
229,136,109,66.08270505257407
230,217,172,106.20411504845178
231,493,393,246.92131384073772
232,372,296,182.78604897939502
233,380,302,189.6932714156102
234,320,256,155.91019312794737
235,2730,2194,1298.961956482883
236,162,130,79.96347889063114
237,460,366,224.85795588353818
238,1990,1594,1099.456739088899
239,2876,2295,1516.6698737374074
240,533,425,259.81699515927846
241,707,566,406.92788656907686
242,1059,847,592.7412647845621
243,777,622,398.7681003745421
244,867,695,510.82190969535293
245,325,261,175.77178353613294
246,19,14,16.222986320453835
247,205,161,101.96917565123901
248,647,515,316.70764298603615
249,639,510,363.3572207767099
250,206,164,110.4124231602109
251,504,404,246.87915382594753
252,143,113,71.82465550788214
253,268,214,131.95100620279746
254,416,333,202.70029621976641
255,71,57,35.07235537218441
256,329,262,183.28056845253465
257,302,242,146.760544288905
258,19,14,12.467935136301971
259,206,165,99.7579726514671
260,1339,1073,768.918028277054
261,353,282,172.48116425249663
262,66,52,35.553759648531894
