episode,steps,actions,episode_reward
1,802,454,1744.5025699733305
2,730,400,1638.9988780866215
3,102,59,463.1553373958495
4,1259,693,2556.6078036031695
5,539,328,707.156675136129
6,52,31,255.82000681386816
7,653,374,1104.0903156981274
8,301,166,669.2898901579819
9,322,195,681.58066923526
10,564,357,1325.0317196610445
11,352,195,864.952137879345
12,816,473,1570.4075326574027
13,822,498,1624.6799537775933
14,254,163,588.9830607608742
15,123,94,671.3795207219822
16,778,505,1738.8038772020107
17,112,77,360.2792531169414
18,205,136,459.31728417197655
19,204,118,481.2814362200515
20,907,557,2162.0261718091074
21,103,67,232.59718637978315
22,1420,869,3419.6352648975667
23,1744,1155,3052.3213145807654
24,625,451,1150.5221791556785
25,203,132,462.04996865498083
26,271,189,503.8395648886938
27,53,42,260.2747223642968
28,807,595,2283.8971429186645
29,729,532,1664.0755910860946
30,394,300,1046.937597630289
31,942,652,1892.5973545768654
32,678,477,1899.123282751618
33,1193,779,2190.519293297324
34,455,314,773.5373492550377
35,486,339,1024.914892950624
36,677,457,1457.7237846331132
37,20,20,5.54922430578864e-07
38,417,279,955.2622522796134
39,571,363,1239.5579723031985
40,301,196,649.6975768594743
41,1427,955,3018.402099316266
42,307,208,803.2610489116252
43,113,93,461.91189059801195
44,113,87,385.66874365562944
45,249,168,541.636075630172
46,502,337,1088.5753546494032
47,1115,731,2260.4672374540896
48,248,163,546.5173298036965
49,958,612,2252.417857478697
50,19,17,3.6576384830519713e-06
51,1166,781,2360.7002791215637
52,112,82,302.1140269731605
53,1372,894,2208.025409356034
54,313,216,642.9076968695042
55,1770,1161,3497.052655409088
56,303,216,626.8901112944461
57,1037,678,2237.7956020473475
58,375,256,839.1915397956892
59,1218,793,1445.7195435005533
60,134,98,318.04026922463146
61,2207,1457,5601.45236684868
62,143,95,357.52703510178117
63,1640,1110,3415.760223658586
64,193,142,656.9010745307596
65,673,508,735.7111336353181
66,307,209,647.9279149262264
67,195,124,405.7741789915264
68,432,308,1162.3250241780959
69,662,434,1584.8608132634035
70,471,335,1409.5413578739622
71,143,99,359.11414470124566
72,132,99,298.01115085598036
73,142,99,381.279274007046
74,498,375,1230.498832187847
75,937,599,1910.1232369210693
76,19,19,1.1447852509164687e-08
77,482,323,1146.3587673664126
78,787,573,1999.0095298445844
79,107,83,484.8746996988737
80,910,642,2097.6835327615167
81,1461,1034,2459.073327643545
82,950,688,2149.028466726602
83,143,116,465.3892609287778
84,142,112,420.3232518019415
85,90,83,316.47449830655916
86,849,617,1883.2517410172863
87,448,361,1394.1311747679888
88,2302,1731,5190.6438014835785
89,753,585,1755.654293093624
90,255,199,611.6482895231395
91,321,235,606.3001400117673
92,640,482,1516.9812411493238
93,1370,1008,2852.5947535020373
94,1110,854,2568.621480305893
95,757,552,1637.1474404835326
96,163,144,648.1738028090198
97,19,18,6.094097831320523e-06
98,908,645,1323.2397236219533
99,224,169,425.77265204971553
100,1178,812,1715.4119620067465
101,558,409,1324.695607862191
102,19,15,1.000000029836344e-08
103,632,476,2309.3535583974412
104,286,243,975.6935053518424
105,446,345,1067.463838280544
106,461,345,967.9351759165382
107,18,14,1.3801337361210193e-08
108,678,528,1425.0696931069804
109,303,226,621.6143892459997
110,2269,1763,5604.994925166259
111,795,628,2641.192595260762
112,797,689,2930.910826801621
113,1538,1220,3120.751232890647
114,1200,907,2628.7670154440048
115,1084,738,2221.9774290962173
116,70,51,38.96113601002005
117,1238,905,3052.2994136579646
118,287,246,955.8590067800458
119,720,550,1120.6163642965894
120,1274,985,2751.4394984628507
121,387,325,1182.6791290110657
122,1951,1529,3567.3154240719878
123,255,203,744.8934044384567
124,404,331,1058.0414263546813
125,113,103,550.5319437981561
126,206,180,599.3595581573824
127,1474,1115,2081.2424391387544
128,537,467,1673.5451393689973
129,346,269,915.4178976877419
130,52,50,214.86694346265023
131,346,297,1063.2209712567037
132,19,18,1.1544190125704333e-08
133,2471,1717,6090.508770013989
134,692,578,2263.1164978768525
135,52,52,210.50942993614842
136,1909,1582,5629.356791599749
137,249,207,719.2713344246716
138,549,521,1317.1624319754483
139,195,191,737.8726087792847
140,51,51,107.15091181925202
141,446,368,1311.1655796174882
142,302,242,694.1306027484712
143,205,165,562.6288667801105
144,462,387,1764.8673422851953
145,1654,1244,3580.3183206092576
146,78,48,225.83461032070988
147,1338,880,4499.263580705425
148,1608,881,3571.3037038016846
149,1642,766,4231.174733733842
150,143,106,565.6656799984491
151,51,41,201.03387198268808
152,861,670,2588.5810661948276
153,443,339,1320.114279217246
154,964,735,813.7013922668613
155,115,103,490.87111584236607
156,2072,1530,6603.450712147865
157,685,489,537.553830780604
158,229,167,494.2109972849201
159,302,223,659.7017225828629
160,284,256,1018.3857616507005
161,250,174,565.8519163514749
162,301,211,337.15936667841504
163,272,257,1271.898395863182
164,19,19,1.0000708815371278e-08
165,1370,1079,2321.045897929413
166,682,428,2106.1311365121664
167,545,457,39.79519467275734
168,3318,2510,5680.741411775175
169,713,500,1685.760504830296
170,385,264,1156.773608690926
171,305,218,700.7802608524875
172,194,164,531.2573130442407
173,526,364,1279.4578752807095
174,305,222,863.9581008985308
175,54,52,300.83066949671496
176,807,673,2298.5131831419217
177,301,233,651.1105575336492
178,1271,984,2894.376797937722
179,137,106,307.8986897145901
180,38,38,0.00018873307120832047
181,852,705,2339.100633409516
182,453,358,941.5719476189332
183,1083,863,2489.686611433414
184,347,280,740.590535800267
185,52,51,212.93027284540574
186,271,194,715.0055124671416
187,418,349,1134.386023909348
188,717,601,1903.1954483350742
189,52,52,110.25103219217795
190,557,456,1331.7949052103243
191,1419,1146,3812.2049172915417
192,249,205,585.1405833235972
193,398,348,1227.2543476413941
194,524,439,1148.0668145185334
195,263,241,755.1661042924562
196,695,602,1439.4691557447734
197,53,53,349.33529656487565
198,1151,876,2352.1159516846874
199,1314,1110,3595.405557113228
200,248,200,522.6355909666112
201,269,205,528.1340553027347
202,710,583,1774.5931055775488
203,1423,1081,3130.5288194894815
204,306,245,624.650731698852
205,45,45,295.94882633385816
206,51,51,292.6221912152717
207,305,241,626.0593610721136
208,785,592,1775.329833298045
209,254,229,695.0719060306752
210,38,37,1.4907250310410774e-05
211,1234,983,2543.2363575033824
212,144,123,334.7729495149281
213,555,445,1137.4448543338074
214,157,137,539.6552759041268
215,818,656,1630.0440388780548
216,113,97,294.67792704082865
217,205,167,423.99472840479154
218,283,244,765.0595583695064
219,286,257,793.3648669376942
220,922,746,1975.3093076824766
221,3039,2486,6121.065288752126
222,2546,2085,5846.917569995513
223,781,686,2243.3759086713885
224,458,366,946.7925168615998
225,305,244,620.8034813586391
226,244,197,494.3007748717994
227,246,207,656.7912958720149
228,658,547,1772.8387385373683
229,357,294,863.16346152243
230,206,169,441.86926020024947
231,302,242,610.391683616661
232,306,247,621.5343449680843
233,163,141,529.2255273324507
234,410,363,942.2414898090368
235,676,567,1459.4349184434743
236,349,280,737.1086123851782
237,449,361,938.4778627801393
238,1386,1191,3957.82661059951
239,496,412,1072.4383299102858
240,823,660,1592.1644081593963
241,53,53,240.02987512835364
242,356,296,905.5327552473277
243,142,137,765.971010944326
244,722,584,1419.4515793945018
245,698,601,1963.5878126548487
246,1202,1023,3257.688733043826
247,1310,1091,2877.9022451257088
248,304,244,616.2053450145357
249,585,488,1256.013977152066
250,1232,1023,2619.0002912867976
251,369,316,875.5622821659424
252,2368,1981,4796.957432205947
253,763,612,1562.6893229039604
254,438,375,1069.0817077344873
255,443,378,915.9115864672111
256,197,180,577.4287284972164
257,392,332,910.5909139243231
258,53,53,274.85010441723915
259,506,418,1254.2980273447938
260,465,391,1064.643192025613
261,51,51,128.46027618920456
262,524,420,1084.815928068579
263,472,389,1000.8817488387892
264,1016,852,2562.8520430084536
265,611,513,1420.891945331023
266,113,106,455.2667400668291
267,582,498,1539.575924612021
268,140,123,374.5716502682079
269,1642,1383,2853.910624337699
270,231,219,539.9370964817667
271,408,357,919.6841312714457
272,20,20,5.1382483059899584e-08
273,445,368,947.6137531195255
274,416,345,935.5078303488159
275,832,682,1816.2785080621734
276,52,52,348.2430469226089
277,893,741,1909.206683355445
278,1367,1126,3082.4036971968812
279,760,620,1626.491219728165
280,870,698,1756.7554663155872
281,1178,988,2773.7245207544
282,854,687,1749.1510637111983
283,143,127,415.53836851758587
284,107,106,556.9483922473688
285,590,484,1052.9689451469135
286,165,162,598.4471428642262
287,1205,1044,2024.3619329537262
288,142,127,441.2278278582998
289,226,220,927.9214476300857
290,205,173,485.38728122051776
291,964,795,2115.9038819498214
292,628,546,1573.3501920310114
293,349,301,900.5459588571548
294,601,536,1622.7506481897572
295,142,130,436.5470787825539
296,1614,1351,3534.090564195237
297,17,16,39.763612041808656
298,199,179,461.1621172034652
299,644,552,1411.309491534662
300,721,602,1605.9966156860266
301,225,192,461.53073840071687
302,19,19,1.2039662259064288e-08
303,330,313,1053.2643318115943
304,227,210,686.1786286942157
305,792,671,1827.021988455427
306,455,382,1087.4354725333585
307,1103,930,1988.265719298217
308,407,351,716.3991536662423
309,780,633,1568.4724292551073
310,626,537,1236.5385985601933
311,251,222,646.8121465876363
312,894,772,2171.0575816337114
313,478,393,965.3339322981395
314,859,766,1993.2199654464787
315,166,156,705.0447524256675
316,414,358,1120.393374566827
317,255,225,412.4084010064287
318,155,130,353.9385631669175
319,521,462,1410.3592774319031
320,330,309,1044.75789552147
321,113,103,516.6188807651735
322,355,296,658.7848780531494
323,444,374,1045.6988228408554
324,1354,1184,3140.726756301081
325,52,52,167.12117612657127
326,194,184,516.4037063035396
327,1206,1002,2232.1410001893264
328,650,569,1667.2726536469381
329,619,518,1499.4077760601087
330,251,208,530.7179521294886
331,51,51,0.00011289920621950598
332,301,245,655.8808551673338
333,1103,969,2735.5399444082964
334,2207,1924,5310.192282023561
335,249,203,528.4770400763352
336,117,109,483.0539992435279
337,346,293,531.6431516962778
338,742,613,1735.6615862905603
339,302,250,665.8380189235701
340,602,526,1269.1748475052989
341,2230,1920,5228.756627465578
342,130,117,477.6247839366386
343,143,136,492.43195235203115
344,828,691,1810.9105006716836
345,440,405,960.2807319048314
346,926,793,2112.6176759357877
347,2047,1777,5015.473204430488
348,1147,955,2673.167352671652
349,1222,1020,2681.045242845857
350,396,365,892.5809441851356
351,957,821,2509.2902365199398
352,333,314,978.769166380005
353,651,557,1655.3694375986688
354,797,673,1753.89228827108
355,467,380,914.8319770137389
356,934,818,2491.250692204337
357,820,674,1946.4143527799897
358,410,367,1133.0025831036141
359,1330,1129,3196.5006861258653
360,52,52,167.24056586234045
361,250,201,512.5681427156194
362,143,126,420.5181168451015
363,826,686,1733.9199596119806
364,412,349,1038.9105613517618
365,611,497,1221.9182338132225
366,700,573,1551.6245258660658
367,2859,2447,6439.188183430738
368,19,19,1.0964217843947056e-07
369,568,460,1166.7704662798626
370,601,509,1414.4161638273165
371,503,448,1348.8062382480148
372,335,285,753.3220548378705
373,250,201,503.23613236926167
374,302,244,611.789678015645
375,73,72,326.9233860552057
376,18,18,6.135217635542429e-06
377,529,428,946.9085731395279
378,112,96,274.6240620778855
379,1603,1353,3298.5350270817053
380,917,736,1856.1578453325483
381,162,145,519.1616986653918
382,759,609,1531.8722500166289
383,1111,931,2102.1819725332293
384,961,782,2067.6083931596877
385,209,169,430.16437415975963
386,167,155,524.8296142903409
387,1579,1300,3509.410688571113
388,322,273,666.1764075353318
389,131,124,421.6307540715162
390,249,218,616.5629264377344
391,208,184,603.6084274091796
392,19,19,1.199569779098841e-06
393,1026,831,2141.6443243052054
394,494,404,1128.4819047525605
395,589,478,1177.247011633499
396,112,98,292.7331735666026
397,346,282,746.0152422678639
398,304,245,612.301881125151
399,251,202,501.2896150656888
400,1001,816,2128.8519661846
401,739,593,1497.4088723100506
402,320,265,686.8128969970102
403,345,277,696.8857085044891
404,1241,1016,2512.3316057640573
405,203,164,412.5910655175784
406,432,351,772.0012809466562
407,1165,935,2376.8557650550456
408,305,245,612.6119025409985
409,1836,1530,3833.4660160695726
410,747,613,1591.0906079902418
411,19,19,2.2802756690893473e-06
412,1176,974,2328.9943316937306
413,203,165,424.7680820799099
414,338,279,670.1772411036775
415,574,466,1096.0823137452312
416,113,102,322.0448001437528
417,141,116,321.1498729890506
418,103,85,218.42772111088266
419,246,200,531.6714321513563
420,467,381,903.2444132138808
421,475,385,879.8817593922606
422,1717,1389,3250.309458029318
423,863,713,1681.1138171633443
424,141,125,391.29134748924565
425,1251,1015,2629.0316477217652
426,142,116,300.2048131126303
427,417,376,1050.3968114952984
428,250,202,512.6055864508464
429,162,142,338.6743850628855
430,113,99,284.2312715498339
431,598,509,1777.1141622476089
432,1073,957,2809.2175396297325
433,143,142,810.3327699216161
434,498,410,1110.0423977486496
435,72,72,2.7245443048391578e-05
436,259,220,378.69421081538246
437,280,250,521.8602815041583
438,256,226,705.3652376828406
439,577,469,1231.0964993879193
440,36,30,78.07264245175752
441,2337,1965,4735.044375642938
442,200,164,443.56924326649624
443,151,142,379.5746123594933
444,2231,1873,4769.067360557498
445,958,780,1936.1180682443453
446,553,454,1102.6213599430166
447,2100,1720,4623.328935019833
448,204,165,415.5435899463129
449,670,572,1628.1922390636007
450,510,412,1046.948583595431
451,50,42,101.70029611790403
452,1533,1246,3150.107892450402
453,194,185,511.8076407051459
454,578,501,1479.4792797563664
455,785,689,1978.7575303560775
456,106,103,378.39885037990376
457,309,281,941.7248738271501
458,19,19,1.3093085678871017e-08
459,561,472,1356.6274202670518
460,454,365,921.4631831040078
461,323,284,838.5575676282882
462,282,256,856.6356967084382
463,348,297,852.3032275053974
464,378,318,790.9373498208881
465,323,269,742.5960939817118
466,19,19,1.5495916925183997e-08
467,2152,1792,4701.606355240684
468,236,223,881.729177403063
469,722,582,1347.3116491062033
470,224,185,409.9493535233733
471,304,255,879.3589077059335
472,150,129,350.4824689126163
473,322,274,810.0831598391842
