episode,steps,actions,episode_reward
1,110,62,1.0000082586106478e-08
2,52,28,1.0000043267625386e-08
3,635,372,1.000045553157094e-08
4,523,292,1.0000380614229856e-08
5,203,114,1.000015080941183e-08
6,354,201,1.0000261401925897e-08
7,246,126,1.000018060054509e-08
8,573,319,1.000041293053239e-08
9,195,96,1.000015080941183e-08
10,587,353,1.0000406738871777e-08
11,459,260,1.0000328805554363e-08
12,71,63,1.000003780769997e-08
13,1013,581,1.0000710445698586e-08
14,1095,649,1.0000784924334346e-08
15,381,239,1.0000259043377462e-08
16,797,476,1.0000564276567507e-08
17,1693,1099,1.0001178748134575e-08
18,202,122,1.0000145679839999e-08
19,497,304,1.0000356005826011e-08
20,314,198,1.0000220571588731e-08
21,1459,915,1.0001015957483416e-08
22,252,164,1.0000184664585914e-08
23,1059,666,1.0000746352701402e-08
24,2351,1710,1.0001545196771186e-08
25,304,209,1.0000205182873238e-08
26,113,81,1.0000076943577464e-08
27,319,222,1.0000216980888448e-08
28,508,386,1.0000345220184222e-08
29,411,291,1.0000263659992113e-08
30,696,512,1.000046581901448e-08
31,1893,1284,1.0001270081985341e-08
32,292,224,1.0000184664585914e-08
33,343,224,1.0000238012132956e-08
34,117,84,1.0000077456534647e-08
35,560,363,1.0000402072295568e-08
36,431,293,1.0000284178279435e-08
37,2354,1542,1.00016125765012e-08
38,724,496,1.0000503774020315e-08
39,749,489,1.000051706084056e-08
40,569,371,1.0000394617416407e-08
41,1827,1188,1.0001101846462153e-08
42,314,201,1.0000219545674365e-08
43,1706,1146,1.0001157231918447e-08
44,649,423,1.0000441266033058e-08
45,35,22,1.0000025134901971e-08
46,559,355,1.00003913863307e-08
47,564,357,1.0000395489988165e-08
48,406,275,1.0000282077437793e-08
49,1897,1251,1.0001239917203314e-08
50,1238,821,1.0000549088840146e-08
51,19,19,1e-08
52,369,241,1.0000267536402526e-08
53,846,579,1.000055861037239e-08
54,208,147,1.0000143628011267e-08
55,113,78,1.0000081069335476e-08
56,784,518,1.0000517573797742e-08
57,141,103,1.0000100026650703e-08
58,52,44,1.0000043870476297e-08
59,646,436,1.000043174330157e-08
