episode,steps,actions,episode_reward
1,114,68,0.0022036691276253457
2,75,48,0.0011694748529579861
3,505,267,0.009368709376875756
4,51,42,0.0010397542956489063
5,841,481,0.015277641316520289
6,53,33,0.0011066829945441273
7,798,441,0.014359257634723592
8,1564,921,0.014179798868524263
9,1019,589,0.013752734550797842
10,658,382,0.011803192949219011
11,133,78,0.0021637975499796827
12,1498,889,0.02568072459347492
13,51,40,0.000859163587634379
14,211,130,0.0036895649965384358
15,1420,914,0.025102889559650027
16,652,395,0.011459037463651798
17,357,230,0.006442225211760477
18,148,84,0.0026695856288947045
19,418,266,0.007411141867192855
20,901,558,0.015514752643422653
21,251,157,0.004608805661205009
22,2071,1380,0.03459116681870753
23,207,152,0.003311794860374091
24,431,323,0.0068290374667588005
25,227,171,0.004054742794830636
26,468,351,0.0075678174145377515
27,417,304,0.00674950309946963
28,1098,798,0.017956685385993317
29,446,323,0.0071650502492504094
30,115,82,0.001888860680821725
31,164,134,0.002719954980383284
32,249,182,0.004218443187168519
33,271,170,0.004445105269573817
34,604,372,0.01052720446111308
35,442,289,0.007492451033926175
36,113,82,0.0019140453565660146
37,322,229,0.004986575816887501
38,294,230,0.0045332516900386125
39,343,222,0.005868039448419492
40,680,450,0.011514809718127492
41,132,92,0.002014789170075827
42,878,571,0.01469526829691944
43,1269,835,0.021733384922897874
44,250,167,0.004218443187168519
45,508,340,0.008475028310765466
46,114,83,0.0021658921140089112
47,615,410,0.01052720446111308
48,499,320,0.008587984428802776
49,294,198,0.00492361410800863
50,1164,733,0.020421424694286684
51,372,243,0.00640950997692172
52,254,164,0.004382166100619796
53,19,19,5.218493824524968e-07
54,251,159,0.0043317742280178225
55,902,604,0.015577000584372362
56,276,195,0.004298204480884887
57,334,219,0.005718005959158251
58,305,185,0.005339161257789409
59,363,251,0.006333955949688851
60,521,353,0.008512430401569907
61,294,194,0.004961391121625064
62,922,590,0.015768706832853287
63,556,364,0.00935611703900361
64,624,406,0.010671911438739343
65,19,18,2.2370713635354246e-08
66,19,19,1.9514180321843568e-07
67,140,88,0.002480700560812532
68,533,356,0.008927977551350686
69,353,241,0.005975901549432817
70,38,38,1.0000184450040987e-08
71,316,198,0.005490269312255147
72,635,458,0.008294154841006804
73,252,178,0.004130296822063505
74,19,18,1.031684060298993e-08
75,112,85,0.0020147840595431733
76,1064,709,0.017554047011864506
77,562,369,0.009469449488508504
78,444,271,0.007404304668821161
79,978,683,0.016827190527937626
80,700,481,0.011420163288991177
81,448,327,0.007700881035732538
82,52,47,0.0010504890964172428
83,108,99,0.0010159894065588815
84,453,324,0.00779256490554327
85,359,252,0.00605778400696745
86,1291,823,0.021207154199336404
87,1540,1102,0.018581719525272957
88,760,515,0.012350707446660482
89,240,168,0.0032992731845112675
90,328,233,0.005170347641356429
91,52,44,0.001069605910261256
92,113,81,0.0019895993837988836
93,4146,2939,0.06605034480296891
94,141,120,0.0025310699123011113
95,934,666,0.014629123163996541
96,455,356,0.007997197881953834
97,2444,1822,0.03873116720495076
98,2359,1745,0.03724160269717946
99,302,230,0.004696952026310023
100,205,158,0.003374756549734815
101,52,41,0.001007596395519853
102,1160,829,0.018919372922772848
103,371,286,0.005918408799908071
104,667,493,0.010807379082735479
105,274,222,0.004447593656824543
106,993,672,0.007875951684274678
107,20,20,1.1276051426456569e-08
108,589,455,0.010278119268452334
109,564,434,0.009153225709422553
110,102,79,0.001586644571890249
111,490,366,0.007114680897956223
112,114,91,0.002268589968882563
113,1297,981,0.022360055025066918
114,203,151,0.0034251259012233943
115,890,687,0.013848706198902851
116,1326,1051,0.020210712333118223
117,803,679,0.01315900307639135
118,498,404,0.00784071344347429
119,51,48,0.0009309713793265332
120,370,326,0.006496674680504038
121,111,100,0.0019992506629345494
122,347,298,0.005658390373403164
123,346,292,0.005817891877825645
124,2908,2308,0.045863804865410765
125,144,109,0.002254038479113925
126,363,280,0.005704339056081609
127,736,495,0.011736069047138932
128,71,55,0.00014803853012515078
129,783,575,0.013360480482794963
130,252,199,0.004029558119086347
131,205,168,0.003437718239095539
132,320,278,0.005261973985573973
133,417,331,0.006672317675230921
134,605,478,0.008713907807524224
135,206,168,0.003374756549734815
136,250,201,0.004155481497807795
137,1163,990,0.020778926879124613
138,305,239,0.005200677493344162
139,204,164,0.003437718239095539
140,1133,862,0.019179468968185422
141,515,412,0.008535752338633296
142,256,235,0.004607635220681812
143,348,303,0.00609073881349956
144,349,298,0.006172836224819891
145,184,150,0.0009468810367460012
146,802,624,0.012630124885761266
147,533,462,0.009294770881841368
148,204,152,0.003223648495269077
149,816,620,0.009644053374238373
150,1710,1008,0.02950291313688783
151,709,568,0.010558470508001705
152,384,320,0.006915986068475145
153,156,150,0.002720466367604233
154,1378,1121,0.022102603722505117
155,308,236,0.004759913715670747
156,613,554,0.011881724219468915
157,406,369,0.0027265144272103836
158,247,234,0.0038549224599962583
159,141,133,0.00270098794940105
160,305,231,0.004759913715670747
161,715,597,0.011288457464924101
162,112,101,0.002169332005429212
163,142,118,0.0027188555215933515
164,723,599,0.012003705597185997
165,555,404,0.009343524701131466
166,376,316,0.006472471666282444
167,748,481,0.0135352978910658
168,393,274,0.006828228183667761
169,163,118,0.0033824438510396417
170,1099,621,0.02121015846670096
171,920,526,0.017342702733882755
172,19,19,1.000000017240019e-08
173,114,105,0.0026462434974623143
174,1333,736,0.026267480695736634
175,346,249,0.006440016993288722
176,584,458,0.009611822461647587
177,1184,900,0.010370801842312299
178,224,190,0.003450310576967684
179,1013,747,0.017706345722624035
180,315,273,0.006192489810518232
181,864,627,0.015471331204823992
182,251,172,0.0043317742280178225
183,71,69,0.0006142524270544097
184,359,283,0.006748868465483136
185,529,389,0.008436876374337038
186,587,493,0.009617285443036546
187,394,321,0.006560286970228433
188,132,123,0.002426187416424568
189,19,19,1.0000007079246195e-08
190,274,240,0.004641074696147118
191,366,300,0.006579254452219283
192,703,574,0.007967305089438683
193,19,19,1.0000000000022139e-08
194,380,307,0.0070735009532414805
195,355,289,0.004684458079112814
196,503,397,0.008033921562428404
197,1800,1324,0.02496384130462134
198,587,486,0.010074211598950585
199,396,328,0.007020924646616538
200,275,210,0.0010963718121446725
201,760,546,0.012554570858528397
202,332,263,0.0054201608195664904
203,252,175,0.004105112146319216
204,1020,708,0.016693981514896823
205,317,233,0.005214186984349279
206,53,46,0.001273232690054509
207,304,233,0.004848060080775761
208,142,120,0.002602775617145753
209,114,98,0.0021859736182423864
210,1425,1114,0.022594065196381147
211,198,154,0.0031103174544197735
212,223,175,0.0031229322003612473
213,1459,1192,0.022983196867018246
214,1475,1190,0.022872505243153023
215,18,18,1.3833909126521901e-08
216,142,122,0.0022918154927303595
217,1249,1041,0.02025362981254148
218,299,246,0.004154888290518933
219,471,407,0.00781271777055126
220,659,538,0.01043935038629466
221,38,38,3.2552837854007473e-06
222,142,132,0.0025184775744289665
223,303,240,0.0047095443641821675
224,113,113,0.002378055598346574
225,506,438,0.008430923983381213
226,667,544,0.010524150685678559
227,244,206,0.0039905763841637295
228,269,217,0.0038029538727772675
229,250,213,0.003916227078237043
230,193,180,0.0025708257439216713
231,242,217,0.004200032240415574
232,3152,2370,0.04958882361361689
233,51,51,0.0012314047365998377
234,1707,1353,0.026694269957883102
235,19,14,1.0000441798864025e-08
236,407,340,0.006491723088721731
237,303,239,0.0046339903369492985
238,115,99,0.0019140453565660146
239,369,302,0.005427405526499662
240,1960,1585,0.030089546828940453
241,248,199,0.003815488375259884
242,471,384,0.007464843682736715
243,324,273,0.0046969528197639545
244,503,399,0.007630966750519768
245,602,512,0.00935611703900361
246,731,621,0.011433852787907508
247,171,163,0.0020399781473043185
248,1671,1379,0.025265017207946393
249,596,476,0.009079085605816424
250,1064,849,0.016105610138473274
251,859,707,0.013461100018628129
252,144,119,0.0022288538033696354
253,1259,1021,0.01942685469368137
254,141,118,0.002191076789753201
255,725,622,0.01161180992673065
256,952,792,0.014812874930177074
257,258,209,0.0038658577267484634
258,447,361,0.006808617314783044
259,52,52,0.0010616604055283772
260,1269,1054,0.019631521368478417
261,471,397,0.007724542132053467
262,1223,1022,0.018143684927641276
263,897,723,0.01354936555042784
264,252,210,0.003903634740364898
265,207,166,0.0031103174544197735
266,1998,1701,0.030617948873839607
267,780,669,0.01222215433227675
268,2128,1805,0.03370988852259156
269,276,222,0.00414288915993565
270,454,372,0.006598395045440677
271,144,133,0.002317000168474649
272,609,489,0.009217601322410018
273,414,352,0.0066575658188870596
274,383,326,0.005691748585948263
275,205,165,0.0031103174544197735
276,1578,1323,0.023383367075752837
277,751,646,0.011897844389255377
278,19,19,1.2262264609201235e-08
279,266,218,0.0037273420122245003
280,456,373,0.006963572843296092
281,1649,1351,0.024756820957748296
282,249,201,0.00375252668589916
283,685,608,0.009863028240163108
284,534,456,0.008159844941149852
285,561,470,0.008497271621850837
286,302,243,0.004545843971844285
287,741,631,0.011116247883446256
288,329,265,0.004973983459497209
289,142,125,0.002254038479113925
290,1329,1120,0.020138918124001034
291,303,244,0.004583620985460719
292,464,395,0.007205996743186589
293,365,324,0.005792485421186623
294,306,246,0.0046339903369492985
295,105,105,0.001710374456429074
296,387,329,0.005276293133589501
297,19,19,1.3284038385157252e-08
298,972,823,0.014808599726109385
299,89,89,0.00047097161297035437
300,383,336,0.005692747852248428
301,19,19,1.094194337371518e-07
302,18,18,1.395013900957962e-08
303,143,119,0.0021658921140089112
304,300,241,0.004520659296099995
305,781,637,0.011887176951304722
306,309,264,0.005179148091630257
307,418,349,0.00602916430461122
308,693,585,0.010530418099382004
309,196,168,0.0032832997505466083
310,300,250,0.004596213323332864
311,1388,1137,0.02109217593584297
312,242,196,0.003676972658666291
313,1126,915,0.017125589506117075
314,319,274,0.004947549362980717
315,252,204,0.003828080713132029
316,19,19,1.0021605601475049e-08
317,142,125,0.002191076789753201
318,398,335,0.006235331286432816
319,301,244,0.004583620985460719
320,202,163,0.0030347634271869046
321,143,116,0.0021532997761367664
322,142,125,0.0023547771820910837
323,108,108,0.0016897494872289117
324,758,642,0.011023555914068383
325,124,124,0.0006432677942079528
326,192,183,0.00261735375133764
327,366,317,0.005766945990667762
328,18,18,1.000008596000636e-08
329,300,241,0.00453325163397214
330,203,172,0.0030473557650590494
331,254,236,0.004175983425085332
332,520,452,0.00802782202994089
333,891,748,0.013272334117556768
334,847,719,0.012773851494461134
335,579,517,0.008344444894064707
336,810,683,0.012189393060243586
337,765,634,0.011157156230997589
338,221,207,0.0028130169232606474
339,183,155,0.0028332860212325873
340,224,190,0.0031732791445792767
341,448,382,0.006843425924653625
342,466,403,0.007695624453654259
343,826,721,0.012139781195331854
344,692,590,0.010388688745058636
345,1192,1037,0.017578966432758653
346,249,203,0.00375252668589916
347,489,415,0.006785643654854321
348,301,245,0.0045584363097164295
349,303,255,0.004127537227645321
350,508,418,0.0076813361020083475
351,322,266,0.004608805661276058
352,270,240,0.0038784500646224843
353,300,272,0.004005161685537346
354,1358,1146,0.020725339999237223
355,18,18,1.0000013902686571e-08
356,251,206,0.0037777113616434496
357,210,203,0.0027311885561213224
358,205,179,0.003148094468036208
359,306,284,0.004474796108388778
360,164,157,0.0026230649708356593
361,715,605,0.0109843577381361
362,525,468,0.007538777387447568
363,116,108,0.0018977280930771725
364,329,313,0.0054136575846542405
365,1180,1019,0.018096254762126607
366,969,834,0.014760856849526474
367,1210,1041,0.018535851393147867
368,1814,1537,0.026833579603275245
369,305,249,0.0046339903369492985
370,542,490,0.007699266731311291
371,51,51,2.7002589733458356e-05
372,1707,1484,0.026360077552882204
373,706,610,0.010579005857646376
374,546,440,0.00826058364412701
375,117,111,0.0018280238977058758
376,357,300,0.004789406991958983
377,302,243,0.004545843971844285
378,323,264,0.004571028647588576
379,1526,1317,0.02278743848990095
380,347,302,0.005515453987999437
381,247,199,0.0037147496722827254
