episode,steps,actions,episode_reward
1,682,398,1433.840951383047
2,942,555,2652.408291725558
3,268,137,812.6356924466389
4,951,554,2135.8816057264976
5,318,183,806.7170322650221
6,465,277,1093.1222255868552
7,376,234,1174.9491846317521
8,134,95,433.2633535816105
9,641,357,1545.0714736144105
10,113,68,489.18849457555484
11,130,80,460.4590870605457
12,660,418,1619.9643229677458
13,132,82,427.66607430442497
14,689,398,1552.809119761005
15,817,500,1985.4544453219776
16,254,167,879.3045560739162
17,52,37,288.9876076898531
18,1377,866,3210.5304232928725
19,999,618,2425.3859125045174
20,452,255,1067.949897203854
21,1012,675,2822.6590556468705
22,1444,925,3342.719806174831
23,269,184,761.0130567128148
24,1249,894,2818.9794522081565
25,430,316,1100.8223461924824
26,19,17,179.823770719033
27,52,37,322.2399511746982
28,724,525,1862.6716471634547
29,347,252,827.2280584511523
30,256,190,709.3549367983883
31,134,103,343.9523488779346
32,393,270,845.2200072346199
33,304,200,688.2227275474258
34,112,80,268.51222177147906
35,165,125,560.0414405640661
36,503,352,1225.092172100765
37,931,627,1475.0220173919713
38,275,197,624.6560394824071
39,929,645,2310.504048878909
40,170,120,569.8029013002387
41,508,354,1078.4023605719094
42,19,17,179.83733889440418
43,671,431,1505.3755457587934
44,321,214,850.8006601133504
45,767,512,1578.1746653892105
46,1484,996,3520.7967753546905
47,1304,835,2854.46026731773
48,1791,1154,3844.8684259546676
49,816,528,1671.3301378711847
50,605,397,1298.0036823836483
51,661,428,1224.3865485462222
52,883,597,2030.2962955016517
53,183,119,405.1073058819981
54,986,640,1907.9302994427785
55,410,285,902.2061903172672
56,203,130,386.64950764410145
57,504,322,904.3937993436513
58,111,66,273.1149383395703
59,19,18,189.84260501247684
60,19,17,189.85479272989465
61,532,338,1105.7513088969283
62,141,95,321.3798609940993
63,712,481,910.8526907521388
64,410,283,1151.6034011108652
65,52,40,342.01603558374984
66,158,102,530.7567417180859
67,249,162,772.012634145365
68,398,283,1319.8743596964703
69,830,547,2161.0455926773457
70,336,229,1258.8054754136351
71,1132,765,3062.3233337599663
72,487,340,1258.09042711235
73,445,299,1055.0782120519057
74,251,167,569.3837286941524
75,452,334,1190.6342198097916
76,121,112,1022.0787956729865
77,801,548,2253.7743424763125
78,58,44,109.60057611715098
79,196,132,427.38713216983706
80,114,82,312.4693075259266
81,1234,781,2717.2732656794356
82,193,152,698.790396622154
83,18,18,169.85428570859952
