episode,steps,actions,episode_reward
1,269,244,259.83175737063993
2,1045,905,419.79117276334097
3,305,288,559.780853910698
4,18,18,359.8228035230365
5,1535,1282,819.5980401509654
6,556,414,279.8359347109217
7,258,213,439.7897402256309
8,747,567,399.81738102266627
9,1139,890,879.6089103117723
10,1016,809,259.81379536063804
11,249,213,379.7996134454021
12,454,384,879.5993588333638
13,1833,1383,839.6109608790016
14,204,178,339.80251631556837
15,372,300,439.8021392064882
16,1199,932,379.8298382610579
17,143,143,19.997947673367666
18,51,38,499.78478679136697
19,1125,884,619.634430058981
20,1616,1272,799.5718407119067
21,2890,2256,1419.4167603243568
22,142,120,459.7872888341299
23,196,178,319.79658315095514
24,1761,1343,899.6153260782415
25,671,570,419.8010034635461
26,206,178,439.805744433641
27,836,663,279.8033067221052
28,253,203,419.7980902203286
29,307,269,479.78386615469134
30,1775,1404,659.6377603550233
31,506,415,399.79062473636725
32,320,290,339.80255493790713
33,180,159,299.81604502703476
34,303,242,279.8005849656728
35,280,262,319.7848285284956
36,2442,2133,839.4147803455797
37,204,188,479.7791113474536
38,1047,943,639.6118319674981
39,303,257,299.8159830864571
40,643,563,419.8061981125407
41,601,501,379.7916615313879
42,454,401,239.81701694039543
43,802,733,419.7902134695448
44,664,551,419.8068907385782
45,205,184,239.80006685900224
46,89,86,479.7857528569932
47,510,456,1039.57356592749
48,160,150,459.815333367217
49,1570,1422,999.5921263686405
50,18,17,199.89793959024874
51,853,772,919.5971971029055
52,302,286,439.7899137341502
53,605,564,539.792470248402
54,133,123,339.81511838439025
55,205,188,339.80485153096413
56,589,515,339.7897133670592
57,206,198,399.7891326985354
58,809,706,779.5947619427538
59,113,99,199.827450065615
60,204,174,459.7999916630214
61,928,816,539.7756934306628
62,144,125,379.79568783669964
63,437,375,279.7995305459621
64,694,621,499.7873244488095
65,1766,1561,799.6035477713148
66,1386,1186,839.5887145665149
67,249,212,539.8028558850502
68,914,771,799.7437588389306
69,750,640,639.7729305554543
70,827,719,539.7870914608742
71,251,230,379.79547907436154
72,305,279,439.7959886700331
73,695,627,939.5778141706486
74,226,202,459.7810974027083
