episode,steps,actions,episode_reward
1,892,766,1.0136198196209906e-08
2,667,596,1.0000000000004455e-08
3,534,477,1e-08
4,1080,887,6.3418589541054295e-06
5,553,409,1.7598898253726934e-06
6,52,43,1e-08
7,506,382,1.0019961447729085e-08
8,2336,1768,6.462585855179598e-06
9,52,42,1e-08
10,19,18,1e-08
11,205,181,1.0247067217604939e-08
12,1085,883,9.46944808651882e-08
13,274,236,1.000004603643953e-08
14,469,386,1.0000000035506184e-08
15,705,516,1e-08
16,571,443,1.1201448363534796e-08
17,273,233,4.782093345312023e-06
18,269,227,7.81007821312276e-08
19,305,235,3.8409356041376894e-05
20,164,143,1.000000000000031e-08
21,1203,960,1e-08
22,305,257,1.9836117679332395e-05
23,307,248,1e-08
24,530,441,1.0000000000000455e-08
25,1974,1524,0.0001179426606026001
26,320,275,1.0000000000000048e-08
27,1562,1208,1.6305002093911307e-07
28,455,380,6.947259340526872e-07
29,19,16,1e-08
30,250,210,1.2678971228797747e-08
31,875,636,1.5940733956671294e-05
32,114,103,1.0000000003666137e-08
33,603,517,1.0803367171135353e-08
34,112,102,1.0000000011600424e-08
35,360,323,1.000332290436949e-08
36,442,357,1.0000000082825944e-08
37,641,487,1.0384806411204166e-05
38,52,44,1e-08
39,1461,1094,2.7123389592079423e-05
40,1417,1135,1.0000000000000257e-08
41,966,859,1.0091926067233146e-08
42,815,699,1.0002940765791294e-08
43,604,525,1.0026627458197195e-08
44,1723,1534,1.0000009280173195e-08
45,207,193,1.0032453243746706e-08
46,134,126,1.0000000000000005e-08
47,355,314,1.4188706814127078e-06
48,600,506,4.993630608114519e-07
49,583,496,1.0178630937434887e-08
50,506,461,1.3156352542675592e-07
51,114,106,1.0000000000000002e-08
52,113,110,1e-08
53,1437,1282,1.0000080033187533e-08
54,255,233,1e-08
55,316,289,1.0183263778401453e-08
56,465,412,1.000003220260019e-08
57,52,48,1e-08
58,383,350,1.0030769147455221e-08
59,1340,1234,1e-08
60,123,120,1e-08
61,204,181,1.0000607753356776e-08
62,274,261,1e-08
63,998,913,1e-08
64,2577,2221,1.0000910759402087e-08
65,843,717,1.0000000000001277e-08
66,115,103,1.0000121267613105e-08
67,226,196,1.000000000000001e-08
68,251,225,1.0000001458006655e-08
69,430,376,1e-08
70,828,710,1.0000000001252714e-08
71,163,142,1e-08
72,1284,1110,1.0000000000856001e-08
73,302,251,1.0000001426140445e-08
74,1660,1394,1.0002545782173038e-08
75,1115,918,1.0440364697351364e-08
76,204,183,1.0000000000743278e-08
77,1489,1308,2.0108807485135376e-06
78,74,62,1e-08
79,1336,1193,1.0000001617432098e-08
80,251,251,1.009325766649014e-08
81,272,242,1.000000000002876e-08
82,394,370,1.0005644947012378e-08
83,1173,1087,1.0000356264852746e-08
84,574,519,1.0001437246285556e-08
85,113,113,1e-08
86,443,415,1.0003219352962625e-08
87,1175,1082,1e-08
