episode,steps,actions,episode_reward
1,870,778,239.82093286484255
2,132,122,19.997902278942888
3,305,260,199.8286699091691
4,146,132,259.8544021528706
5,440,406,79.94640539177952
6,560,493,499.8280578772318
7,442,359,919.595539111848
8,19,17,1.0000000000000367e-08
9,805,595,339.80501839999675
10,52,50,1.303667080323376e-08
11,1210,880,279.81888453820636
12,508,404,779.6339780869688
13,250,222,299.8126332603441
14,17,17,1.0000003350793555e-08
15,113,98,579.7914471883238
16,302,269,339.8037938812853
17,447,370,359.80255456280236
18,277,247,1.017711733977271e-07
19,948,768,739.606861434525
20,421,355,119.8888318892687
21,218,183,279.8156958681472
22,269,233,299.80985549122545
23,601,451,379.81297131048933
24,72,60,1.3637173665491178e-06
25,576,459,459.80489609742193
26,1648,1264,959.6214840612894
27,871,670,719.6875729989106
28,52,44,2.869780142792035e-08
29,52,47,4.4116931583424807e-07
30,203,181,319.7999978685466
31,643,551,0.0004418567743089662
32,523,430,1.1246302983294435e-06
33,699,542,399.81783503285766
34,967,834,819.6068990091036
35,466,384,359.82592074216075
36,358,300,299.81687595694416
37,205,176,359.79831503540015
38,1000,818,799.6270610810109
39,554,422,279.81582040004054
40,305,244,439.8165216563015
41,249,214,459.79411951901176
42,1013,804,6.036867742512309e-05
43,192,174,239.83043633871216
44,1837,1454,499.75229262691846
45,1321,1050,719.6160393044307
46,547,425,39.995144035023216
47,304,275,1.5292154486716132e-07
48,181,164,1.7013367398382559e-06
49,580,497,379.7929949617464
50,470,422,339.7996034277341
51,114,109,0.00018034772033327613
52,447,406,3.641769049933649e-05
53,305,269,259.8282177136479
54,854,766,99.94493502678185
55,3040,2584,839.5958316325294
56,267,235,419.74476666381105
57,115,105,6.888319851481338e-05
58,19,17,1e-08
59,51,47,1.000051417533784e-08
60,1103,956,1.3482129858329737e-08
61,252,225,339.7909309489942
62,336,308,219.86825034552317
63,1371,1231,439.8128120199736
64,19,17,1e-08
65,417,398,2.071657652973759e-05
66,72,67,1.5369481073705943e-08
67,1278,1200,0.0001754760367503836
68,279,275,1.328810584917808e-07
