episode,steps,actions,episode_reward
1,1579,1056,2137.788977670779
2,132,104,261.277789235167
3,72,63,8.687591400593184e-06
4,253,164,431.11046262269645
5,600,444,1084.1731404053114
6,300,167,446.5079331496044
7,669,405,936.3090311249969
8,164,112,239.20521166746852
9,244,153,353.4378256421588
10,830,544,968.2480511244931
11,676,409,1166.4021219551623
12,585,403,750.2975999558827
13,787,502,969.0210711645142
14,1067,615,1626.8097858778597
15,2042,995,3402.0481730914935
16,2964,1548,5278.203699416215
17,263,156,406.25204020106924
18,2916,1451,5089.08551745759
19,460,270,804.4510935093301
20,1700,866,2896.469424138574
21,323,133,550.0921773715218
22,685,215,1046.8912920139146
23,689,305,1267.5744823733398
24,641,203,1174.181617351248
25,252,103,405.81731385846984
26,1168,411,2184.6877086843806
27,204,85,498.4592387636422
28,1883,586,3322.597932893626
29,572,205,1273.3090935111782
30,142,40,82.77140775705699
31,378,148,575.2066681263543
32,666,202,1170.5159979464897
33,814,282,1259.1753237858916
34,404,148,658.6593999706952
35,334,141,575.2341072716137
36,316,96,767.8889187825441
37,303,69,521.9439254311881
38,1102,362,2201.426341365711
39,204,70,469.72437522191007
40,617,149,734.9182381215968
41,1057,346,1641.482683417554
42,205,75,474.31426640407267
43,410,139,851.28994218883
44,271,72,564.455695103501
45,477,166,1023.294867183137
46,140,48,73.10234761203624
47,144,58,193.46877278993193
48,395,143,701.5677398891164
49,19,7,1e-08
50,1390,496,2943.899227670125
51,215,74,289.67252457269416
52,244,98,422.1529350095783
53,50,23,1.0005382992751271e-08
54,442,145,814.1127946009757
55,691,156,1352.9421107311427
56,19,14,1e-08
57,1638,484,2890.519411114819
58,114,52,57.77003604467041
59,1100,430,2128.412097265671
60,206,85,479.85093421506144
61,19,18,1e-08
62,754,248,983.2829478916419
63,307,148,461.94881572011525
64,1139,400,2348.7270008454684
65,384,237,697.8651763610511
66,207,94,464.8772483153445
67,113,57,83.8723991564328
68,491,229,855.4119036743624
69,357,136,412.4809363315059
70,1370,494,2941.029376870059
71,52,24,1.0017291904262642e-08
72,268,92,574.3087052783064
73,725,343,1399.8501289926144
74,420,181,921.0198848719224
75,275,153,643.5841092808569
76,316,153,729.7549961719089
77,337,185,642.1848658206167
78,303,129,647.5312014559256
79,225,119,403.8918411782157
80,253,114,568.7219089967319
81,279,185,406.3886222148256
82,1525,829,2923.4851627012868
83,250,96,518.8492889433445
84,404,185,667.010003507272
85,573,348,1106.7855009988903
86,444,250,860.76585700841
87,972,641,1841.8491778852128
88,224,146,470.4891453798473
89,1802,917,3442.6412101975766
90,221,90,460.41833223304775
91,204,89,478.25828983014884
92,1367,646,2656.062894287132
93,205,106,451.27320470736703
94,605,325,1237.1711474695826
95,354,145,640.0188878175537
96,53,23,1.0012475704536234e-08
97,642,275,1333.4998699621312
98,19,13,1e-08
99,252,49,417.9322921579157
100,1347,293,1447.2184389922618
101,667,141,919.6302633819538
102,49,19,3.3368697979464336e-05
103,1818,1000,3531.188060847076
104,52,21,1.0000166557262283e-08
105,113,73,102.06417753759784
106,1569,608,2306.516316214736
107,444,121,739.9455567931391
108,1467,627,2154.1070841292326
109,389,283,873.8874865196987
110,669,513,1297.6551483003657
111,204,144,457.29264286331244
112,1738,1212,3546.8048785667315
113,413,277,642.2476096127044
114,799,574,1725.3652779860645
115,325,228,703.6335444315738
116,1820,1182,3415.0538874795902
117,164,129,340.60023142864117
118,289,197,650.8539192320319
119,52,31,1.0554702998831528e-08
120,293,186,702.9156839740814
121,303,169,646.4484014453787
122,162,124,275.5791061937784
123,233,167,397.40160757567276
124,197,123,223.8956991203507
125,1056,720,2170.1379923001814
126,626,468,1172.7683918117023
127,54,35,1.2090148989032891e-08
128,1365,636,2724.03676295649
129,342,166,668.681391151727
130,681,420,991.7944998842687
131,617,458,1144.6923775041557
132,987,691,1808.0798434044236
133,307,184,564.5649291950853
134,394,322,864.8982985779633
135,58,43,1.4975403162237984e-08
136,226,207,238.1086101781803
137,284,255,572.0332249109024
138,259,202,374.22316115825197
139,143,126,264.0014189192449
140,513,407,998.4871166881447
141,1202,978,2164.833522756434
142,194,169,322.63859980992413
143,316,255,748.1774875972058
144,1068,585,1966.6583398141727
145,358,154,564.1772858685357
146,114,98,163.80157426175916
147,812,543,1552.8076557993825
148,615,348,1299.87401648763
149,52,34,1.0013587449922653e-08
150,728,270,1406.9029764731958
151,506,349,1171.1902944970975
152,19,15,1e-08
153,1675,1027,3350.356435242378
154,916,446,1909.4405987796881
155,95,52,251.04347187471402
156,470,231,849.008357197378
157,1229,904,2426.6003776694747
158,1377,1173,2391.883445842264
159,1267,742,2068.1611717300566
160,558,455,1016.1286219378749
161,891,766,1827.237311612218
162,464,206,881.5573707543442
163,939,694,1964.6571184503928
164,567,489,1141.3636879699582
165,382,239,627.2253280672614
166,1761,1126,3118.7349192344736
167,533,469,1085.931181738188
168,680,361,1254.8270063199423
169,665,585,1433.3491464322262
170,54,47,4.1218750914245713e-07
171,647,487,1289.9478540705259
172,620,465,1235.7236530825326
173,255,206,328.3357049770076
174,748,443,1544.7635598877184
175,20,18,1.000000000000001e-08
176,949,412,1738.7991892205416
177,142,134,329.6269386239462
