episode,steps,actions,episode_reward
1,1331,896,1582.1258149301846
2,250,154,375.3171068514944
3,20,15,1e-08
4,161,126,229.96520281430426
5,19,14,1e-08
6,1166,826,1829.3869569180504
7,160,112,306.900563409434
8,2056,1299,2509.90018311989
9,354,214,422.4757330948144
10,585,413,739.1761119546195
11,606,344,759.3880912936318
12,796,490,899.0785983721232
13,206,113,393.0500203377641
14,366,215,788.4212618941
15,129,79,193.38491279448021
16,416,198,731.519342402469
17,506,235,878.5267565770739
18,873,473,1668.0975142776008
19,1274,639,2245.6762594870934
20,393,234,535.052940706798
21,298,178,441.5404812352105
22,1495,744,2349.4655157128395
23,1277,594,2292.730732951961
24,294,149,585.2766724776438
25,1113,637,1701.2861953376748
26,2167,1046,3544.3486410804903
27,305,110,382.038560492606
28,199,78,294.75549874246843
29,251,98,402.63738412248307
30,934,363,1703.780811466093
31,184,84,391.8173435520547
32,451,184,841.4487020967282
33,252,81,370.0848124981646
34,1605,580,3002.95131663608
35,670,240,986.2095140802255
36,926,222,1330.398628913606
37,51,13,1.0002558240170203e-08
38,224,81,388.97195863048586
39,484,171,782.8631732835752
40,391,132,549.768538600406
41,1481,478,2637.103517351117
42,405,160,641.0559307499223
43,143,67,232.7306535396553
44,196,73,283.34068961478465
45,612,197,791.0388860266892
46,618,174,996.263977244127
47,684,148,1223.5136719939153
48,623,218,1070.932243803001
49,808,246,1380.0456641446913
50,474,134,811.11028873597
51,393,139,818.413891823364
52,249,86,506.33106008549277
53,286,96,500.2032235546598
54,899,327,1696.4309944889371
55,839,312,1659.0312020226781
56,1121,403,1828.9968214361338
57,2589,785,4161.109775584366
58,141,56,165.61346354010138
59,904,297,1504.5216622381565
60,509,164,1100.3156257053242
61,225,74,414.61385899828144
62,563,191,802.0023642870952
63,101,49,0.00017873043669348196
64,205,92,306.83906450074755
65,1025,360,2034.6569361707568
66,492,307,654.0290070850756
67,1155,539,2008.6929603718904
68,19,13,1e-08
69,1010,331,1929.897162616885
70,658,307,1011.7656743388143
71,290,80,458.704623493099
72,459,218,886.0543416517208
73,532,203,967.7961730248056
74,114,64,147.41909059818602
75,516,199,973.6702546334664
76,494,265,680.971710718542
77,471,225,817.352932745554
78,51,27,1.0010696665180794e-08
79,391,243,655.108849987352
80,666,284,1172.464593513824
81,442,234,718.0536057642809
82,250,123,498.86380505109025
83,394,157,796.4013450469232
84,265,114,427.6678474776773
85,2434,1278,4437.165665646411
86,226,148,289.125848758331
87,1240,660,2043.1767354754102
88,337,207,533.4951595700791
89,203,98,336.1954737200099
90,1139,498,1976.6665217854547
91,431,241,698.1554174952915
92,1517,692,2131.2722529637003
93,142,69,250.4049796346079
94,776,120,841.9510993332077
95,324,99,662.32954578052
96,214,108,248.72939998599549
97,855,141,1224.6791731769458
98,162,68,246.45353251508118
99,456,218,796.4223895467792
100,941,500,1838.6384572213883
101,204,122,409.17557769753716
102,1056,560,1878.0371833503968
103,1558,478,1984.9786663248285
104,19,11,1e-08
105,52,31,1.0000000000000609e-08
106,929,414,1348.1434420942924
107,756,577,1626.3699032978814
108,1263,868,2656.5114959846605
109,769,458,1372.8758518347995
110,462,322,925.9447912253645
111,669,498,1231.4471663400936
112,140,109,242.50275660331027
113,726,524,1432.5517768476543
114,2621,1660,4072.997982178314
115,605,352,1117.981940367091
116,51,28,1.0000040860596322e-08
117,108,68,10.40240348588674
118,19,13,1e-08
119,111,82,134.7109777780185
120,1626,770,2852.2855418132667
121,51,33,1.000046755986e-08
122,52,27,1.0000000095150808e-08
123,511,174,778.2934299330825
124,1154,630,1872.5569049024978
125,38,31,1e-08
126,255,188,329.7699833265428
127,1047,689,1735.5708290832404
128,334,240,611.1381350593638
129,651,422,1138.6393776996626
130,766,601,1355.8136972587636
131,222,200,238.42813313819295
132,337,301,501.5356095362623
133,1312,1090,2584.151449678964
134,495,348,964.3387839972232
135,974,794,1671.9201413615617
136,750,361,1126.572044136488
137,582,375,1005.5614943203373
138,980,733,2038.6385344023572
139,251,48,543.9880487731594
140,206,179,363.5457111765137
141,472,299,632.2497931291342
