episode,steps,actions,episode_reward
1,19,19,0.0006803830184343393
2,687,436,638.0142818703279
3,19,19,53.61793265311033
4,52,51,129.67064486382716
5,1125,698,845.4990402010854
6,457,270,396.248295002795
7,570,361,537.1252759422189
8,544,336,217.84079425920538
9,470,286,288.699445931178
10,773,462,190.06478496431743
11,528,362,749.8053102215802
12,319,207,291.5094764170545
13,980,649,986.9175663041285
14,192,139,225.18326096408106
15,1769,1131,1339.3140147823729
16,203,122,239.05398065201712
17,1217,744,1277.3267474474706
18,76,53,117.49784895816218
19,208,141,251.67028812567517
20,38,38,77.45308076601832
21,890,628,1055.7094541186548
22,251,179,391.30558539194834
23,857,619,1100.457139986786
24,267,173,283.277048943837
25,458,276,415.3832098392598
26,393,242,276.6040756719522
27,2441,1541,2275.7875236758855
28,1032,641,550.581262702125
29,256,182,344.9205563402976
30,133,93,211.0122083630342
31,52,49,148.28050519197978
32,991,772,1610.255274755201
33,367,297,710.4762035376342
34,355,313,648.8453976769325
35,919,773,1659.658770922506
36,92,73,193.39734470971953
37,356,263,754.1572210935982
38,392,313,716.3757316918415
39,398,330,662.4440231421847
40,368,283,690.7848535055055
41,433,385,792.4791842912388
42,303,247,549.4438855884559
43,1132,880,2039.4788241746535
44,2219,1556,3324.767944333097
45,554,362,933.8885963449086
46,307,249,597.6540584819676
47,112,69,224.81024871320193
48,248,170,279.27327273385504
49,3178,2121,5193.25612830278
50,48,35,86.02889753428929
51,598,460,993.0705820327024
52,702,571,1382.8996621554109
53,519,330,752.3900348637538
54,702,490,1157.3047845519682
55,1115,740,1878.973911754788
56,394,275,684.4033008323158
57,206,158,428.71538157187706
58,2245,1496,3983.4600801075735
59,1382,992,2478.3301748875724
60,1639,1108,2759.537809976875
61,450,310,957.9260565748096
62,365,304,774.3069222075562
63,606,480,1141.0706745080565
64,369,294,747.4344313022328
65,19,16,0.00014627077190470923
66,1367,1036,2551.6018204124452
67,1335,1111,2576.1520334151764
68,210,192,494.09805509731837
69,19,19,0.000413911298605729
70,334,310,686.3965405536223
71,19,18,0.0001559260564047036
72,19,19,6.315601210496389e-05
73,304,176,482.1832522525685
74,508,388,904.8169147160017
75,250,201,402.77641473182064
76,597,460,973.4298383696532
77,3034,2196,5381.943618420756
78,645,499,1105.3434112352518
79,1058,629,1887.458543052911
80,1601,1231,2236.924098183431
81,1820,1211,3283.393076953045
82,251,178,434.34642245865155
83,19,19,2.975687106848789
84,2060,1414,3694.9658220964093
85,511,389,809.015481987674
86,437,304,832.6855422919527
87,1158,840,1922.7962124024557
88,1085,793,2008.3994939577412
89,422,356,516.8692904029062
90,440,369,737.3039369244299
91,114,104,260.723256782163
92,915,748,1593.4457482863738
93,19,19,0.00017838875468354585
94,1230,926,2172.6302016552013
95,70,69,80.02275728823844
96,2253,1801,4247.613293407769
97,193,173,412.1901398454216
98,803,657,1501.4180348425243
99,567,477,964.8102863226803
100,152,143,214.5756360032719
101,633,490,1208.120827219899
102,1019,921,1882.0055517107733
103,115,80,225.22848897278138
104,1055,826,1804.6047529777459
105,968,753,1821.8676188314719
106,1697,1316,3105.0088769532354
107,426,357,810.5053968143452
108,303,208,513.7749707795298
109,723,561,1298.3486186537066
110,1098,865,1804.5096546145771
111,428,281,782.2981407696587
112,302,209,477.8447237230167
113,205,167,334.5347312789386
114,323,254,551.5936425225938
115,736,653,894.9427452569266
116,472,355,804.8317871680412
117,251,214,433.79158367424026
118,365,260,658.7475609947481
119,1703,1150,2958.927148673407
120,2028,1591,3801.5712779230944
121,255,228,558.6968751936453
122,71,65,147.16927651298556
123,905,726,1699.246386812729
124,1053,818,1626.3658814836203
125,113,91,245.51229402233582
126,247,219,489.102101834692
127,1472,1190,2450.327997874496
128,248,135,373.16777063934654
129,409,250,789.0403958651893
130,252,225,481.4371346189925
131,1120,674,1891.6139081770523
132,870,611,1427.2087344028748
133,957,673,1671.314300205925
134,151,80,304.43919032574166
135,672,448,1145.6890247873046
136,489,325,957.9481774966293
137,897,472,1664.35824330357
138,464,382,860.9142431418923
139,342,268,686.591465727706
140,1045,682,1747.581054265878
141,1266,685,2070.9338055201547
142,717,552,1169.4843274142852
143,207,49,314.6121978794089
144,53,50,145.13174205060162
145,782,613,1404.5213799507553
146,765,508,1269.8483517796471
147,1156,955,1943.8911774493408
148,368,196,657.0021226974645
149,19,1,3.976493683561292e-05
150,335,187,689.1489627106878
151,114,85,257.703157990534
152,158,117,284.719929713223
153,139,111,269.9916406487481
154,510,418,1062.3494458853895
155,72,71,192.0724887066613
156,181,167,392.5319939625174
157,619,442,963.4145662642889
158,1491,1065,2627.9774899596964
159,454,311,765.9243608230844
160,207,163,363.8321588705533
161,1114,945,1442.869592688544
162,321,263,675.6889500128184
163,196,176,341.6804685696393
164,134,123,265.17094238265867
165,732,405,1127.6374505071299
166,182,177,379.5599938760866
167,363,265,664.793483412126
168,302,219,574.771376099547
169,612,530,1057.6044088143715
170,632,541,1030.6549636553034
171,302,218,466.6836678901945
172,321,295,644.3182161938084
173,205,133,360.01508167342797
174,911,818,1560.3594078262197
175,973,845,1937.1252201419356
176,552,520,1039.1324712316937
177,547,483,917.1045227302568
178,976,750,1824.7968638795273
179,926,712,1739.4156305085671
180,689,518,1252.990255666995
181,667,481,1208.0528500926102
182,1094,776,1826.6206622020927
183,114,59,232.47378735048542
184,318,180,598.9415302295162
185,2179,1563,3700.4508729918093
186,417,312,846.7961655611264
187,133,102,245.362655863228
188,415,349,687.9291722310173
189,100,94,236.41514250529696
190,318,275,532.2689843493447
191,250,147,465.72290801136774
192,206,140,379.50862016962117
193,462,256,828.6440052218848
194,222,187,384.72386875604565
195,324,270,605.1955607115273
196,304,253,600.4273037279787
197,204,170,379.77017810401014
198,344,284,651.8187999446552
199,38,1,0.0002544675041524196
200,306,168,542.2822113915616
201,779,671,1612.9424049183788
202,709,565,1290.0739766301188
203,950,829,1476.0511007397295
204,164,163,372.95989858261964
205,470,433,943.2293678137956
206,603,515,1079.6325097550032
207,203,182,310.4362000162473
208,455,424,751.1751682300641
209,1153,841,2284.747181554604
210,1436,782,2534.2329493143766
211,317,147,630.3320139609011
