episode,steps,actions,episode_reward
1,987,813,822.6374932038167
2,418,338,812.578659357
3,112,95,335.1280826569579
4,115,97,344.32197119816044
5,255,195,599.6127351484206
6,258,221,418.723441268898
7,685,555,1620.6172902184355
8,1183,946,1356.469460966247
9,301,247,761.2575226598154
10,892,728,1453.1418956382724
11,165,146,493.5042656524392
12,830,652,1342.9656254649587
13,666,508,692.7353148457553
14,203,161,607.586732899287
15,813,659,1082.7311580720673
16,253,201,726.996622786048
17,506,408,1216.1759370402483
18,560,448,823.6855152466662
19,301,229,834.0395492806824
20,249,186,600.7266720113956
21,143,114,428.050654948174
22,105,82,314.46589200452183
23,10,10,29.927284532326297
24,323,259,712.3362829873384
25,2521,2004,1532.8009249965933
26,537,429,871.2098731135882
27,2367,1890,2792.2530677632963
28,415,337,1045.4136857559872
29,555,449,625.4388746760825
30,1192,968,2427.5418624635713
31,301,252,816.351098944745
32,734,600,658.4293096463764
33,219,194,473.07389242865366
34,163,149,486.29147585770096
35,663,562,559.5762276442447
36,454,375,681.8678121618581
37,394,332,681.7317158427786
38,141,121,422.26734384420666
39,322,267,804.1003545742237
40,204,174,610.6656401599079
41,52,43,155.73098247013226
42,740,602,744.9270741373558
43,160,134,419.2390508549646
44,115,98,344.4031022940457
45,684,564,436.7813395590074
46,112,89,335.2623956044582
47,71,68,152.65389806230112
48,1640,1334,1188.2348867053536
49,1055,872,634.4995386178764
50,529,433,640.3198738989047
51,247,221,533.9514841946587
52,251,211,478.6561044330638
53,2695,2243,1813.3594445772517
54,134,110,344.2392436065099
55,337,275,655.7365132990622
56,52,48,155.73245694585106
57,864,690,759.13677649139
58,251,190,624.0129528899412
59,937,756,563.5651377897142
60,1245,1033,727.421399581291
61,51,41,152.72283225880517
62,849,687,768.2200129720707
63,304,251,827.4279435310585
64,215,171,586.594069256365
65,447,361,853.0105574620918
66,69,62,149.68360824751286
67,783,663,517.3620734396654
68,1175,961,628.2253249093122
69,644,542,562.6180302535881
70,751,636,595.2400730252581
71,576,492,568.520918620564
72,19,19,2.628423483252936e-07
73,431,358,601.3869567027157
74,314,269,541.9852136558285
75,598,511,493.6923924945269
76,410,348,446.5802425509749
77,1946,1615,863.74828310824
78,142,122,424.57271644616594
79,224,186,400.3961662760097
80,143,124,413.3877878663773
81,161,136,404.89561891667387
82,990,836,419.0500546592851
83,330,277,709.1044325231785
84,254,218,566.7983324493661
85,306,252,687.4544375913192
86,692,594,450.6803673950283
87,599,509,612.0703357657611
88,1246,1045,1393.0639347850802
89,507,418,550.195966978834
90,257,207,493.68865232105793
91,194,158,579.2573401775062
92,687,549,607.5594968031494
93,575,472,514.6523088649211
94,253,204,563.7179724069188
95,301,249,686.5697219149129
96,622,490,688.962653694896
97,112,87,335.4390290181714
98,506,403,732.5847936962547
99,650,532,928.8984403983588
100,2236,1804,1780.867130163411
101,19,18,7.196402905050404e-08
102,567,451,631.316645172048
103,269,223,544.6778036676665
104,507,398,658.644901969369
105,899,715,790.8998806472796
106,878,727,702.2182470576897
107,1025,827,745.4137799808958
108,581,487,556.7412674945778
109,374,315,802.5451117830942
110,512,423,700.6992000485282
111,1111,943,726.9739646469598
112,502,401,682.3675828714287
113,1007,825,751.2516069395198
114,1020,834,639.9450563698969
115,163,152,479.20870342654183
116,1343,1121,1386.5690198862453
117,1640,1362,1277.5844469821222
118,167,146,500.18156401652595
119,363,292,769.295860130966
120,111,90,332.56364692315253
121,191,159,550.9722364420568
122,71,67,155.75271067351443
123,271,229,625.5752719771024
124,18,17,1.252193906297181e-08
125,214,187,583.8243840927207
126,922,784,679.6840088430274
127,22,18,65.88463997577288
128,19,18,1.1656441226127589e-08
129,228,203,665.2870114082943
130,112,100,335.4632003277798
131,415,347,721.4310987668773
132,1505,1262,975.1498337314365
133,2438,2048,1886.1672794528079
134,567,473,1364.0975390616245
135,485,412,826.9619695585793
136,252,193,682.6234096667218
137,302,255,517.6470733154241
138,465,394,655.7575555822538
139,70,67,137.83351600300657
140,315,269,741.5632725492324
141,304,241,717.3138745353704
142,654,538,572.3114092280525
143,19,18,1.339694857573988e-08
144,324,273,604.58421366114
145,389,333,553.673327180552
146,1115,929,633.8039974640246
147,16,11,47.91181203253814
148,51,47,149.76065486259992
149,1231,964,680.9114375590623
150,610,465,677.7002880013819
151,967,781,1286.176540994067
152,535,451,749.9798742850182
153,353,295,647.4797465152772
154,2801,2357,1792.2002249417928
155,1102,927,1024.0236233918438
156,736,604,751.6555864366363
157,562,442,700.225947244845
158,1036,864,879.5743639389326
159,37,30,110.79301785834785
160,506,415,552.2748456740239
161,1188,985,739.5579382639797
162,355,288,764.2476687577213
163,689,574,1151.340928000155
164,518,430,496.59782259086097
