episode,steps,actions,episode_reward
1,300,241,465.3101159467392
2,390,317,1.3979405807861801e-05
3,72,68,1e-08
4,222,179,2.987005189917097
5,112,88,1e-08
6,834,689,280.84081305633254
7,913,745,552.4696929261286
8,205,148,1.0458241243850217e-08
9,141,115,1.0000000000148343e-08
10,1113,873,1295.5292825304816
11,2365,1864,824.4603919898017
12,205,162,1.095092848649399e-08
13,208,169,1.011404918719605e-08
14,555,456,7.193473946092337e-05
15,703,543,202.1207224558935
16,1662,1304,481.22885139249485
17,348,282,8.984298828019558
18,1020,818,3.511141372726849e-05
19,696,584,430.44981198482884
20,796,623,341.64744974033704
21,1146,930,589.7828147673416
22,482,405,0.0002442050695802063
23,1381,1112,897.6436801820846
24,650,530,576.7399779720963
25,762,616,279.3658230787008
26,641,525,504.5543920994376
27,2078,1757,434.46227271021746
28,454,385,81.83081471952796
29,530,428,291.10674150051005
30,528,426,546.9168850668483
31,794,636,3.0030204387128436
32,143,123,1e-08
33,934,767,1.8749852344294974e-06
34,71,64,1e-08
35,249,204,4.1232069232859486e-06
36,808,646,424.1816561946903
37,71,66,1e-08
38,204,158,1.0147606314974463e-08
39,811,682,143.15112338184943
40,246,211,102.30180832472718
41,250,197,8.98131711707263
42,514,419,164.91577545372309
43,315,282,1.0000000000000002e-08
44,302,253,73.94613774367815
45,453,381,1.6115597646152223e-05
46,248,192,56.88488142808516
47,612,501,1173.0924805291354
48,19,18,1e-08
49,381,309,5.907680481723554
50,303,249,416.7422385244555
51,306,267,94.12570987418074
52,454,363,347.7838268990311
53,337,275,199.86988531961237
54,449,371,1.0000000000007165e-08
55,52,43,1e-08
56,420,345,546.4040382442535
57,252,197,8.994415727786444
58,142,124,1e-08
59,798,636,0.00045324613655890424
60,383,319,0.0016934851523937933
61,912,739,157.44831981374801
62,115,84,1e-08
63,1193,990,136.51020428518274
64,571,472,594.1058462651574
65,20,20,1e-08
66,565,463,4.819608929245555e-06
67,201,171,1e-08
68,114,95,1e-08
69,474,388,0.001354299561309921
70,130,111,1e-08
71,1287,1069,501.01775418469
72,358,297,532.8913960034602
73,481,400,1.6262609055159665e-08
74,463,399,198.21854663463492
75,283,222,1.1796976643532776e-08
76,1324,1087,3.027239843820571e-07
77,669,549,7.4547451582514405e-06
78,354,294,326.1102826391676
79,247,202,1.1539076537880724e-08
80,673,544,1.3494946689368077e-06
81,508,443,1.303480630244715e-08
82,412,338,2.310389051630933e-06
83,2001,1698,0.00030318525842779607
84,321,256,484.66220568877463
85,606,515,372.4821826356837
86,343,288,476.0666988751703
87,503,421,29.921459556556307
88,196,165,1e-08
89,186,158,1e-08
90,528,438,0.00043958414085303775
91,52,45,1e-08
92,543,434,1.2950130781681716e-05
93,455,377,104.82849173277745
94,79,66,1.0000000000103204e-08
95,464,373,3.7636883819808453e-05
96,662,528,0.0006873066441386949
97,732,613,2.908925623684909e-05
98,907,745,245.64729136309717
99,1723,1414,259.9601748979307
100,1598,1265,0.00016435836490854116
101,1121,878,2.5007205068941493e-05
102,442,361,225.81398746903156
103,161,143,1e-08
104,455,375,2.8393678169583323e-05
105,132,115,1e-08
106,458,387,2.9513995892833508e-05
107,19,18,1e-08
108,252,208,1.9321542048139023e-06
109,807,668,233.14995457315885
110,67,52,1e-08
111,896,757,3.1407005467790194e-05
112,2253,1852,3.6887809082286395e-06
113,355,298,59.26114301986811
114,1014,837,6.301995600659737e-07
115,1087,929,31.436822406024426
116,423,368,0.001391602261745072
117,410,350,1.0109351913184739e-08
118,1512,1266,0.0010668491304305422
119,563,484,1.059483887640633e-08
120,574,509,1.0489918498922535e-08
121,640,537,0.002376043847940771
122,273,234,8.971822095838824
123,150,128,1.0000000028239832e-08
124,643,553,1.6929781338065682e-05
125,786,657,7.491476366321773e-07
126,448,378,0.000464333838410198
127,535,450,1.088519037305745e-08
128,1205,1010,1.8359904186531078e-06
129,1817,1560,26.98903361400207
130,458,375,3.0853330098869924e-07
