episode,steps,actions,episode_reward
1,305,249,453.596829489095
2,407,329,547.3757173276762
3,685,557,494.3067343461979
4,366,312,556.1645431387448
5,165,137,493.0580117429591
6,913,757,1154.0798324588554
7,346,270,580.5190010521472
8,809,628,1532.863297540024
9,302,242,846.7352512948005
10,597,490,891.1309936734439
11,52,51,155.62680782135305
12,1050,786,752.6220853478844
13,873,691,613.5347909701657
14,346,280,619.5462459072489
15,1129,913,1476.1945341343335
16,1158,893,901.6345128273823
17,497,386,577.9256935484719
18,29,26,86.81436045719781
19,248,183,706.8857593697517
20,1496,1185,695.6922969263472
21,1102,889,1068.3322401475084
22,516,414,845.2579056302617
23,673,547,904.8069196080802
24,413,330,505.4287099857564
25,980,803,1622.9294947836963
26,300,250,799.8540943339639
27,2160,1773,2812.8459941163137
28,305,240,803.5131848860112
29,346,290,616.4592468798651
30,378,309,849.0059946488067
31,323,302,456.29883622933613
32,261,226,580.3829601241441
33,346,290,643.3394542907722
34,120,108,359.02142603139197
35,4,4,11.953881814302974
36,249,199,730.661224942019
37,601,490,676.5722972269317
38,141,116,421.9555901176821
39,19,17,56.89800817633661
40,559,464,973.0745510733756
41,534,429,733.6535875603024
42,550,459,1125.1219349666383
43,247,203,496.6523391960214
44,114,91,341.26160070670966
45,362,295,577.5715322872524
46,52,48,155.5944149971148
47,1079,869,616.565850468279
48,70,64,209.4934815953458
49,513,412,963.7492873834452
50,346,293,586.5051356965776
51,18,17,53.86280761667257
52,396,323,604.4303863085032
53,301,241,614.2830086361456
54,247,216,631.0628603347425
55,523,441,657.0114259033116
56,248,212,716.4498010506917
57,216,191,627.226358416782
58,252,209,754.1071800317044
59,1593,1263,1044.514270841255
60,605,506,616.0247227028401
61,19,17,56.87175965789009
62,18,15,53.91840518500915
63,128,104,383.0522888467392
64,335,272,711.8612372643189
65,196,172,573.8450510748246
66,254,196,716.3052146146591
67,163,139,487.72684851819736
68,299,226,823.5280413296337
69,248,200,631.6973964386897
70,282,234,618.5349349866107
71,206,172,577.6782496362258
72,143,118,427.80285538735603
73,454,370,1080.8253097538638
74,1153,923,591.6168678897563
75,113,95,338.30896468607006
76,718,567,604.6917406916363
77,489,404,1129.2011406788301
78,1294,1062,994.4513476095855
79,51,40,152.71599961135348
80,113,102,336.8900974839923
81,250,211,406.72913386875354
82,1455,1229,1004.8330724334597
83,549,450,656.0194256163842
84,481,396,640.1882649565213
85,249,211,559.2134855083693
86,505,425,511.2173298299531
87,2286,1901,976.1499034436856
88,308,262,792.5860753672266
89,1040,883,460.41454274466145
90,144,117,430.51471590101914
91,20,18,59.90668130015361
92,1721,1448,1126.8569939211902
93,668,559,670.0787638863827
94,323,261,789.4790617425176
95,952,762,661.1822866229464
96,495,392,694.315813188289
97,264,220,540.6280834227492
98,111,85,332.4003092579976
99,781,631,481.6244242135264
100,335,283,624.5088869623355
101,508,409,532.7315851465088
102,44,34,131.75789714394637
103,465,367,523.6203342557781
104,363,287,616.5739576548732
105,305,251,729.124532216396
106,205,174,466.67787785296105
107,1681,1368,1022.1014862166343
108,364,296,559.7383161667992
109,808,670,495.82699571321564
110,1060,845,1403.3683697412514
