episode,steps,actions,episode_reward
1,304,241,441.8712502299971
2,389,326,1.6641776984700905e-05
3,940,780,0.0009047497780751752
4,256,218,1e-08
5,561,459,348.93792270873985
6,596,487,289.88552043203464
7,144,115,1e-08
8,1582,1268,1443.7188129308029
9,901,719,515.3249363157814
10,969,736,569.7517531338663
11,224,178,1.0000010754467528e-08
12,1263,1003,0.0012507848079440144
13,1871,1474,434.03871779536814
14,280,221,8.71250177023844
15,970,770,5.887843999714767e-06
16,2691,2028,919.9434688200898
17,103,81,1e-08
18,19,18,1e-08
19,395,327,0.00012713151068835058
20,336,281,8.268278659500305e-05
21,304,247,215.1490657592562
22,354,305,428.11547741235546
23,1071,865,917.741361090548
24,201,159,1.0000000300989057e-08
25,2215,1813,2063.6859832813607
26,126,124,1e-08
27,619,517,1.000061373333079e-08
28,316,270,1.0000041843412154e-08
29,705,583,100.85226441634174
30,286,229,1e-08
31,528,430,469.8607529950871
32,790,636,215.09441702614143
33,706,586,1.4940751943124782e-05
34,1772,1416,0.0009732533663930177
35,446,371,84.7909052607434
36,625,513,1.9550618055736872e-07
37,303,253,29.70329564904766
38,518,435,81.86250635625566
39,548,458,2.5053477904927884e-06
40,164,145,1e-08
41,248,198,1.0000071349030795e-08
42,932,780,62.49660015506162
43,365,301,45.43668432392319
44,1064,883,577.1841475576168
45,529,447,172.87142040443607
46,726,582,0.0037045809997207106
47,250,204,68.59222527089294
48,286,237,1e-08
49,343,271,1.000000200981858e-08
50,300,233,375.93564176332245
51,951,781,54.968975630651265
52,352,290,179.87294050867416
53,1672,1363,228.45786087700475
54,212,176,1e-08
55,788,662,8.860043844280372e-07
56,1038,853,0.000704138997489705
57,113,91,1e-08
58,656,549,0.0016983790898895859
59,548,460,0.0016619002919892902
60,204,176,1.0000000896751771e-08
61,275,236,2.6222172010657194e-05
62,305,267,203.18554605749526
63,19,18,1e-08
64,433,360,1.32845976967544e-07
65,772,660,1.8185073656745588e-07
66,144,126,1e-08
67,408,343,2.8384196205789583e-05
68,1270,1058,3.3249283408250935e-05
69,222,187,3.0231723740761462e-06
70,816,694,1.001876364332395e-08
71,141,127,1e-08
72,413,346,3.906415663186707e-06
73,575,482,0.00022466711882729645
74,502,441,3.1846198823330287e-06
75,257,222,1e-08
76,676,549,304.5111879616759
77,679,571,421.54739137793825
78,588,496,0.0031718873181540304
79,246,201,33.845136786317056
80,390,316,0.0025281087418057135
81,236,204,1e-08
82,579,480,0.001803307918636005
83,1086,885,6.132216256587639e-08
84,213,171,3.184602452013942e-08
85,251,202,0.00043847208204962087
86,667,501,0.0007219901793799597
87,1044,848,0.00013341512120744033
88,447,366,1.105295358279235e-06
89,283,237,1e-08
90,614,486,0.0005131974755289544
91,113,98,1e-08
92,411,333,7.005416687963273e-07
93,450,383,0.00017311442464015644
94,508,415,0.00011091139426014211
95,478,396,0.0002360185859493985
96,621,515,437.6411494375391
97,253,198,1.0168393368523488e-08
98,1163,918,0.0002801289772571187
99,133,125,1e-08
100,367,310,1.8410739352199643e-08
101,380,324,0.0011451979616058843
102,1534,1218,1.914589275998214e-05
103,70,56,1e-08
104,73,60,1e-08
105,749,590,2.0587673518812504e-05
106,660,568,1.000546926211758e-08
107,516,418,8.677106701289813e-05
108,502,403,6.525868396912806e-06
109,596,490,2.910647632563621e-06
110,357,298,0.004190563147090175
111,51,47,1e-08
112,1175,981,7.11776893950619e-07
113,319,268,1.000000000021908e-08
114,605,511,5.997977478980416
115,51,46,1e-08
116,2548,2139,0.0014291161846326406
117,306,256,1e-08
118,1492,1285,2.0137136199176155e-08
119,270,249,1e-08
120,115,101,1e-08
121,304,262,174.7358571627367
122,114,98,1e-08
123,117,104,1e-08
124,163,150,1e-08
125,518,419,4.953674931415383e-05
126,728,608,0.0013914071912244951
127,440,369,1.0000000037498863e-08
128,1669,1392,5.276135826708864e-06
129,984,838,166.9839932487171
130,863,715,1.055359041733263e-07
131,195,160,1e-08
132,323,279,223.27438738245402
133,52,47,1e-08
134,342,300,1.0000000000218571e-08
135,606,497,431.13820943686096
136,206,165,1.000000000000109e-08
137,142,117,1e-08
138,19,16,1e-08
139,72,63,1e-08
140,1582,1303,9.470335570273274e-05
141,176,146,1e-08
142,16,14,1e-08
143,1270,1028,278.7787609973382
144,1341,1075,256.93513632611575
145,249,187,1.064185655709117e-05
146,307,255,1e-08
147,115,99,1e-08
148,1115,910,0.0038933609972990157
149,429,345,1.0000000106880004e-08
150,1038,830,0.0002171523690578709
151,538,452,1e-08
152,146,125,1e-08
153,243,193,2.128753004797036e-05
154,745,620,0.0001621042463515514
155,365,303,0.0008204564652190182
156,185,167,1e-08
157,868,708,177.62343643083227
158,932,765,219.68856978808998
159,98,78,1e-08
160,949,746,0.0010672198830859604
161,355,281,354.54740590271354
162,113,95,1e-08
163,303,236,367.0546592447705
164,302,234,317.78737660827784
165,237,199,1e-08
166,1554,1272,300.15156379727773
167,1069,909,3.747273785767028e-07
168,115,97,1e-08
169,1459,1189,0.0003436067943715994
170,573,499,1.4725885100834998e-06
171,661,544,0.0001360159867699052
172,984,792,0.0022073299950816742
173,1299,1055,119.7969836976385
174,27,26,1e-08
175,289,252,102.08592829952123
176,113,90,1e-08
177,164,138,1e-08
178,2111,1820,665.7805540217837
179,322,287,0.0005306871420937601
180,710,620,5.71118776895128e-06
181,969,853,204.2101753601266
182,249,208,0.0026839091819922615
183,971,844,82.37048358522856
184,345,303,6.015571194419183e-06
185,616,550,0.0027386369581914208
186,722,597,63.390622328725
187,113,104,1e-08
188,1814,1472,31.425496689434
189,274,227,1e-08
190,218,185,1.0000000000268597e-08
191,437,400,1.0000000000251385e-08
192,134,124,1e-08
193,935,822,455.4179510500938
194,480,403,396.6864028190138
195,832,728,239.271656094284
196,52,49,1e-08
197,696,615,428.9585271403716
198,391,331,5.402437013129515
199,1365,1196,816.0221959588232
200,1791,1593,235.96135314344835
201,390,350,231.80739041862174
202,104,94,1e-08
203,865,764,558.4150939145469
204,277,238,0.0005420416794866149
205,493,435,240.65948413952248
206,696,610,118.85906744085865
207,62,52,1e-08
208,48,38,1e-08
209,764,713,0.0006183125873971454
210,207,182,1.0000006790812466e-08
211,52,49,1e-08
212,1542,1366,1088.9497534522873
213,250,218,0.00021515263366262132
214,113,101,1e-08
215,1100,1014,1238.6762269709586
216,419,377,486.8193442828661
217,1167,1064,525.528494316268
218,19,19,1e-08
219,357,324,470.03404445847366
220,50,48,1e-08
221,1958,1786,2126.8888930641297
222,508,474,469.1811585722498
223,1098,1052,267.5083941378587
224,348,337,1e-08
225,480,438,346.9355196520342
226,71,68,1e-08
227,310,279,1e-08
228,623,567,1.1445116663468514e-07
229,208,182,1.0000000007698616e-08
230,1161,1093,52.314425398344234
231,859,788,0.0009734102728097977
232,690,642,103.00402330325446
233,203,178,1e-08
234,700,666,1.0000000165594238e-08
235,695,651,342.6036800987129
236,712,665,459.3391931646858
237,1083,1025,0.0012223822342474523
238,303,271,128.69020988733945
239,1453,1281,5.918984138459502
240,449,418,46.14644764178494
241,137,125,1.0000000000053069e-08
242,701,663,459.09451526077197
243,463,434,1.0000000005650307e-08
244,277,262,1.0000000032868531e-08
245,746,715,8.828531762245354e-05
246,352,342,1e-08
247,324,306,364.74396904140616
248,502,474,0.003239920313866116
249,903,876,579.4587084122269
250,52,52,1e-08
251,643,608,280.7962019253603
252,1567,1492,0.0006986645742012073
253,282,272,1e-08
