episode,steps,actions,episode_reward
1,51,41,126.03349076929611
2,543,346,638.7649645471699
3,1429,832,904.2382852874546
4,249,147,177.84466798912288
5,203,121,162.17208503857503
6,759,443,494.2357382113336
7,553,321,361.4627832442769
8,132,94,259.4188862247247
9,1459,922,1768.4003577811652
10,416,273,562.0971060166436
11,634,360,615.5427711659264
12,344,178,476.3795114326184
13,3228,1952,3731.7972897247714
14,187,127,331.1636677102711
15,273,163,254.3509986524403
16,518,327,726.3516882018783
17,780,508,1119.3170229595942
18,1055,685,1428.033781107723
19,19,16,5.599378642622134e-07
20,144,77,225.6715688662859
21,412,268,361.4246644747052
22,785,547,1315.2407478339835
23,39,32,0.0001694447474946754
24,1231,833,1476.5113185415898
25,607,405,560.3556780175783
26,113,85,259.84486138543076
27,1886,1337,1964.7361919694683
28,52,49,119.88460259993808
29,766,556,841.2536741954451
30,921,694,1294.6073480457596
31,212,160,323.10119909158044
32,52,44,82.60043575485926
33,812,604,866.575793034825
34,394,302,559.493093185948
35,248,168,264.73606893790674
36,507,345,469.1892419197894
37,463,338,383.39046775798255
38,81,79,0.00019464847206478463
39,1476,1143,1917.74657505219
40,1971,1519,2746.4513156181897
41,204,145,358.7938965769094
42,1049,798,1230.0455282786777
43,1426,1119,1176.0719484775695
44,526,376,545.0526141864646
45,791,580,1085.7689986180558
46,226,170,244.11913663274956
47,1713,1176,2632.16226960959
48,457,323,824.362115790301
49,1793,1183,2246.3440342882254
50,1497,997,1591.0941535360046
51,218,136,335.41191630757777
52,482,303,745.7094395537953
53,2047,1321,2536.264992553275
54,743,563,707.3092424764018
55,317,232,423.7569799228333
56,507,339,611.7493380232929
57,641,408,860.1804999106425
58,289,212,420.7435980605691
59,142,68,272.13608969872337
60,303,206,277.430509466415
61,71,61,126.4483054806811
62,49,48,52.70289536353019
63,763,493,1150.684311277328
64,52,44,97.33274820103026
65,364,245,486.38635227298005
66,1042,755,1426.845917547746
67,205,122,308.04303573846585
68,361,234,543.9270188790695
69,2961,1928,4237.039491740079
70,1195,812,1526.6710996374877
71,249,161,404.1492526998958
72,709,455,999.1833630849194
73,517,391,586.2999750281887
74,53,48,109.35107407547255
75,34,27,84.70330538437943
76,457,289,730.95074221221
77,557,385,985.8311145825003
78,3308,2161,4864.929879395672
79,317,250,260.00991979722835
80,1504,1070,2304.1118964747607
81,302,175,465.2311010672144
82,620,473,1101.9519690079685
83,145,102,269.66298483438106
84,695,542,1224.6206838953437
85,1609,1205,2205.046687505936
86,72,71,155.35733481946147
87,414,320,633.3480818925086
88,174,145,298.2777329251712
89,111,99,256.9398434703913
90,141,118,285.23954052981713
91,19,19,1.000000007981561e-08
92,252,218,540.4838197593866
93,413,351,470.74430636379356
94,616,481,1023.0061375919679
95,667,485,1077.3347997687554
96,215,158,399.8927920704823
97,143,114,309.7029560742373
98,667,561,1068.195391553892
99,433,389,852.0090168484915
100,356,280,566.1228367036363
101,52,51,137.76259027504958
102,770,615,1253.6333664644233
103,421,369,920.9110307862222
104,1306,1091,2375.6512928846964
105,394,357,666.0786182260808
106,226,218,499.94516020328814
107,133,112,281.28628104126784
108,19,19,1.1064991173394625e-08
109,152,112,206.4656047782009
110,562,515,997.6658044843791
111,319,259,503.05687355303814
112,1439,1210,2267.9915470497144
113,833,773,1297.562358155571
114,51,51,100.49073794489547
115,913,801,1593.8592489677874
116,1147,1036,1514.6767383539232
117,802,679,1680.6579068318108
118,249,194,505.9844046463537
119,649,582,1037.6236666875907
120,195,175,419.2384587513721
121,435,402,710.2784289198939
122,889,800,1679.5953466396104
123,248,221,419.65772201937455
124,400,372,588.5594759668431
125,2131,1918,3824.339179195837
126,392,345,698.216355054097
127,666,637,1316.3989642427696
128,153,118,299.4716909626811
129,112,108,257.61739261716735
130,1024,970,1749.0344178612304
131,926,775,1767.5395979990108
132,416,395,765.2718118879836
133,930,858,1400.9680562482067
134,537,427,870.976029034185
135,142,111,279.6816401297021
136,455,392,842.1945466365753
137,808,675,1232.7007323856853
138,144,131,313.113249341296
139,556,431,846.0619444297411
140,410,336,762.7475764832665
141,985,851,1835.114314777762
142,193,190,318.7349067965987
143,250,209,458.9068214723623
144,1923,1659,3502.6599647940975
145,36,29,35.829016604868116
146,765,633,1384.5362599820753
147,414,350,694.3482030718515
148,1801,1608,2963.4359676936497
149,521,485,1017.9929025138285
150,885,740,1329.5638236515224
151,259,249,475.954782258917
152,205,174,429.57346528563284
153,315,293,623.8015930123481
154,494,312,924.8765475520233
155,303,233,443.6688729093392
156,1414,1287,2451.8071303295965
157,2240,1891,3331.7575070025177
158,302,245,513.2091898479607
159,82,77,110.02373782095022
160,588,517,1023.1932455612706
161,306,237,445.63054244758587
162,1218,1156,2099.580133990914
163,252,206,498.26676857634146
164,265,247,414.3841966244528
165,602,574,1325.8120459065133
166,1068,1012,1763.9479229868573
167,303,234,457.16541324341597
168,453,436,670.3155292023785
169,19,18,1.0367369395737187e-08
170,1205,1139,1846.7835840063324
171,573,485,854.6043770798743
172,883,745,1487.1206670980914
173,760,694,1467.4931378905426
174,51,48,52.83542865501292
175,142,115,318.52177406671666
176,52,51,127.71162870234555
177,1260,1111,2165.185400713252
178,212,195,480.12545408419317
179,142,130,272.86423447439364
180,250,209,504.3613852906404
181,223,190,286.2173914348874
182,539,519,980.3559492389554
183,222,184,362.2930511051227
184,835,780,1705.5445604135139
185,353,323,631.4195496410284
186,973,822,1486.2554919912375
187,560,480,726.4806120347639
188,828,707,1282.1201000629376
189,740,616,1091.6487667896843
190,452,335,720.4701958044895
191,995,861,1810.8481822867184
192,769,649,1365.0475971989615
193,248,179,305.765091484327
194,251,201,383.21746320883227
195,140,107,268.3163356661318
196,1268,1105,2250.722656741253
197,508,431,726.8440296752141
198,854,769,1253.1700344555024
199,799,731,1450.5945370345785
200,195,192,359.0212696934553
201,104,104,244.04968699195058
202,661,563,1103.7942157640866
203,1155,1002,1852.2442534556685
204,832,768,1434.787432531369
205,256,232,400.17961392553457
206,464,438,986.7587687571778
207,1557,1377,2074.3104964884915
208,1522,1297,2058.0044745411205
209,486,398,424.8156489022153
210,304,250,275.07403125697306
211,303,276,387.3999873168205
212,1018,872,1433.4755049959758
213,247,200,332.27410904897744
214,619,530,1004.5609795959386
215,223,205,364.8372645504824
216,457,431,982.3456696141589
217,2095,1818,3266.995906211039
218,473,463,1035.2179286085075
219,759,649,1272.4975889317072
220,1110,948,1652.9507011435303
221,1715,1340,2598.389455057407
222,361,288,576.1619763450915
223,225,177,409.68092980146804
224,698,595,1227.2880821135038
225,427,377,666.2666329900882
226,19,19,2.491935003154086e-06
227,51,51,134.19840276058838
228,552,424,697.3399067215529
229,857,695,1357.7451642851656
230,369,300,548.213310527836
231,425,321,751.1182844618262
232,874,727,1316.7420011398767
233,19,17,9.461596704499414e-08
234,1505,1295,2576.479906694474
235,130,82,210.72386033340285
236,443,345,595.0128658810933
237,248,190,379.92000626772193
238,303,238,261.14159066105117
239,113,112,258.2346136057733
240,19,18,3.288370175883439e-05
241,205,148,318.80203708507355
242,835,736,1135.6086798277831
243,19,18,2.828951796659083e-05
244,2587,2084,4333.127548304157
245,978,795,1232.0315463115003
246,1203,1115,1937.5796219230326
247,298,233,241.37759807049582
248,277,210,364.52486188159577
249,917,786,1448.1121957406249
250,509,470,896.1409087624675
251,248,200,344.9310239668792
252,664,599,1185.0974775255052
253,284,218,501.3985414174408
254,112,73,256.12138619599244
255,19,19,2.3192996061480957e-07
256,674,531,580.167757049871
257,668,609,1163.6267507750194
258,305,228,386.10713593294713
259,510,411,697.0587290632468
260,113,83,231.99839230486495
261,359,345,741.6323805172684
262,611,463,502.53452545819704
263,302,262,503.0938230106868
264,949,846,1607.8888639068125
265,391,348,678.9936695211856
266,249,195,451.2639817803229
267,612,558,1072.2734283562434
268,527,435,859.6274156916836
269,301,249,339.6759455283505
270,69,58,94.81266629498215
271,584,523,746.7542959813427
272,2041,1809,3654.9709810639197
273,478,416,821.7841955241221
274,142,104,271.60118579145694
275,466,420,575.5557582015498
276,610,492,727.9792951254361
277,1291,1111,1860.280124563257
278,252,252,559.3137615251964
279,208,199,469.2467139923044
280,50,50,42.14084599802349
281,387,337,645.2846623857581
282,302,268,385.7852452098779
283,601,572,1211.7516266824389
284,439,380,546.1757847819867
285,724,593,1163.8589270806478
286,908,818,1589.8312234637444
287,394,353,774.5706792503624
288,1708,1459,3082.9401053800634
289,346,285,679.926839230799
290,144,138,316.08614374460274
291,719,686,1159.3885732142103
292,1867,1645,3203.1393681151067
293,715,665,1232.748053009122
294,305,197,535.1419983776188
295,143,131,323.8780045729302
296,302,279,506.519770405195
297,1725,1548,3111.417650186833
298,173,103,332.8625582919354
299,1573,1485,2275.900193707455
300,112,112,249.0445205991899
301,1400,1341,2510.5477847293046
302,462,429,1010.350646130201
303,433,416,835.4872965591444
304,467,439,811.0603724735133
305,356,342,698.2628940021136
306,123,114,284.05750376849335
307,413,388,808.9336950219995
308,206,189,444.8714608267879
309,889,804,1591.963889995893
310,104,104,198.434027659367
311,792,750,1539.520002166326
312,665,640,1168.7886263957344
313,164,163,391.8460841833015
314,990,915,1929.5383476193874
315,185,168,326.4786573772534
316,207,199,414.99555694691736
317,143,138,332.0390305099864
318,143,142,296.1670111952105
319,413,370,814.0018569153351
320,1385,1345,2415.103632398641
321,19,19,1.0000000000024127e-08
322,988,933,1757.6549752276553
323,479,442,909.752053814982
324,206,189,424.8704433290651
325,224,218,413.1524323284308
326,1531,1402,2752.551462535834
327,141,134,327.0265307284807
328,992,936,1672.275540001515
329,681,628,1505.309922372668
330,451,404,983.4814950060908
331,223,192,273.87025784682976
332,570,432,1019.1072748965956
333,52,52,109.09637475654586
334,1351,1195,1976.4092201727358
335,294,247,633.2708383239532
336,1124,996,1688.3310328441657
337,1573,1416,2961.108775857055
338,1365,1187,2201.6179676300735
339,162,137,281.22707289855975
340,586,551,1009.2585134978141
341,267,247,469.8797777118977
342,444,392,931.0882187500047
343,309,291,656.0229258174699
344,52,52,120.15750692786379
345,564,533,937.856657115764
346,250,218,477.39510071585414
347,1054,936,1968.9189460130674
348,249,221,439.6475868054054
349,595,575,1121.3500298158815
350,608,598,1000.1497387844729
351,798,773,1556.2317650982363
352,1154,996,1809.5448330180882
353,19,19,1.7767079498341784e-08
354,1098,1050,2017.3375236270915
355,336,286,754.6179426512026
356,843,750,1458.3139052872893
357,1256,1087,2218.3141162781685
358,52,52,131.71912429495157
359,746,582,1097.304218614054
360,255,215,371.7498613294252
361,113,82,269.3892231427261
362,249,188,479.75365351267567
363,363,299,595.539378586141
364,142,108,288.4779025186903
365,507,457,959.7416910789667
366,1211,1072,1689.3092810830703
367,158,147,321.9169507626814
368,800,653,1462.2944874710834
369,71,71,150.17915715829884
370,627,537,805.317983801091
371,354,281,762.717591696234
372,114,101,258.4184934685107
373,435,368,693.8729128441689
374,464,423,809.1960416291453
375,672,634,1217.3476780483422
376,1321,1042,1999.0151626363993
377,357,321,626.5627234603472
378,161,119,275.91476615291276
379,621,452,874.0832097270818
380,1019,851,1630.5528828586175
381,928,872,1734.9659811368276
382,689,536,868.9133571509942
383,141,139,264.5144344978404
384,113,82,259.2046673888176
385,302,231,353.85269937595586
386,248,174,403.7681018437006
387,599,485,1040.6887643151529
388,52,51,133.30810145392698
389,305,245,457.6163190802827
390,365,307,593.8627438268899
391,477,380,787.2650577197791
392,263,215,377.8077762629272
393,963,766,1361.5149097689482
394,159,158,379.4585689527998
395,18,18,3.861822092075198e-05
396,182,152,321.29655322740587
397,167,122,385.6994835998242
398,400,316,807.677180920949
399,112,81,252.94076141428192
400,801,666,1087.8071145397753
401,142,115,282.1596193168552
402,1014,858,1615.860420875498
