episode,steps,actions,episode_reward
1,53,44,71.22694609698858
2,682,404,646.7532140530301
3,507,294,342.47447722544086
4,52,45,73.17279505195421
5,209,125,156.54986087858873
6,528,315,256.37585340814286
7,247,145,185.54949812482872
8,547,335,322.0409882797785
9,418,236,369.5056393354854
10,739,424,581.54646277346
11,741,471,714.1616589760804
12,844,484,908.0550444270943
13,975,575,868.6385276456313
14,256,153,268.2276789363399
15,303,179,298.8735659991656
16,823,467,727.947838207549
17,250,153,250.02686668179143
18,1308,785,1086.8089798255883
19,518,358,754.5166705799423
20,190,135,291.2375646856353
21,223,145,196.58611318378806
22,305,191,280.9762785203023
23,730,499,884.4808674889266
24,109,75,139.52450246803522
25,352,219,420.41776068583886
26,281,191,381.50541723938295
27,320,207,352.7613842865875
28,140,87,187.23883515373265
29,160,105,157.33849020385813
30,19,16,1.000021056501707e-08
31,141,96,172.78322720295535
32,141,100,134.73390712312434
33,522,354,365.6787311139518
34,393,270,610.2624879104645
35,162,122,206.268481998487
36,640,444,547.5773452450485
37,432,276,645.1197097926268
38,179,145,196.61596846192518
39,1055,765,1188.7217890861211
40,933,637,1170.4254540204709
41,206,134,246.4224252866317
42,160,126,130.79447857789364
43,250,174,294.99059940156036
44,405,307,416.7412951197109
45,412,280,527.8848475331655
46,276,204,234.05619610817828
47,864,660,805.9117664570831
48,414,315,531.9687489591468
49,844,637,853.3724048107591
50,250,179,259.5365930495485
51,510,374,525.1138560145438
52,321,238,204.67308171244645
53,142,104,157.8910717927789
54,56,53,1.5058430084058821e-07
55,384,320,363.1713921853923
56,947,687,973.1464784426943
57,1297,1027,1537.9120154923587
58,364,262,450.5241430705851
59,699,525,913.1009485241062
60,556,416,522.7752088418706
61,146,105,184.2557087501165
62,52,47,62.189855237893305
63,373,286,436.37334146234264
64,299,205,415.4691515071458
65,1071,798,851.6487667675499
66,779,556,1015.3446094701561
67,52,47,72.48103602065804
68,444,321,437.5228615975808
69,222,176,214.87301113767757
70,1204,868,1360.681634344573
71,1553,1030,2200.41680392857
72,561,341,595.5250491120768
73,555,350,560.1297160289807
74,1334,969,1094.2291034615616
75,298,150,384.0672045246825
76,171,85,246.0188428049318
77,203,129,240.12614443445293
78,50,31,53.08098961322759
79,779,554,830.1019572922403
80,19,15,1.24124852941481e-08
81,789,471,958.0158301656993
82,307,214,236.96399300821548
83,387,225,569.9171136547764
84,356,276,246.0296495178497
85,251,154,276.0005586665464
86,142,72,191.91534644785023
87,316,180,480.0739710144923
88,301,220,208.13878042165604
89,202,131,242.42338994515362
90,7,4,6.030531819896881
91,1052,746,1206.5648990539871
92,428,320,390.7794344098344
93,256,155,451.85195435805656
94,246,149,260.5840336796106
95,954,631,1183.2938491407901
96,206,139,330.9680500819979
97,775,585,790.4343842275688
98,112,43,216.05322456280683
99,1016,675,1145.5635302170515
100,2195,1459,2838.625853964963
101,882,608,1040.2308055594294
102,547,383,607.7509979292489
103,611,475,731.6913154403428
104,339,234,313.4778445314566
105,266,171,336.8575819204029
106,50,43,29.49972766346651
107,58,50,62.373968859268366
108,12,8,1.7209826416519873e-05
109,303,175,457.8852520780689
110,143,106,244.0136280246844
111,249,126,479.5188191910712
112,1995,1309,2556.21177822111
113,204,134,263.451718610879
114,961,696,724.3008614266458
115,3340,2366,4431.876935981894
116,112,74,182.50429054907335
117,951,735,1275.5148686334671
118,297,194,414.4157585134096
119,552,387,610.3464123541992
120,589,437,730.1111459503966
121,292,212,484.4890586064107
122,179,144,284.7983206530498
123,524,439,818.0569037663846
124,304,259,296.86410124969706
125,570,456,865.4510255225127
126,831,656,1106.013699057872
127,343,267,577.5616405458678
128,1402,1150,2132.8215659573825
129,657,559,819.0861877972349
130,19,19,1.0000000000190478e-08
131,199,179,287.7242618554061
132,1317,1112,1817.6563520876578
133,400,362,751.4065006290804
134,617,589,945.8460703455257
135,296,245,447.3725150533541
136,19,18,1.0000052582896992e-08
137,300,278,400.7911190534557
138,584,548,667.1769040138254
139,51,51,12.532131087368526
140,1351,1169,1741.6832225233697
141,37,37,68.17171778672784
142,481,434,665.4801173004371
143,2467,2243,3116.2708814831785
144,143,136,282.39595820215567
145,1553,1370,2555.53847394739
146,1876,1730,2774.1802545818095
147,38,38,1.0000181003078617e-08
148,557,515,723.9715517760334
149,301,243,486.5306145853927
150,916,830,1502.5424797126122
151,754,670,1322.650496513427
152,906,838,1427.0841389259606
153,8,8,1.0000000000000008e-08
154,10,10,1e-08
155,706,658,1222.3414631171224
156,303,274,489.32364189922964
157,206,168,348.49980548465004
158,52,52,14.204022535662325
159,780,695,1271.754894363707
160,575,507,842.8326662607669
161,924,803,1221.93796611041
162,112,101,230.17713931126704
163,71,65,68.50742134019384
164,51,51,51.49001311374289
165,694,566,1022.1723823168445
166,203,186,290.9266625802553
167,1510,1245,2135.853468020806
168,1399,1153,2041.2568677240808
169,52,51,6.636964398219822e-05
170,390,333,651.5790983993687
171,1364,1266,2044.6298703768018
172,299,220,470.29409867541216
173,203,174,359.76524484604676
174,52,52,1.0408390906269337e-06
175,44,34,50.513219879242875
176,617,510,1048.668738165252
177,256,226,441.04164419457027
178,304,262,435.81012328631397
179,3407,2918,5072.705190940508
180,255,255,331.47630795033814
181,572,496,887.4007760582983
182,252,196,416.9828316277284
183,1259,1102,1755.285299739441
184,441,410,625.9518768531707
185,19,17,1.0000000481066847e-08
186,2520,2065,3484.752956196702
187,53,52,37.33168827324377
188,45,40,50.28795950743144
189,419,368,668.6674986795324
190,52,52,22.16665381753971
191,414,362,637.4339409266472
192,1459,1339,2174.769190641559
193,878,804,1500.4464084389633
194,1018,964,1607.6712174917977
195,1149,1062,1081.8852938962618
196,1474,1270,1945.7871384130433
197,206,188,291.22245199498985
198,967,770,1405.0264523853791
199,653,536,1108.9674999885412
200,904,760,1150.6776468170428
201,407,361,669.3207189754199
202,2631,2497,4021.9401039240297
203,140,124,238.29727956218602
204,964,804,1234.7407794502908
205,2598,2202,3102.037274037992
206,204,176,310.4999456678655
207,344,276,537.2127229418734
208,1703,1419,2466.561607120479
209,143,122,243.90087317048608
210,141,131,243.70987168856234
211,541,492,961.3049932388114
212,591,522,811.5145369953898
213,33,27,30.096484960293818
214,1335,1138,1725.4463308652464
215,445,408,803.7229926324229
216,104,104,102.35121025972892
217,249,175,337.3601129722543
218,298,294,390.0553174836748
219,202,181,289.13308013272774
220,458,333,670.7328801428013
221,1152,1050,1597.5369081850477
222,194,194,240.33151110881593
223,638,562,955.9635670797954
224,256,235,260.35745039246314
225,1897,1738,2438.1457456539997
226,627,555,931.6288147497776
227,161,156,241.3080190913661
228,847,753,868.2916294251669
229,19,19,1.0000064423091469e-08
230,160,155,225.3931944144195
231,303,245,278.0476598448475
232,300,241,235.47729572773383
233,322,282,391.9339324779538
234,889,742,929.5288629369303
235,112,105,197.23733489400243
236,475,378,535.5927514970241
237,415,346,575.207254124931
238,206,194,327.9240522397695
239,161,128,265.92257027826736
240,306,274,539.1625868128399
241,1123,999,1580.3711951357889
242,499,436,591.8066304318135
243,112,108,200.22826664271355
244,718,655,1153.1291587099952
245,163,161,242.0997119193081
246,52,51,51.54596846855861
247,244,194,236.47542216831624
248,404,368,605.8941445775442
249,204,153,342.16990212386895
250,642,549,894.7534553713334
251,270,202,327.302846220476
252,1379,1101,1730.0064079073427
253,206,171,324.3820800391484
254,140,120,235.14856968337943
255,1083,965,1533.223944821686
256,197,114,227.9167513977461
257,441,399,502.06656207913926
258,51,51,67.15776143574631
259,759,619,951.3201009559424
260,144,134,247.61018947124276
261,505,411,640.7463534737548
262,19,19,1.0428438790973924e-08
263,1226,1000,1711.8597835892572
264,449,411,648.498314320862
265,1092,868,1635.3212123816686
266,206,171,310.08939227261624
267,339,266,462.82749400195337
268,692,558,817.7030272027423
269,778,638,912.9682432922076
270,142,122,240.62999088526482
271,577,475,577.7630123786087
272,145,122,226.96659247177823
273,112,92,200.82499420044354
274,482,427,739.0630987112047
275,1841,1435,2507.5293832876055
276,1996,1759,2507.238214891773
277,182,163,262.15307942395435
278,557,459,504.3786856876199
279,1690,1469,2308.3199655808285
280,669,590,1106.9045652895938
281,144,123,237.56419329032545
282,142,107,238.30006107315901
283,115,92,230.5537412477953
284,649,518,428.04696947272953
285,51,51,60.67437817680749
286,393,350,553.6180082451777
287,113,102,205.60059690376667
288,158,137,208.96122548120033
289,807,627,1015.1692725824593
290,113,104,212.22619562042357
291,225,213,413.09954610930663
292,113,106,217.10246268830812
293,19,19,1.0000018742165956e-08
294,306,263,296.488998206288
295,1319,1168,1826.2964775467974
296,239,205,375.3847333619373
297,639,587,900.1125273816178
298,102,102,88.64602387430998
299,1876,1636,2033.372729004802
300,2450,2171,3652.7533137352943
301,165,135,261.27381264837464
302,20,20,1.0034922589169864e-08
303,1206,944,1248.6591117809737
304,1417,1265,1782.5818049853256
305,402,392,735.7065278545964
306,393,351,605.4240922146973
307,305,279,359.59111769149126
308,112,101,213.20773770005556
309,161,155,239.9335356527987
310,620,533,858.2929478954343
311,132,119,153.35615635172883
312,110,99,137.55778970677798
313,1916,1795,2671.3184930696157
314,1356,1203,2148.101047361809
315,698,569,918.2966377894135
316,141,120,254.94294218294917
317,302,272,412.18773885258656
318,412,351,638.1578180171084
319,65,65,49.01277288617216
320,925,841,1526.2758690594821
321,1341,1104,1752.3712864854003
322,259,244,515.6135355663218
323,440,398,670.8668963120195
324,980,840,1362.2306610045614
325,665,617,1148.6029719033465
326,390,313,631.6132125524385
327,673,632,1095.5800186585302
328,248,204,392.23825713206713
329,629,595,566.5226616509988
330,546,492,900.7500129943395
331,715,673,1005.4872096747571
332,453,431,745.7769837738198
333,348,337,692.4646989175051
334,246,246,382.8523341776912
335,51,50,32.06633025932735
336,368,342,567.6499112711866
337,355,329,479.41334814500885
338,465,455,727.9063673260831
339,1188,1110,1949.8616961981113
340,20,20,1.0000000032995032e-08
341,250,230,405.76113287142596
342,102,102,96.63199932791662
343,846,783,1356.3821832437782
344,773,761,1310.0889724755457
345,1201,1138,1771.93828353621
346,523,494,886.6158405651585
347,1791,1707,2758.726488774554
348,19,19,1e-08
349,687,671,941.4680940640912
350,304,290,478.96842280429973
351,458,403,791.0064634940468
352,19,19,1.0000000000001486e-08
353,630,571,1018.7521252899593
354,455,443,767.6692585211174
355,881,791,1382.9868125991418
356,143,129,283.9599558950166
357,541,489,889.0155647322148
358,448,402,735.4714372152904
359,114,109,190.75960830630288
360,1365,1227,2250.641357752785
361,433,335,660.443261784855
362,602,539,768.6480849671622
363,1110,1013,1574.0509390414609
364,342,296,544.1857157675082
365,52,52,46.45854798826385
366,19,19,1e-08
367,1305,1230,1989.5950999612207
368,1121,961,1884.0980342174043
369,443,427,595.1409693435322
370,302,249,372.7053212635324
371,474,430,698.1874674751659
372,411,365,650.5180742613126
373,246,224,382.49779230230234
374,19,19,1e-08
375,486,409,661.4406681545465
376,301,247,389.75289038371
377,928,850,1360.5960265647657
378,364,323,547.6646660612347
379,1642,1478,2716.402575112883
380,143,135,273.6436012396123
381,742,658,1112.7527037597115
382,354,342,539.9614741423466
383,306,297,450.9255005645608
384,2266,1994,3335.8540541709754
385,874,828,1423.0203526141672
386,1011,939,1370.5359491143324
387,52,52,45.644728045917404
388,567,519,847.5127068447581
389,203,177,351.08001538712847
390,337,302,371.8553208300284
391,463,426,640.0052206227226
392,362,301,579.3291061898278
393,362,285,597.5539000500077
394,647,601,993.2901524460218
395,874,775,1136.6188613222525
396,341,264,432.59529501486804
397,752,643,1150.0310900571594
398,51,51,29.09760429575139
399,193,170,309.77241731568176
400,19,19,1.004639785463713e-08
401,626,550,667.8664961026403
402,354,314,679.8314119484955
403,114,108,231.67070395041188
404,305,277,392.3737324842303
405,133,113,202.0209360971542
406,246,221,407.9856339419964
407,214,181,269.32836461923216
408,302,255,382.90290599877903
409,367,346,698.0519008983553
410,517,429,639.0655964195736
411,809,671,1042.2797375118842
412,569,517,836.9264451877305
413,567,515,693.9453294616799
414,480,416,786.2247639013109
415,541,476,540.791477328543
416,247,201,390.48760579677696
417,346,290,566.7372942685364
418,277,271,330.56530993440884
419,52,52,49.14341205553136
420,19,19,1.0473451653611927e-08
421,918,835,1320.7956004799976
422,564,420,696.8277486590068
423,206,183,342.537796781935
424,602,562,677.8878078765597
425,389,343,563.099822742088
426,114,57,221.99196528535177
427,480,407,496.9464527313456
428,268,210,356.8033274182892
429,535,462,359.2888081756355
430,367,281,638.1131051105763
431,52,51,47.57710874548042
432,185,179,301.82109448708303
433,70,62,105.67931403376411
434,278,245,511.20079103566235
435,207,152,315.2145171102983
436,1757,1477,2267.959741798338
437,114,105,212.7565917638289
438,900,777,1227.594372827633
439,249,165,307.15455167472345
440,19,18,1.3517635040161553e-08
441,667,574,1225.5110056619005
442,470,387,787.1316262503572
443,203,171,323.83044244417493
444,1211,965,1331.154895589226
445,2376,2128,3183.550128317402
446,165,146,241.21556168771139
447,175,146,217.32505354777663
448,878,639,1086.5539177649475
449,621,467,767.2983448358739
450,301,253,263.8616968530715
451,302,252,375.0703216436199
452,505,433,706.7462480154901
453,502,468,931.9848434107078
454,1030,713,1336.8804655507665
455,1487,1241,1744.7060711789766
456,278,240,435.797516456057
457,1024,870,1687.4009382249824
458,52,48,70.99807830619038
459,865,783,1103.95966626146
460,114,103,238.2310954121484
461,758,575,1044.3891817597178
462,142,104,239.33882425648608
463,998,837,1198.7994858164584
464,143,122,197.81563226466315
465,447,304,656.2867124508001
466,620,553,942.5367470361945
467,111,111,219.71727802624463
468,301,273,415.3225124821331
469,1057,913,1424.7546203207157
470,856,796,1301.2261489764971
471,161,157,222.3803991189807
472,19,18,1.0020054539705548e-08
473,52,52,56.88784915176535
474,911,807,802.6315575512325
475,865,760,1302.723245690423
476,648,586,1064.446180732276
477,19,19,1.4947246045517718e-08
478,811,688,1188.5447258213612
479,205,158,367.46393023173954
480,299,226,332.2217923771461
481,1728,1524,2319.3145180232764
482,348,340,550.4358526734709
483,542,520,900.152850501407
484,437,412,750.8050140004581
485,668,615,851.2373772639273
486,1021,901,1270.0182922227468
487,113,108,203.2718812506212
488,206,171,302.60522189746865
489,220,179,330.10908843749576
490,164,153,251.96074916803278
491,254,193,343.7801403622209
492,416,367,431.02259457604754
493,318,300,467.54274568843766
494,363,320,478.6520442395168
495,581,560,938.3009090925411
496,204,172,388.48919651944556
497,974,828,776.6845918531926
498,820,638,930.8142072586463
499,451,383,628.0246719379942
500,582,460,745.763298371676
501,346,304,567.8757965966319
502,432,377,473.27487139868833
503,1124,966,1367.2755015580467
504,306,243,492.6643396010181
505,1216,1062,1785.7193481097206
506,161,151,246.5996566395065
507,187,153,256.2115516190595
508,444,373,573.1906066878535
509,323,242,328.36166516201354
510,205,135,348.89778417943
511,528,501,737.2058172181928
512,547,538,951.724847185015
513,353,322,292.2593249976029
514,172,154,270.50278037257186
515,763,740,1200.2627716147545
516,1011,910,1042.5690711934033
517,405,371,348.44974308827574
518,399,384,578.2482092179056
519,145,138,247.29522214185803
520,2081,1839,3175.320804676963
521,257,221,464.89232002042695
522,19,19,1.683431209567047e-08
523,254,210,385.2827095141085
524,530,498,708.139412061637
525,115,68,191.77922096316158
526,142,129,244.50135678100435
527,997,932,1501.7524902310856
528,416,381,720.0419395423392
529,111,106,226.0176875986441
530,184,182,135.99098545497822
531,114,89,232.52019380187375
532,508,473,729.8829706128456
533,1472,1320,2260.610314452341
534,52,52,46.14782239611146
535,19,19,1.0000002698002376e-08
536,243,211,397.24782074716114
537,311,299,461.7923794778051
538,1080,937,1602.871508819016
539,1267,1148,1852.062345446214
540,1067,975,1492.1706096818543
541,193,188,286.26701127001456
542,454,440,723.1635951794844
543,811,728,1353.4603192475754
544,444,425,758.6000619852065
545,472,419,810.7423040194924
546,303,269,582.2086529083103
547,1573,1430,2488.037206216991
548,53,53,26.590273129825956
549,19,19,1.0000001757237526e-08
550,1485,1440,2422.920994778543
551,735,733,1251.7695564666947
552,205,198,402.00170790389484
553,1095,1077,1779.2206364422127
554,1051,1025,1897.5012114221759
555,904,868,1433.5838183050575
556,1400,1347,2182.683686612814
557,705,662,1117.9451485845082
558,120,119,227.43080013080134
559,248,220,402.7377175322204
560,300,272,550.7680830654683
561,37,37,1e-08
562,191,191,310.64902027791317
563,1274,1205,1948.6225027307073
564,204,188,356.8981021049237
565,145,140,226.06646114304266
566,503,501,754.0795070718401
567,872,860,1336.6211083437377
568,301,298,477.4730922833193
569,223,219,291.7214814810788
570,3987,3662,5749.363383548899
571,508,431,805.3595740020153
572,1087,949,1712.8677019900867
573,59,44,100.14221653534257
574,867,811,1230.3110186114434
575,739,704,1092.7316086961807
576,1243,1169,1893.9634238918122
577,365,336,704.7593006644507
578,19,19,1.0000006410074369e-08
579,417,379,598.2013065712076
580,314,294,547.1025600064553
581,182,171,189.25521500771583
582,593,556,1153.9628937643597
583,213,199,406.85381270002097
584,624,623,976.0040503926797
585,302,293,523.5913529772843
586,140,139,262.6318233507481
587,569,532,757.7092100930739
588,1378,1355,1991.6961666406253
589,1239,1217,2061.3942254877334
590,707,702,1128.4023409026788
591,30,30,2.5470416792442077e-06
592,1110,1003,1683.8105558673603
593,802,767,1177.3120824268983
594,319,192,377.6407118832142
595,205,202,345.4473718196033
596,395,389,455.83090735269633
597,143,141,274.4552778878021
598,569,511,911.2037250239825
599,563,544,922.1543419321662
600,603,597,1095.4017720737538
601,1859,1780,2543.8706860035013
602,1808,1709,2671.9125373592674
603,510,500,940.6545483501505
604,248,231,397.22655934482646
605,224,218,435.5464627918787
606,318,312,515.0943036014057
607,324,279,454.6565777103263
608,717,701,1128.7017761575012
609,317,308,562.2928224992168
610,598,553,793.4349917002999
611,318,312,517.3153982898966
612,641,635,1040.7554937696518
613,842,834,1203.6482960659544
614,1157,1109,1344.1282263553776
615,2020,1919,2745.8905094764673
616,38,38,1.042009797645238e-08
617,434,405,630.8558457526162
618,113,112,215.86459888026653
619,1661,1628,2671.2110352550785
620,918,890,1266.389693650639
621,226,211,304.6479231905288
622,31,31,54.0815601624596
623,163,160,258.47876642693876
624,250,233,340.34563061442975
625,1054,984,1293.1708101632307
626,498,467,534.931388239137
627,1263,1185,1894.8560478575073
628,808,731,1032.6743513127033
629,468,425,527.8469641873662
630,132,124,210.79667009011322
631,370,357,573.8464107041181
632,893,832,1186.1015121952753
633,143,142,233.71787672195674
634,204,179,314.77811414749146
635,869,739,1356.0112092296222
636,1966,1794,2680.441515693667
637,204,201,352.83963738019406
638,110,101,225.88596518654222
639,571,546,944.6457250286613
640,3,3,7.507621449413083
641,345,331,571.223336588521
642,113,105,225.11139841756494
643,546,518,605.2037495147188
644,301,259,296.0718772475701
645,912,834,1131.287772658505
646,1433,1331,1714.5707919273914
647,2070,1963,2788.6317855919906
648,1081,1039,1484.8391601438498
649,433,418,542.9584086848025
650,203,188,336.22888556412136
651,344,334,523.5346281453591
652,1269,1166,1517.5790455788901
653,950,894,922.993202182999
654,17,14,28.572354529515714
655,301,281,380.58029888666556
656,1358,1341,2205.738649368415
657,364,343,545.2069859960908
658,610,598,732.1101356421324
659,374,363,445.7234399574725
660,304,273,301.4069347851954
661,668,607,741.86467655042
662,142,140,245.27639315045582
663,691,639,893.2538181377843
664,257,255,439.1712863414271
665,248,234,318.28144581739275
666,1282,1211,1599.366780499434
667,353,323,422.03765909352586
668,19,19,1.0001236809154577e-08
669,1131,1035,1015.4373311410558
670,473,429,667.6024253671444
671,125,119,198.29410665016442
672,52,52,75.54485207268799
673,348,322,599.6764116668915
674,883,793,1025.178853876505
675,852,718,1272.1289705426987
676,712,675,980.683948648388
677,926,879,1376.621067588521
678,227,225,304.67397239506397
679,70,70,85.987981906251
680,251,230,274.909875780865
681,37,37,27.33219349925295
682,594,574,839.696531289521
683,419,374,481.76321951766573
684,255,237,358.57813121780794
685,785,738,1086.085606391351
686,437,434,648.9411256116096
687,1043,962,1064.5010791293569
688,142,141,238.28206919851178
689,269,260,261.79644883661024
690,20,20,1.0067478648216049e-08
691,204,195,332.3479417965512
692,251,238,336.9278456718654
693,1125,1100,1627.9936543521437
694,206,206,348.1548794238491
695,113,108,231.14471092644465
696,1062,1012,1552.3458016292009
697,256,254,384.1256203553761
698,250,249,414.6475454942874
699,502,497,739.0821959535176
700,352,343,353.89184265938906
701,164,164,175.36661786241615
702,304,291,260.78578461356295
703,620,603,940.977677665536
704,585,549,662.0082018727584
705,130,130,211.28437553949175
706,1070,1064,1489.2253543875581
707,52,52,28.498087196106745
708,250,241,316.7708251718317
709,113,113,225.2782077783426
710,141,139,251.0514449300742
711,363,346,342.6353094107793
712,348,324,384.2830733985581
713,1154,1131,1677.5839546265106
714,401,399,645.070563448976
715,276,272,461.88675872209774
716,194,194,266.8992321483397
717,676,656,774.4730790017778
718,355,354,558.4789984223917
719,446,417,647.0333766391086
720,998,993,1475.2461218497217
721,100,100,184.23283088328256
722,599,599,1048.1341388423477
723,751,690,952.3572143964544
724,2461,2442,3865.6179062200736
725,399,399,740.1058904689198
726,573,566,832.4567611724926
727,371,368,613.2070217573461
728,487,483,888.6215776547612
729,269,266,421.73388423480026
730,1008,1008,1622.3626099515243
731,52,52,2.2646944403069773e-06
732,1579,1567,2282.2665789079833
733,1162,1160,1893.191148987499
734,189,188,156.99386934855812
735,124,123,196.87439674739477
736,253,249,407.0670949613201
737,283,283,553.2775477654523
738,311,310,549.9221609155061
739,144,144,278.02917050150427
740,661,612,999.6776831632943
741,284,284,512.6306716021747
742,403,397,400.5708478046927
743,326,325,599.0094661743128
744,780,777,1171.2371653547366
745,895,877,1259.0300354292488
746,250,249,408.57796651151364
747,1109,1086,1866.725909340717
748,410,410,774.239761296929
749,937,901,1437.1540924636124
750,302,300,466.5235680533398
751,2087,2067,3304.1714306357176
752,226,226,451.89952239026127
753,215,210,135.2107231471053
754,376,373,653.1319437735713
755,252,243,496.84368761122744
756,415,415,610.6942053069167
757,2601,2522,3512.6488710751223
758,301,295,534.1910063688574
759,320,297,482.3528833535439
760,1763,953,2123.9486282451276
761,704,686,1047.2100988147545
762,1082,1029,1674.9208434666555
763,1146,1120,1913.5605727796617
764,142,136,283.79791498659887
765,439,415,667.0777411180737
766,303,287,567.6847325361618
767,156,134,256.11756288251104
768,176,169,314.63092686734825
769,112,106,216.4425953042257
770,268,248,403.76721920950496
771,272,219,496.5770090938054
772,1331,1297,2064.8679002711015
773,725,682,1097.5047097754643
774,1663,1443,2201.7127482320307
775,1225,1181,1926.0736001297078
776,134,71,241.2236014247297
777,129,98,217.8888136452964
778,946,884,1504.45172748721
779,634,574,806.5620214349523
780,606,566,971.6535094880492
781,305,275,486.54254179056267
782,302,279,465.63918338375004
783,554,531,942.4524507097326
784,618,556,983.2901800097776
785,38,37,57.25719646844956
786,980,937,1594.498194005399
787,204,203,296.7762605274816
788,499,488,683.8481132414255
789,396,371,614.5095617300655
790,716,665,1191.5750118925805
791,1248,1099,1630.6462476581232
792,683,681,1159.6745766947765
793,446,416,655.2705418730687
794,112,108,217.27604087854425
795,250,230,381.75993330144894
796,70,9,1.8029226033253817e-07
797,506,476,687.7446102251221
798,914,870,1491.995837229774
799,1074,895,1404.7942579033715
800,784,613,1168.4480798300508
801,302,275,398.32535761366154
802,778,746,1254.565264228664
803,376,336,698.3090119616799
804,141,121,276.60881088297964
805,517,416,663.7772651149567
806,412,402,702.6087761929016
807,250,247,390.0644170689133
808,257,205,287.16020175366987
809,629,459,1061.4555214597528
810,110,104,203.12566947929284
811,1306,1059,1747.949862859067
812,472,350,532.8745656470353
813,180,141,241.93417181374716
814,133,101,210.5951491438467
815,289,263,462.00623870267316
816,255,194,489.5059560047229
817,19,1,1e-08
818,514,453,620.8562526868916
819,826,728,1177.834907249426
820,281,277,481.006717747226
821,204,167,345.578458496159
822,2284,2089,2718.9962559533074
823,545,472,619.1236098818308
824,11,9,10.285213368442708
825,1066,1023,1787.3467357690267
826,622,571,868.5570142115058
827,813,757,967.2634104262999
828,1127,1036,1424.7405424836654
829,1017,905,1190.0497109398602
830,141,140,240.76640402397024
831,1607,1521,2252.106221644634
832,254,252,449.55466637694286
833,673,617,823.7918445344218
834,197,180,259.00565243021805
835,138,136,224.9932818424486
836,621,587,966.5706060059495
837,762,707,1029.6223265479716
838,114,110,220.7329881164493
839,505,469,792.2004887788667
840,332,286,343.7263614561669
841,528,441,518.49852734601
842,485,409,632.6006259778793
843,654,570,538.8512802663378
844,255,243,460.50260297023056
845,1417,1338,1932.2384759249283
846,308,272,343.017728318642
847,247,218,334.0763229363545
848,382,339,574.7605202779446
849,1316,1246,2060.413421557978
850,571,529,856.848637597653
851,1268,1146,1520.2488763457368
852,660,619,987.1233566915973
853,805,733,997.5692070321594
854,104,101,138.19404162370688
855,973,851,1168.093071404904
856,27,23,33.40942223679647
857,1022,928,1252.061225252898
858,143,131,294.18442019276455
859,512,502,975.1505934888614
860,196,181,216.04146188747472
861,1351,1251,1866.560980373723
862,123,119,104.0038244608008
863,19,1,1.0000007196744092e-08
864,308,300,308.3070830258937
865,248,233,322.8279962993671
866,19,1,1.0000002952454348e-08
867,248,247,273.56209477453706
868,723,710,1050.6490454172724
869,775,768,1253.3643952821244
870,302,266,281.7214876196979
871,114,114,197.95982779627568
872,1011,957,1445.7466091060553
873,1201,1108,1550.5219045961721
874,227,172,318.5412264493744
875,652,643,837.2865739615489
876,534,399,707.5789059658398
877,272,231,317.36233212201205
878,1173,1116,1617.09379359616
879,728,710,1193.1741903271716
880,916,863,1141.160426244249
881,54,53,8.913035633178895
882,206,193,353.130927571057
883,142,141,259.5942253359424
884,812,756,1316.909764630818
885,448,417,531.6238750508384
886,203,200,347.5466072919008
887,1018,902,1200.7897369808734
888,1567,1494,2331.1418859281134
889,578,509,720.8409598806924
890,1201,1092,1574.0117754717107
891,255,251,287.14264947178253
892,305,290,394.9616136153858
893,394,381,611.2101411634382
894,183,182,290.6484528083444
895,503,495,743.68027688338
896,331,310,537.7959206942743
897,783,776,1254.8550477392514
898,38,1,1.000000526098265e-08
899,660,565,596.7312766229804
900,295,257,307.6163565756705
901,183,159,209.30322165893483
902,487,448,490.073485236512
903,1661,1594,2374.248176981671
904,1341,1184,1660.078833278423
905,951,883,1359.6720429863685
906,249,156,461.90138242333427
907,867,487,1370.2531236932311
908,226,187,373.5421874037633
909,203,199,348.1221357052141
910,1039,971,1544.757654457013
911,601,574,869.1417855773733
912,1093,1010,1363.1003971150665
913,207,206,358.87929379907604
