episode,steps,actions,episode_reward
1,52,45,1e-08
2,550,336,1e-08
3,645,356,1e-08
4,256,154,1e-08
5,781,464,1e-08
6,205,115,1e-08
7,751,431,1e-08
8,664,368,1e-08
9,72,52,1e-08
10,626,380,1e-08
11,826,519,1e-08
12,369,205,1e-08
13,303,167,1e-08
14,319,195,1e-08
15,2001,1209,1e-08
16,302,173,1e-08
17,1278,810,1e-08
18,979,640,1e-08
19,195,132,1e-08
20,276,199,1e-08
21,1364,914,1e-08
22,19,17,1e-08
23,303,194,1e-08
24,250,151,1e-08
25,797,540,1e-08
26,19,13,1e-08
27,202,139,1e-08
28,530,340,1e-08
29,326,200,1e-08
30,768,553,1e-08
31,18,18,1e-08
32,923,659,1e-08
33,664,483,1e-08
34,404,290,1e-08
35,155,121,1e-08
36,250,171,1e-08
37,409,292,1e-08
38,19,19,1e-08
39,704,529,1e-08
40,307,248,1e-08
41,119,97,1e-08
42,1016,768,1e-08
43,1011,744,1e-08
44,464,323,1e-08
45,1230,960,1e-08
46,1241,955,1e-08
47,316,228,1e-08
48,730,557,1e-08
49,957,705,1e-08
50,626,514,1e-08
51,938,704,1e-08
52,113,84,1e-08
53,359,273,1e-08
54,482,368,1e-08
55,517,408,1e-08
56,226,164,1e-08
57,335,232,1e-08
58,670,434,1e-08
59,1176,885,1e-08
60,883,587,1e-08
61,256,172,1e-08
62,603,357,1e-08
63,419,256,1e-08
64,56,45,1e-08
65,1732,1084,1e-08
66,1270,904,1e-08
67,112,55,1e-08
68,696,463,1e-08
69,950,673,1e-08
70,111,68,1e-08
71,505,355,1e-08
72,439,297,1e-08
73,208,136,1e-08
74,427,287,1e-08
75,935,690,1e-08
76,304,176,1e-08
77,20,20,1e-08
78,338,237,1e-08
79,52,43,1e-08
80,19,16,1e-08
81,684,463,1e-08
82,165,115,1e-08
83,19,18,1e-08
84,318,180,1e-08
85,920,594,1e-08
86,1111,746,1e-08
87,1275,899,1e-08
88,344,246,1e-08
89,1106,771,1e-08
90,53,49,1e-08
91,609,381,1e-08
92,566,400,1e-08
93,88,66,1e-08
94,312,183,1e-08
95,143,100,1e-08
96,813,518,1e-08
97,883,507,1e-08
98,1057,622,1e-08
99,658,460,1e-08
100,207,119,1e-08
101,1377,953,1e-08
102,997,622,1e-08
103,878,659,1e-08
104,595,460,1e-08
105,2080,1566,1e-08
106,65,33,1e-08
107,114,107,1e-08
108,524,424,1e-08
109,52,51,1e-08
110,2868,2215,1e-08
111,629,530,1e-08
112,563,472,1e-08
113,213,169,1e-08
114,1009,912,1e-08
115,587,532,1e-08
116,729,692,1e-08
117,875,766,1e-08
118,20,19,1e-08
119,375,354,1e-08
120,971,818,1e-08
121,406,393,1e-08
122,110,67,1e-08
123,378,353,1e-08
124,398,360,1e-08
125,1216,1031,1e-08
126,845,773,1e-08
127,143,121,1e-08
128,1029,960,1e-08
129,52,51,1e-08
130,273,228,1e-08
131,449,416,1e-08
132,1520,1385,1e-08
133,53,52,1e-08
134,956,872,1e-08
135,454,394,1e-08
136,817,780,1e-08
137,646,593,1e-08
138,653,620,1e-08
139,8,8,1e-08
140,570,489,1e-08
141,141,127,1e-08
142,556,473,1e-08
143,782,747,1e-08
144,160,118,1e-08
145,193,184,1e-08
146,211,180,1e-08
147,19,18,1e-08
148,658,619,1e-08
149,269,228,1e-08
150,291,265,1e-08
151,247,193,1e-08
152,142,138,1e-08
153,1711,1427,1e-08
154,1076,922,1e-08
155,52,51,1e-08
156,519,472,1e-08
157,446,382,1e-08
158,206,200,1e-08
159,697,519,1e-08
160,469,412,1e-08
161,505,426,1e-08
162,80,78,1e-08
163,612,515,1e-08
164,865,752,1e-08
165,944,834,1e-08
166,1532,1378,1e-08
167,227,194,1e-08
168,463,428,1e-08
169,205,190,1e-08
170,813,715,1e-08
171,2169,1974,1e-08
172,105,102,1e-08
173,696,537,1e-08
174,1287,1003,1e-08
175,82,81,1e-08
176,421,368,1e-08
177,51,51,1e-08
178,1285,1177,1e-08
179,348,315,1e-08
180,248,239,1e-08
181,871,735,1e-08
182,1068,953,1e-08
183,465,426,1e-08
184,1793,1547,1e-08
185,3049,2683,1e-08
186,320,304,1e-08
187,81,79,1e-08
188,213,209,1e-08
189,759,711,1e-08
190,420,400,1e-08
191,1683,1614,1e-08
192,670,569,1e-08
193,581,535,1e-08
194,52,52,1e-08
195,723,594,1e-08
196,1436,1254,1e-08
197,1803,1595,1e-08
198,536,453,1e-08
199,114,111,1e-08
200,204,167,1e-08
201,113,104,1e-08
202,114,104,1e-08
203,579,505,1e-08
204,31,19,1e-08
205,252,187,1e-08
206,826,702,1e-08
207,253,176,1e-08
208,142,134,1e-08
209,851,802,1e-08
210,103,103,1e-08
211,667,544,1e-08
212,1455,1281,1e-08
213,114,103,1e-08
214,672,594,1e-08
215,733,685,1e-08
216,864,748,1e-08
217,161,154,1e-08
218,461,366,1e-08
219,466,423,1e-08
220,608,529,1e-08
221,252,211,1e-08
222,162,117,1e-08
223,19,18,1e-08
224,305,228,1e-08
225,303,241,1e-08
226,53,53,1e-08
227,247,204,1e-08
228,689,590,1e-08
229,590,492,1e-08
230,318,284,1e-08
