episode,steps,actions,episode_reward
1,584,451,1318.2772624316826
2,356,272,790.320738705247
3,40,36,95.8174863126833
4,498,388,1065.1747790237873
5,799,605,1522.7364298940442
6,163,128,413.95967700097117
7,256,157,571.0304738450195
8,603,242,1196.658782697042
9,20,1,59.99794767336766
10,250,126,544.2294755066131
11,2279,1017,5013.165991764637
12,131,36,377.42857943013684
13,1088,446,2431.6028499028057
14,306,156,680.2719232447442
15,113,41,338.7322459030021
16,1255,384,2325.865017500151
17,142,38,425.70370948659706
18,321,96,868.3274565632258
19,357,114,1035.657002860863
20,439,131,1309.6804937037018
21,1229,200,2397.7537429658983
22,105,20,311.85010813263864
23,579,109,1431.568376496584
24,364,55,824.5947384022498
25,51,20,152.87622034200137
26,790,149,2033.5439459599054
27,227,34,680.7788737031002
28,305,73,716.3219488023367
29,51,18,152.8669103076055
30,1028,209,2410.4133809033706
31,258,58,745.1019589217677
32,623,114,1211.2505828580543
33,483,130,1227.9712784476515
34,272,56,539.5759875973467
35,141,39,416.59888870936743
36,397,90,1000.7139303884938
37,205,61,501.73443853840536
38,428,97,1044.3758262369067
39,367,84,776.3690474067688
40,816,127,1408.204758635453
41,469,144,999.4605503518825
42,812,253,1465.4385220393908
43,131,44,359.9180768570407
44,432,164,1053.0376020443305
45,859,349,1706.2263160913192
46,571,236,1246.8632639502314
47,671,266,1531.0861246405905
48,788,315,1773.987361431327
49,249,110,618.3892936151891
50,823,383,1627.7703484316144
51,1326,547,2828.6518505672157
52,1135,429,2297.4463044717622
53,1063,419,2602.9323322516057
54,196,78,505.492686722662
55,254,86,731.6535782910753
56,255,77,544.4566408052665
57,927,313,1880.4470585501538
58,163,59,485.4141202847715
59,157,57,414.06077185026294
60,245,117,586.30622307557
61,1728,742,3894.9353844776383
62,284,112,748.9226600784385
63,52,23,155.80756352461
64,1098,576,2158.6393682900843
65,508,192,1183.0532780255255
66,143,55,392.09273195076514
67,52,23,152.8215448884414
68,142,57,382.0247424737382
69,196,83,517.394138004652
70,503,198,1202.3373576338145
71,1457,889,3406.7555671847704
72,365,198,937.7239745419678
73,313,186,760.0959253974005
74,157,96,465.63368110901183
75,626,344,1602.2788068867321
76,494,255,1220.5328399048806
77,203,113,538.089422690693
78,1434,595,3246.274709139106
79,2289,1226,5300.112626125112
80,1623,912,3908.261890772013
81,574,345,1422.2688085264638
82,278,176,499.3670064422299
83,610,312,1457.8968126999316
84,251,106,641.9222638177912
85,990,392,2417.264776931417
86,247,102,636.4560579097375
87,1309,624,3060.507811943904
88,486,227,1181.2281730391733
89,307,135,805.0895755846257
90,448,212,1111.197003088125
91,588,271,1535.5783552543496
92,443,97,1056.3723683950002
93,141,41,418.2171841727885
94,950,299,2057.5341539503997
95,2514,1135,5472.979800620014
96,649,235,1632.968777464698
97,186,68,556.9501031402066
98,810,667,1914.4182114254397
99,112,91,326.9559975308352
100,275,245,741.8925130601228
101,579,518,1442.371614418073
102,2324,2175,5209.382060425222
103,862,798,1998.8399312731963
104,155,111,371.9836804809634
105,361,252,942.1202204433596
106,164,97,484.49099232887045
107,415,331,912.0407980360839
108,1723,1134,4038.1246527721096
109,647,612,1496.4727872511016
110,2133,1882,4903.537269616278
111,112,100,335.51617729049417
112,454,444,1045.0685411463096
113,1485,1445,3288.869410145315
114,1757,1497,4098.048376628017
115,204,171,507.7914492929325
116,545,471,1267.2128447557982
117,1030,1024,2296.544199855459
118,166,147,494.06750942714945
119,1151,1137,2560.5646641857
120,342,304,932.3026005167486
121,406,402,979.3819119843484
122,258,252,659.8368969090665
123,204,203,486.04073864154526
124,746,730,1660.429270901052
125,418,413,1009.5949696037353
126,632,614,1459.247591026267
127,1023,1020,2192.1445945738724
128,304,300,678.9570076443906
129,205,202,491.3588587396956
130,551,538,1161.6493942112568
131,629,603,1472.6210919845787
132,597,585,1349.3746972243587
133,791,782,1823.089059747669
134,466,460,1059.3542873393712
