episode,steps,actions,episode_reward
1,19,19,1e-08
2,51,41,1e-08
3,816,635,1420.1563202062812
4,689,552,1201.7328463225317
5,1097,881,1908.7014970359642
6,795,575,1555.4276549269596
7,1132,782,1889.8974939385735
8,552,395,1034.9372931407097
9,52,30,1e-08
10,2696,1629,4883.930869309647
11,305,185,592.9469420236854
12,1019,610,915.8750258635614
13,777,465,1065.2427090696463
14,693,442,1309.0714434587142
15,210,156,334.4419560482049
16,393,275,512.7696017712664
17,690,494,772.0403614600248
18,349,246,623.0457013800578
19,279,196,279.235739147302
20,188,136,118.57807499927756
21,142,90,122.7700192825109
22,248,148,425.2970429813468
23,144,107,11.154735850517673
24,71,53,1e-08
25,542,328,791.684302727235
26,1460,845,2910.9673483531146
27,306,169,639.0733446646313
28,145,95,171.3471723257667
29,1660,955,2690.579133437685
30,991,550,1214.3877977627847
31,800,423,1631.486241080295
32,689,379,1333.3422461238915
33,694,417,1329.2989701496786
34,203,108,329.47603298183026
35,729,376,1151.4872107081706
36,3108,1610,4392.109109401196
37,602,303,1137.1185302070141
38,555,271,522.5482430273586
39,1921,1024,3272.1649773144995
40,461,194,583.9741222987523
41,1308,647,1228.594722900203
42,419,181,606.0697840743635
43,422,253,633.2512029940054
44,1176,744,2398.5978327550183
45,100,70,1e-08
46,468,306,582.5444152802227
47,500,316,273.7688306304295
48,141,79,14.59335563515034
49,2024,799,3341.6987865478163
50,194,90,269.98148704648065
51,2003,910,3490.311631254355
52,1147,269,1670.435606097009
53,141,13,1.0000004741314075e-08
54,353,34,1.0360083835621944e-05
55,471,53,255.27806212506732
56,668,86,987.1903648286199
57,192,36,232.91585634437163
58,1439,105,1686.3237113401508
59,751,66,1123.5093758047194
60,256,20,1.0000015628330442e-08
61,52,0,1e-08
62,477,62,2.9602318145591904e-06
63,204,27,1.0731431929659883e-08
64,192,0,1.0000000002284595e-08
65,327,19,1.0120454747541286e-08
66,70,0,1e-08
67,1645,151,1751.7443363665934
68,277,13,1.0000000000037242e-08
69,160,7,1.000000010837512e-08
70,666,81,788.4322649141955
71,855,152,532.9270436982989
72,1068,309,917.8854592828425
73,719,55,953.3616540219367
74,19,0,1e-08
75,526,100,687.72045960891
76,297,117,3.041810559540378e-05
77,845,362,656.6140815215088
78,498,161,921.0528125734547
79,272,135,99.8612078396412
80,1012,360,1394.0256802313313
81,204,72,236.6023331868149
82,577,154,987.5508703855011
83,1117,301,1290.829592912608
84,226,78,30.67080921052903
85,919,275,930.8817876130394
86,2011,492,995.3103730727571
87,449,139,582.0029207804513
88,996,309,1499.050593592491
89,19,0,1e-08
90,575,154,917.0146190464113
91,280,71,164.62076392282856
92,97,20,1e-08
93,205,68,172.20562179231686
94,245,88,48.2648353134909
95,443,124,495.1362193624906
96,105,29,1e-08
97,251,86,333.8292081254028
98,1059,252,1207.1379301304924
99,406,137,477.02553886707557
100,1203,294,1352.54171903705
101,827,206,1298.5386316974018
102,1154,295,1767.6359729660742
103,169,59,1.000047194200147e-08
104,304,111,432.0437657961747
105,51,5,1e-08
106,1277,382,2316.0502661739233
107,784,229,918.7819861256894
108,506,156,831.4970858989094
109,19,12,1e-08
110,598,252,389.51005023580774
111,113,68,1.00240595940361e-08
112,184,65,213.7014692908473
113,183,67,7.334837082390541e-08
114,830,266,1516.977671342192
115,1051,294,1602.3856978371198
116,142,73,14.485294590726442
117,205,74,291.3076736655175
118,465,200,644.0697075287584
119,194,120,15.54139310416607
120,416,167,337.6723483738803
121,205,102,315.184288063979
122,809,313,1569.1344472621822
123,1200,384,2203.0485401939363
124,1538,598,1751.9077305357462
125,102,67,1e-08
126,496,263,433.3485254697794
127,857,356,1538.7745762996476
128,1172,507,1950.4629556811458
129,135,92,114.87627594788852
130,11,2,1.0000000002269564e-08
131,1267,267,2603.3399688238183
132,1134,576,1221.972746152113
133,888,361,1632.641462152198
134,725,402,549.2463117190495
135,305,113,445.06272222657014
136,775,474,0.003926513712824806
137,301,75,291.21091517839534
138,956,346,1647.0294869325498
139,721,497,695.4357729205593
140,325,95,280.51006194522654
141,1519,374,1238.1911957343257
142,19,1,1e-08
143,527,101,758.4107309733367
144,445,108,627.6061443025746
145,82,7,1.0000000000000071e-08
146,147,117,1.1340717295527942e-06
147,554,159,708.7629645382696
148,1158,242,2030.94625191551
149,303,146,338.5117328174467
150,515,230,24.07120926181094
151,442,231,222.26453357819855
152,664,324,395.02806571044596
153,1129,494,1316.7461669366828
154,192,99,1.0007455288958728e-08
155,297,224,1.6153152553728556e-06
156,142,98,53.70749273027286
157,389,146,430.14718015219734
158,481,163,514.5272105753431
159,911,209,1631.04533086854
160,1388,687,1002.2246192739739
161,526,84,150.63267826199123
162,708,299,797.5394480834188
163,54,4,1e-08
164,293,82,114.34342330911001
165,305,74,32.37572425348496
166,506,195,578.3570743598087
167,196,6,1.0000000084538878e-08
168,935,361,1120.9764288651093
169,512,97,1.3049569692118633e-06
170,1232,842,2103.6723421284573
171,274,174,166.45513583404338
172,251,162,260.8045793509157
173,509,287,663.5356997624729
174,858,222,1251.6587622925297
175,413,157,320.3827461695669
176,435,192,344.4922825726843
177,554,273,673.1275432686772
178,503,196,54.73232538368327
179,165,25,1.000000000241681e-08
180,52,4,1e-08
181,543,155,572.4342571145419
182,528,220,493.1726102900161
183,836,321,222.88292989958077
184,100,26,1.0002368514306043e-08
185,557,369,241.89779109373902
186,607,295,706.0856442186121
187,512,207,943.4476619660261
188,1273,639,2584.150734976218
189,892,224,1589.0543369318164
190,52,51,1e-08
191,696,342,1267.4966361464267
192,338,159,290.8023527724685
193,19,10,1e-08
194,18,8,1e-08
195,495,354,283.85962782902044
196,201,144,167.117459339964
197,250,225,293.0128894497765
198,625,492,787.6152364597843
199,420,385,508.6640713202894
200,347,175,491.5711454648787
201,112,84,0.0005902296682578937
202,2586,2391,4283.820725623207
203,1,1,1.0000007217900768e-08
204,807,688,1081.4868793712028
205,214,74,1.0000047211194595e-08
206,113,11,1.000000000000281e-08
207,53,1,1e-08
