episode,steps,actions,episode_reward
1,89,89,3.2632492018788973e-07
2,698,547,1579.0171139412964
3,18,15,44.95075959216277
4,1065,837,2296.95818119483
5,442,360,1083.4708841308925
6,357,275,901.2825020612332
7,960,685,2148.944153565683
8,962,719,1859.4832413566444
9,2302,1503,5176.658399559497
10,204,142,524.7432594024723
11,690,434,1607.14800571849
12,745,408,1095.7623373591327
13,114,73,339.3341902944969
14,205,128,505.6681626487825
15,1037,626,2262.1074986390486
16,112,73,333.4456688389696
17,1297,914,2919.9406772566253
18,525,372,758.3229405259877
19,510,364,1122.1474542667836
20,142,105,382.28231242506376
21,278,192,702.7425533083097
22,996,633,1419.2114623382217
23,1013,541,2209.0512550682647
24,255,159,651.4922904915611
25,139,86,382.00552158783967
26,692,390,1612.7991738394567
27,250,124,581.063727023517
28,3806,2059,7376.073533674018
29,97,64,253.32861481719783
30,694,376,1650.8623227879816
31,636,361,1358.0648036222249
32,303,183,749.8672779647068
33,843,493,1300.1306026898883
34,348,163,793.0983985877609
35,303,142,713.1879837217408
36,1606,731,3442.156952610637
37,604,316,1318.1430666895594
38,113,78,334.8441122584682
39,1592,679,3556.470992133966
40,408,207,1021.4406810550967
41,676,269,1525.2062539802369
42,143,80,310.8311520547007
43,142,90,364.88369567581293
44,18,7,0.0001318555618158182
45,181,99,316.6984044897716
46,248,95,604.3565113586255
47,712,353,991.4811606119291
48,302,134,765.4329879356522
49,112,58,335.048852528919
50,16,11,47.93919986978373
51,299,131,694.3682289962462
52,120,103,214.49796294165688
53,51,35,152.2924076523592
54,556,212,1303.1654988354298
55,1147,628,2001.9348738098552
56,1048,541,1561.3361869632452
57,462,171,1067.5076304172715
58,1393,507,3214.349228054905
59,208,100,566.9687929271618
60,249,116,601.3085269142326
61,182,97,391.72353596984806
62,857,364,1984.377153920215
63,251,139,627.4608882733362
64,1843,424,4867.38479880032
65,582,55,1723.5517715851383
66,752,92,1838.0571258253462
67,351,35,979.170348304613
68,1837,161,5061.463297039533
69,562,57,1685.6919859339432
70,479,47,1430.6327540418372
71,244,11,731.9046994331861
72,208,18,623.8081374725408
73,903,63,2531.7835478870825
74,1007,161,3020.203981415347
75,937,205,2496.05659158467
76,51,1,152.99179066347065
77,320,77,908.7729787614276
78,729,146,2079.2544272448854
79,52,2,155.98964648985407
80,255,66,764.5601413132904
81,302,34,805.4408994619187
82,205,38,614.6691692155824
83,303,33,811.2280439515362
84,19,0,54.00008688017053
85,391,58,1140.7004751355867
86,845,177,2244.982284770973
87,367,153,862.3210007488276
88,50,8,149.9452091686498
89,19,0,8.480528226618323e-05
90,207,95,616.3117306707319
91,930,312,2229.635192929444
92,53,6,158.93441754257805
93,2410,789,5437.7763228474905
94,470,156,1180.079013948772
95,19,0,2.7681261561731836e-05
96,1582,475,2461.006440105627
97,1379,294,3184.3612772827364
98,340,125,496.6352317473052
99,794,240,1837.9974002912236
100,770,248,1886.6275855041495
101,319,89,757.1516680010163
102,276,98,701.4697355774521
103,15,4,44.960358390442636
104,991,270,2278.920268410982
105,104,24,311.5946419585197
106,713,194,827.0941224214839
107,455,128,1194.1615377744772
108,797,213,1942.9428297599504
109,113,54,338.02317406629516
110,269,77,661.2264051960441
111,1609,410,3464.212630678338
112,938,252,2019.5154733794932
113,57,0,9.344001249920005e-05
114,467,180,1164.1840394780902
115,2066,543,4814.197839979809
116,1124,327,2132.920391466239
117,112,71,277.8351901886263
118,185,75,463.22737144687
119,183,61,547.87488843242
120,2024,595,4787.584337720778
121,203,67,578.6388610742104
122,1795,745,3387.35217736944
123,902,241,2235.635825448936
124,1001,341,1867.6256690852251
125,769,311,1630.0420980263982
126,353,160,715.5967128889804
127,217,178,208.75819693289642
128,1545,618,3337.3100492864223
129,142,95,259.1154118264666
130,866,397,1710.2731358410604
131,1673,595,3807.486177254474
132,19,9,0.00010867633848482845
133,143,92,187.90414149680305
134,876,432,2019.0928681777812
135,641,283,1397.787273850997
136,3214,1399,5570.559471414173
137,843,357,1389.4309183373814
138,459,152,1233.817972516316
139,145,43,434.2000385365444
140,113,9,338.93421626646983
141,1874,406,4247.091851894451
142,146,86,232.85393127855298
143,1223,338,1925.9937904537994
144,1060,618,2196.9142112990826
145,687,339,1261.99192389213
146,968,406,1744.3485214740251
147,162,56,431.00026958780904
148,206,43,617.4178284936149
149,765,448,946.5160586263148
150,468,375,250.74059041659615
151,252,74,691.1331176687866
152,789,306,1271.7992712144296
153,301,70,830.947274990882
154,2193,877,4064.2613277540845
155,264,9,740.9580575265891
156,449,57,1317.450171563635
157,67,0,150.00024223850255
158,5,1,14.973155068043486
159,19,1,3.000408055064675
160,571,178,1503.763919824195
161,496,168,1231.7347474009348
162,195,26,584.6496926703918
163,142,38,425.32355602904204
164,528,99,1455.9703388004207
165,18,1,6.000277044907061
166,773,180,2186.0830956146683
167,1008,384,2624.076553685824
168,1258,380,2689.9046740941235
169,115,46,344.1113579602349
170,394,141,1164.8538674049944
171,305,2,914.9958823066934
172,193,72,578.3370661038938
173,161,77,482.2036644343004
174,1400,238,2933.473830476747
175,144,42,431.34940761375424
176,218,24,653.3209600192854
177,591,200,1567.6678895314994
178,304,221,792.064319628936
179,113,36,338.1801056885024
180,1049,444,1930.7770310540707
181,966,684,1421.4469028482295
182,1224,472,2958.9360445815823
183,1703,1010,3692.066841502175
184,804,474,1897.0037469007682
185,457,345,1122.607781771603
186,958,790,2376.805822354125
187,362,319,980.1384758827802
188,51,5,152.9643993456194
189,420,376,952.9112473923216
190,347,157,919.8954014812876
191,114,60,341.04861461555083
192,526,458,1469.4593005324255
193,358,325,888.0804525331886
194,853,847,2031.3319607550209
195,857,847,2110.455712649181
196,1,1,2.9979476733676633
197,804,689,2076.0213024056366
198,163,58,488.65091125571445
199,162,2,485.99588230669343
200,770,640,2061.3866554646443
201,2327,2236,5506.666860134552
202,114,110,341.54608170701124
203,19,6,14.987826693258764
204,756,750,1983.902651196604
205,205,205,612.4764844568804
206,609,601,1619.4749418062163
207,613,607,1570.5493003763406
208,455,454,1227.9574697241578
209,250,246,691.0191408728692
210,533,530,1526.6563928365356
211,393,384,1051.8246555380783
212,53,47,158.5309675509179
213,113,106,338.5064818921336
214,179,179,500.44144724478184
215,447,438,1154.7586125020343
216,656,601,1583.576466143271
217,378,361,1102.3008159371211
218,99,99,290.4388828591411
219,687,616,726.8767943119005
220,305,302,833.5250878755448
221,52,51,155.51708321821908
222,613,584,1505.8294817088959
223,306,300,825.4282659969
224,564,424,1456.9427263743064
225,983,781,2280.4400149095413
226,141,137,419.3231755873742
227,557,541,1471.550437825257
228,206,202,617.4373388617472
229,320,316,885.7766469586755
230,263,242,657.3703392874776
231,547,494,1325.998314183896
232,249,245,722.9913191480246
233,38,4,9.000434824896633
234,667,658,1722.6505692951994
235,19,3,32.99653710087486
236,806,767,2022.9263092179056
237,334,284,956.2971848547924
238,2244,2059,4951.010354437022
239,136,136,407.0519348274124
240,908,899,2199.708470404485
241,465,413,738.9568941417283
242,315,298,919.7001113486258
243,785,780,1954.3289144898436
244,801,640,1927.503658071389
245,902,616,2139.6772091914554
246,383,283,968.7659656515231
247,941,937,2115.668288594785
248,1017,1016,2441.28620310289
249,567,567,1571.4237352766168
250,303,302,836.3808432269274
251,1526,1510,2406.1486933054252
252,159,157,428.37079333241536
253,792,706,2033.6713243870222
254,349,344,973.535882742248
255,501,450,1158.5760945540499
256,205,205,569.546787756028
257,195,194,584.3336189175222
258,1331,906,3237.2534712849683
259,302,301,796.6429881767673
260,319,304,814.9810969919901
261,52,48,155.8397752970262
262,2730,2690,6652.309509509811
263,1144,1012,2817.901335971064
264,530,513,1433.4036541382554
265,303,301,830.3176538823346
266,319,256,786.0833792064753
267,1278,1041,3138.4975312594606
268,393,392,1131.4530690565412
269,49,47,146.7974521642504
270,1200,1125,2877.242198584198
271,509,494,1098.7079539760543
272,331,323,991.9200952783993
273,51,23,152.94939327879266
274,492,469,1424.3389664174356
275,248,244,716.419725842153
276,18,18,5.959871054250444
277,625,625,1581.2919905989183
278,1537,1530,3783.9431806375824
279,302,299,806.4769909306398
280,1782,1717,4498.060965966794
281,559,530,1467.7708668895539
282,893,886,1593.6925918430186
283,392,389,1158.441978572493
284,755,746,1739.35899970347
285,306,298,834.4744310862084
286,972,953,2361.062210891917
287,2003,1774,5098.892958052423
288,362,361,1077.5816886814446
289,51,48,152.4033292402759
290,18,11,2.9689023196046453
291,345,344,982.5099788356664
292,319,319,956.0173816599153
293,143,143,428.4916350804125
294,1496,1407,3639.5437626036482
295,1267,1256,1753.0600130428656
296,143,142,428.30110875149114
297,246,239,727.5637376600157
298,149,145,446.37866789565254
299,435,429,1017.168100777119
300,249,244,729.3027563487934
301,113,110,338.35397547855115
302,1545,1499,2476.80401761079
303,144,144,431.3120487111519
304,851,804,2048.1475794751786
305,529,509,1454.5806613132593
306,193,185,578.2570441836987
307,1087,1040,2716.801181848823
308,1302,1240,3191.01454139233
309,252,245,717.1153648861165
310,503,484,1206.2213103797678
311,948,791,2449.5539846146517
312,142,133,425.65269821079545
313,194,189,581.3722930075886
314,551,496,1422.4642307139175
315,250,213,704.5433444295173
316,1230,953,3149.1832759806257
317,1892,1559,4732.341171331092
318,76,69,227.8067369305625
319,150,143,449.55050787763764
320,1757,1695,4377.093378463108
321,995,981,2532.517769177965
322,1936,1893,4734.51725786823
323,71,48,158.8688562742486
324,525,496,1462.415587888568
325,1165,1147,2901.418216189782
326,51,32,152.8845734121948
327,254,227,761.443014246996
328,257,217,770.4131518251098
329,1708,1681,3791.421236941604
330,871,863,2193.2461091171003
331,260,257,758.9339346030363
332,352,264,881.9487758928495
333,251,250,722.6558393390874
334,413,322,642.7318654812575
335,1856,1624,3999.1362953159414
336,270,252,764.8246465717857
337,945,775,2270.285153818363
338,649,515,1584.9304459796062
339,370,352,1107.7970641259985
340,2752,2148,5593.063124816513
341,365,319,1047.4812688277368
342,346,227,986.0372843155872
343,1431,1039,3452.598503643353
344,438,393,1105.0978512458423
345,113,104,338.64016176166314
346,251,205,639.0174821310517
347,204,155,603.5717325072001
348,941,748,2145.2011881544927
349,195,149,574.8873593091523
350,164,146,491.21112654869836
351,199,175,557.665321328
352,1417,837,3345.4181999900325
353,19,12,14.996002551043137
354,257,208,769.6924875294632
355,552,366,1377.6926575565578
356,142,113,425.277663039061
357,19,18,11.994215670909721
358,72,50,200.8564667993904
359,435,284,1045.9573207526348
360,1424,970,3323.624094358049
361,317,251,810.8654236690315
362,646,603,1744.1391650366734
363,508,503,1340.6617627201017
364,1338,1315,3392.664775094737
365,349,348,954.0142474136155
366,1815,1329,4404.617058927252
367,71,66,179.74399885589017
368,167,157,500.28014737597806
369,417,273,1110.1063966850902
370,1504,980,3510.524461528618
371,1514,1057,3676.9558277011993
372,2521,1314,6018.3127434644775
373,920,599,2215.7098771736187
374,304,187,753.5378649221113
375,203,122,524.7145010656569
376,51,46,152.80510685550783
377,513,270,1226.2968257560008
378,128,122,383.1981646198173
379,1207,520,2715.3245625286213
380,205,94,534.4066452017872
381,757,354,1781.7860242289564
382,19,16,47.89771437498645
383,551,311,1417.5390953322012
384,113,108,338.66104270641085
385,662,374,1715.5284314667738
386,620,446,1493.838291719512
387,19,17,3.0007687885399785
388,51,49,152.81466735414526
389,721,435,1726.7430493197455
390,53,51,158.84657128592795
391,520,405,1248.143636878885
392,327,265,427.7255753213218
393,19,16,5.996082266637693
394,51,48,152.8680560585176
395,204,148,554.155581654923
396,619,506,1541.672240454766
397,19,17,32.965605292369446
398,1156,831,2429.1177943179955
399,105,97,313.9015036678126
400,19,19,17.981431271814273
401,140,132,413.6424169641118
402,19,19,0.0002078282109705103
403,510,430,689.9196013937448
404,139,132,374.63223614593124
405,221,188,620.153820024849
406,51,49,152.8656972581124
407,447,277,1070.6731948192755
408,103,98,308.6669109696001
409,225,211,602.5400839016071
410,230,180,534.9493938357483
411,252,221,664.2864831104418
412,52,49,155.8730688851182
413,329,314,841.093714599216
414,141,122,421.2316025182952
415,726,609,1408.0341821747404
416,256,215,685.5937004739252
417,51,46,152.88470933768497
418,778,715,2036.0744267559112
419,650,541,1572.7894757015058
420,113,91,338.50593094821517
421,393,347,867.9866243621109
