episode,steps,actions,episode_reward
1,512,262,0.024055042167759926
2,255,145,0.011507332072388377
3,710,414,0.031684554336302406
4,833,482,0.03739092500781528
5,1683,959,0.07558508540464917
6,671,386,0.029635317256010627
7,1485,834,0.06703711504288293
8,660,384,0.029509197560974195
9,322,174,0.013996568403498335
10,19,11,6.061632032526193e-07
11,411,227,0.018726994413695124
12,623,376,0.02742842151500806
13,248,142,0.011097482245152623
14,255,147,0.011538858982175743
15,19,18,0.00026447499313794276
16,142,76,0.0065576072357719775
17,301,164,0.013777269577078708
18,19,16,8.157247632016976e-05
19,19,18,1.0465389096852984e-08
20,813,464,0.036634279172918546
21,510,289,0.02301465414477686
22,429,245,0.018695194996146667
23,915,497,0.04205690765634515
24,872,434,0.04196232692698306
25,660,382,0.029509197560974195
26,2268,900,0.07783995026500494
27,141,3,0.0027743780612881444
28,206,1,0.000315279097873653
29,1516,4,0.002143839865540839
30,1130,17,0.003531023896184911
31,1353,1,0.0007566558348967669
32,1158,3,0.001702463128517725
33,227,1,0.0001891714587241918
34,542,13,0.0035940777157596414
35,250,1,0.002143839865540839
36,420,6,0.002522162782989222
37,203,1,0.0002522252782989224
38,294,14,0.007503414529392936
39,52,22,0.0032788086178859887
40,848,7,0.0022069151037206474
41,52,22,0.0032788086178859887
42,416,2,0.0017655169480924556
43,3264,10,0.010214728771106383
44,517,3,0.0006305481957473058
45,212,3,0.0011349787523451502
46,52,25,0.0032788086178859887
47,346,2,0.0008197096544714975
48,205,3,0.0011980325719198807
49,142,3,0.0004413867370231142
50,19,11,4.228654732999007e-05
51,554,1,0.0001261176391494612
52,227,1,0.0001891714587241918
53,513,303,0.021884953129097523
54,142,69,0.006746768694496169
55,250,166,0.010593051688554771
56,508,333,0.020493288397091473
57,251,161,0.010719159327704234
58,113,41,0.0058640152204499415
59,256,151,0.011349697523451548
60,1289,826,0.0551405752181012
61,1035,667,0.04426379134146063
62,782,496,0.03336517595330845
63,112,78,0.004634465738742696
64,550,326,0.023771301246885174
65,304,184,0.013335892840055588
66,142,86,0.0062738650476856905
67,250,146,0.01119206297451472
68,250,145,0.011160536064727354
69,409,216,0.018474780571825083
70,275,157,0.012076499885932481
71,788,47,0.004445304280018504
72,346,3,0.0012610863914946113
73,444,3,0.002143839865540839
74,528,3,0.0029004857004376054
75,463,3,0.002837431880862875
76,332,30,0.013430558605681127
77,680,3,0.0045398850093806
78,454,1,0.0002522252782989224
79,52,22,0.0032788086178859887
80,604,2,0.0005044405565978447
81,1347,9,0.004731628434955242
82,401,2,0.004413777370231139
83,1161,4,0.0015133016697935335
84,1075,1,0.0004413867370231142
85,657,17,0.004413777370231139
86,341,4,0.004035473828063141
87,249,2,0.003972400633208025
88,382,35,0.01649950438462038
89,320,1,0.009458082936209606
90,1133,1,0.011728020440899937
91,812,37,0.0511997114946807
92,186,0,0.011728020440899937
93,227,0,0.014313227043463925
94,19,3,1.172310531692015e-07
95,346,1,0.018726994413695124
96,861,20,0.0541327097769038
97,304,0,0.019168371150718243
98,859,22,0.049938666369669815
99,702,0,0.04426379134146063
100,982,3,0.05952296145193267
101,304,30,0.01910025017960481
102,722,56,0.04416146421214573
103,122,53,0.006462176994429564
104,147,1,0.009268921477485412
105,165,38,0.010330530254426559
106,301,32,0.01897920969199405
107,1158,1,0.07301633306753773
108,153,5,0.0073774496246453835
109,497,0,0.0313377583286414
110,113,0,0.007125091611944552
111,203,0,0.01279993537367037
112,114,0,0.007188145431519283
113,904,0,0.05700066289555567
114,520,99,0.03261520479074987
115,91,1,0.00573790758130048
116,216,0,0.01361963502814188
117,415,0,0.02616734512351343
118,457,5,0.02635672191222931
119,802,35,0.04702812133134487
120,1461,87,0.09211333002183628
121,446,1,0.028122013530330104
122,301,29,0.018972062995568813
123,52,37,0.0032680158595167655
124,597,0,0.03764314028611419
125,395,69,0.02248510619630651
126,1252,1,0.04041750834740222
127,691,55,0.04346787938555032
128,567,0,0.035751525698872355
129,203,0,0.01279993537367037
130,738,0,0.04653372884615083
131,574,7,0.03494050120618994
132,112,1,0.007062037792369822
133,362,0,0.022825492686052665
134,359,0,0.02263633122732847
135,1087,34,0.06853951187773155
136,603,1,0.023266869423075785
137,431,47,0.025988983511536563
138,564,0,0.03556236424014817
139,700,0,0.04413768370231117
140,1472,4,0.09161729858305834
141,1302,43,0.08082461132160629
142,302,0,0.01904226351156878
143,257,30,0.016204841630705867
144,1001,50,0.0619820424332798
145,914,35,0.05761382218479781
146,303,0,0.019105317331143512
147,509,0,0.032094404163538134
148,413,39,0.025914147924894625
149,142,4,0.007755679109816679
150,1103,38,0.06834301487593956
151,249,0,0.015700411074108016
152,1774,77,0.11072261140085958
153,251,0,0.01582651871325748
154,132,3,0.00712521599400855
155,19,4,1.979227506737395e-07
156,1056,0,0.06658484347091477
157,815,34,0.051388872953404885
158,301,31,0.01897920969199405
159,483,29,0.030455004854595166
160,553,0,0.034868772224826164
161,557,0,0.035120987503125076
162,2707,31,0.16932991857538643
163,776,44,0.04751202342312924
164,608,42,0.0383367323014362
165,246,1,0.015511249615383822
166,1446,0,0.09117583310506137
167,598,0,0.03770619410568892
168,204,0,0.012862989193245102
169,1571,128,0.09649005183880041
170,731,9,0.04434062419803701
171,457,0,0.02881560554565215
172,1714,43,0.0950221160991202
173,626,4,0.03827385637343463
174,417,39,0.026293452762662893
175,606,0,0.038210624662286745
176,964,0,0.06078389207003935
177,917,89,0.057820362550027135
178,754,0,0.04754258995934648
179,166,47,0.010466944049405309
180,444,0,0.02799590589118064
181,51,42,0.003215754798311258
182,2423,12,0.15049045496582317
183,186,56,0.010694905245905398
184,1385,2,0.015984153262194305
185,688,13,0.04253308600151592
186,304,0,0.019168371150718243
187,1330,48,0.08386159003439213
188,388,1,0.024464891994995682
189,1585,1,0.046155405928702466
190,19,12,0.0003780221367657543
191,142,0,0.008953652379611755
192,1813,11,0.074083609757307
193,114,2,0.007188145431519283
194,1468,100,0.09256301713570554
195,304,14,0.01832425019311504
196,161,14,0.009336323205324435
197,142,0,0.008953652379611755
198,760,99,0.04792091287679485
199,1277,3,0.02301465414477686
200,1253,65,0.07762409662470962
201,629,1,0.005927069040024672
202,112,0,0.007062037792369822
203,221,1,0.01390337721622817
204,755,17,0.04676947627204083
205,285,1,0.01633094926985533
