episode,steps,actions,episode_reward
1,504,277,474.50660421025486
2,1384,764,1301.9811188858482
3,626,358,580.1840860624773
4,1486,813,1189.8189707700776
5,206,117,192.99263577182407
6,462,263,250.42927492639063
7,235,144,214.14535893031743
8,610,329,581.557786066508
9,451,262,415.47326198723954
10,184,100,236.53230499729554
11,249,134,238.61467717355433
12,752,422,700.2758740444287
13,203,114,191.91114291980713
14,1079,632,990.7652767931406
15,273,156,257.8804202954332
16,691,394,587.3461370412274
17,605,346,562.1856565246864
18,1151,614,917.1359823419558
19,713,411,716.9983258671097
20,141,78,134.80167370427884
21,303,168,284.0800992521342
22,202,108,192.59797805608457
23,4241,1379,2610.5813033151608
24,212,13,115.74263526119645
25,204,2,43.50803780956664
26,351,4,28.5241530583426
27,829,4,109.78667807165036
28,974,2,10.278520804650206
29,20,9,1.374677887284992e-05
30,52,15,114.98615574845063
31,607,2,3.244376011935204
32,447,1,39.00645654834876
33,839,1,17.876817995427196
34,303,1,4.8739635013216205
35,204,1,24.378245242479984
36,143,1,6.499320313084818
37,249,1,19.502174807190393
38,671,2,16.24935423969603
39,242,3,18.95720775402298
40,2282,29,269.7295545972288
41,995,8,5.091938673201227
42,471,1,26.00360205424318
43,526,1,16.251461183664
44,1010,5,36.3849324563462
45,71,25,135.31483309959347
46,606,31,180.26829756481766
47,722,3,43.879345779778866
48,219,1,14.626104371900803
49,922,594,445.9349872876693
50,1053,670,524.1471568991734
51,53,15,133.17784590089457
52,1904,1222,1719.8270897108005
53,575,364,535.8729887431155
54,412,237,436.38292728258824
55,219,112,229.29864249622875
56,251,146,240.63044355337837
57,855,516,464.49388897023607
58,250,148,231.41799755635077
59,363,242,315.8112587648774
60,224,143,185.42721928007632
61,69,34,128.55273582120506
62,70,30,139.58727572217208
63,1462,173,267.7990291783425
64,165,3,77.64815474520604
65,163,3,167.0427793921819
66,528,3,118.77661435209372
67,462,3,9.383168651151756
68,12,4,1.2573727034079757e-07
69,160,1,21.12753161895359
70,841,17,216.2451686597935
71,249,3,43.154471308179346
72,205,3,54.893159380521276
73,1383,19,214.44896028008998
74,828,3,22.5458459938893
75,566,16,263.62574989302584
76,2252,5,202.74938604396462
77,269,2,72.69976164807308
78,326,4,193.74042474742427
79,2809,16,2681.653012891682
80,100,0,162.53568118631972
81,187,0,303.94172380971787
82,643,20,947.164097056419
83,253,0,411.2152733860889
84,551,0,895.571603291535
85,301,0,489.23240035072234
86,204,1,329.94748279792907
87,142,0,230.800667280374
88,526,29,871.9306734085358
89,392,0,637.1398702211776
90,322,3,492.48311478391537
91,964,1,1366.7444820807
92,301,19,556.2744056094411
93,103,58,296.690356716374
94,622,3,951.4838774890547
95,50,30,142.84577954220944
96,330,32,551.7747782129894
97,357,63,703.9351403724116
98,1177,4,1880.537831467573
99,1064,5,1357.3514260268312
100,1511,101,2642.3839869707044
101,215,0,349.4517145390874
102,112,0,182.0399629274781
103,1101,35,1624.72762260085
104,141,0,229.1753104686108
105,19,3,3.819341409691215e-07
106,1254,57,2152.6612119790566
107,646,32,1109.7784124153625
108,554,0,900.4476737268247
109,50,27,138.55997846998972
110,644,32,1102.5493466560793
111,52,34,120.22369156151821
112,113,0,183.66531973924128
113,938,39,1268.078205519961
114,690,0,1121.4962001266206
115,442,0,718.4077108093403
116,102,56,281.80105069966476
117,989,0,1607.4778868437995
118,837,0,1360.4236514558022
119,249,0,404.7138461390361
120,496,10,428.76191295432085
121,227,0,368.95599628024576
