episode,steps,actions,episode_reward
1,116,67,1e-08
2,1099,621,1e-08
3,392,229,1e-08
4,471,266,1e-08
5,249,138,1e-08
6,940,95,1e-08
7,523,3,1e-08
8,161,17,1e-08
9,503,17,1e-08
10,142,2,1e-08
11,1598,662,1e-08
12,1949,1038,1e-08
13,740,374,1e-08
14,520,288,1e-08
15,597,313,1e-08
16,225,2,1e-08
17,1236,2,1e-08
18,204,2,1e-08
19,286,3,1e-08
20,882,197,1e-08
21,305,172,1e-08
22,52,25,1e-08
23,304,170,1e-08
24,52,43,1e-08
25,356,183,1e-08
26,486,269,1e-08
27,977,577,1e-08
28,267,211,1e-08
29,356,233,1e-08
30,1203,750,1e-08
31,254,165,1e-08
32,602,281,1e-08
33,141,79,1e-08
34,593,344,1e-08
35,384,228,1e-08
36,319,170,1e-08
37,142,87,1e-08
38,370,196,1e-08
39,4,4,1e-08
40,68,30,1e-08
41,275,110,1e-08
42,302,144,1e-08
43,19,6,1e-08
44,894,433,1e-08
45,716,344,1e-08
46,19,8,1e-08
47,19,8,1e-08
48,19,11,1e-08
49,582,157,1e-08
50,379,138,1e-08
51,847,298,1e-08
52,363,71,1e-08
53,19,5,1e-08
54,1644,350,1e-08
55,252,54,1e-08
56,1629,294,1e-08
57,434,82,1e-08
58,205,48,1e-08
59,204,37,1e-08
60,732,110,1e-08
61,18,1,1e-08
62,361,65,1e-08
63,117,30,1e-08
64,1856,228,1e-08
65,284,68,1e-08
66,257,49,1e-08
67,225,12,1e-08
68,163,34,1e-08
69,154,16,1e-08
70,799,120,1e-08
71,972,93,1e-08
72,170,28,1e-08
73,55,10,1e-08
74,18,1,1e-08
75,444,45,1e-08
76,302,31,1e-08
77,849,91,1e-08
78,508,46,1e-08
79,431,101,1e-08
80,134,21,1e-08
81,877,75,1e-08
82,1163,112,1e-08
83,222,22,1e-08
84,92,1,1e-08
85,132,3,1e-08
86,361,3,1e-08
87,671,3,1e-08
88,820,1,1e-08
89,412,1,1e-08
90,160,1,1e-08
91,882,1,1e-08
92,921,3,1e-08
93,823,2,1e-08
94,716,3,1e-08
95,1057,2,1e-08
96,837,35,1e-08
97,195,20,1e-08
98,421,42,1e-08
99,254,16,1e-08
100,50,2,1e-08
101,19,0,1e-08
102,181,15,1e-08
103,607,43,1e-08
104,389,42,1e-08
105,317,1,1e-08
106,194,3,1e-08
