episode,steps,actions,episode_reward
1,1351,738,1e-08
2,601,343,1e-08
3,1531,315,1e-08
4,483,4,1e-08
5,150,16,1e-08
6,18,14,1e-08
7,320,2,1e-08
8,572,32,1e-08
9,161,92,1e-08
10,714,394,1e-08
11,586,321,1e-08
12,553,295,1e-08
13,877,490,1e-08
14,231,123,1e-08
15,143,77,1e-08
16,19,14,1e-08
17,1690,859,1e-08
18,1243,3,1e-08
19,579,3,1e-08
20,1317,372,1e-08
21,52,32,1e-08
22,303,179,1e-08
23,50,35,1e-08
24,357,210,1e-08
25,847,473,1e-08
26,263,162,1e-08
27,675,460,1e-08
28,553,297,1e-08
29,1101,676,1e-08
30,113,69,1e-08
31,321,155,1e-08
32,19,11,1e-08
33,966,525,1e-08
34,37,19,1e-08
35,387,215,1e-08
36,306,130,1e-08
37,511,293,1e-08
38,273,125,1e-08
39,504,175,1e-08
40,646,244,1e-08
41,142,78,1e-08
42,579,267,1e-08
43,143,45,1e-08
44,629,214,1e-08
45,366,85,1e-08
46,130,42,1e-08
47,623,209,1e-08
48,113,46,1e-08
49,876,251,1e-08
50,143,36,1e-08
51,700,171,1e-08
52,545,77,1e-08
53,353,62,1e-08
54,941,224,1e-08
55,112,15,1e-08
56,224,48,1e-08
57,899,160,1e-08
58,413,103,1e-08
59,646,57,1e-08
60,746,38,1e-08
61,351,27,1e-08
62,885,153,1e-08
63,532,119,1e-08
64,390,78,1e-08
65,207,41,1e-08
66,531,54,1e-08
67,1062,107,1e-08
68,811,114,1e-08
69,304,25,1e-08
70,851,83,1e-08
71,1050,164,1e-08
72,1549,156,1e-08
73,731,70,1e-08
74,2495,4,1e-08
75,132,2,1e-08
76,319,1,1e-08
77,71,1,1e-08
78,828,1,1e-08
79,1086,3,1e-08
80,1121,2,1e-08
81,880,1,1e-08
82,130,0,1e-08
83,1433,107,1e-08
84,52,4,1e-08
85,258,21,1e-08
86,19,1,1e-08
87,1052,99,1e-08
88,124,9,1e-08
89,73,1,1e-08
90,251,1,1e-08
91,1140,3,1e-08
92,152,2,1e-08
93,206,3,1e-08
94,354,1,1e-08
95,535,48,1e-08
96,51,15,1e-08
97,1019,332,1e-08
98,1234,241,1e-08
99,943,168,1e-08
100,1379,271,1e-08
101,328,28,1e-08
102,756,51,1e-08
103,256,16,1e-08
104,130,5,1e-08
105,445,34,1e-08
106,748,89,1e-08
107,794,1,1e-08
108,1525,1,1e-08
109,215,7,1e-08
110,237,38,1e-08
111,914,18,1e-08
112,606,7,1e-08
113,203,5,1e-08
114,204,0,1e-08
115,52,7,1e-08
116,1668,58,1e-08
117,52,11,1e-08
118,112,0,1e-08
119,143,9,1e-08
120,287,3,1e-08
121,144,0,1e-08
122,924,88,1e-08
123,892,61,1e-08
124,204,0,1e-08
125,205,0,1e-08
126,304,0,1e-08
127,304,19,1e-08
128,11,7,1e-08
129,947,51,1e-08
130,1121,11,1e-08
131,419,38,1e-08
132,92,47,1e-08
133,294,22,1e-08
134,770,22,1e-08
135,318,55,1e-08
136,19,13,1e-08
137,257,23,1e-08
138,861,138,1e-08
139,1376,89,1e-08
140,105,42,1e-08
141,37,34,1e-08
142,143,2,1e-08
143,413,17,1e-08
144,52,21,1e-08
145,739,2,1e-08
146,443,45,1e-08
147,114,48,1e-08
148,323,21,1e-08
149,443,56,1e-08
150,714,163,1e-08
151,118,0,1e-08
152,561,31,1e-08
153,612,0,1e-08
154,559,56,1e-08
155,713,161,1e-08
156,289,34,1e-08
157,52,29,1e-08
158,977,304,1e-08
159,302,0,1e-08
160,358,81,1e-08
161,914,50,1e-08
162,798,0,1e-08
163,53,34,1e-08
164,745,33,1e-08
165,1880,311,1e-08
166,1069,107,1e-08
167,261,1,1e-08
168,377,50,1e-08
169,1053,262,1e-08
170,52,42,1e-08
171,252,9,1e-08
172,521,66,1e-08
173,1281,254,1e-08
174,836,93,1e-08
175,694,208,1e-08
176,51,47,1e-08
177,115,2,1e-08
178,162,20,1e-08
179,140,5,1e-08
180,113,57,1e-08
181,1233,500,1e-08
182,105,93,1e-08
183,19,18,1e-08
184,252,23,1e-08
185,1381,336,1e-08
186,833,391,1e-08
187,19,19,1e-08
188,250,26,1e-08
189,492,171,1e-08
190,916,542,1e-08
191,650,325,1e-08
192,1931,780,1e-08
193,1198,19,1e-08
194,525,187,1e-08
195,418,250,1e-08
196,304,170,1e-08
197,714,267,1e-08
198,353,19,1e-08
199,19,19,1e-08
200,321,172,1e-08
201,414,332,1e-08
202,1176,506,1e-08
203,461,299,1e-08
204,52,52,1e-08
205,56,27,1e-08
206,381,114,1e-08
207,614,274,1e-08
208,320,193,1e-08
209,465,139,1e-08
210,508,47,1e-08
211,322,133,1e-08
212,19,19,1e-08
213,666,263,1e-08
214,804,409,1e-08
215,948,566,1e-08
216,1001,358,1e-08
217,143,62,1e-08
218,593,247,1e-08
219,895,417,1e-08
220,505,222,1e-08
221,251,120,1e-08
222,815,625,1e-08
223,52,19,1e-08
224,669,317,1e-08
225,29,1,1e-08
226,771,713,1e-08
227,1966,1506,1e-08
228,249,50,1e-08
229,890,818,1e-08
230,444,419,1e-08
231,399,244,1e-08
232,205,89,1e-08
233,294,245,1e-08
234,249,194,1e-08
235,508,210,1e-08
236,899,331,1e-08
237,2562,1229,1e-08
238,564,472,1e-08
239,660,617,1e-08
240,206,136,1e-08
241,347,90,1e-08
242,1128,941,1e-08
243,756,469,1e-08
244,394,303,1e-08
245,794,749,1e-08
246,243,160,1e-08
247,143,86,1e-08
248,833,576,1e-08
249,1204,874,1e-08
250,757,516,1e-08
251,260,115,1e-08
252,1580,1476,1e-08
253,695,645,1e-08
254,97,64,1e-08
255,419,305,1e-08
256,681,623,1e-08
257,1236,1165,1e-08
258,157,99,1e-08
259,770,528,1e-08
260,439,378,1e-08
261,142,96,1e-08
262,205,137,1e-08
263,452,355,1e-08
264,251,162,1e-08
265,445,340,1e-08
266,823,660,1e-08
267,505,382,1e-08
268,2006,1386,1e-08
269,749,659,1e-08
270,623,577,1e-08
271,201,137,1e-08
272,509,423,1e-08
273,250,174,1e-08
274,654,528,1e-08
275,19,19,1e-08
276,1676,1567,1e-08
277,642,205,1e-08
278,755,517,1e-08
279,271,191,1e-08
280,19,19,1e-08
281,1236,1160,1e-08
282,1337,1289,1e-08
283,161,145,1e-08
284,670,596,1e-08
285,292,265,1e-08
286,144,78,1e-08
287,1164,1063,1e-08
288,33,1,1e-08
289,2538,2304,1e-08
290,205,183,1e-08
291,623,535,1e-08
292,306,219,1e-08
293,142,110,1e-08
294,469,457,1e-08
295,456,426,1e-08
296,917,863,1e-08
297,271,212,1e-08
298,350,321,1e-08
299,277,218,1e-08
300,145,117,1e-08
301,52,43,1e-08
302,1248,1192,1e-08
303,256,215,1e-08
304,273,268,1e-08
305,776,759,1e-08
306,663,591,1e-08
307,290,219,1e-08
308,143,126,1e-08
309,1137,1094,1e-08
310,253,232,1e-08
311,850,749,1e-08
312,114,88,1e-08
313,554,532,1e-08
314,254,221,1e-08
315,2976,2812,1e-08
316,206,148,1e-08
317,348,261,1e-08
318,725,673,1e-08
319,793,772,1e-08
320,249,170,1e-08
321,1108,1074,1e-08
322,2495,2416,1e-08
323,500,457,1e-08
324,1651,1501,1e-08
325,649,475,1e-08
326,366,295,1e-08
327,1547,1431,1e-08
328,1597,1518,1e-08
329,51,51,1e-08
330,70,70,1e-08
331,531,504,1e-08
332,52,52,1e-08
333,491,451,1e-08
334,536,511,1e-08
335,249,213,1e-08
336,52,52,1e-08
337,19,19,1e-08
338,19,19,1e-08
339,901,882,1e-08
340,161,145,1e-08
341,1762,1683,1e-08
342,741,690,1e-08
343,306,295,1e-08
344,1322,1243,1e-08
345,255,212,1e-08
346,1562,1525,1e-08
347,229,197,1e-08
348,1456,1355,1e-08
349,112,73,1e-08
350,318,260,1e-08
351,75,75,1e-08
352,465,446,1e-08
353,250,191,1e-08
354,496,406,1e-08
355,52,52,1e-08
356,321,245,1e-08
357,305,220,1e-08
358,143,135,1e-08
359,112,86,1e-08
360,19,19,1e-08
361,304,215,1e-08
362,456,367,1e-08
363,698,599,1e-08
364,497,433,1e-08
365,248,190,1e-08
366,52,52,1e-08
367,1037,939,1e-08
368,664,565,1e-08
369,18,18,1e-08
370,552,496,1e-08
371,588,553,1e-08
372,588,504,1e-08
373,557,464,1e-08
374,72,72,1e-08
375,54,54,1e-08
376,251,235,1e-08
377,336,295,1e-08
378,19,19,1e-08
379,468,383,1e-08
380,303,239,1e-08
381,138,88,1e-08
382,641,539,1e-08
383,1406,1393,1e-08
384,735,593,1e-08
385,183,128,1e-08
386,1238,1197,1e-08
387,1618,1413,1e-08
388,383,360,1e-08
389,51,51,1e-08
390,461,327,1e-08
391,672,602,1e-08
392,563,509,1e-08
393,739,677,1e-08
394,704,483,1e-08
395,115,81,1e-08
396,353,246,1e-08
397,253,167,1e-08
398,553,487,1e-08
399,19,19,1e-08
400,889,861,1e-08
401,758,691,1e-08
402,430,356,1e-08
403,1268,893,1e-08
404,325,243,1e-08
405,1570,1184,1e-08
406,1154,1076,1e-08
407,962,684,1e-08
408,143,107,1e-08
409,251,176,1e-08
410,1177,1067,1e-08
411,114,86,1e-08
412,134,78,1e-08
413,100,62,1e-08
414,205,148,1e-08
415,605,422,1e-08
416,317,251,1e-08
417,164,110,1e-08
418,1081,751,1e-08
419,19,19,1e-08
420,903,852,1e-08
421,506,351,1e-08
422,777,708,1e-08
423,113,87,1e-08
424,668,517,1e-08
425,500,348,1e-08
426,324,232,1e-08
427,251,157,1e-08
428,349,321,1e-08
429,52,50,1e-08
430,304,197,1e-08
431,297,199,1e-08
432,711,633,1e-08
433,251,175,1e-08
434,71,71,1e-08
435,1432,1295,1e-08
436,1004,896,1e-08
437,885,692,1e-08
438,1827,1394,1e-08
439,301,205,1e-08
440,369,337,1e-08
441,207,126,1e-08
442,113,45,1e-08
443,845,719,1e-08
444,113,7,1e-08
445,146,105,1e-08
446,352,269,1e-08
447,839,549,1e-08
448,716,510,1e-08
449,251,177,1e-08
450,198,154,1e-08
451,466,447,1e-08
452,1368,1321,1e-08
453,1634,1383,1e-08
454,605,413,1e-08
455,586,452,1e-08
456,1353,1157,1e-08
457,408,332,1e-08
458,1364,1227,1e-08
459,804,741,1e-08
460,299,215,1e-08
461,1587,1426,1e-08
462,380,322,1e-08
