episode,steps,actions,episode_reward
1,318,153,277.48129434120216
2,750,432,604.0648568680901
3,1002,573,834.8087597098947
4,251,158,196.86587308911857
5,143,76,118.1850265093661
6,1335,20,34.87247661372707
7,292,21,23.898146398437493
8,375,26,27.29686932367293
9,142,3,3.4675337347207718
10,303,3,6.3828777370436836
11,135,27,34.61773387353541
12,143,77,141.71113055775058
13,713,391,606.4930063169257
14,244,134,237.9635419243905
15,1824,1015,1181.3413990763343
16,180,99,164.5948576062953
17,693,358,418.0827386071249
18,51,26,73.97182265012155
19,529,257,381.0285606262749
20,203,101,172.22823282358215
21,374,194,151.66469546307198
22,32,2,2.8370971614605494
23,195,3,8.649614601498353
24,524,2,2.8150888148835724
25,2085,221,330.68279132255606
26,303,191,235.87913188392753
27,52,28,81.11405171825518
28,356,200,325.134182900469
29,52,29,76.7492412776332
30,143,79,118.19083152544947
31,52,35,76.52318255679029
32,114,62,103.27460643867543
33,348,195,282.26509775125356
34,2576,1653,4524.029615861298
35,940,588,1882.2107574052643
36,1374,789,2561.6010106332405
37,39,20,21.99471349847297
38,559,354,1171.2717472845027
39,256,118,464.5655093782836
40,897,406,1638.8631325113934
41,416,151,826.7352789408935
42,441,222,596.90549981455
43,554,160,1280.0910049596187
44,38,20,22.413766775871395
45,568,191,1068.0651465614983
46,1232,452,2250.836284895472
47,526,127,1098.5202439689972
48,742,178,1286.3616183358517
49,740,116,1490.2293129938666
50,255,35,631.6484131478833
51,353,67,757.8347573632262
52,339,70,562.283484597129
53,38,0,4.060962677814773e-07
54,51,12,110.54340131468852
55,19,2,8.016497501076328e-07
56,611,86,1337.3176650587695
57,111,25,114.43078520078102
58,1015,171,1579.8470033802987
59,683,99,1270.0504155288734
60,20,0,1.635059970527557e-08
61,351,79,452.0090797898403
62,1982,335,3386.228717164199
63,286,63,533.3724791542408
64,685,159,1001.249493757716
65,104,9,124.53171329506603
66,580,50,1383.3094534697889
67,112,17,133.08395911540646
68,719,92,1604.5508921295143
69,223,24,392.98829607131694
70,380,72,335.3948116194805
71,444,66,724.1777196708615
72,1153,90,2946.8476262130275
73,936,176,1598.6604350836567
74,1256,151,2659.067722026311
75,52,3,70.45520436707362
76,347,50,729.9236320089161
77,203,15,457.0707761671504
78,538,34,1185.9303710201461
79,958,1,19.870370186751778
80,929,1,4.836541181932239
81,203,1,25.548144528515515
82,143,1,23.633588849573254
83,251,3,20.005787924781746
84,161,2,16.649424316898994
85,312,1,63.93864250591038
86,874,1,49.41312796474678
87,112,5,124.92892453023059
88,504,1,35.898944576117785
89,113,1,9.190783410024718
90,407,1,159.84492607606077
91,355,4,64.3394733557846
92,727,1,21.28981377677797
93,2500,118,2069.453999075761
94,258,19,391.7460974523969
95,19,0,2.087608526343931e-06
96,435,51,762.9082072715601
97,303,27,580.5024277101211
98,103,0,168.37412430440375
99,205,14,250.25657946517845
100,128,6,288.10272197281927
101,778,1,21.289813772192712
102,1792,10,144.5040456216078
103,957,154,2158.4527178311446
104,113,10,167.646354555485
105,141,29,179.31737388867117
106,703,116,1440.6879561850712
107,1059,267,1838.3496969115236
108,112,13,222.19511627208462
109,1018,181,2148.07676832815
110,989,141,1542.2166411416868
111,2338,356,4532.529073814159
112,545,1,112.13420324041246
113,851,3,5.265483762045263
114,629,3,17.53777070210313
115,1048,39,808.1328662263153
116,111,0,180.12743249491683
117,52,10,43.04162805675355
118,1050,32,1845.0856989167287
119,206,6,303.41601476884756
120,257,7,344.24490701578367
121,1413,35,2213.3069252349296
122,250,5,455.86843660889923
123,1667,116,2309.515538384762
124,893,87,1379.7000882630969
125,412,1,587.6565431984883
126,616,28,956.7648356126091
127,311,44,308.9967181088983
128,1737,56,2727.855807531685
129,400,20,536.8257753135811
130,1914,181,2300.5817198206773
131,617,118,763.4535148141046
132,673,46,958.2747729779812
133,819,93,998.1611971399511
134,1046,142,1005.2586656855173
135,447,1,659.1765372532798
136,560,104,902.2518300937711
137,885,103,1364.3967060001946
138,206,0,330.2162936616714
139,307,35,495.015655598709
140,78,0,116.4435412308357
141,119,0,182.27192517615543
142,301,0,427.92146301224847
143,52,26,11.584608653302654
144,206,0,308.58885508948526
145,608,0,863.3608716444752
146,143,0,249.25491165302466
147,609,102,916.3660967644355
148,19,16,1.0002348044218707e-08
149,544,153,817.605388706663
150,793,258,1124.8323026321032
151,1143,198,1769.8779456074483
152,917,50,1135.973938991288
153,445,1,667.6560679828772
154,680,127,985.1019381840046
155,1836,65,2578.0336092630464
156,225,39,290.20201063383234
157,673,182,937.9618167795993
158,687,1,993.6071869716216
159,917,274,1595.1424386568676
160,775,279,1148.96494181228
161,2090,341,3711.506354325025
162,18,18,1.0063919862076498e-08
163,451,16,771.0828149973594
164,391,35,636.1749466875066
165,160,60,225.905587997713
166,580,338,833.8478656663458
167,418,211,675.2667785598729
168,114,80,222.01656165964908
169,382,92,500.4982703167144
170,844,247,1186.0246173572586
171,51,42,62.64266371953075
172,327,247,380.2938138803397
173,804,316,1145.1728007679
174,575,24,982.2666233682202
175,580,209,927.815539369888
176,268,27,396.82187628429745
177,143,0,233.0681504536446
178,112,0,181.37099451022462
179,1155,585,1993.2103304911293
180,902,635,1627.6993802131517
181,722,121,1235.3145855740413
182,114,70,148.32695559583817
183,719,121,1009.2133132338204
184,670,184,1295.7366190082937
185,909,69,1696.3799688671434
186,466,230,575.7267843541869
187,109,107,102.15819433619686
188,666,143,889.6495892994682
189,253,50,456.781529171475
190,204,62,321.69025461036017
191,631,269,742.0324882575525
192,303,51,454.87681589245693
193,19,19,1.4972739526136544e-06
194,19,19,2.1771157957408567e-08
195,393,300,596.8531319070783
196,481,198,716.5170848518243
197,123,121,222.98190208872052
198,568,98,1240.5752040409554
199,249,123,315.81049275435083
200,19,19,3.885541662479585e-07
201,247,193,324.7504861933267
202,59,1,94.87787781569
203,80,7,154.05462157864227
204,517,370,640.3133279643615
205,1032,414,2412.368782391616
206,671,217,1315.1678572294636
207,1357,595,2501.0195664379344
208,440,327,563.2032455438427
209,350,136,439.52698341650745
210,601,351,764.0540301470975
211,895,241,1789.129451456983
212,114,30,152.44243547921016
213,143,58,165.26142844256646
214,573,126,1230.500030419043
215,19,19,1.97186751465461e-06
216,883,271,1629.5518234568096
217,1618,834,3181.670775590835
218,669,454,923.5748158261927
219,38,17,46.67564264775258
220,1373,863,2796.2828287472385
221,1612,1151,2665.411287857196
222,1289,974,2246.7120404527363
223,50,42,106.71929523184514
224,608,486,777.0928441585755
225,123,56,159.20463640850272
226,167,132,230.74942017234295
227,243,208,373.8313889556999
228,860,208,1951.8311712308707
229,555,286,900.2422461538393
230,953,533,1459.9822271682735
231,348,144,654.0062072588479
232,938,699,1503.7111920471202
233,19,19,3.808026571790916e-07
234,558,110,1199.4616706406214
235,19,19,3.4354418782537e-07
236,285,202,414.45374448962383
237,101,65,111.14339017546844
238,767,735,1008.569538322923
239,651,153,1362.143307852025
240,19,19,1.7874569855707665e-06
241,250,52,469.16796958186654
242,142,90,174.25308375607835
243,142,81,165.39422870380312
244,257,191,360.1052067321963
245,91,91,117.22886266979476
246,51,50,104.45730905887169
247,313,187,351.324464176316
248,302,92,627.1221425098103
249,251,82,450.67177654778027
250,269,219,421.5042879697768
251,19,19,2.7555975928626983e-08
252,296,214,335.6052724367688
253,1585,1415,2255.7553491109097
254,670,377,1131.1518684372918
255,1550,1213,2713.783897496352
256,961,852,1856.3728062459388
257,1042,1011,1775.6791928118246
258,271,122,399.9705055875908
259,519,429,928.1033759871594
260,397,304,568.3235203586861
261,289,229,443.9530094046994
262,1366,1297,1890.5351036741736
263,38,38,1.7337727960750615e-07
264,1059,825,1509.2501037013449
265,816,748,1351.3218924167295
266,114,97,189.3856150494437
267,2140,1927,2943.7773793072906
268,1309,1053,1894.5360365105623
269,52,51,96.35752527872691
270,112,69,182.1263143952818
271,413,291,623.6217783086306
272,698,582,1007.2413757701764
273,678,610,1021.5705318641465
274,349,275,429.2975098667078
275,598,504,824.4361217706153
276,194,169,296.9910151253675
277,305,208,438.3444571831708
278,166,86,255.53409754797698
279,267,203,341.84862695103334
280,19,19,2.3609140750741317e-07
281,1787,1680,2208.7224495170053
282,462,394,549.6708617308477
283,250,152,293.30084860193665
284,555,385,832.0329779512897
