episode,steps,actions,episode_reward
1,546,448,1123.5598126146997
2,1126,928,2622.794022212207
3,411,337,714.0040755593709
4,114,94,340.6034616467301
5,753,589,1685.9524917249403
6,1224,961,2771.8746985845737
7,224,175,605.5023010189435
8,19,17,6.23301570816809e-08
9,2637,1609,5858.373963096753
10,772,532,1668.2607817349958
11,378,311,811.2945938156982
12,410,334,745.2977327861728
13,315,270,383.68858067881274
14,369,294,578.2287462826988
15,510,427,1283.980904528192
16,192,151,224.00628404890875
17,408,323,825.2836172921646
18,71,56,153.88662181372416
19,632,512,684.0285069718126
20,667,538,1307.509553444297
21,288,244,661.5422501272074
22,322,266,744.7680806378532
23,1826,1388,1553.0404764547964
24,1463,1098,3205.750680870902
25,550,409,785.0893528429797
26,916,576,1365.2861583050628
27,319,251,636.7804638126595
28,142,107,349.2360261751127
29,603,466,1321.681620204718
30,251,197,633.3888220273063
31,680,510,513.5973370136163
32,667,511,1235.3955209437454
33,195,154,489.16741573859423
34,349,251,805.6557955223129
35,210,162,220.57792811700364
36,304,240,760.0053081604356
37,850,642,845.140823249342
38,770,575,1284.0420995949735
39,546,403,1275.9027268659452
40,114,88,274.55805794898777
41,1236,937,2586.1543094424514
42,72,54,155.2938604802916
43,51,39,145.72950700613507
44,225,178,516.604164571132
45,296,229,713.3998679725034
46,1202,901,2086.6655769918657
47,215,169,164.17997412485514
48,456,340,1068.511898694462
49,629,475,1310.3373117361803
50,446,309,831.7641739539375
51,807,569,1414.9274914248706
52,1222,866,2036.3909894052854
53,698,509,796.5639983083227
54,805,524,1825.268842762548
55,1457,1007,2212.00977185533
56,724,517,768.0544503442384
57,251,171,613.1074346866579
58,268,191,570.5647601365837
59,469,294,738.0856349990415
60,1107,675,1727.523177225672
61,1700,1007,2700.8369857856346
62,462,238,756.3425832896951
63,1017,574,1662.732624190921
64,19,7,3.432547748853953e-08
65,520,308,555.4887403532074
66,319,178,519.1517796877982
67,52,31,143.02474882096448
68,132,80,331.30263286881683
