episode,steps,actions,episode_reward
1,537,446,1.0237679051341296e-05
2,473,383,9.781608643646552e-06
3,142,109,4.1190182904163733e-07
4,1026,850,1.6029558715639243e-05
5,372,297,5.259842660167185e-06
6,195,160,4.225669254419972e-07
7,1645,1256,3.56746806142122e-05
8,19,18,1e-08
9,577,467,1.188184866037049e-05
10,513,302,1.1145765648605058e-05
11,469,252,6.035214405304111e-06
12,19,10,1e-08
13,555,331,1.3028284751721383e-05
14,509,295,1.1327414326764583e-05
15,1559,541,7.563102310752736e-06
16,110,99,1e-08
17,571,458,8.73604394772104e-06
18,302,244,6.762896837158676e-06
19,255,209,3.6680117932626253e-06
20,19,15,1e-08
21,133,104,2.8468883142301073e-07
22,400,319,5.860901574332082e-06
23,70,59,1e-08
24,525,427,6.042977844218503e-06
25,113,89,1e-08
26,418,352,6.549519823682332e-06
27,517,430,1.0914015148268718e-05
28,19,14,1e-08
29,247,192,4.9640230570636015e-06
30,70,54,1e-08
31,537,418,6.706444252272062e-06
32,50,39,1e-08
33,657,494,3.854020048923771e-06
34,114,93,1e-08
35,113,90,1e-08
36,112,82,1.0000002076460308e-08
37,1392,1055,2.0762854068420585e-05
38,327,251,7.164313472004521e-06
39,417,318,6.318409124346946e-06
40,111,86,1e-08
41,629,466,4.410619260780245e-06
42,320,249,6.063646304309783e-06
43,1294,995,2.4076712834650504e-05
44,19,18,1e-08
45,796,624,3.1286480475409024e-06
46,733,577,1.6809014765343612e-05
47,345,248,6.935516609960884e-06
48,214,157,1.5385816771610914e-08
49,1005,768,1.4133581032223333e-05
50,1460,1086,2.354826793619219e-05
51,1470,1111,2.5652459707499814e-05
52,225,171,3.476405023356176e-06
53,1552,1185,2.8287094816128448e-05
54,615,469,7.570143138376835e-06
55,1084,766,1.8307632395442744e-05
56,949,649,1.201190957631818e-05
57,304,226,6.685938332909783e-06
58,437,301,6.4925490643980074e-06
59,340,235,6.4104839912227425e-06
60,280,204,2.7920647174893645e-06
61,413,302,4.879733590854593e-06
62,2316,1574,3.95618181497914e-05
63,1243,659,1.4138377220633052e-05
64,2096,1280,3.468902471272854e-05
65,620,413,6.843847877975898e-06
66,672,392,1.1596487906269625e-05
67,802,439,1.9389967586456917e-05
68,162,87,1.3826066117102608e-08
69,354,175,6.742561426050491e-06
70,429,225,3.936538770974612e-06
71,426,238,3.849309009863383e-06
72,187,113,2.7228406058707035e-06
73,118,62,1.6427262034954067e-06
74,301,138,6.222679299053399e-06
75,437,204,6.703669554511432e-06
76,220,92,3.978780561785845e-06
77,876,448,1.6171372522517247e-05
78,1945,859,2.7656211514832403e-05
79,1734,728,1.900164313636e-05
80,206,105,3.591139608735167e-06
81,1143,483,1.1264393222206001e-05
82,254,111,1.0058082751310303e-08
83,1706,751,3.093612068384801e-05
84,51,27,1e-08
85,920,401,7.388593804381459e-06
86,19,11,1e-08
87,70,28,1e-08
88,489,225,6.001965534276235e-06
89,1231,634,1.26684101294022e-05
90,206,114,3.92854283315494e-06
91,366,173,4.324431719386643e-06
92,51,26,1e-08
93,1092,583,2.093496559662026e-05
94,496,284,6.28968196219733e-06
95,829,453,1.887300740397811e-05
96,264,152,2.3649655214202502e-07
97,573,271,1.2929395736875635e-05
98,387,181,4.9681059047051475e-06
99,208,107,3.6159327909443686e-06
100,984,477,2.244845548867275e-05
101,558,257,6.130046099905262e-06
102,414,160,4.502945623870096e-06
103,252,111,4.6861267755726275e-06
104,19,8,1e-08
105,1407,552,2.4814270679735475e-05
106,174,77,1e-08
107,10,2,1e-08
108,254,90,1.0000077219361527e-08
109,1849,608,2.0304283569560222e-05
110,250,86,3.710039875224102e-06
111,146,45,1e-08
112,1370,531,1.9903161649704753e-05
113,1308,536,2.002264727114986e-05
114,414,154,6.814947623973552e-06
115,143,66,1.000000008010009e-08
116,381,145,3.3005712252779466e-06
117,449,194,6.229068565687812e-06
118,113,54,1e-08
119,1006,402,1.2564661987673957e-08
120,130,49,1e-08
121,114,34,1e-08
122,19,10,1e-08
123,413,138,5.78852911080915e-06
124,537,165,6.7582374774305945e-06
125,364,120,5.142800976273668e-06
126,525,171,4.8881756659009874e-06
127,205,80,3.9584903828174185e-06
128,631,218,1.2326015808033539e-05
129,1458,512,3.316284640283949e-05
130,724,275,7.897834554460336e-06
131,206,80,3.426165547227103e-06
132,206,82,3.2252394408057778e-06
133,698,251,1.318384969204369e-05
134,272,95,4.559097124308078e-06
135,347,140,3.4152601512731767e-06
136,616,219,4.255775852411766e-06
137,701,252,1.6465530451055685e-05
138,206,61,2.7754668953508265e-06
139,1239,440,5.6333810695166215e-06
140,1091,361,1.529915313218556e-05
141,631,224,5.789702063726902e-06
142,131,40,1e-08
143,526,170,9.931961750913497e-06
144,317,108,3.889032710399737e-06
145,750,243,1.6951374834353668e-05
146,688,233,6.630922560560749e-06
147,1051,353,2.3248313921140545e-05
148,205,54,2.4902542491184165e-06
149,762,257,1.2009739703346228e-05
150,416,126,8.002464530475437e-06
151,822,277,1.3870507482779675e-05
152,852,273,1.0296599752904296e-05
153,112,37,1e-08
154,358,129,1.0007280134314312e-08
155,255,95,1.0000000028780008e-08
156,320,82,4.5509636145384324e-07
157,194,67,1.0099725087555102e-08
158,198,61,2.9237882605515057e-06
159,805,213,1.566413068329255e-05
160,788,211,9.987806783226649e-06
161,651,200,6.412440286661502e-06
162,140,44,1.0019543689989937e-08
163,633,162,1.4137715952358956e-05
164,304,61,3.767674143415799e-06
165,103,24,1e-08
166,1349,295,1.2125881758231577e-05
167,318,67,1.8146388140379887e-06
168,193,49,1.0000218176401007e-08
169,1014,257,8.315272550560784e-06
170,875,235,1.832218143591196e-06
171,1253,334,1.647073183616327e-05
172,19,9,1e-08
173,649,184,8.361142913742018e-06
174,620,192,9.288469514952917e-06
175,445,136,4.458147734624873e-06
176,1159,368,1.054182215393544e-05
177,450,153,6.50449345910525e-06
178,303,105,6.442979972990558e-06
179,336,112,1.2092873763653076e-08
180,249,75,4.75746535612435e-06
181,361,125,1.0324376513333805e-08
182,15,4,1e-08
183,693,274,1.1532005844467372e-05
184,204,81,3.0757058172167742e-06
185,520,231,5.016656932272443e-07
186,21,9,1e-08
187,509,181,1.0859610753106864e-05
188,459,171,5.640510554745177e-06
189,121,43,1e-08
190,504,174,1.110713062247008e-05
191,670,184,6.084134388447715e-06
192,486,129,2.764489593103773e-06
193,204,67,3.5522560542580586e-06
194,823,247,1.0128702476030057e-05
195,221,62,2.722837346030474e-06
196,305,73,6.090738063837482e-06
197,112,33,1e-08
198,701,190,7.290122887741252e-06
199,831,252,7.577461540148916e-06
200,311,95,3.903573256622386e-06
201,249,85,4.484533355573057e-06
202,1558,497,1.961907778421993e-05
203,483,169,1.0514365667386597e-05
204,924,325,6.013923916323514e-06
205,320,118,5.2915487203762256e-06
206,604,196,1.268918173644966e-05
207,249,96,5.109129457679679e-06
208,317,117,3.8072924308951336e-06
209,559,172,1.194792820395196e-05
210,204,65,2.7730750746954257e-06
211,251,69,4.84909153781493e-06
212,1293,369,2.1778226789246142e-05
213,749,253,1.1494130307547586e-05
214,112,38,1e-08
215,476,158,9.978067414695723e-06
216,656,210,1.4551435984624507e-05
