episode,steps,actions,episode_reward
1,542,440,975.8930532064536
2,1332,1108,2709.4647596060972
3,201,168,0.0009691061587927632
4,474,379,302.72014469972703
5,2238,1736,3560.154066221375
6,1188,738,1433.3358942061022
7,19,14,1e-08
8,1058,570,2376.495890332601
9,1559,1027,1667.1840765148659
10,108,89,1e-08
11,1153,927,1743.1032711615985
12,128,110,1.627378618946417
13,400,312,552.9541471506338
14,715,566,421.7914495842326
15,953,751,1532.1555947793145
16,324,265,465.58769435770193
17,104,77,1e-08
18,923,700,641.1941728970246
19,690,522,353.12485648541417
20,113,89,1.0000000040738326e-08
21,476,356,756.3741040337891
22,978,775,1646.4822803631182
23,415,316,538.190864662616
24,133,97,1.0000003008152033e-08
25,1236,949,1467.6990537785862
26,752,589,1096.2727639831228
27,252,193,479.0335955901164
28,19,18,1e-08
29,257,189,323.82131869987626
30,1260,959,1300.1464025791279
31,349,271,711.0744374199894
32,214,170,0.0002677847270689424
33,304,221,624.770778332269
34,449,336,612.5469829582096
35,905,677,1354.0062229377666
36,143,110,0.00043831927905036414
37,777,571,1107.844865748924
38,1218,888,2161.3342406979355
39,69,53,1e-08
40,293,222,284.7265560530069
41,1259,938,1910.8128235546292
42,328,257,486.49051218348825
43,136,96,6.762026757423497e-08
44,457,350,880.4526486183739
45,520,385,1053.6840874829938
46,408,273,628.6906702748956
47,2171,1538,2872.742535039734
48,281,201,249.48832805023045
49,113,84,1.6038179280181923e-07
50,1667,1135,2494.138898823802
51,1365,757,979.3615123384802
52,255,176,3.1414974577238745e-07
53,519,374,1013.7948327465025
54,1116,481,957.014974244165
55,144,82,192.21977791496997
56,206,136,368.7716870799973
57,1094,667,1418.7270266736236
58,2198,1075,1971.4158527462876
59,224,115,359.4703899946633
60,818,469,416.77176951520437
61,861,409,1300.7692618090887
62,220,107,343.6135918976247
63,512,256,1055.7643447931562
64,1097,517,687.2607259378385
65,1484,625,2258.9397084240472
66,1457,652,1301.327323353431
67,1351,595,1360.0656154628177
68,255,121,2.870459228234041e-05
69,1755,817,2633.4306793662204
70,781,383,0.016237497823708764
71,164,84,1.0788404063824042e-05
72,63,29,1.0000000000000065e-08
73,188,84,8.234427401141772e-06
74,1017,543,949.5257165696916
75,204,118,340.70641812614207
76,302,177,596.4612322508447
77,18,12,1e-08
78,317,172,328.6226793180226
79,1747,892,2903.8076102968266
80,654,370,559.4027695707123
81,374,200,649.8247051035316
82,203,120,308.33785415452377
83,572,291,1145.1448099587726
84,594,290,471.1889753713919
85,1959,863,2928.770501033221
86,1375,528,1910.6247630205173
87,416,151,577.3281840547174
88,60,21,1e-08
89,406,135,5.785006226371903e-08
90,1368,503,1781.1826769628424
91,141,50,1.9175715722190778e-07
92,207,83,182.93286457068618
93,1202,504,1342.5824198830135
94,699,317,1122.7635983801633
95,1724,690,2621.758939808723
96,933,385,578.7855480766943
97,145,58,1.9217636305656272e-07
98,631,259,0.00017673947930031426
99,185,63,1e-08
100,51,17,1e-08
101,134,48,1.0000000002225166e-08
102,550,185,537.171576175564
103,134,44,1.000000000027112e-08
104,770,235,768.3325806920009
105,720,252,855.2277932624152
106,3018,1083,4492.38898738294
107,346,116,313.7290722929286
108,302,105,554.4109347323015
109,502,191,915.5897305709476
110,363,145,328.7067299884323
111,213,81,1.875704230530584e-06
112,20,3,1e-08
113,895,300,1268.1006268153385
114,827,259,1117.4671864922293
115,52,21,1e-08
116,430,167,311.45208861015004
117,205,84,211.0387963657394
118,141,53,2.2458186562316048e-07
119,505,181,884.656218774076
120,447,152,346.5644278441781
121,556,169,545.8540087801114
122,1178,410,665.1062511525964
123,893,291,1630.0995050536046
124,3433,1089,5141.238723064186
125,354,122,605.2032742485699
126,367,128,399.8029290356481
127,499,157,617.5386448923364
128,113,42,1.0000004074406875e-08
129,216,71,5.074179511555483e-06
130,136,54,1.9425043059427603e-06
131,371,104,2.822632045407071e-07
132,205,65,314.72669908977
133,194,62,1.3979767612087245e-05
134,208,57,175.5048264503768
135,851,252,1528.1074945109592
136,1533,395,1391.3489621167716
137,627,167,1175.7279423993464
138,309,64,387.81867405637104
139,51,15,1e-08
140,51,15,1e-08
141,716,153,498.5694383766515
142,306,70,590.8380921627812
143,144,26,1.0000000000011958e-08
144,520,116,693.3587070720554
145,2725,713,1675.9375349042925
146,448,114,490.58680987590407
147,158,37,1.0067522600003252e-08
148,1714,544,1568.8833045580925
149,144,39,1.0000442931898171e-08
150,305,68,314.4907641119683
151,365,122,432.6584447121408
152,1121,364,1030.536373053274
153,887,311,438.32481973957977
154,36,10,1e-08
155,86,40,1e-08
156,1139,411,883.9792507782155
157,1203,455,1115.2540591455809
158,420,146,594.4396531748071
159,203,63,260.29210536656876
160,1936,597,1251.6316361923896
161,247,67,348.9751357991653
162,527,139,774.1639971963682
163,114,31,1.0000002506445462e-08
164,440,120,370.900773981556
165,254,82,421.78317004416004
166,835,232,423.0009979089647
167,304,97,346.50679672607407
168,745,243,1039.9391018428034
169,52,21,1e-08
170,1495,510,2345.6462643239565
171,928,332,548.1556427332889
172,19,11,1e-08
173,859,299,1603.6479207150755
174,1627,503,2929.272294320707
175,983,296,1161.6038635921348
176,910,260,1743.7409131157433
177,1388,425,1986.7449810304063
178,689,220,1116.2920480825685
179,51,17,1e-08
180,1080,307,445.9096078559009
181,1201,292,2052.126539786197
182,265,64,173.9184793030501
183,623,147,711.4640056500116
184,319,75,237.00006001191394
185,233,52,17.77817936360547
186,2672,616,4136.146721393456
187,3215,767,3600.571723170436
188,206,43,0.00022790715407972601
189,252,69,4.022697026698192e-05
190,249,54,366.8152136472653
