episode,steps,actions,episode_reward
1,541,440,1014.8062515684026
2,475,382,1107.6332802849222
3,905,748,2091.437845812556
4,823,673,1228.7905658816446
5,2044,1549,4658.253333698694
6,904,559,1858.1227632504783
7,844,489,1859.5553316142543
8,509,291,1250.3984866599258
9,1565,354,1525.2195135777326
10,686,579,980.4883202114912
11,509,420,1202.798265103542
12,185,158,236.006225736359
13,10,9,29.9315723655584
14,401,323,850.7262048754429
15,71,56,157.28395978399877
16,636,516,714.0130874709931
17,687,575,1401.4221449234278
18,270,219,669.732963558263
19,321,258,736.2735539042487
20,477,370,1108.6034428349044
21,868,637,522.3191391007653
22,1645,1249,2212.419591997586
23,719,549,1371.7709455419672
24,1369,1053,1948.1733132003235
25,747,560,1447.9399235829937
26,250,192,621.9210256418733
27,19,12,2.9298042041379485e-06
28,205,154,469.00819189234045
29,311,252,225.92753053822938
30,300,216,253.85735454011242
31,499,401,1169.5593053096215
32,205,157,519.5070251606326
33,350,279,853.281660923407
34,214,167,223.37698403759293
35,600,458,1371.6358451508186
36,396,286,265.7988435840065
37,143,112,211.88388083531544
38,302,221,720.1310450113903
39,459,354,548.8647786604485
40,1972,1418,3866.0357391607495
41,255,193,442.42297142665694
42,18,13,7.116828022453579e-06
43,1725,1305,2926.5745160271163
44,454,345,1058.8967256845747
45,497,376,1145.162094712599
46,1401,977,2288.584263180112
47,1185,787,1990.5605916320376
48,29,21,86.60967061387002
49,394,280,484.8143650216405
50,299,221,686.0027021248964
51,251,171,575.2680523589731
52,2066,1394,3459.4600971433283
53,670,454,837.3301193536863
54,520,350,1176.4722243670383
55,51,33,152.30404359108718
56,3337,1886,4736.946582365482
57,998,523,2020.6812135926552
58,376,200,845.7833016982985
59,337,199,560.3656767651787
60,19,13,2.7468727625223933e-05
61,184,114,144.30143740348305
62,498,269,676.3371766136443
63,1591,735,3307.3650341390157
64,205,107,541.5775092495339
65,707,305,995.0116302921338
66,180,88,171.48618725618357
67,702,281,905.714277653111
68,773,314,1738.958082248287
69,139,65,292.9183710993644
70,52,29,155.2421389624714
71,193,80,280.8935527068036
72,1088,464,1901.6998859318699
73,347,156,520.9652462834594
74,144,71,244.8967535638477
75,445,199,787.4725556310078
76,413,184,605.0402649577561
77,509,231,509.35417671163765
78,1504,721,2714.0379497061176
79,463,228,447.2931722828145
80,315,144,523.2712940789489
81,230,116,268.8098272810669
82,813,432,700.921586948496
83,598,336,640.7863626382311
84,322,185,761.9596529703318
85,206,121,495.37665839417645
86,1805,1004,3084.2104495528165
87,1024,553,1444.8742534467365
88,554,281,1200.9430892837368
89,871,408,1115.7493000621212
90,1284,561,2896.1944125358436
91,145,67,301.6648784629581
92,362,142,846.5070222255245
93,413,165,572.5015818580025
94,433,176,735.8339451770189
95,205,78,517.4239705637982
96,162,62,233.04750272387253
97,803,324,1536.1720359569679
98,265,111,214.98536391207622
99,2089,745,2620.360947840783
100,156,59,403.6410448219701
101,682,281,1196.5631010687994
102,111,47,274.62491973038567
103,1064,456,1757.4969821838893
104,303,115,773.6678220010101
105,823,326,1851.8807110316152
106,113,42,295.3930338578963
107,140,69,256.79883841538185
108,679,267,661.0685636567486
109,255,109,247.5616902898571
110,890,341,574.2517661376224
111,70,23,155.48879283306232
112,296,109,260.06105511877104
113,874,309,1271.154801043594
114,51,16,152.63835729604142
115,1139,400,1372.7543275948779
116,1796,614,3918.8016214025556
117,1222,457,1765.3078414400472
118,348,143,368.39181730708725
119,820,291,2015.3478976331285
120,561,221,544.525945745332
121,413,159,868.049367030295
122,501,186,1210.7103155930424
123,205,78,505.0527085063336
124,613,217,969.5266298522617
125,485,183,369.8831258254499
126,204,62,539.9273988817783
127,141,50,340.8655397715971
128,513,170,1291.305789770026
129,304,99,732.6267295465707
130,143,46,376.8867225430513
131,612,194,1053.0131842200149
132,278,91,382.4838819010519
133,841,274,1392.832763672789
134,139,43,347.4166959820149
135,304,90,744.2357347744892
136,301,97,714.4478010955762
137,141,55,217.78105107660107
138,19,8,0.00010565505556881205
139,1582,575,2953.608347359794
140,513,153,1154.182983412854
141,2652,864,4047.024440638535
142,162,50,254.0739988236155
143,769,228,295.87318909995065
144,144,42,376.9313763788835
145,257,82,328.0521658888854
146,1455,350,2916.86238435761
147,142,47,316.8718092188229
148,652,157,872.3196172099928
149,651,188,1379.9408697551821
